"Date","Open","High","Low","Close","Volume"
"04-Jan-2011","3,457.00","3,499.00","3,457.00","3,481.45","1,014,911"
"05-Jan-2011","3,465.00","3,477.00","3,445.10","3,459.60","440,395"
"06-Jan-2011","3,480.00","3,493.00","3,444.10","3,478.15","586,480"
"07-Jan-2011","3,463.35","3,495.00","3,356.35","3,370.75","1,068,866"
"10-Jan-2011","3,375.00","3,443.15","3,352.00","3,395.75","1,298,801"
"11-Jan-2011","3,340.00","3,423.40","3,288.10","3,325.70","1,539,927"
"12-Jan-2011","3,350.00","3,390.00","3,318.20","3,377.30","1,254,425"
"13-Jan-2011","3,293.00","3,299.00","3,195.00","3,205.20","2,794,109"
"14-Jan-2011","3,186.15","3,277.90","3,185.00","3,204.30","1,290,205"
"17-Jan-2011","3,200.00","3,281.70","3,191.25","3,268.80","1,027,327"
"18-Jan-2011","3,250.00","3,335.70","3,250.00","3,323.00","1,224,646"
"19-Jan-2011","3,307.15","3,314.00","3,235.80","3,249.60","866,886"
"20-Jan-2011","3,232.00","3,307.40","3,218.10","3,295.90","903,981"
"21-Jan-2011","3,271.00","3,278.00","3,231.00","3,243.85","578,353"
"24-Jan-2011","3,240.00","3,290.00","3,227.30","3,284.65","937,670"
"25-Jan-2011","3,265.00","3,304.85","3,236.05","3,259.65","1,240,739"
"27-Jan-2011","3,269.00","3,269.00","3,185.50","3,196.90","1,588,831"
"28-Jan-2011","3,205.80","3,268.55","3,140.65","3,168.15","1,585,537"
"31-Jan-2011","3,138.50","3,138.50","3,086.20","3,117.70","968,671"
"01-Feb-2011","3,126.30","3,128.40","3,043.10","3,089.20","1,287,711"
"02-Feb-2011","3,113.00","3,164.00","3,065.00","3,089.25","1,146,841"
"03-Feb-2011","3,101.40","3,153.00","3,086.20","3,117.60","756,176"
"04-Feb-2011","3,099.00","3,123.70","3,026.40","3,047.90","869,985"
"07-Feb-2011","3,074.90","3,113.90","3,061.00","3,087.45","917,641"
"08-Feb-2011","3,100.00","3,120.00","3,072.00","3,096.60","752,999"
"09-Feb-2011","3,085.00","3,159.70","3,067.90","3,130.70","938,018"
"10-Feb-2011","3,105.65","3,114.00","3,041.00","3,053.20","1,031,519"
"11-Feb-2011","3,030.20","3,068.70","3,020.35","3,040.85","1,401,769"
"14-Feb-2011","3,044.00","3,118.30","3,040.50","3,104.55","872,381"
"15-Feb-2011","3,100.00","3,129.00","3,074.15","3,106.55","574,994"
"16-Feb-2011","3,082.25","3,123.70","3,081.10","3,103.00","365,048"
"17-Feb-2011","3,118.50","3,128.00","3,102.20","3,113.35","424,123"
"18-Feb-2011","3,125.00","3,145.00","3,089.10","3,100.30","887,788"
"21-Feb-2011","3,100.00","3,177.80","3,076.00","3,165.25","1,174,869"
"22-Feb-2011","3,140.20","3,167.00","3,114.00","3,141.85","760,706"
"23-Feb-2011","3,105.90","3,105.90","3,070.05","3,078.80","884,548"
"24-Feb-2011","3,050.00","3,080.00","2,995.00","3,008.80","2,060,815"
"25-Feb-2011","3,023.20","3,042.65","2,966.00","3,007.30","1,295,840"
"28-Feb-2011","3,022.00","3,134.80","2,967.40","2,997.10","1,814,309"
"01-Mar-2011","3,030.00","3,108.00","3,008.00","3,082.40","1,047,204"
"03-Mar-2011","3,058.10","3,059.00","3,001.00","3,026.10","1,571,482"
"04-Mar-2011","3,067.00","3,090.00","3,048.00","3,062.20","1,221,364"
"07-Mar-2011","3,036.00","3,075.00","3,025.50","3,042.70","919,716"
"08-Mar-2011","3,030.25","3,132.00","3,020.20","3,116.30","1,064,314"
"09-Mar-2011","3,120.00","3,132.80","3,071.00","3,095.50","834,555"
"10-Mar-2011","3,095.00","3,100.00","3,062.50","3,090.25","429,775"
"11-Mar-2011","3,068.00","3,079.00","3,045.00","3,053.90","909,784"
"14-Mar-2011","3,035.00","3,108.00","3,030.65","3,100.80","444,744"
"15-Mar-2011","3,032.00","3,058.90","3,006.00","3,030.15","1,129,728"
"16-Mar-2011","3,025.00","3,061.45","3,020.05","3,030.90","699,340"
"17-Mar-2011","2,984.10","2,999.00","2,971.00","2,978.70","1,040,172"
"18-Mar-2011","2,980.15","2,994.80","2,932.60","2,941.10","933,500"
"21-Mar-2011","2,951.40","2,957.00","2,904.35","2,922.30","825,887"
"22-Mar-2011","2,935.15","2,956.75","2,924.00","2,943.05","639,968"
"23-Mar-2011","2,934.75","2,998.80","2,927.00","2,993.35","908,340"
"24-Mar-2011","2,992.95","3,012.20","2,978.75","3,002.80","1,023,654"
"25-Mar-2011","3,044.00","3,185.00","3,040.05","3,163.05","1,582,849"
"28-Mar-2011","3,139.00","3,157.55","3,109.75","3,139.55","1,507,079"
"29-Mar-2011","3,132.00","3,188.70","3,128.95","3,173.35","1,232,574"
"30-Mar-2011","3,172.00","3,203.50","3,156.65","3,170.90","701,016"
"31-Mar-2011","3,182.00","3,265.00","3,163.90","3,241.30","2,354,991"
"01-Apr-2011","3,235.10","3,256.25","3,208.00","3,218.15","698,536"
"04-Apr-2011","3,225.00","3,296.00","3,221.00","3,283.15","921,999"
"05-Apr-2011","3,276.95","3,293.00","3,231.10","3,283.25","537,817"
"06-Apr-2011","3,279.00","3,299.00","3,252.05","3,275.15","845,865"
"07-Apr-2011","3,261.90","3,261.90","3,237.70","3,245.90","475,036"
"08-Apr-2011","3,242.00","3,264.65","3,207.45","3,227.30","604,116"
"11-Apr-2011","3,195.30","3,261.80","3,181.00","3,241.60","1,000,008"
"13-Apr-2011","3,211.00","3,317.10","3,196.00","3,306.20","1,383,613"
"15-Apr-2011","3,296.15","3,298.60","2,977.50","2,989.50","10,127,467"
"18-Apr-2011","2,919.00","2,967.00","2,880.00","2,906.10","5,135,839"
"19-Apr-2011","2,906.00","2,927.00","2,881.00","2,887.35","2,401,329"
"20-Apr-2011","2,919.00","2,927.90","2,891.00","2,907.30","2,243,732"
"21-Apr-2011","2,918.70","2,940.50","2,901.10","2,910.00","2,994,212"
"25-Apr-2011","2,915.00","2,963.95","2,907.40","2,941.30","1,940,905"
"26-Apr-2011","2,935.00","2,954.95","2,920.00","2,942.35","2,278,860"
"27-Apr-2011","2,945.00","2,964.65","2,942.50","2,953.15","1,247,666"
"28-Apr-2011","2,949.00","2,958.00","2,921.00","2,929.15","2,927,413"
"29-Apr-2011","2,910.00","2,929.00","2,887.95","2,906.25","2,031,792"
"02-May-2011","2,919.05","2,944.00","2,910.00","2,922.55","1,683,523"
"03-May-2011","2,920.00","2,957.15","2,899.95","2,911.05","1,654,255"
"04-May-2011","2,901.00","2,905.00","2,842.75","2,869.75","2,115,550"
"05-May-2011","2,867.30","2,878.90","2,837.00","2,848.50","1,582,654"
"06-May-2011","2,857.90","2,910.00","2,848.00","2,893.00","1,491,333"
"09-May-2011","2,910.00","2,917.00","2,867.50","2,908.55","617,275"
"10-May-2011","2,907.70","2,924.90","2,872.00","2,880.05","609,171"
"11-May-2011","2,882.00","2,924.00","2,879.95","2,906.05","801,259"
"12-May-2011","2,897.90","2,909.00","2,872.00","2,881.25","624,560"
"13-May-2011","2,883.20","2,912.00","2,871.25","2,878.35","1,035,292"
"16-May-2011","2,876.00","2,876.00","2,842.35","2,850.40","808,671"
"17-May-2011","2,848.40","2,877.30","2,823.95","2,844.15","946,309"
"18-May-2011","2,850.00","2,882.35","2,803.00","2,842.50","1,272,062"
"19-May-2011","2,859.70","2,859.70","2,835.60","2,846.45","931,995"
"20-May-2011","2,845.00","2,863.70","2,832.15","2,849.85","1,002,959"
"23-May-2011","2,847.85","2,852.80","2,827.85","2,837.05","847,360"
"24-May-2011","2,833.00","2,863.85","2,833.00","2,844.50","953,183"
"25-May-2011","2,827.70","2,827.70","2,756.60","2,788.65","1,384,427"
"26-May-2011","2,794.00","2,797.75","2,758.00","2,776.55","1,059,522"
"27-May-2011","2,760.00","2,807.00","2,760.00","2,787.50","783,118"
"30-May-2011","2,806.10","2,806.10","2,761.00","2,780.60","858,419"
"31-May-2011","2,793.00","2,818.00","2,776.55","2,785.65","2,551,326"
"01-Jun-2011","2,794.00","2,824.00","2,784.00","2,811.55","1,013,233"
"02-Jun-2011","2,780.00","2,820.00","2,777.00","2,803.05","889,661"
"03-Jun-2011","2,811.00","2,842.80","2,810.90","2,816.20","786,673"
"06-Jun-2011","2,822.00","2,845.95","2,795.15","2,837.90","471,158"
"07-Jun-2011","2,830.05","2,904.00","2,830.05","2,892.55","997,333"
"08-Jun-2011","2,889.00","2,892.20","2,867.25","2,871.70","743,246"
"09-Jun-2011","2,881.50","2,881.50","2,854.55","2,861.50","527,702"
"10-Jun-2011","2,868.50","2,880.80","2,851.20","2,862.35","898,408"
"13-Jun-2011","2,848.50","2,882.20","2,819.70","2,877.60","966,648"
"14-Jun-2011","2,877.80","2,883.50","2,864.75","2,872.30","983,763"
"15-Jun-2011","2,861.75","2,861.75","2,826.90","2,835.60","916,985"
"16-Jun-2011","2,829.00","2,829.00","2,795.05","2,800.30","953,620"
"17-Jun-2011","2,800.10","2,803.35","2,731.30","2,769.65","1,065,646"
"20-Jun-2011","2,768.30","2,779.75","2,652.50","2,709.55","1,557,269"
"21-Jun-2011","2,723.00","2,755.00","2,693.30","2,727.15","942,852"
"22-Jun-2011","2,753.00","2,781.70","2,742.10","2,755.05","703,125"
