"Date","Open","High","Low","Close","Volume"
"04-Jan-2011","1,163.90","1,166.15","1,138.10","1,144.75","1,251,434"
"05-Jan-2011","1,145.25","1,165.90","1,141.75","1,158.95","1,534,837"
"06-Jan-2011","1,168.00","1,182.00","1,153.10","1,171.70","1,423,360"
"07-Jan-2011","1,176.00","1,186.85","1,138.15","1,142.65","1,266,362"
"10-Jan-2011","1,147.50","1,149.00","1,121.00","1,130.90","1,976,213"
"11-Jan-2011","1,123.00","1,135.55","1,087.80","1,098.50","1,884,365"
"12-Jan-2011","1,109.90","1,151.60","1,108.00","1,135.95","1,580,437"
"13-Jan-2011","1,128.95","1,155.95","1,116.20","1,124.25","2,794,599"
"14-Jan-2011","1,129.90","1,150.00","1,120.00","1,120.15","1,575,846"
"17-Jan-2011","1,121.20","1,146.55","1,120.00","1,137.40","1,500,106"
"18-Jan-2011","1,174.00","1,208.90","1,164.35","1,202.55","4,240,685"
"19-Jan-2011","1,203.45","1,209.00","1,185.00","1,193.00","1,476,020"
"20-Jan-2011","1,180.00","1,218.75","1,180.00","1,212.20","2,272,604"
"21-Jan-2011","1,210.00","1,220.00","1,204.00","1,211.65","1,298,702"
"24-Jan-2011","1,200.00","1,220.00","1,198.25","1,209.20","1,008,339"
"25-Jan-2011","1,214.80","1,219.30","1,180.00","1,188.55","1,233,547"
"27-Jan-2011","1,187.55","1,209.95","1,181.60","1,199.40","2,357,059"
"28-Jan-2011","1,195.00","1,203.60","1,165.25","1,181.35","1,507,289"
"31-Jan-2011","1,169.00","1,169.00","1,128.55","1,159.50","2,970,408"
"01-Feb-2011","1,165.00","1,165.00","1,133.00","1,150.15","2,106,354"
"02-Feb-2011","1,170.00","1,198.90","1,162.35","1,182.45","1,968,809"
"03-Feb-2011","1,184.70","1,195.70","1,170.65","1,183.70","941,706"
"04-Feb-2011","1,176.00","1,183.10","1,140.25","1,148.80","1,728,800"
"07-Feb-2011","1,173.50","1,173.50","1,126.50","1,131.15","1,289,191"
"08-Feb-2011","1,132.00","1,149.90","1,118.50","1,125.10","2,644,319"
"09-Feb-2011","1,122.50","1,129.60","1,083.70","1,098.30","3,006,366"
"10-Feb-2011","1,100.00","1,114.50","1,072.00","1,090.75","2,275,911"
