DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Jan-2024,EQ,"1,504.95","1,519.75","1,492.90","1,490.00","1,513.00","1,512.70","1,508.26","1,619.75","1,185.30",7056038,"10,64,23,69,199.20",202211
03-Jan-2024,EQ,"1,519.95","1,519.95","1,488.00","1,534.40","1,492.00","1,490.00","1,499.65","1,619.75","1,185.30",7550363,"11,32,28,98,630.30",303866
02-Jan-2024,EQ,"1,546.00","1,549.15","1,523.00","1,551.35","1,533.00","1,534.40","1,533.27","1,619.75","1,185.30",5396313,"8,27,39,80,868.20",235015
01-Jan-2024,EQ,"1,539.00","1,557.00","1,535.25","1,542.90","1,548.00","1,551.35","1,548.27","1,619.75","1,185.30",2808451,"4,34,82,39,185.30",144697
29-Dec-2023,EQ,"1,541.05","1,559.45","1,540.00","1,562.65","1,542.65","1,542.90","1,544.62","1,619.75","1,185.30",4388990,"6,77,93,38,989.40",218692
28-Dec-2023,EQ,"1,568.95","1,568.95","1,555.00","1,567.10","1,566.00","1,562.65","1,561.64","1,619.75","1,185.30",5702253,"8,90,48,44,135.20",236913
27-Dec-2023,EQ,"1,544.00","1,570.00","1,544.00","1,543.95","1,568.60","1,567.10","1,560.67","1,619.75","1,185.30",4225849,"6,59,51,35,370.20",182574
26-Dec-2023,EQ,"1,535.00","1,548.00","1,523.00","1,562.90","1,546.00","1,543.95","1,539.75","1,619.75","1,185.30",6878067,"10,59,05,06,115.85",306708
22-Dec-2023,EQ,"1,534.95","1,566.00","1,523.00","1,536.00","1,560.60","1,562.90","1,544.96","1,619.75","1,185.30",6741060,"10,41,46,64,838.55",248721
21-Dec-2023,EQ,"1,521.25","1,546.65","1,521.25","1,536.40","1,540.05","1,536.00","1,536.05","1,619.75","1,185.30",5319038,"8,17,03,01,358.70",234678
20-Dec-2023,EQ,"1,565.05","1,583.50","1,530.00","1,558.30","1,531.00","1,536.40","1,561.35","1,619.75","1,185.30",6592367,"10,29,30,14,666.50",313361
19-Dec-2023,EQ,"1,570.10","1,573.95","1,543.25","1,564.35","1,555.00","1,558.30","1,557.15","1,619.75","1,185.30",4221721,"6,57,38,62,521.35",164124
18-Dec-2023,EQ,"1,567.95","1,593.00","1,560.30","1,578.40","1,563.00","1,564.35","1,572.19","1,619.75","1,185.30",6467243,"10,16,77,42,673.65",261709
15-Dec-2023,EQ,"1,523.05","1,588.55","1,521.00","1,501.45","1,576.55","1,578.40","1,561.19","1,619.75","1,185.30",18395389,"28,71,86,90,705.75",453100
14-Dec-2023,EQ,"1,463.40","1,511.00","1,461.35","1,449.00","1,506.00","1,501.45","1,492.04","1,619.75","1,185.30",12489858,"18,63,53,69,658.15",315316
13-Dec-2023,EQ,"1,476.00","1,476.05","1,433.15","1,476.05","1,449.95","1,449.00","1,446.80","1,619.75","1,185.30",8549258,"12,36,90,77,225.90",337694
12-Dec-2023,EQ,"1,477.50","1,490.00","1,467.65","1,488.50","1,476.00","1,476.05","1,477.51","1,619.75","1,185.30",6103494,"9,01,80,01,007.80",184795
11-Dec-2023,EQ,"1,490.00","1,498.00","1,482.00","1,491.15","1,489.50","1,488.50","1,490.33","1,619.75","1,185.30",3862018,"5,75,56,86,043.50",147641
08-Dec-2023,EQ,"1,470.40","1,494.70","1,466.25","1,465.90","1,491.00","1,491.15","1,481.11","1,644.85","1,185.30",6323433,"9,36,56,81,016.10",202289
07-Dec-2023,EQ,"1,472.85","1,472.85","1,461.80","1,474.30","1,468.50","1,465.90","1,466.24","1,644.85","1,185.30",4424453,"6,48,72,93,482.65",137173
06-Dec-2023,EQ,"1,456.75","1,477.00","1,451.05","1,453.95","1,475.00","1,474.30","1,466.59","1,644.85","1,185.30",5269178,"7,72,77,07,099.80",175001
05-Dec-2023,EQ,"1,465.80","1,466.90","1,442.00","1,464.35","1,454.90","1,453.95","1,449.86","1,644.85","1,185.30",5123039,"7,42,76,70,191.25",190424
04-Dec-2023,EQ,"1,460.45","1,471.90","1,449.30","1,452.30","1,464.90","1,464.35","1,462.41","1,644.85","1,185.30",5511948,"8,06,07,45,711.40",172254
01-Dec-2023,EQ,"1,459.90","1,459.90","1,446.15","1,455.15","1,451.50","1,452.30","1,450.95","1,672.60","1,185.30",3489187,"5,06,26,51,361.85",130850
30-Nov-2023,EQ,"1,453.25","1,460.65","1,449.55","1,459.60","1,455.00","1,455.15","1,455.41","1,672.60","1,185.30",10120867,"14,73,00,43,834.95",181568
29-Nov-2023,EQ,"1,451.10","1,460.70","1,449.80","1,442.70","1,459.20","1,459.60","1,456.94","1,672.60","1,185.30",3875778,"5,64,67,90,254.25",150433
28-Nov-2023,EQ,"1,444.00","1,445.00","1,427.05","1,437.40","1,442.65","1,442.70","1,435.92","1,672.60","1,185.30",3755373,"5,39,24,24,299.00",166202
24-Nov-2023,EQ,"1,445.55","1,452.65","1,433.85","1,449.25","1,437.00","1,437.40","1,440.18","1,672.60","1,185.30",2973195,"4,28,19,44,525.20",92376
23-Nov-2023,EQ,"1,467.90","1,467.90","1,447.70","1,457.80","1,450.75","1,449.25","1,455.48","1,672.60","1,185.30",3186928,"4,63,85,17,071.40",102139
22-Nov-2023,EQ,"1,436.20","1,458.95","1,436.20","1,439.00","1,457.30","1,457.80","1,448.39","1,672.60","1,185.30",3108786,"4,50,27,47,300.20",112434
21-Nov-2023,EQ,"1,442.00","1,450.00","1,436.75","1,436.60","1,439.40","1,439.00","1,441.14","1,672.60","1,185.30",3793135,"5,46,64,31,358.05",137793
20-Nov-2023,EQ,"1,442.00","1,452.00","1,433.65","1,437.55","1,437.45","1,436.60","1,439.72","1,672.60","1,185.30",3584210,"5,16,02,51,818.80",160690
17-Nov-2023,EQ,"1,441.05","1,451.00","1,435.05","1,444.90","1,437.20","1,437.55","1,440.60","1,672.60","1,185.30",4901251,"7,06,07,46,836.60",155046
16-Nov-2023,EQ,"1,416.10","1,453.40","1,410.60","1,410.50","1,445.00","1,444.90","1,438.50","1,672.60","1,185.30",6673907,"9,60,04,47,548.95",205547
15-Nov-2023,EQ,"1,399.00","1,414.00","1,393.00","1,373.55","1,412.00","1,410.50","1,401.79","1,672.60","1,185.30",8551860,"11,98,79,24,650.60",213458
13-Nov-2023,EQ,"1,379.85","1,382.45","1,370.85","1,388.20","1,373.75","1,373.55","1,375.99","1,672.60","1,185.30",3462092,"4,76,37,94,426.75",153816
12-Nov-2023,EQ,"1,380.05","1,389.10","1,380.05","1,368.85","1,389.00","1,388.20","1,386.21","1,672.60","1,185.30",572298,"79,33,25,412.10",41383
10-Nov-2023,EQ,"1,369.95","1,373.15","1,361.00","1,374.80","1,370.40","1,368.85","1,366.16","1,672.60","1,185.30",2943649,"4,02,14,87,680.45",126698
09-Nov-2023,EQ,"1,395.90","1,397.50","1,370.05","1,391.00","1,377.00","1,374.80","1,380.21","1,672.60","1,185.30",5498051,"7,58,84,83,905.60",215986
08-Nov-2023,EQ,"1,405.00","1,405.00","1,386.45","1,404.30","1,390.50","1,391.00","1,397.84","1,672.60","1,185.30",3550635,"4,96,32,20,499.25",105192
07-Nov-2023,EQ,"1,400.00","1,405.90","1,394.85","1,403.30","1,404.50","1,404.30","1,401.76","1,672.60","1,185.30",2272209,"3,18,50,82,415.90",102779
06-Nov-2023,EQ,"1,393.90","1,407.25","1,390.80","1,389.05","1,404.05","1,403.30","1,397.26","1,672.60","1,185.30",2736381,"3,82,34,36,234.45",97586
03-Nov-2023,EQ,"1,380.05","1,392.00","1,377.75","1,370.15","1,388.00","1,389.05","1,386.28","1,672.60","1,185.30",3349045,"4,64,27,17,150.25",148758
02-Nov-2023,EQ,"1,370.00","1,376.30","1,361.65","1,354.15","1,372.50","1,370.15","1,368.74","1,672.60","1,185.30",3758060,"5,14,38,12,211.55",146001
01-Nov-2023,EQ,"1,373.05","1,377.45","1,351.65","1,368.40","1,354.80","1,354.15","1,361.99","1,672.60","1,185.30",3090672,"4,20,94,55,990.15",143436
