"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","2,735.00","2,743.40","2,705.00","2,726.65","304,150"
"02-Jan-2019","2,720.00","2,747.25","2,677.00","2,692.00","599,274"
"03-Jan-2019","2,690.10","2,723.85","2,682.10","2,701.35","310,511"
"04-Jan-2019","2,714.00","2,742.00","2,702.10","2,734.20","362,393"
"07-Jan-2019","2,739.90","2,740.00","2,645.00","2,658.55","462,215"
"08-Jan-2019","2,667.00","2,700.00","2,635.50","2,694.85","486,654"
"09-Jan-2019","2,702.50","2,710.00","2,672.50","2,696.90","285,560"
"10-Jan-2019","2,700.00","2,729.00","2,680.00","2,725.30","277,585"
"11-Jan-2019","2,728.00","2,738.70","2,700.85","2,720.95","259,834"
"14-Jan-2019","2,718.00","2,747.20","2,676.45","2,699.15","170,937"
"15-Jan-2019","2,705.00","2,734.80","2,705.00","2,725.85","169,721"
"16-Jan-2019","2,736.00","2,736.00","2,706.00","2,717.45","218,357"
"17-Jan-2019","2,722.00","2,739.80","2,700.80","2,729.65","230,784"
"18-Jan-2019","2,741.00","2,746.50","2,696.65","2,720.75","269,686"
"21-Jan-2019","2,724.75","2,724.75","2,670.00","2,684.60","303,893"
"22-Jan-2019","2,685.00","2,695.00","2,650.10","2,688.35","273,441"
"23-Jan-2019","2,699.00","2,699.00","2,665.10","2,674.10","205,104"
"24-Jan-2019","2,684.00","2,684.00","2,635.00","2,651.65","183,566"
"25-Jan-2019","2,622.30","2,672.00","2,614.05","2,626.35","304,062"
"28-Jan-2019","2,629.95","2,634.00","2,545.00","2,565.55","332,409"
"29-Jan-2019","2,563.00","2,597.15","2,522.45","2,567.65","424,856"
"30-Jan-2019","2,571.00","2,653.35","2,485.00","2,499.70","2,450,943"
"31-Jan-2019","2,501.15","2,570.00","2,461.10","2,554.55","1,102,133"
"01-Feb-2019","2,560.00","2,670.00","2,543.00","2,602.75","1,028,186"
"04-Feb-2019","2,610.00","2,672.40","2,565.45","2,642.50","817,279"
"05-Feb-2019","2,647.00","2,720.00","2,645.00","2,710.65","469,089"
"06-Feb-2019","2,715.00","2,785.00","2,714.15","2,770.15","495,030"
"07-Feb-2019","2,785.00","2,872.00","2,772.15","2,853.60","983,573"
"08-Feb-2019","2,852.00","2,879.10","2,831.20","2,851.40","1,004,870"
"11-Feb-2019","2,850.00","2,870.00","2,819.05","2,853.60","712,787"
"12-Feb-2019","2,845.60","2,854.00","2,819.50","2,832.35","280,913"
"13-Feb-2019","2,835.00","2,845.00","2,815.00","2,823.95","377,437"
"14-Feb-2019","2,820.00","2,875.00","2,811.25","2,823.10","372,416"
"15-Feb-2019","2,825.15","2,850.00","2,805.05","2,825.95","867,192"
"18-Feb-2019","2,830.00","2,835.00","2,767.80","2,793.50","296,237"
"19-Feb-2019","2,801.00","2,825.00","2,777.50","2,787.85","185,862"
"20-Feb-2019","2,788.00","2,798.00","2,737.25","2,774.70","428,139"
"21-Feb-2019","2,770.00","2,829.90","2,751.70","2,813.95","281,964"
"22-Feb-2019","2,825.00","2,847.00","2,801.85","2,816.85","431,535"
"25-Feb-2019","2,817.00","2,854.70","2,816.90","2,847.55","322,524"
"26-Feb-2019","2,834.00","2,870.00","2,812.00","2,859.30","369,292"
"27-Feb-2019","2,870.00","2,941.00","2,870.00","2,914.70","861,033"
"28-Feb-2019","2,930.00","2,933.80","2,864.00","2,900.60","1,246,854"
"01-Mar-2019","2,914.00","2,943.00","2,856.20","2,863.50","1,008,494"
"05-Mar-2019","2,835.05","2,917.40","2,814.80","2,903.75","632,301"
"06-Mar-2019","2,895.65","2,942.00","2,876.25","2,927.60","748,391"
"07-Mar-2019","2,927.00","2,927.00","2,900.00","2,919.90","392,086"
"08-Mar-2019","2,910.00","2,964.60","2,900.05","2,955.70","754,427"
"11-Mar-2019","2,970.00","3,012.00","2,936.90","3,000.55","1,147,194"
"12-Mar-2019","3,012.00","3,020.80","2,981.35","2,996.10","503,545"
"13-Mar-2019","3,002.00","3,047.20","2,990.00","3,010.00","565,499"
"14-Mar-2019","3,012.00","3,025.00","2,970.00","3,016.85","985,558"
"15-Mar-2019","3,002.10","3,032.20","2,980.00","3,023.80","538,508"
"18-Mar-2019","3,026.90","3,047.80","2,992.10","3,005.15","341,148"
"19-Mar-2019","3,008.00","3,008.00","2,945.00","2,974.70","545,621"
"20-Mar-2019","2,969.80","2,969.80","2,920.05","2,949.65","834,351"
"22-Mar-2019","2,960.00","2,998.85","2,930.05","2,949.75","622,630"
"25-Mar-2019","2,934.80","2,965.60","2,915.25","2,957.95","319,510"
"26-Mar-2019","2,961.05","2,968.00","2,939.00","2,952.80","322,020"
"27-Mar-2019","2,965.00","2,995.00","2,950.00","2,980.10","402,423"
"28-Mar-2019","2,989.00","3,020.45","2,915.00","2,948.80","1,800,550"
"29-Mar-2019","2,953.00","2,953.00","2,891.55","2,911.10","739,326"
"01-Apr-2019","2,947.95","2,950.00","2,901.50","2,915.65","679,984"
"02-Apr-2019","2,918.00","2,938.35","2,842.00","2,853.10","938,624"
"03-Apr-2019","2,860.00","2,877.10","2,831.00","2,847.30","484,790"
"04-Apr-2019","2,862.00","2,884.05","2,850.00","2,859.10","662,281"
"05-Apr-2019","2,869.65","2,880.00","2,852.25","2,861.65","272,382"
