"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","23,162.25","23,293.00","22,905.00","23,195.10","44,434"
"02-Jan-2019","22,340.00","22,340.00","20,950.25","21,162.30","481,497"
"03-Jan-2019","21,040.00","21,040.00","20,151.00","20,211.45","468,301"
"04-Jan-2019","20,325.00","20,648.05","20,001.00","20,103.60","341,833"
"07-Jan-2019","20,450.00","20,477.00","19,755.00","19,830.40","215,668"
"08-Jan-2019","19,855.00","20,630.00","19,785.00","20,044.65","366,429"
"09-Jan-2019","19,890.00","20,397.75","19,850.00","20,291.05","163,752"
"10-Jan-2019","20,360.00","20,600.00","20,345.05","20,556.10","102,143"
"11-Jan-2019","20,600.00","20,767.30","20,387.00","20,507.60","112,220"
"14-Jan-2019","20,628.00","20,629.20","20,222.00","20,480.40","70,121"
"15-Jan-2019","20,540.00","20,670.00","20,480.00","20,638.15","63,319"
"16-Jan-2019","20,626.00","20,783.95","20,626.00","20,735.70","67,468"
"17-Jan-2019","20,800.00","20,847.75","20,160.45","20,369.95","103,777"
"18-Jan-2019","20,400.00","20,425.00","19,950.00","20,122.75","108,140"
"21-Jan-2019","20,151.00","20,297.95","19,949.75","20,028.00","95,038"
"22-Jan-2019","20,001.00","20,350.00","19,900.00","20,023.60","137,830"
"23-Jan-2019","20,077.00","20,223.00","19,991.00","20,089.15","53,595"
"24-Jan-2019","20,150.00","20,330.00","20,075.00","20,115.60","45,723"
"25-Jan-2019","20,200.00","20,337.75","19,835.10","20,049.95","67,189"
"28-Jan-2019","20,061.00","20,241.00","19,871.60","19,987.40","101,907"
"29-Jan-2019","19,999.00","20,000.00","18,800.00","18,877.25","193,198"
"30-Jan-2019","18,900.00","19,094.90","18,800.00","18,919.15","102,632"
"31-Jan-2019","19,120.00","19,178.95","18,836.10","19,005.75","67,511"
"01-Feb-2019","19,090.00","20,144.70","19,076.05","19,663.40","185,717"
"04-Feb-2019","19,720.00","20,431.95","19,435.00","20,128.30","162,129"
"05-Feb-2019","20,161.00","20,584.90","20,160.00","20,479.65","101,870"
"06-Feb-2019","20,529.65","21,200.00","20,529.65","21,104.25","129,716"
"07-Feb-2019","21,234.90","21,965.00","21,150.70","21,904.20","135,294"
"08-Feb-2019","21,855.00","21,904.20","20,750.00","20,847.40","123,403"
"11-Feb-2019","20,434.00","21,459.55","20,331.00","20,753.15","261,982"
"12-Feb-2019","20,470.00","21,300.00","20,070.00","21,137.50","259,036"
"13-Feb-2019","21,250.00","21,350.00","20,001.00","20,158.70","150,490"
"14-Feb-2019","20,160.00","20,588.10","19,900.00","20,016.40","140,341"
"15-Feb-2019","20,147.30","20,377.20","19,932.05","20,234.10","123,595"
"18-Feb-2019","20,433.00","20,450.00","20,047.70","20,155.20","85,097"
"19-Feb-2019","20,200.00","20,464.55","20,121.00","20,409.80","65,474"
"20-Feb-2019","20,415.00","20,650.00","20,380.00","20,528.55","69,858"
"21-Feb-2019","20,450.00","20,634.70","20,250.00","20,447.45","67,021"
"22-Feb-2019","20,577.00","20,700.00","20,300.00","20,595.45","74,001"
"25-Feb-2019","20,699.90","20,780.95","20,500.00","20,704.80","46,260"
"26-Feb-2019","20,670.00","20,874.95","20,400.10","20,620.00","87,877"
"27-Feb-2019","20,780.85","20,780.85","20,302.05","20,407.75","62,401"
"28-Feb-2019","20,649.00","20,649.00","19,800.00","19,869.10","187,027"
"01-Mar-2019","19,904.00","20,031.95","19,720.00","19,948.65","98,433"
"05-Mar-2019","19,500.00","21,877.00","19,320.00","21,505.40","452,363"
"06-Mar-2019","21,510.00","21,800.00","21,405.00","21,503.95","126,586"
"07-Mar-2019","21,549.00","21,700.00","21,411.25","21,521.50","83,115"
"08-Mar-2019","21,520.00","22,093.45","21,400.05","21,871.05","195,792"
"11-Mar-2019","21,948.55","23,145.20","21,895.00","22,972.45","248,559"
"12-Mar-2019","23,001.00","23,355.00","22,272.90","22,461.95","199,248"
"13-Mar-2019","22,488.80","22,898.00","22,462.00","22,777.25","146,168"
"14-Mar-2019","22,800.00","22,986.95","22,501.00","22,619.90","96,875"
"15-Mar-2019","22,838.00","22,838.00","22,426.00","22,612.35","98,190"
"18-Mar-2019","22,600.00","22,799.90","22,102.00","22,251.40","99,314"
"19-Mar-2019","22,240.00","22,240.00","21,579.55","21,759.10","201,175"
"20-Mar-2019","21,660.00","21,850.00","21,190.00","21,338.00","137,103"
"22-Mar-2019","21,338.00","21,674.60","21,275.00","21,446.85","216,882"
"25-Mar-2019","21,390.00","21,390.00","21,050.95","21,151.35","99,423"
"26-Mar-2019","21,275.00","21,444.20","21,005.00","21,382.00","109,883"
"27-Mar-2019","21,401.00","21,485.00","20,855.65","20,974.15","117,588"
"28-Mar-2019","21,024.00","21,300.00","20,781.05","20,899.00","125,561"
"29-Mar-2019","20,795.00","20,800.00","20,498.00","20,547.70","114,105"
