"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","3,089.00","3,135.00","3,073.30","3,127.60","344,239"
"02-Jan-2019","3,115.00","3,117.30","3,023.80","3,046.55","597,712"
"03-Jan-2019","3,032.00","3,078.00","3,006.30","3,014.65","368,413"
"04-Jan-2019","3,030.00","3,045.00","2,972.05","2,987.85","405,667"
"07-Jan-2019","3,020.00","3,023.00","2,952.00","2,957.95","361,881"
"08-Jan-2019","2,974.00","2,994.50","2,930.25","2,970.30","354,130"
"09-Jan-2019","2,985.10","2,985.10","2,907.00","2,937.45","388,001"
"10-Jan-2019","2,932.00","2,949.95","2,912.55","2,919.50","452,293"
"11-Jan-2019","2,923.00","2,940.95","2,885.00","2,899.25","258,996"
"14-Jan-2019","2,901.00","2,910.30","2,856.05","2,867.00","267,722"
"15-Jan-2019","2,879.70","2,918.35","2,867.35","2,910.95","371,767"
"16-Jan-2019","2,909.00","2,914.95","2,870.30","2,879.85","261,721"
"17-Jan-2019","2,878.50","2,936.90","2,864.00","2,903.60","515,341"
"18-Jan-2019","2,916.40","2,929.95","2,863.00","2,898.75","389,524"
"21-Jan-2019","2,901.00","2,909.85","2,780.00","2,794.25","628,463"
"22-Jan-2019","2,795.00","2,835.00","2,742.50","2,824.90","842,837"
"23-Jan-2019","2,832.00","2,851.45","2,785.10","2,795.95","326,454"
"24-Jan-2019","2,795.00","2,828.00","2,780.05","2,790.20","240,737"
"25-Jan-2019","2,755.00","2,788.75","2,652.70","2,670.15","775,065"
"28-Jan-2019","2,680.00","2,685.00","2,586.75","2,598.60","576,248"
"29-Jan-2019","2,601.05","2,656.85","2,574.30","2,633.30","666,747"
"30-Jan-2019","2,627.00","2,650.00","2,591.60","2,611.00","696,557"
"31-Jan-2019","2,612.10","2,634.70","2,561.00","2,613.95","1,901,346"
"01-Feb-2019","2,629.45","2,839.35","2,625.00","2,807.25","3,296,513"
"04-Feb-2019","2,800.00","2,844.95","2,718.20","2,780.15","991,486"
"05-Feb-2019","2,804.00","2,873.35","2,800.00","2,854.55","767,865"
"06-Feb-2019","2,870.00","2,892.00","2,850.00","2,880.05","445,829"
"07-Feb-2019","2,885.00","2,949.15","2,885.00","2,939.05","546,196"
"08-Feb-2019","2,915.00","2,960.00","2,912.65","2,938.85","544,587"
"11-Feb-2019","2,915.00","2,915.95","2,804.55","2,889.05","478,111"
"12-Feb-2019","2,896.85","2,896.85","2,785.00","2,799.55","627,923"
"13-Feb-2019","2,800.00","2,800.00","2,725.00","2,751.45","1,667,830"
"14-Feb-2019","2,755.20","2,891.65","2,725.10","2,776.20","661,406"
"15-Feb-2019","2,785.40","2,785.40","2,678.00","2,696.45","700,634"
"18-Feb-2019","2,690.00","2,704.90","2,660.45","2,683.55","433,854"
"19-Feb-2019","2,687.00","2,713.20","2,628.90","2,636.85","684,524"
"20-Feb-2019","2,646.05","2,661.75","2,606.60","2,623.75","605,830"
"21-Feb-2019","2,632.00","2,657.00","2,581.50","2,641.25","736,959"
"22-Feb-2019","2,652.90","2,697.90","2,620.00","2,679.85","720,407"
"25-Feb-2019","2,690.00","2,723.60","2,690.00","2,712.50","443,819"
"26-Feb-2019","2,706.55","2,713.00","2,614.00","2,689.05","751,767"
"27-Feb-2019","2,695.00","2,743.00","2,661.00","2,678.55","581,837"
"28-Feb-2019","2,700.10","2,707.60","2,620.00","2,628.10","870,312"
"01-Mar-2019","2,649.90","2,690.60","2,640.05","2,675.60","918,224"
"05-Mar-2019","2,669.95","2,822.00","2,652.05","2,795.65","1,107,587"
"06-Mar-2019","2,795.00","2,815.00","2,742.00","2,765.85","631,138"
"07-Mar-2019","2,770.00","2,779.00","2,721.00","2,730.10","394,045"
"08-Mar-2019","2,731.00","2,758.45","2,699.95","2,740.35","674,840"
"11-Mar-2019","2,745.00","2,828.40","2,745.00","2,814.75","857,601"
"12-Mar-2019","2,840.00","2,849.40","2,790.10","2,808.45","840,207"
"13-Mar-2019","2,814.00","2,828.00","2,790.60","2,803.65","380,361"
"14-Mar-2019","2,813.00","2,818.00","2,744.10","2,751.70","497,697"
"15-Mar-2019","2,771.00","2,771.00","2,717.10","2,735.85","916,870"
"18-Mar-2019","2,745.00","2,763.15","2,662.00","2,669.50","830,642"
"19-Mar-2019","2,659.00","2,659.00","2,601.00","2,614.05","978,189"
"20-Mar-2019","2,614.05","2,645.00","2,593.05","2,609.15","877,100"
"22-Mar-2019","2,624.45","2,637.95","2,594.05","2,603.30","566,228"
"25-Mar-2019","2,594.00","2,608.80","2,537.05","2,575.70","854,446"
"26-Mar-2019","2,586.00","2,604.70","2,546.80","2,574.45","555,742"
"27-Mar-2019","2,593.80","2,594.00","2,535.00","2,543.20","760,530"
"28-Mar-2019","2,550.00","2,558.00","2,515.00","2,525.75","1,147,361"
"29-Mar-2019","2,540.00","2,577.75","2,526.20","2,553.15","1,164,408"
"01-Apr-2019","2,573.00","2,593.40","2,545.00","2,558.50","832,495"
"02-Apr-2019","2,550.40","2,599.00","2,545.00","2,569.95","1,063,757"
"03-Apr-2019","2,586.95","2,594.00","2,567.00","2,580.45","1,427,316"
"04-Apr-2019","2,599.95","2,648.70","2,595.00","2,637.20","2,007,440"
"05-Apr-2019","2,652.00","2,664.00","2,605.10","2,618.40","722,753"
"08-Apr-2019","2,628.00","2,643.95","2,581.00","2,586.85","723,035"
"09-Apr-2019","2,590.00","2,631.95","2,568.80","2,623.65","769,508"
"10-Apr-2019","2,619.00","2,619.00","2,586.80","2,594.40","672,025"
"11-Apr-2019","2,600.00","2,612.00","2,589.65","2,601.10","608,414"
"12-Apr-2019","2,597.00","2,644.80","2,591.15","2,639.90","925,046"
"15-Apr-2019","2,653.00","2,710.90","2,646.05","2,700.70","958,245"
"16-Apr-2019","2,723.75","2,749.90","2,715.00","2,739.65","741,047"
"18-Apr-2019","2,742.90","2,759.90","2,732.55","2,741.55","563,893"
"22-Apr-2019","2,741.55","2,749.95","2,685.00","2,689.50","453,998"
"23-Apr-2019","2,689.00","2,727.35","2,615.00","2,638.05","395,502"
"24-Apr-2019","2,650.00","2,661.60","2,582.15","2,611.90","940,782"
"25-Apr-2019","2,618.00","2,638.00","2,597.65","2,612.25","690,718"
"26-Apr-2019","2,610.00","2,616.75","2,573.70","2,604.00","727,578"
"30-Apr-2019","2,573.00","2,574.00","2,477.00","2,511.85","1,634,120"
"02-May-2019","2,510.00","2,569.40","2,492.50","2,551.70","937,946"
"03-May-2019","2,550.00","2,587.00","2,537.40","2,565.40","674,666"
"06-May-2019","2,540.00","2,563.00","2,525.10","2,531.30","463,670"
"07-May-2019","2,567.90","2,568.00","2,521.50","2,527.35","347,427"
"08-May-2019","2,525.80","2,540.85","2,481.60","2,499.70","406,025"
"09-May-2019","2,499.00","2,555.00","2,490.60","2,537.75","585,480"
"10-May-2019","2,535.00","2,560.00","2,500.05","2,507.30","332,771"
"13-May-2019","2,507.30","2,537.50","2,500.00","2,510.75","313,902"
"14-May-2019","2,508.00","2,534.80","2,475.00","2,509.75","396,304"
"15-May-2019","2,525.00","2,538.60","2,483.00","2,493.40","438,740"
"16-May-2019","2,495.00","2,561.00","2,488.00","2,520.30","283,127"
"17-May-2019","2,523.00","2,637.00","2,521.80","2,622.55","962,165"
"20-May-2019","2,690.00","2,742.00","2,633.55","2,713.45","722,330"
"21-May-2019","2,725.00","2,726.95","2,648.00","2,657.20","445,944"
"22-May-2019","2,657.40","2,714.70","2,638.00","2,699.65","463,923"
"23-May-2019","2,740.00","2,800.15","2,707.90","2,743.50","1,177,415"
"24-May-2019","2,753.00","2,845.00","2,750.00","2,828.45","756,746"
"27-May-2019","2,840.00","2,850.00","2,800.35","2,821.20","422,121"
"28-May-2019","2,828.00","2,828.00","2,735.00","2,743.10","842,709"
"29-May-2019","2,757.95","2,757.95","2,702.80","2,725.50","528,550"
"30-May-2019","2,730.00","2,743.95","2,701.20","2,715.20","406,544"
"31-May-2019","2,737.70","2,763.15","2,665.00","2,680.25","683,661"
"03-Jun-2019","2,712.00","2,859.15","2,712.00","2,840.25","1,911,409"
"04-Jun-2019","2,833.00","2,835.00","2,745.00","2,752.70","1,051,402"
"06-Jun-2019","2,765.00","2,796.00","2,716.10","2,788.75","1,231,094"
"07-Jun-2019","2,790.00","2,812.00","2,731.90","2,762.80","841,021"
"10-Jun-2019","2,794.00","2,794.00","2,717.20","2,745.00","493,407"
"11-Jun-2019","2,760.00","2,793.00","2,745.30","2,776.15","465,376"
"12-Jun-2019","2,767.00","2,769.90","2,720.05","2,728.05","521,559"
"13-Jun-2019","2,730.00","2,772.00","2,685.35","2,705.10","480,205"
"14-Jun-2019","2,700.00","2,719.50","2,660.10","2,670.30","320,455"
"17-Jun-2019","2,665.00","2,684.20","2,636.00","2,648.25","484,673"
"18-Jun-2019","2,650.05","2,683.00","2,635.00","2,667.80","469,539"
"19-Jun-2019","2,680.00","2,680.00","2,572.55","2,606.15","552,137"
"20-Jun-2019","2,610.00","2,669.70","2,600.00","2,665.70","692,167"
"21-Jun-2019","2,659.95","2,699.00","2,592.90","2,606.00","903,440"
"24-Jun-2019","2,606.00","2,606.00","2,540.70","2,586.25","725,058"
"25-Jun-2019","2,571.00","2,603.50","2,550.00","2,584.65","412,936"
"26-Jun-2019","2,577.00","2,603.95","2,557.80","2,573.60","470,716"
"27-Jun-2019","2,585.00","2,617.80","2,571.05","2,598.40","1,174,382"
"28-Jun-2019","2,598.55","2,600.60","2,572.05","2,581.50","265,726"
"01-Jul-2019","2,596.00","2,639.50","2,590.00","2,616.50","728,762"
"02-Jul-2019","2,596.50","2,618.80","2,571.05","2,597.05","532,893"
"03-Jul-2019","2,601.00","2,613.80","2,582.40","2,587.50","419,366"
"04-Jul-2019","2,590.25","2,618.00","2,585.00","2,606.15","446,710"
"05-Jul-2019","2,618.00","2,620.00","2,500.00","2,512.30","501,715"
"08-Jul-2019","2,499.00","2,499.00","2,360.00","2,380.15","1,256,185"
"09-Jul-2019","2,380.00","2,458.50","2,373.60","2,444.10","763,513"
"10-Jul-2019","2,450.00","2,459.00","2,392.00","2,400.00","458,641"
"11-Jul-2019","2,428.00","2,520.00","2,385.25","2,507.80","1,163,266"
"12-Jul-2019","2,502.00","2,584.40","2,472.40","2,569.80","1,397,898"
"15-Jul-2019","2,552.00","2,579.90","2,514.20","2,545.55","769,562"
"16-Jul-2019","2,515.00","2,569.45","2,487.15","2,544.35","632,082"
"17-Jul-2019","2,521.00","2,556.60","2,505.05","2,522.95","497,857"
"18-Jul-2019","2,519.90","2,555.00","2,466.65","2,479.45","977,841"
"19-Jul-2019","2,480.05","2,507.35","2,378.95","2,387.40","1,059,276"
"22-Jul-2019","2,387.40","2,454.00","2,360.65","2,403.70","1,136,002"
"23-Jul-2019","2,415.55","2,480.00","2,401.70","2,469.30","812,373"
"24-Jul-2019","2,452.55","2,492.65","2,396.30","2,403.40","619,043"
"25-Jul-2019","2,416.00","2,448.00","2,380.10","2,386.50","812,832"
"26-Jul-2019","2,397.80","2,487.55","2,366.50","2,467.30","1,085,566"
"29-Jul-2019","2,430.10","2,451.00","2,331.05","2,404.55","936,006"
"30-Jul-2019","2,408.00","2,424.65","2,245.30","2,258.80","1,582,385"
"31-Jul-2019","2,270.00","2,369.90","2,225.60","2,356.10","2,930,738"
"01-Aug-2019","2,335.00","2,381.00","2,301.40","2,368.55","968,967"
"02-Aug-2019","2,337.00","2,430.00","2,288.55","2,401.95","2,090,929"
"05-Aug-2019","2,389.95","2,435.00","2,346.00","2,399.25","1,093,274"
"06-Aug-2019","2,399.25","2,484.00","2,380.05","2,468.55","1,169,931"
"07-Aug-2019","2,475.00","2,528.80","2,468.60","2,505.25","1,079,213"
"08-Aug-2019","2,500.50","2,629.00","2,495.00","2,587.90","1,692,331"
"09-Aug-2019","2,613.85","2,641.90","2,600.00","2,622.25","1,091,395"
"13-Aug-2019","2,615.60","2,651.05","2,546.85","2,566.80","1,179,168"
