"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","7,449.75","7,494.00","7,395.00","7,476.80","625,360"
"02-Jan-2019","7,445.00","7,460.00","7,244.00","7,267.85","891,844"
"03-Jan-2019","7,280.00","7,350.00","7,185.60","7,203.95","715,168"
"04-Jan-2019","7,239.00","7,309.00","7,161.20","7,234.50","774,445"
"07-Jan-2019","7,310.00","7,407.00","7,300.00","7,362.05","687,845"
"08-Jan-2019","7,380.00","7,454.80","7,322.10","7,439.50","516,841"
"09-Jan-2019","7,460.50","7,529.00","7,414.00","7,492.90","740,580"
"10-Jan-2019","7,500.00","7,511.00","7,360.15","7,391.60","452,699"
"11-Jan-2019","7,382.70","7,400.00","7,282.00","7,320.50","488,399"
"14-Jan-2019","7,330.00","7,433.35","7,257.00","7,408.70","424,152"
"15-Jan-2019","7,430.00","7,470.00","7,317.00","7,355.15","491,196"
"16-Jan-2019","7,349.50","7,384.00","7,291.10","7,310.25","424,769"
"17-Jan-2019","7,339.00","7,398.95","7,307.50","7,336.25","462,725"
"18-Jan-2019","7,345.00","7,379.95","7,318.00","7,357.95","334,555"
"21-Jan-2019","7,358.00","7,380.00","7,161.00","7,208.40","654,537"
"22-Jan-2019","7,180.00","7,180.00","7,054.50","7,068.85","896,521"
"23-Jan-2019","7,050.00","7,132.25","7,025.00","7,045.40","702,474"
"24-Jan-2019","7,059.90","7,098.00","7,014.40","7,040.60","520,703"
"25-Jan-2019","7,054.00","7,133.00","6,410.00","6,513.40","3,062,762"
"28-Jan-2019","6,512.50","6,610.00","6,317.70","6,511.05","2,398,091"
"29-Jan-2019","6,480.00","6,619.15","6,447.40","6,526.95","1,101,399"
"30-Jan-2019","6,559.00","6,588.00","6,508.00","6,548.25","583,773"
"31-Jan-2019","6,575.00","6,660.05","6,460.05","6,641.15","926,270"
"01-Feb-2019","6,679.00","7,204.00","6,652.55","6,962.30","2,545,419"
"04-Feb-2019","6,975.00","7,039.00","6,851.65","6,988.20","658,776"
"05-Feb-2019","6,995.00","7,125.00","6,985.40","7,093.60","681,498"
"06-Feb-2019","7,120.00","7,220.00","7,067.00","7,183.40","567,827"
"07-Feb-2019","7,201.00","7,320.00","7,185.10","7,302.55","690,174"
"08-Feb-2019","7,270.00","7,300.00","7,100.00","7,134.25","576,159"
"11-Feb-2019","7,150.00","7,209.95","7,051.10","7,177.90","502,244"
"12-Feb-2019","7,193.00","7,230.00","7,127.95","7,162.50","494,592"
"13-Feb-2019","7,157.00","7,165.00","6,994.35","7,028.25","563,690"
"14-Feb-2019","7,036.70","7,111.20","6,990.00","7,017.50","622,311"
"15-Feb-2019","7,027.40","7,058.70","6,900.00","6,930.05","768,798"
"18-Feb-2019","6,964.70","6,997.80","6,817.00","6,842.70","509,963"
"19-Feb-2019","6,855.00","6,915.90","6,771.00","6,804.55","493,861"
"20-Feb-2019","6,842.00","6,888.00","6,804.40","6,849.90","534,284"
"21-Feb-2019","6,868.95","6,879.65","6,715.00","6,801.55","722,938"
"22-Feb-2019","6,827.00","6,939.00","6,819.05","6,912.40","764,535"
"25-Feb-2019","6,948.00","6,984.90","6,870.05","6,924.90","495,728"
"26-Feb-2019","6,885.00","6,975.00","6,812.60","6,904.30","673,415"
"27-Feb-2019","6,943.00","7,048.00","6,853.20","6,968.50","961,829"
"28-Feb-2019","7,010.00","7,040.00","6,801.00","6,829.70","1,031,563"
"01-Mar-2019","6,876.80","6,950.00","6,827.25","6,935.15","768,822"
"05-Mar-2019","6,950.00","7,158.15","6,894.45","7,117.75","838,538"
"06-Mar-2019","7,137.85","7,144.90","7,010.00","7,056.90","557,197"
"07-Mar-2019","7,078.00","7,092.50","7,002.00","7,029.05","396,771"
"08-Mar-2019","6,975.00","7,025.00","6,951.00","6,967.70","486,432"
"11-Mar-2019","6,980.00","7,121.60","6,975.00","7,081.90","720,905"
"12-Mar-2019","7,097.00","7,232.00","7,096.00","7,157.20","828,847"
"13-Mar-2019","7,177.00","7,202.95","7,050.00","7,091.05","534,982"
"14-Mar-2019","7,103.00","7,148.00","7,047.25","7,086.30","584,482"
"15-Mar-2019","7,109.00","7,157.00","7,060.00","7,084.00","861,945"
"18-Mar-2019","7,077.45","7,077.45","6,776.60","6,909.10","1,525,653"
"19-Mar-2019","6,900.00","6,901.95","6,809.25","6,825.20","816,763"
"20-Mar-2019","6,860.00","6,860.00","6,650.00","6,673.55","1,017,560"
"22-Mar-2019","6,567.00","6,716.30","6,532.35","6,552.70","1,715,983"
"25-Mar-2019","6,515.00","6,621.00","6,491.20","6,522.60","1,093,184"
"26-Mar-2019","6,558.00","6,600.00","6,480.00","6,585.70","909,087"
"27-Mar-2019","6,628.00","6,640.00","6,500.00","6,518.00","887,601"
"28-Mar-2019","6,535.00","6,625.00","6,501.20","6,596.25","949,713"
"29-Mar-2019","6,610.00","6,775.00","6,565.10","6,672.55","1,458,092"
"01-Apr-2019","6,730.80","6,870.00","6,700.00","6,840.70","1,142,386"
"02-Apr-2019","6,859.45","6,900.70","6,785.50","6,889.70","866,805"
"03-Apr-2019","6,896.00","7,098.00","6,896.00","7,072.90","1,491,021"
"04-Apr-2019","7,120.00","7,170.00","7,061.65","7,113.10","1,388,375"
"05-Apr-2019","7,095.00","7,143.95","7,050.00","7,107.70","729,603"
"08-Apr-2019","7,107.00","7,150.00","7,044.70","7,129.45","498,374"
"09-Apr-2019","7,134.00","7,235.00","7,080.00","7,216.55","741,669"
"10-Apr-2019","7,218.95","7,218.95","7,144.60","7,186.35","590,107"
"11-Apr-2019","7,186.95","7,220.00","7,150.00","7,187.85","609,539"
"12-Apr-2019","7,188.90","7,357.00","7,161.05","7,342.85","929,935"
"15-Apr-2019","7,351.05","7,389.95","7,295.00","7,352.50","585,205"
"16-Apr-2019","7,369.90","7,475.00","7,350.00","7,458.55","707,823"
"18-Apr-2019","7,533.10","7,539.35","7,434.05","7,447.45","713,163"
"22-Apr-2019","7,422.00","7,424.90","7,300.00","7,321.25","479,609"
"23-Apr-2019","7,327.00","7,388.90","7,006.00","7,048.90","952,628"
"24-Apr-2019","7,065.00","7,101.95","6,910.00","7,016.70","1,063,510"
"25-Apr-2019","7,014.75","7,144.95","6,865.00","6,905.25","3,075,510"
"26-Apr-2019","6,805.00","6,886.85","6,750.00","6,842.85","1,999,920"
"30-Apr-2019","6,700.00","6,750.00","6,630.00","6,666.40","1,640,025"
"02-May-2019","6,550.00","6,709.95","6,525.00","6,683.25","1,337,101"
"03-May-2019","6,675.00","6,780.00","6,675.00","6,710.00","795,679"
"06-May-2019","6,659.00","6,732.00","6,639.30","6,709.65","480,317"
"07-May-2019","6,744.90","6,785.25","6,680.00","6,702.00","586,684"
"08-May-2019","6,679.00","6,693.00","6,616.00","6,650.15","552,749"
"09-May-2019","6,637.00","6,678.00","6,600.00","6,624.95","570,000"
"10-May-2019","6,623.00","6,664.90","6,575.00","6,631.60","608,669"
"13-May-2019","6,626.00","6,659.30","6,500.00","6,543.75","555,672"
"14-May-2019","6,511.00","6,612.00","6,450.00","6,576.20","843,313"
"15-May-2019","6,590.00","6,640.00","6,463.30","6,493.75","612,357"
"16-May-2019","6,506.00","6,527.30","6,441.40","6,479.65","555,991"
"17-May-2019","6,497.00","6,790.00","6,485.00","6,706.85","782,196"
"20-May-2019","6,875.00","7,150.00","6,860.00","7,084.60","1,286,198"
"21-May-2019","7,105.00","7,137.75","6,818.00","6,875.35","973,836"
"22-May-2019","6,877.20","6,930.55","6,841.00","6,899.80","645,280"
"23-May-2019","6,996.00","7,049.10","6,830.00","6,929.25","1,364,516"
"24-May-2019","6,964.95","7,120.00","6,886.75","7,093.15","1,002,742"
"27-May-2019","7,095.00","7,193.90","6,900.05","7,068.45","1,022,289"
"28-May-2019","7,067.00","7,130.00","7,031.50","7,054.65","915,732"
"29-May-2019","7,001.00","7,009.00","6,870.00","6,891.45","768,022"
"30-May-2019","6,890.00","6,921.00","6,825.00","6,867.70","850,456"
"31-May-2019","6,891.00","6,961.30","6,825.00","6,869.85","1,084,204"
"03-Jun-2019","6,760.00","7,055.00","6,760.00","7,022.90","1,157,809"
"04-Jun-2019","7,000.00","7,099.00","6,971.75","7,051.80","575,281"
"06-Jun-2019","7,060.20","7,099.00","6,928.00","6,988.70","720,856"
"07-Jun-2019","6,990.00","6,990.00","6,862.65","6,948.25","470,376"
"10-Jun-2019","6,980.00","7,043.30","6,922.00","6,969.95","395,116"
"11-Jun-2019","6,989.95","7,018.20","6,930.00","6,978.30","387,309"
"12-Jun-2019","6,963.80","6,967.95","6,825.05","6,852.00","494,886"
"13-Jun-2019","6,843.00","6,863.70","6,766.30","6,784.70","561,159"
"14-Jun-2019","6,775.00","6,839.00","6,727.35","6,747.40","449,930"
"17-Jun-2019","6,749.40","6,768.05","6,560.50","6,581.65","567,397"
"18-Jun-2019","6,604.50","6,649.00","6,390.00","6,439.00","1,048,826"
"19-Jun-2019","6,485.00","6,560.65","6,380.00","6,424.65","715,496"
"20-Jun-2019","6,390.00","6,649.00","6,340.25","6,616.75","992,450"
"21-Jun-2019","6,549.00","6,549.00","6,370.20","6,417.25","1,345,890"
"24-Jun-2019","6,411.00","6,497.10","6,322.85","6,459.90","911,826"
"25-Jun-2019","6,459.00","6,540.00","6,427.35","6,522.50","580,392"
"26-Jun-2019","6,519.00","6,557.80","6,460.10","6,480.30","572,239"
"27-Jun-2019","6,496.20","6,575.00","6,475.00","6,486.70","1,022,011"
"28-Jun-2019","6,500.00","6,550.00","6,475.00","6,534.65","618,701"
"01-Jul-2019","6,600.00","6,618.00","6,490.00","6,507.85","754,667"
"02-Jul-2019","6,510.05","6,588.80","6,482.00","6,560.00","518,084"
"03-Jul-2019","6,582.00","6,590.00","6,515.05","6,533.80","517,709"
