"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","621.90","630.20","621.90","627.30","12,179,223"
"02-Jan-2019","623.00","628.50","617.50","620.05","12,386,281"
"03-Jan-2019","621.40","622.00","603.65","607.95","13,228,602"
"04-Jan-2019","612.00","624.75","609.50","619.60","8,381,367"
"07-Jan-2019","626.00","640.70","624.20","637.45","11,735,286"
"08-Jan-2019","636.00","653.75","630.60","650.90","11,879,875"
"09-Jan-2019","652.35","672.05","652.35","670.10","18,003,387"
"10-Jan-2019","668.90","668.90","654.60","663.25","12,751,327"
"11-Jan-2019","665.00","668.50","658.20","666.50","8,330,315"
"14-Jan-2019","663.00","663.00","652.55","659.20","6,856,244"
"15-Jan-2019","661.30","664.25","655.05","660.60","5,467,484"
"16-Jan-2019","660.70","670.40","660.70","664.00","6,598,151"
"17-Jan-2019","669.90","680.00","665.60","676.65","10,448,209"
"18-Jan-2019","674.90","676.05","661.45","664.60","7,037,386"
"21-Jan-2019","661.55","664.50","656.50","660.30","6,157,956"
"22-Jan-2019","656.35","663.60","653.85","661.60","7,951,640"
"23-Jan-2019","659.50","667.00","658.60","661.60","7,596,006"
"24-Jan-2019","665.00","665.55","655.00","663.65","7,013,582"
"25-Jan-2019","665.20","676.85","665.20","669.75","6,628,922"
"28-Jan-2019","669.00","674.45","650.35","656.30","7,792,690"
"29-Jan-2019","658.50","671.00","649.55","660.75","8,302,420"
"30-Jan-2019","687.05","703.35","683.75","690.95","46,912,230"
"31-Jan-2019","697.25","726.85","689.05","722.70","35,239,544"
"01-Feb-2019","720.75","726.40","705.40","717.25","13,792,059"
"04-Feb-2019","711.30","724.50","708.00","720.50","8,195,956"
"05-Feb-2019","722.00","731.60","719.50","729.50","8,665,426"
"06-Feb-2019","731.30","734.50","715.60","725.75","8,077,340"
"07-Feb-2019","726.25","733.80","724.00","730.15","7,203,465"
"08-Feb-2019","727.00","732.80","716.25","719.40","7,341,956"
"11-Feb-2019","719.90","719.90","705.30","710.85","7,234,953"
"12-Feb-2019","701.00","713.40","700.00","705.60","15,856,819"
"13-Feb-2019","700.00","707.45","695.05","697.50","11,399,689"
"14-Feb-2019","706.00","706.40","692.60","695.00","10,383,603"
"15-Feb-2019","700.00","704.00","681.70","686.60","10,866,440"
"18-Feb-2019","686.00","697.70","680.70","693.30","7,135,564"
"19-Feb-2019","693.30","705.40","689.65","693.05","6,816,325"
"20-Feb-2019","697.60","703.00","695.30","700.35","5,772,687"
"21-Feb-2019","700.50","706.50","695.10","697.20","6,674,353"
"22-Feb-2019","697.45","704.45","691.20","702.05","9,822,278"
"25-Feb-2019","702.90","705.80","696.10","703.70","11,428,024"
"26-Feb-2019","694.00","715.60","693.05","710.15","9,166,951"
"27-Feb-2019","714.95","727.80","713.05","718.20","13,284,424"
"28-Feb-2019","723.45","723.45","706.40","709.55","26,230,891"
"01-Mar-2019","713.50","714.95","699.55","702.40","7,713,824"
"05-Mar-2019","705.70","733.90","700.70","732.05","11,298,428"
"06-Mar-2019","733.90","733.90","712.55","720.60","10,510,670"
"07-Mar-2019","720.75","739.45","720.75","733.75","11,263,734"
"08-Mar-2019","732.00","737.25","728.40","733.40","7,744,794"
"11-Mar-2019","733.30","744.90","730.60","734.50","9,421,608"
"12-Mar-2019","738.70","749.00","738.55","742.55","8,131,901"
"13-Mar-2019","743.60","751.00","736.50","738.00","12,333,789"
"14-Mar-2019","740.00","749.70","737.40","740.60","7,100,875"
"15-Mar-2019","742.95","748.95","731.70","735.10","14,560,368"
"18-Mar-2019","741.00","756.00","740.25","751.60","9,823,043"
"19-Mar-2019","755.00","763.00","749.05","760.90","8,818,172"
"20-Mar-2019","760.75","767.00","754.35","755.75","9,758,274"
"22-Mar-2019","764.70","765.90","735.55","757.05","10,355,078"
"25-Mar-2019","752.70","755.00","741.15","745.70","7,130,411"
"26-Mar-2019","747.40","760.95","741.65","757.10","7,300,104"
"27-Mar-2019","761.30","770.00","755.85","759.30","7,456,768"
"28-Mar-2019","761.10","787.65","757.15","780.70","16,643,818"
"29-Mar-2019","777.00","781.35","767.60","777.25","9,661,906"
"01-Apr-2019","780.95","783.00","760.60","765.60","6,021,202"
"02-Apr-2019","769.15","774.95","761.00","767.40","6,592,678"
"03-Apr-2019","770.00","772.75","758.70","761.50","5,591,613"
"04-Apr-2019","763.00","771.90","760.00","762.15","7,009,879"
"05-Apr-2019","763.95","768.75","756.10","762.20","5,343,947"
"08-Apr-2019","764.30","768.00","748.55","754.60","4,918,795"
"09-Apr-2019","755.00","766.00","751.00","763.40","5,483,424"
"10-Apr-2019","761.25","767.90","758.00","760.85","5,933,250"
"11-Apr-2019","760.50","761.35","747.00","752.30","5,365,803"
"12-Apr-2019","753.40","766.75","751.60","764.35","4,671,869"
"15-Apr-2019","764.00","770.20","760.00","762.85","3,707,106"
"16-Apr-2019","765.10","776.00","765.10","771.10","7,088,601"
"18-Apr-2019","778.40","779.00","769.00","771.20","6,098,041"
"22-Apr-2019","768.90","768.90","750.55","755.50","4,185,156"
"23-Apr-2019","757.45","759.30","749.00","753.25","5,098,170"
"24-Apr-2019","754.70","755.70","738.35","752.85","7,825,049"
"25-Apr-2019","754.00","758.55","738.55","740.90","10,282,068"
"26-Apr-2019","762.00","765.15","747.25","759.90","23,294,204"
"30-Apr-2019","759.95","769.70","755.80","766.85","12,434,805"
"02-May-2019","765.40","767.80","748.05","752.35","7,033,021"
"03-May-2019","754.15","763.80","753.45","757.30","5,970,814"
"06-May-2019","746.00","753.40","744.10","747.45","5,909,936"
"07-May-2019","751.85","755.50","740.00","741.85","5,071,941"
"08-May-2019","741.90","744.75","733.35","735.50","6,739,894"
"09-May-2019","733.90","740.50","729.40","731.00","4,193,451"
"10-May-2019","734.40","738.50","729.50","735.05","3,913,815"
"13-May-2019","734.00","742.85","730.00","732.10","5,891,071"
"14-May-2019","729.40","738.50","722.50","731.35","7,049,134"
"15-May-2019","735.80","737.70","716.10","721.95","4,849,130"
"16-May-2019","720.95","735.00","718.70","731.85","5,142,617"
"17-May-2019","731.80","752.15","727.20","748.95","9,072,242"
"20-May-2019","760.20","790.65","760.20","782.40","15,866,697"
"21-May-2019","789.70","791.80","771.05","772.95","9,251,548"
