"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","6,515.00","6,530.00","6,418.00","6,521.95","141,821"
"02-Jan-2019","6,475.00","6,526.00","6,360.00","6,384.00","221,274"
"03-Jan-2019","6,439.00","6,479.90","6,331.65","6,383.30","215,845"
"04-Jan-2019","6,419.95","6,460.00","6,357.00","6,410.45","156,323"
"07-Jan-2019","6,450.50","6,500.00","6,385.00","6,407.15","103,217"
"08-Jan-2019","6,430.00","6,460.00","6,355.00","6,443.05","111,249"
"09-Jan-2019","6,460.00","6,476.00","6,365.00","6,399.10","159,769"
"10-Jan-2019","6,425.00","6,430.00","6,337.70","6,371.95","164,715"
"11-Jan-2019","6,355.00","6,389.90","6,291.00","6,371.65","122,432"
"14-Jan-2019","6,388.90","6,388.90","6,265.00","6,368.80","152,409"
"15-Jan-2019","6,385.00","6,524.00","6,380.00","6,509.70","133,336"
"16-Jan-2019","6,500.00","6,535.00","6,440.40","6,464.85","119,680"
"17-Jan-2019","6,466.00","6,485.00","6,336.05","6,359.00","139,043"
"18-Jan-2019","6,366.10","6,379.95","6,230.00","6,249.90","191,626"
"21-Jan-2019","6,253.85","6,400.00","6,211.10","6,384.55","177,176"
"22-Jan-2019","6,377.00","6,447.05","6,350.00","6,435.55","173,775"
"23-Jan-2019","6,429.85","6,528.00","6,405.00","6,493.15","187,445"
"24-Jan-2019","6,515.00","6,517.50","6,382.05","6,407.30","108,993"
"25-Jan-2019","6,479.90","6,479.90","6,286.95","6,321.55","92,525"
"28-Jan-2019","6,335.00","6,352.80","5,948.80","6,050.90","299,286"
"29-Jan-2019","6,015.00","6,295.00","5,951.00","6,233.05","578,958"
"30-Jan-2019","6,295.00","6,368.80","6,200.35","6,247.20","338,788"
"31-Jan-2019","6,244.20","6,268.90","6,050.00","6,091.90","377,632"
"01-Feb-2019","6,123.90","6,250.00","6,055.00","6,096.95","311,984"
"04-Feb-2019","6,110.85","6,122.00","5,995.65","6,009.20","128,108"
