"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","2,645.00","2,664.00","2,612.10","2,656.85","917,872"
"02-Jan-2019","2,635.10","2,662.00","2,601.90","2,614.05","1,304,915"
"03-Jan-2019","2,612.00","2,648.00","2,575.30","2,586.20","1,282,478"
"04-Jan-2019","2,601.00","2,611.90","2,563.65","2,576.05","1,051,021"
"07-Jan-2019","2,601.00","2,605.00","2,545.35","2,553.60","1,024,328"
"08-Jan-2019","2,560.00","2,582.00","2,525.05","2,537.05","1,233,379"
"09-Jan-2019","2,546.00","2,559.80","2,510.00","2,524.35","1,093,992"
"10-Jan-2019","2,526.00","2,542.45","2,504.70","2,514.65","910,839"
"11-Jan-2019","2,516.00","2,530.00","2,488.00","2,514.20","818,218"
"14-Jan-2019","2,515.95","2,552.90","2,484.15","2,544.80","1,021,504"
"15-Jan-2019","2,551.00","2,613.00","2,551.00","2,604.20","1,466,303"
"16-Jan-2019","2,598.40","2,612.15","2,562.80","2,569.85","952,597"
"17-Jan-2019","2,574.00","2,586.55","2,527.05","2,535.90","994,183"
"18-Jan-2019","2,545.00","2,555.00","2,525.10","2,542.90","753,775"
"21-Jan-2019","2,548.00","2,606.00","2,526.60","2,594.20","1,332,159"
"22-Jan-2019","2,585.00","2,635.00","2,575.00","2,621.90","1,474,713"
"23-Jan-2019","2,619.00","2,653.00","2,611.00","2,634.35","992,504"
"24-Jan-2019","2,639.00","2,653.50","2,603.10","2,635.65","753,856"
"25-Jan-2019","2,649.00","2,661.00","2,585.00","2,599.55","916,927"
"28-Jan-2019","2,610.00","2,610.00","2,355.00","2,458.50","2,364,047"
"29-Jan-2019","2,468.00","2,570.10","2,371.65","2,515.55","6,118,833"
"30-Jan-2019","2,580.00","2,623.70","2,546.00","2,595.50","3,879,707"
"31-Jan-2019","2,608.00","2,608.00","2,526.00","2,574.85","2,083,418"
"01-Jan-2020","4,237.80","4,252.00","4,221.00","4,231.30","407,042"
"02-Jan-2020","4,240.00","4,295.75","4,235.00","4,246.05","863,844"
"03-Jan-2020","4,220.00","4,234.80","4,173.00","4,193.45","1,176,850"
"06-Jan-2020","4,164.00","4,204.00","3,983.80","3,996.70","2,866,735"
"07-Jan-2020","4,055.00","4,092.00","3,996.20","4,007.65","2,149,042"
"08-Jan-2020","3,950.00","4,060.35","3,950.00","4,049.95","1,630,576"
"09-Jan-2020","4,105.90","4,148.00","4,080.00","4,124.20","1,419,388"
"10-Jan-2020","4,130.10","4,185.90","4,118.00","4,144.85","1,106,624"
"13-Jan-2020","4,168.00","4,182.25","4,146.00","4,164.50","645,152"
"14-Jan-2020","4,170.00","4,202.40","4,150.45","4,193.00","703,434"
"15-Jan-2020","4,189.95","4,220.00","4,170.05","4,207.25","616,976"
"16-Jan-2020","4,190.00","4,229.95","4,188.00","4,220.25","578,728"
"17-Jan-2020","4,217.00","4,242.00","4,202.00","4,231.75","671,129"
"20-Jan-2020","4,229.00","4,252.95","4,125.15","4,152.60","848,639"
"21-Jan-2020","4,149.95","4,186.10","4,117.05","4,138.60","897,922"
"22-Jan-2020","4,186.00","4,186.50","4,123.35","4,142.20","797,901"
"23-Jan-2020","4,123.00","4,163.85","4,085.00","4,125.80","1,154,522"
"24-Jan-2020","4,120.00","4,205.65","4,111.00","4,194.50","864,892"
"27-Jan-2020","4,174.00","4,208.00","4,154.00","4,164.35","782,155"
"28-Jan-2020","4,150.15","4,249.00","4,150.15","4,213.00","1,052,764"
"29-Jan-2020","4,244.90","4,444.00","4,215.10","4,419.00","4,581,413"
"30-Jan-2020","4,464.00","4,485.00","4,344.85","4,364.30","3,577,774"
"31-Jan-2020","4,370.00","4,420.10","4,333.80","4,365.90","1,736,927"
"01-Feb-2020","4,350.00","4,447.50","4,203.30","4,276.05","2,152,563"
"03-Feb-2020","4,250.20","4,376.90","4,250.20","4,359.35","1,094,181"
"04-Feb-2020","4,387.95","4,550.00","4,377.15","4,519.25","1,958,323"
"05-Feb-2020","4,515.00","4,539.95","4,477.65","4,528.20","1,285,631"
"06-Feb-2020","4,528.20","4,677.85","4,525.00","4,666.35","1,846,477"
"07-Feb-2020","4,663.95","4,686.90","4,626.10","4,654.30","950,326"
"10-Feb-2020","4,660.00","4,734.00","4,640.00","4,721.75","1,160,879"
"11-Feb-2020","4,737.00","4,785.00","4,736.00","4,749.35","1,167,429"
