"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","2,127.65","2,151.00","2,105.60","2,148.10","1,593,360"
"02-Jan-2019","2,142.80","2,147.50","2,119.70","2,128.50","2,033,558"
"03-Jan-2019","2,124.20","2,128.25","2,103.00","2,111.80","3,192,916"
"04-Jan-2019","2,115.25","2,128.50","2,110.35","2,117.45","1,821,780"
"07-Jan-2019","2,127.70","2,135.35","2,118.00","2,120.65","1,346,753"
"08-Jan-2019","2,122.00","2,123.50","2,096.65","2,103.00","2,085,865"
"09-Jan-2019","2,118.00","2,121.35","2,102.60","2,116.80","2,142,157"
"10-Jan-2019","2,117.00","2,123.80","2,092.65","2,108.50","1,922,885"
"11-Jan-2019","2,113.80","2,124.00","2,108.00","2,111.90","1,602,010"
"14-Jan-2019","2,109.90","2,109.90","2,098.45","2,101.65","1,213,790"
"15-Jan-2019","2,105.05","2,126.50","2,102.00","2,121.90","1,271,889"
"16-Jan-2019","2,120.05","2,125.00","2,108.25","2,120.20","1,313,113"
"17-Jan-2019","2,125.25","2,135.90","2,113.35","2,132.30","2,060,057"
"18-Jan-2019","2,135.00","2,139.00","2,114.55","2,130.25","1,301,994"
"21-Jan-2019","2,139.95","2,166.50","2,126.50","2,148.15","4,390,378"
"22-Jan-2019","2,146.00","2,146.80","2,129.05","2,135.85","2,199,244"
"23-Jan-2019","2,134.00","2,135.85","2,101.45","2,105.40","1,906,072"
"24-Jan-2019","2,110.00","2,121.65","2,097.90","2,102.25","2,527,893"
"25-Jan-2019","2,093.00","2,110.00","2,090.00","2,096.00","2,815,559"
"28-Jan-2019","2,090.00","2,102.05","2,076.75","2,084.15","3,840,109"
"29-Jan-2019","2,078.25","2,083.00","2,053.00","2,057.60","3,690,697"
"30-Jan-2019","2,057.25","2,057.25","2,028.00","2,034.70","4,628,540"
"31-Jan-2019","2,031.00","2,089.75","2,022.00","2,079.95","4,144,851"
"01-Feb-2019","2,079.95","2,117.00","2,076.60","2,090.45","3,913,547"
"04-Feb-2019","2,095.00","2,113.00","2,082.65","2,104.90","1,984,572"
"05-Feb-2019","2,108.00","2,119.00","2,097.00","2,114.05","2,172,572"
"06-Feb-2019","2,116.25","2,127.00","2,113.60","2,122.65","2,718,921"
"07-Feb-2019","2,125.05","2,130.00","2,105.85","2,117.25","1,804,327"
"08-Feb-2019","2,112.00","2,144.95","2,106.65","2,122.65","3,058,911"
"11-Feb-2019","2,113.30","2,142.90","2,113.30","2,139.65","1,759,091"
"12-Feb-2019","2,138.00","2,148.00","2,124.80","2,129.70","2,443,097"
"13-Feb-2019","2,135.55","2,155.00","2,132.30","2,143.45","2,360,187"
"14-Feb-2019","2,140.00","2,140.00","2,105.60","2,110.20","1,860,347"
"15-Feb-2019","2,107.35","2,108.10","2,078.20","2,100.65","2,104,131"
"18-Feb-2019","2,106.80","2,118.00","2,086.00","2,089.90","1,784,686"
"19-Feb-2019","2,089.70","2,108.15","2,078.20","2,084.05","1,317,159"
