"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","361.50","364.80","356.40","363.75","7,759,872"
"02-Jan-2019","361.50","367.90","360.30","364.60","18,243,156"
"03-Jan-2019","365.00","367.30","362.05","363.25","12,884,409"
"04-Jan-2019","361.85","368.80","358.05","365.20","22,896,026"
"07-Jan-2019","367.50","371.00","366.55","367.70","12,719,847"
"08-Jan-2019","367.80","381.80","366.60","380.15","21,501,136"
"09-Jan-2019","381.65","383.55","375.60","382.25","21,730,142"
"10-Jan-2019","380.95","382.15","376.05","379.50","14,497,154"
"11-Jan-2019","380.60","381.20","375.25","378.55","12,537,973"
"14-Jan-2019","378.70","378.70","372.70","373.35","14,844,029"
"15-Jan-2019","373.55","375.40","370.60","372.75","12,960,779"
"16-Jan-2019","372.05","379.75","372.05","375.30","15,106,484"
"17-Jan-2019","376.00","377.95","372.80","374.60","13,171,721"
"18-Jan-2019","374.60","376.40","370.35","372.00","12,212,121"
"21-Jan-2019","373.00","376.15","370.60","371.70","8,908,581"
"22-Jan-2019","370.55","372.50","366.10","369.05","14,756,076"
"23-Jan-2019","368.80","373.70","366.45","367.40","9,726,450"
"24-Jan-2019","366.60","368.50","361.75","364.80","17,521,254"
"25-Jan-2019","362.35","364.65","354.55","357.20","22,978,238"
"28-Jan-2019","353.20","354.90","336.65","343.55","34,362,360"
"29-Jan-2019","342.95","350.10","341.35","346.85","20,738,442"
"30-Jan-2019","351.00","368.60","351.00","365.90","39,400,056"
"31-Jan-2019","372.70","376.65","354.10","364.45","85,917,249"
"01-Feb-2019","364.50","364.90","348.75","354.65","25,605,469"
"04-Feb-2019","351.00","356.90","346.00","354.55","17,039,321"
"05-Feb-2019","354.60","356.10","348.85","352.65","12,197,271"
"06-Feb-2019","353.60","361.90","353.20","359.30","15,396,216"
"07-Feb-2019","359.10","361.80","356.50","358.65","10,247,434"
"08-Feb-2019","356.90","358.40","350.75","355.10","9,308,651"
"11-Feb-2019","354.60","354.70","349.05","350.05","9,419,635"
"12-Feb-2019","349.00","352.00","343.25","344.30","14,924,394"
"13-Feb-2019","345.05","347.75","339.05","339.75","11,742,509"
"14-Feb-2019","339.85","346.85","336.15","343.95","15,172,596"
"15-Feb-2019","344.05","347.75","340.60","342.15","20,316,848"
"18-Feb-2019","342.20","343.00","337.55","338.75","10,601,490"
"19-Feb-2019","339.10","350.40","339.10","343.25","14,384,763"
"20-Feb-2019","345.00","347.60","342.35","345.20","9,474,758"
"21-Feb-2019","346.80","354.95","346.25","351.30","18,631,331"
"22-Feb-2019","351.40","354.10","351.30","352.05","10,997,730"
"25-Feb-2019","353.05","357.45","353.05","355.60","10,344,411"
"26-Feb-2019","350.00","352.70","346.60","348.20","18,096,382"
"27-Feb-2019","351.00","354.70","343.30","345.55","17,325,417"
"28-Feb-2019","348.45","351.75","345.00","350.15","18,347,113"
"01-Mar-2019","352.05","355.00","350.65","354.25","14,190,221"
"05-Mar-2019","355.00","364.15","352.80","363.25","17,638,277"
"06-Mar-2019","365.25","372.85","365.25","371.95","31,436,190"
"07-Mar-2019","371.50","374.00","368.50","370.80","15,355,303"
"08-Mar-2019","369.80","373.40","367.65","370.60","16,143,455"
"11-Mar-2019","371.80","378.40","370.00","375.85","11,449,587"
"12-Mar-2019","378.00","389.00","377.35","388.20","37,108,265"
"13-Mar-2019","387.90","393.25","384.30","391.90","19,574,619"
"14-Mar-2019","392.00","393.00","386.80","387.90","13,182,462"
"15-Mar-2019","388.85","398.25","388.10","395.30","31,466,545"
"18-Mar-2019","396.25","399.90","393.50","398.05","21,220,626"
"19-Mar-2019","398.40","400.95","393.90","398.40","11,670,392"
"20-Mar-2019","397.60","398.15","392.20","392.90","14,181,408"
"22-Mar-2019","394.45","396.30","390.00","391.80","17,409,249"
"25-Mar-2019","387.95","387.95","382.50","383.50","12,345,034"
"26-Mar-2019","384.95","395.50","383.40","394.10","14,063,632"
"27-Mar-2019","395.40","398.45","390.15","393.20","17,950,017"
"28-Mar-2019","392.75","401.90","392.75","400.55","23,117,485"
"29-Mar-2019","402.15","402.40","395.10","400.50","18,813,782"
"01-Apr-2019","401.45","409.55","395.75","398.25","16,106,604"
"02-Apr-2019","400.00","400.00","393.45","397.15","13,010,810"
"03-Apr-2019","399.00","402.80","390.65","392.10","12,317,200"
"04-Apr-2019","394.40","395.70","387.30","388.75","14,521,564"
"05-Apr-2019","389.25","392.50","385.60","390.55","10,853,927"
"08-Apr-2019","391.45","391.45","385.00","387.10","6,305,407"
"09-Apr-2019","387.40","398.35","387.15","397.15","13,206,348"
"10-Apr-2019","395.55","398.80","392.70","394.20","14,000,018"
"11-Apr-2019","394.50","394.50","387.55","390.05","8,704,774"
"12-Apr-2019","390.60","395.55","388.25","394.60","7,035,256"
"15-Apr-2019","394.20","396.95","391.80","392.75","9,770,752"
"16-Apr-2019","397.50","408.40","397.50","407.00","24,487,788"
"18-Apr-2019","411.00","411.00","402.60","404.40","18,660,434"
"22-Apr-2019","404.25","404.60","393.70","394.50","10,493,872"
"23-Apr-2019","396.10","399.95","393.60","396.50","10,203,957"
"24-Apr-2019","397.10","402.65","393.45","401.10","11,397,163"
"25-Apr-2019","400.90","402.40","394.30","395.40","16,524,091"
"26-Apr-2019","400.00","408.00","394.25","407.20","14,286,163"
"30-Apr-2019","407.75","409.80","403.30","407.50","19,375,553"
"02-May-2019","403.70","405.00","394.40","395.55","16,572,948"
"03-May-2019","397.15","405.20","394.70","401.80","24,431,248"
"06-May-2019","396.50","404.90","394.65","401.30","20,751,521"
"07-May-2019","398.00","407.35","384.30","386.50","41,519,416"
"08-May-2019","386.30","390.00","380.10","382.20","22,509,400"
"09-May-2019","380.95","385.70","377.55","381.40","19,739,885"
"10-May-2019","383.50","389.20","382.25","385.10","18,361,701"
"13-May-2019","385.00","385.75","375.25","376.30","13,828,080"
"14-May-2019","378.10","386.75","376.50","380.40","21,481,226"
"15-May-2019","382.35","384.50","375.80","377.05","16,183,425"
"16-May-2019","379.00","385.00","377.55","382.50","13,430,281"
"17-May-2019","381.20","392.00","380.75","389.70","19,096,980"
"20-May-2019","405.25","414.00","402.00","407.70","33,350,816"
"21-May-2019","408.60","410.80","397.60","400.15","18,286,421"
"22-May-2019","403.00","408.40","401.55","405.35","15,370,847"
"23-May-2019","414.00","427.95","407.40","410.85","43,279,956"
"24-May-2019","415.50","433.55","412.65","431.75","37,708,344"
"27-May-2019","432.25","438.80","429.65","435.50","23,397,222"
"28-May-2019","435.05","439.20","428.10","434.30","23,389,724"
"29-May-2019","428.60","430.45","422.10","423.30","22,132,254"
"30-May-2019","420.85","428.00","419.60","426.20","18,281,037"
"31-May-2019","427.00","430.20","414.30","423.70","24,644,955"
"03-Jun-2019","426.00","426.40","419.60","422.90","17,125,380"
"04-Jun-2019","417.70","422.75","417.50","419.10","14,514,451"
"06-Jun-2019","417.40","417.85","410.35","411.55","17,762,399"
"07-Jun-2019","413.50","418.95","407.90","416.60","14,107,696"
"10-Jun-2019","418.90","422.75","413.00","416.10","13,074,522"
"11-Jun-2019","418.45","423.70","413.05","421.35","10,939,138"
"12-Jun-2019","422.00","422.00","414.80","418.00","11,136,959"
"13-Jun-2019","416.70","422.30","415.30","419.60","12,164,077"
"14-Jun-2019","420.30","422.00","416.10","417.75","8,601,256"
"17-Jun-2019","418.95","419.70","413.15","414.20","9,539,802"
"18-Jun-2019","415.45","426.05","415.10","422.15","17,761,348"
"19-Jun-2019","423.75","426.00","417.35","419.80","17,010,384"
"20-Jun-2019","419.75","434.65","419.00","433.40","24,315,929"
"21-Jun-2019","434.20","435.20","428.85","430.80","13,909,654"
"24-Jun-2019","431.45","433.80","428.20","429.45","8,545,999"
"25-Jun-2019","427.90","434.80","424.60","433.65","12,964,387"
"26-Jun-2019","432.50","440.00","432.50","438.65","12,261,068"
"27-Jun-2019","438.00","443.90","437.60","440.95","18,787,957"
"28-Jun-2019","439.50","440.50","433.60","437.10","13,459,208"
"01-Jul-2019","439.50","442.00","437.70","439.00","6,871,979"
"02-Jul-2019","439.00","440.00","433.60","436.75","7,787,303"
"03-Jul-2019","437.90","440.00","434.20","435.95","10,415,896"
"04-Jul-2019","438.00","441.40","434.10","436.20","11,810,688"
"05-Jul-2019","436.45","439.90","433.20","436.35","12,154,330"
"08-Jul-2019","434.00","435.35","422.00","425.90","12,184,946"
"09-Jul-2019","426.00","429.80","424.65","428.50","11,679,067"
"10-Jul-2019","430.00","432.70","427.20","430.90","16,494,282"
"11-Jul-2019","432.65","432.90","424.80","426.55","16,535,185"
"12-Jul-2019","427.30","433.00","424.00","427.05","8,824,728"
"15-Jul-2019","428.40","428.40","421.60","422.30","7,825,336"
"16-Jul-2019","421.55","430.55","421.55","424.60","12,149,205"
"17-Jul-2019","424.60","427.05","422.50","424.70","10,961,022"
"18-Jul-2019","425.00","425.50","417.50","418.65","10,651,654"
"19-Jul-2019","419.90","420.35","408.50","410.30","12,260,757"
"22-Jul-2019","409.75","412.95","404.25","411.50","17,937,246"
"23-Jul-2019","412.80","416.00","409.75","411.95","14,207,080"
"24-Jul-2019","411.85","411.85","401.70","408.50","16,505,930"
"25-Jul-2019","409.20","413.85","405.30","409.00","16,852,479"
"26-Jul-2019","410.25","419.40","408.55","415.75","17,493,739"
"29-Jul-2019","433.00","435.35","425.30","429.35","46,754,670"
"30-Jul-2019","433.00","438.70","422.75","425.35","23,617,273"
"31-Jul-2019","423.90","430.20","421.20","424.60","22,329,888"
"01-Aug-2019","423.25","426.35","410.65","417.05","18,269,866"
"02-Aug-2019","413.90","417.85","405.50","410.60","30,939,803"
"05-Aug-2019","403.65","406.65","395.75","402.65","25,033,370"
"06-Aug-2019","401.00","411.50","400.90","410.25","30,665,326"
"07-Aug-2019","409.30","415.00","406.30","408.40","20,977,349"
"08-Aug-2019","411.00","416.60","404.15","414.40","19,046,657"
"09-Aug-2019","416.50","422.40","414.50","420.15","17,664,017"
"13-Aug-2019","417.00","421.70","409.15","410.25","18,389,104"
"14-Aug-2019","411.90","422.20","411.25","417.30","13,307,755"
"16-Aug-2019","417.80","420.00","412.10","418.95","15,154,141"
"19-Aug-2019","420.10","427.90","420.10","423.40","12,304,262"
"20-Aug-2019","420.80","423.20","412.50","416.90","16,181,488"
"21-Aug-2019","416.00","418.70","410.55","412.05","12,868,183"
"22-Aug-2019","411.00","412.50","398.00","399.10","18,182,520"
"23-Aug-2019","389.00","403.50","385.80","395.40","26,883,695"
"26-Aug-2019","407.00","414.00","392.85","411.65","26,701,988"
"27-Aug-2019","412.80","420.50","411.25","418.60","28,793,372"
"28-Aug-2019","418.00","418.25","409.70","412.95","12,154,347"
"29-Aug-2019","409.90","410.80","399.35","404.40","30,331,105"
"30-Aug-2019","406.50","412.85","402.65","409.65","18,314,194"
"03-Sep-2019","405.05","406.40","391.05","392.15","20,194,305"
"04-Sep-2019","391.00","399.65","389.90","397.50","18,614,965"
"05-Sep-2019","389.55","394.00","388.00","389.00","25,022,673"
"06-Sep-2019","391.00","394.50","389.20","391.35","17,564,286"
"09-Sep-2019","393.00","400.40","389.10","395.45","18,651,819"
"11-Sep-2019","394.90","399.00","393.35","394.60","17,463,978"
"12-Sep-2019","399.65","407.20","399.65","402.70","19,577,114"
"13-Sep-2019","406.80","414.90","400.65","413.40","17,775,449"
"16-Sep-2019","408.50","415.65","406.75","412.15","17,629,622"
"17-Sep-2019","405.85","411.90","398.30","400.65","20,793,363"
"18-Sep-2019","405.45","405.45","396.50","399.35","18,477,377"
"19-Sep-2019","395.70","395.70","384.35","386.60","22,647,508"
"20-Sep-2019","389.00","424.00","386.65","417.50","75,217,723"
"23-Sep-2019","435.80","450.00","428.45","446.30","57,490,445"
"24-Sep-2019","441.50","448.65","433.35","440.90","26,639,931"
"25-Sep-2019","439.10","440.95","429.60","434.20","19,987,241"
"26-Sep-2019","439.00","458.65","438.55","451.95","40,909,369"
"27-Sep-2019","449.50","451.85","443.30","449.20","19,432,963"
"30-Sep-2019","443.30","445.15","431.00","433.70","27,524,660"
"01-Oct-2019","436.95","443.20","416.70","424.60","30,623,906"
"03-Oct-2019","424.00","434.60","422.30","427.30","23,275,379"
"04-Oct-2019","428.50","429.30","412.05","413.90","17,952,697"
"07-Oct-2019","415.10","423.50","411.50","416.10","21,933,703"
"09-Oct-2019","420.25","438.40","417.10","436.70","34,533,981"
"10-Oct-2019","430.00","431.50","420.50","423.70","19,074,005"
"11-Oct-2019","427.95","433.25","422.10","428.55","18,004,922"
"14-Oct-2019","430.00","436.40","426.00","428.85","17,211,042"
"15-Oct-2019","430.00","435.45","428.20","431.85","14,971,985"
"16-Oct-2019","434.50","439.50","431.15","435.30","17,833,051"
"17-Oct-2019","436.00","443.35","433.70","440.60","12,452,421"
"18-Oct-2019","437.70","443.70","435.25","437.80","15,988,455"
"22-Oct-2019","440.50","458.70","437.55","451.15","34,966,169"
"23-Oct-2019","452.00","459.00","448.20","455.10","25,196,183"
"24-Oct-2019","457.40","459.00","451.00","454.75","23,542,540"
"25-Oct-2019","457.70","470.65","454.40","469.10","34,397,573"
"27-Oct-2019","471.00","473.50","465.00","469.55","8,207,818"
"29-Oct-2019","470.20","482.00","466.85","477.40","33,686,172"
"30-Oct-2019","479.00","479.00","470.00","471.15","22,396,012"
"31-Oct-2019","475.00","476.75","461.30","463.05","21,198,377"
"01-Nov-2019","466.65","466.95","460.50","462.25","13,522,994"
"04-Nov-2019","463.00","472.30","463.00","470.50","16,254,715"
"05-Nov-2019","472.10","474.00","466.90","468.35","14,952,189"
"06-Nov-2019","467.15","483.90","464.75","480.70","24,922,680"
"07-Nov-2019","483.00","483.00","475.65","478.55","18,312,032"
"08-Nov-2019","480.75","496.00","480.30","489.45","52,207,121"
"11-Nov-2019","488.00","499.00","484.60","496.80","24,766,065"
"13-Nov-2019","496.80","497.50","483.30","485.75","24,272,664"
"14-Nov-2019","489.75","499.85","483.75","498.65","35,396,276"
"15-Nov-2019","497.85","509.70","496.00","499.85","42,074,833"
"18-Nov-2019","498.75","504.45","496.65","498.35","22,910,109"
"19-Nov-2019","497.95","502.00","489.85","493.50","27,939,336"
"20-Nov-2019","495.20","498.00","492.50","495.00","22,606,112"
"21-Nov-2019","498.10","503.80","491.25","498.25","25,745,594"
"22-Nov-2019","501.10","501.75","492.15","496.80","18,462,401"
"25-Nov-2019","492.00","500.00","491.55","497.80","25,692,878"
"26-Nov-2019","501.80","517.55","501.00","510.70","286,857,658"
"27-Nov-2019","513.90","515.85","504.30","505.50","29,866,539"
"28-Nov-2019","509.55","520.00","508.00","519.15","35,706,498"
"29-Nov-2019","516.00","516.50","510.30","512.60","13,324,549"
"02-Dec-2019","513.45","514.00","507.25","510.90","10,130,049"
"03-Dec-2019","509.75","511.25","504.65","509.35","12,795,657"
"04-Dec-2019","510.00","531.35","509.30","529.25","30,992,538"
"05-Dec-2019","532.55","537.50","526.05","528.10","32,354,118"
"06-Dec-2019","530.05","533.50","521.65","524.80","24,868,376"
"09-Dec-2019","524.05","529.30","522.20","526.50","12,980,877"
"10-Dec-2019","526.05","530.25","524.70","528.70","12,021,443"
"11-Dec-2019","530.60","535.20","527.20","533.55","13,768,156"
"12-Dec-2019","534.85","537.10","529.80","535.35","12,385,216"
"13-Dec-2019","537.90","542.80","535.70","537.05","17,884,861"
"16-Dec-2019","539.50","541.40","536.70","539.25","13,070,575"
"17-Dec-2019","540.95","543.00","538.75","541.15","11,516,163"
"18-Dec-2019","542.05","542.90","535.95","541.40","12,906,168"
"19-Dec-2019","537.20","541.20","533.70","540.20","12,082,790"
"20-Dec-2019","540.95","549.50","539.25","546.10","27,691,592"
"23-Dec-2019","547.00","548.85","537.60","541.30","11,521,942"
"24-Dec-2019","542.00","543.95","539.30","541.10","6,715,007"
"26-Dec-2019","541.10","542.40","537.65","538.75","7,831,074"
"27-Dec-2019","541.00","550.50","538.35","549.40","11,247,684"
"30-Dec-2019","549.60","552.20","542.60","543.95","13,180,302"
"31-Dec-2019","543.80","543.80","538.00","538.90","12,491,978"
"01-Jan-2020","539.90","542.50","535.70","536.75","7,642,793"
"02-Jan-2020","536.00","541.90","535.85","540.60","10,264,223"
"03-Jan-2020","538.00","540.80","536.25","538.85","9,594,690"
"06-Jan-2020","537.25","537.25","523.80","525.70","12,534,334"
"07-Jan-2020","531.30","535.60","521.65","522.90","16,101,835"
"08-Jan-2020","516.00","527.35","515.00","525.95","16,094,310"
"09-Jan-2020","530.70","547.40","530.30","546.30","18,934,019"
"10-Jan-2020","544.90","546.50","538.50","540.25","12,335,407"
"13-Jan-2020","539.40","546.05","538.00","538.60","7,901,800"
"14-Jan-2020","536.20","538.95","534.15","537.60","13,939,440"
"15-Jan-2020","535.10","536.95","530.65","535.60","12,353,176"
"16-Jan-2020","533.90","540.00","533.20","537.15","11,249,232"
"17-Jan-2020","534.50","538.00","530.60","532.05","18,312,609"
"20-Jan-2020","533.00","544.00","531.00","534.85","19,159,996"
"21-Jan-2020","532.95","540.25","530.20","531.05","13,477,994"
"22-Jan-2020","531.50","534.95","520.75","522.85","17,527,408"
"23-Jan-2020","521.40","530.25","517.05","527.70","17,061,293"
"24-Jan-2020","529.25","537.40","527.00","533.85","17,851,868"
"27-Jan-2020","538.50","545.00","531.50","537.25","38,149,166"
"28-Jan-2020","538.10","540.60","524.45","528.20","24,009,224"
"29-Jan-2020","531.55","534.80","525.30","526.60","16,400,827"
"30-Jan-2020","527.65","533.95","524.15","532.20","14,319,317"
"31-Jan-2020","530.00","532.75","522.40","525.65","16,292,578"
"01-Feb-2020","524.00","528.00","501.85","504.60","11,815,597"
"03-Feb-2020","504.00","519.15","502.00","515.55","22,531,888"
"04-Feb-2020","520.00","534.65","516.65","530.80","17,781,475"
"05-Feb-2020","529.05","540.40","525.70","539.10","18,782,476"
"06-Feb-2020","540.35","547.00","536.25","541.60","15,296,851"
"07-Feb-2020","540.95","541.75","535.15","536.45","8,297,149"
