"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,254.00","1,256.00","1,242.25","1,250.45","1,202,580"
"02-Jan-2019","1,247.90","1,248.25","1,227.00","1,240.60","1,713,677"
"03-Jan-2019","1,240.00","1,251.00","1,227.65","1,235.25","1,825,888"
"04-Jan-2019","1,238.00","1,252.00","1,230.00","1,247.95","1,468,796"
"07-Jan-2019","1,250.95","1,254.00","1,241.00","1,246.60","1,211,456"
"08-Jan-2019","1,243.00","1,244.20","1,225.95","1,228.90","1,661,528"
"09-Jan-2019","1,237.35","1,244.00","1,228.10","1,238.25","1,647,622"
"10-Jan-2019","1,239.00","1,242.00","1,216.35","1,219.55","1,651,443"
"11-Jan-2019","1,225.00","1,229.20","1,213.20","1,223.20","2,129,299"
"14-Jan-2019","1,217.00","1,224.45","1,206.40","1,211.75","1,364,695"
"15-Jan-2019","1,217.00","1,220.00","1,210.30","1,213.40","1,153,871"
"16-Jan-2019","1,215.70","1,216.95","1,198.00","1,202.75","2,374,649"
"17-Jan-2019","1,208.00","1,225.05","1,200.00","1,219.95","3,934,500"
"18-Jan-2019","1,220.10","1,243.00","1,216.50","1,240.20","2,598,572"
"21-Jan-2019","1,240.70","1,275.50","1,222.65","1,267.60","9,785,366"
"22-Jan-2019","1,279.00","1,307.95","1,273.10","1,291.75","9,072,680"
"23-Jan-2019","1,298.90","1,298.90","1,271.05","1,276.50","3,258,582"
"24-Jan-2019","1,274.00","1,276.50","1,263.00","1,267.75","1,459,776"
"25-Jan-2019","1,268.80","1,287.70","1,258.55","1,266.15","1,441,296"
"28-Jan-2019","1,269.00","1,285.00","1,255.00","1,260.45","2,054,592"
"29-Jan-2019","1,260.00","1,273.00","1,248.00","1,251.40","2,591,590"
"30-Jan-2019","1,255.00","1,255.50","1,217.80","1,222.20","2,754,232"
"31-Jan-2019","1,222.00","1,260.00","1,211.40","1,255.75","2,968,660"
"01-Feb-2019","1,257.05","1,270.80","1,240.20","1,255.70","2,189,154"
"04-Feb-2019","1,245.00","1,274.70","1,245.00","1,272.20","1,379,319"
"05-Feb-2019","1,276.00","1,287.00","1,267.50","1,279.15","1,917,782"
"06-Feb-2019","1,280.00","1,288.80","1,276.35","1,279.50","1,158,741"
"07-Feb-2019","1,280.00","1,295.00","1,275.30","1,284.55","1,198,410"
"08-Feb-2019","1,284.00","1,311.00","1,277.30","1,299.40","2,481,433"
"11-Feb-2019","1,296.00","1,315.00","1,294.00","1,301.55","3,144,675"
"12-Feb-2019","1,300.00","1,310.00","1,295.30","1,298.65","1,482,010"
"13-Feb-2019","1,305.00","1,306.75","1,292.80","1,298.30","902,822"
"14-Feb-2019","1,302.00","1,302.25","1,271.55","1,286.80","2,491,111"
