"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","297.50","300.70","293.85","299.60","11,837,127"
"02-Jan-2019","299.10","302.50","293.10","293.90","25,559,853"
"03-Jan-2019","295.00","295.55","290.10","291.10","17,548,347"
"04-Jan-2019","292.10","299.00","291.50","297.65","19,514,041"
"07-Jan-2019","301.05","301.50","295.20","296.30","14,579,399"
"08-Jan-2019","295.80","306.00","294.75","305.30","22,949,961"
"09-Jan-2019","306.00","307.10","300.75","305.30","21,109,911"
"10-Jan-2019","305.10","307.50","303.50","305.55","16,295,468"
"11-Jan-2019","305.40","306.20","300.95","302.75","12,702,551"
"14-Jan-2019","301.00","303.60","299.55","300.40","10,372,933"
"15-Jan-2019","302.00","303.60","301.10","301.65","9,444,374"
"16-Jan-2019","303.00","306.65","302.10","303.15","12,111,480"
"17-Jan-2019","303.90","304.35","295.60","297.40","15,974,634"
"18-Jan-2019","298.75","299.85","294.25","294.95","9,082,501"
"21-Jan-2019","295.90","296.75","291.45","292.45","10,188,647"
"22-Jan-2019","293.00","293.00","288.20","290.25","11,297,989"
"23-Jan-2019","290.45","292.95","285.50","286.65","10,304,608"
"24-Jan-2019","286.65","289.90","285.50","288.05","11,532,528"
"25-Jan-2019","289.60","291.00","283.20","285.40","11,121,223"
"28-Jan-2019","285.65","286.60","277.30","281.60","18,905,470"
"29-Jan-2019","281.00","286.00","276.55","280.60","17,435,611"
"30-Jan-2019","281.20","289.40","280.25","287.45","18,908,654"
"31-Jan-2019","290.00","294.80","288.00","293.65","25,546,487"
"01-Feb-2019","296.90","302.70","282.00","284.40","60,015,958"
"04-Feb-2019","282.40","285.20","277.85","283.95","20,642,919"
"05-Feb-2019","284.20","287.00","283.00","284.65","13,291,133"
"06-Feb-2019","285.85","289.75","283.50","289.05","12,149,759"
"07-Feb-2019","289.40","294.00","286.60","287.40","19,733,315"
"08-Feb-2019","285.60","288.00","282.20","286.00","19,781,908"
"11-Feb-2019","285.95","285.95","280.00","280.50","15,420,017"
"12-Feb-2019","280.65","282.20","274.65","275.40","15,326,106"
"13-Feb-2019","276.50","276.70","266.70","268.20","18,662,893"
"14-Feb-2019","268.00","268.35","263.65","267.10","26,372,671"
"15-Feb-2019","268.85","268.85","261.30","262.95","23,366,091"
"18-Feb-2019","264.40","265.50","258.80","259.95","14,781,744"
"19-Feb-2019","260.90","267.50","260.30","262.90","19,064,306"
"20-Feb-2019","264.50","268.30","264.30","267.70","15,514,595"
"21-Feb-2019","270.30","271.00","267.30","268.00","13,760,702"
"22-Feb-2019","267.90","271.90","267.60","270.95","12,536,918"
"25-Feb-2019","271.30","271.40","267.90","270.15","20,793,897"
"26-Feb-2019","266.80","268.20","263.25","266.35","15,274,303"
"27-Feb-2019","268.00","272.70","266.55","267.65","20,571,652"
"28-Feb-2019","267.70","270.80","267.65","269.05","31,636,468"
"01-Mar-2019","270.55","274.60","270.10","272.95","20,024,726"
"05-Mar-2019","271.70","277.85","271.20","276.45","21,533,972"
"06-Mar-2019","277.30","282.55","276.45","278.10","22,161,376"
"07-Mar-2019","279.45","282.50","277.65","281.75","14,899,105"
"08-Mar-2019","281.85","284.25","279.60","281.20","19,943,319"
"11-Mar-2019","285.30","289.00","283.50","287.35","22,931,245"
"12-Mar-2019","289.20","289.90","285.75","286.90","20,828,136"
"13-Mar-2019","288.10","294.40","284.70","293.15","23,725,641"
"14-Mar-2019","294.50","294.70","290.75","291.90","16,164,017"
"15-Mar-2019","292.60","301.30","292.50","298.40","37,928,480"
"18-Mar-2019","298.90","300.90","294.65","298.95","23,782,967"
"19-Mar-2019","300.15","306.60","299.15","303.05","27,218,691"
"20-Mar-2019","302.80","304.65","300.05","303.80","18,820,555"
"22-Mar-2019","304.30","306.40","296.95","298.05","17,865,957"
"25-Mar-2019","294.00","295.45","292.20","294.00","16,895,511"
"26-Mar-2019","294.75","305.00","294.75","303.50","18,303,791"
"27-Mar-2019","305.25","310.85","304.35","308.80","35,956,450"
"28-Mar-2019","310.10","339.65","309.05","319.00","63,244,736"
"29-Mar-2019","321.10","323.00","316.25","320.75","30,394,717"
"01-Apr-2019","321.80","327.65","321.05","322.75","22,372,357"
"02-Apr-2019","323.65","331.00","322.10","329.00","27,897,583"
"03-Apr-2019","331.00","332.45","319.50","320.50","30,552,104"
"04-Apr-2019","321.50","325.75","318.30","321.80","27,832,294"
"05-Apr-2019","323.70","323.70","315.00","317.05","23,117,232"
"08-Apr-2019","318.25","319.25","311.10","312.80","17,394,139"
"09-Apr-2019","313.95","315.70","308.10","314.75","25,556,039"
"10-Apr-2019","314.85","317.05","310.00","310.90","19,237,974"
"11-Apr-2019","311.00","315.40","308.70","314.90","14,897,935"
"12-Apr-2019","314.60","316.40","311.20","315.25","14,751,964"
"15-Apr-2019","315.50","318.70","313.75","315.60","13,864,791"
"16-Apr-2019","316.60","319.40","314.70","315.75","14,940,726"
"18-Apr-2019","315.80","315.80","308.05","310.80","15,691,168"
"22-Apr-2019","308.80","312.30","306.35","310.05","15,665,440"
"23-Apr-2019","310.05","313.75","304.60","305.25","17,324,274"
"24-Apr-2019","305.85","311.95","303.60","310.75","15,228,591"
"25-Apr-2019","311.00","312.00","305.40","306.20","30,842,477"
"26-Apr-2019","306.90","313.50","306.60","312.50","14,987,906"
"30-Apr-2019","312.00","312.00","305.00","309.95","18,178,758"
"02-May-2019","308.05","311.40","305.65","308.15","16,640,100"
"03-May-2019","309.00","311.80","308.80","310.00","12,452,689"
"06-May-2019","306.80","310.30","305.90","308.75","10,639,216"
"07-May-2019","310.70","313.40","303.75","305.45","15,219,845"
"08-May-2019","303.95","305.30","296.75","298.25","22,103,678"
"09-May-2019","297.60","301.00","296.10","299.30","12,654,440"
"10-May-2019","301.80","310.75","292.45","308.05","60,739,833"
"13-May-2019","310.00","314.20","305.30","306.90","40,101,505"
"14-May-2019","307.85","316.75","305.10","314.65","30,521,436"
"15-May-2019","316.20","317.90","311.00","312.10","27,932,459"
"16-May-2019","312.50","317.10","309.55","315.75","18,147,559"
"17-May-2019","315.65","321.95","313.45","319.25","25,838,962"
"20-May-2019","332.00","345.80","331.00","344.70","53,207,071"
"21-May-2019","345.90","347.55","336.25","337.55","33,457,162"
"22-May-2019","338.90","342.60","333.55","341.10","32,002,499"
"23-May-2019","353.00","364.00","339.20","342.20","74,413,322"
"24-May-2019","344.95","357.00","343.50","355.35","35,703,403"
"27-May-2019","355.05","362.50","354.00","361.70","31,374,994"
"28-May-2019","360.95","361.70","356.65","360.05","23,501,608"
"29-May-2019","358.00","359.00","347.15","348.65","28,370,210"
"30-May-2019","349.75","355.00","347.50","353.55","25,712,604"
"31-May-2019","354.35","357.90","344.65","352.50","32,588,069"
"03-Jun-2019","352.35","356.45","349.65","355.45","18,380,919"
"04-Jun-2019","354.00","357.20","351.40","352.40","18,130,636"
"06-Jun-2019","349.00","349.60","335.90","336.90","41,941,144"
"07-Jun-2019","337.00","342.75","336.00","342.05","29,739,710"
"10-Jun-2019","346.00","347.30","340.15","344.30","20,500,542"
"11-Jun-2019","345.05","348.30","342.85","347.10","16,281,297"
"12-Jun-2019","346.95","346.95","342.30","344.00","11,564,970"
"13-Jun-2019","343.00","347.45","339.80","346.50","15,509,948"
"14-Jun-2019","345.50","346.35","342.55","343.80","10,347,594"
"17-Jun-2019","343.75","343.75","336.95","337.85","13,779,496"
"18-Jun-2019","335.50","344.00","333.80","340.05","21,957,480"
"19-Jun-2019","343.10","345.20","335.50","338.85","16,416,903"
"20-Jun-2019","341.00","346.25","335.60","345.15","20,626,861"
"21-Jun-2019","344.80","350.70","343.15","349.40","24,749,090"
"24-Jun-2019","350.00","354.75","349.65","353.20","17,919,504"
"25-Jun-2019","352.70","357.00","351.25","356.55","15,922,634"
"26-Jun-2019","355.75","359.00","354.30","358.15","15,835,579"
"27-Jun-2019","358.10","363.00","357.25","362.15","29,658,120"
"28-Jun-2019","362.20","365.00","358.70","361.25","22,708,464"
"01-Jul-2019","362.80","363.00","358.50","361.55","12,348,793"
"02-Jul-2019","362.15","365.00","360.35","364.50","14,482,172"
"03-Jul-2019","365.25","366.70","363.00","366.15","12,626,285"
"04-Jul-2019","367.25","370.90","366.20","367.40","19,252,646"
"05-Jul-2019","369.45","373.60","366.00","370.65","30,019,347"
"08-Jul-2019","368.00","368.45","353.50","355.30","27,247,892"
"09-Jul-2019","353.50","360.00","352.50","359.50","16,579,914"
"10-Jul-2019","360.55","361.50","351.30","354.20","18,681,819"
"11-Jul-2019","358.50","364.00","357.00","363.20","20,048,321"
"12-Jul-2019","363.00","366.55","361.50","363.60","14,661,748"
"15-Jul-2019","364.10","365.00","357.60","360.05","15,665,939"
"16-Jul-2019","358.50","366.00","357.65","364.35","16,251,836"
"17-Jul-2019","364.05","373.55","363.05","372.40","17,545,177"
"18-Jul-2019","371.95","373.80","362.55","363.65","21,691,056"
"19-Jul-2019","365.10","366.05","355.15","356.00","22,213,173"
"22-Jul-2019","356.00","359.55","348.70","350.85","19,682,038"
"23-Jul-2019","351.20","353.00","341.00","342.20","27,956,145"
"24-Jul-2019","341.85","344.70","336.25","339.60","20,823,143"
"25-Jul-2019","341.70","343.20","337.40","341.30","19,857,643"
"26-Jul-2019","340.80","346.15","340.50","342.60","16,139,052"
"29-Jul-2019","343.95","346.55","336.80","343.80","17,060,483"
"30-Jul-2019","344.40","346.70","325.85","327.55","24,437,235"
"31-Jul-2019","325.10","333.20","323.90","332.20","22,741,445"
"01-Aug-2019","330.80","331.50","311.35","317.15","40,853,304"
"02-Aug-2019","315.55","322.25","307.05","308.45","64,472,348"
"05-Aug-2019","298.45","302.85","291.70","300.25","48,815,899"
"06-Aug-2019","298.80","304.25","297.25","301.40","30,442,970"
"07-Aug-2019","302.40","302.45","288.80","289.90","30,820,114"
"08-Aug-2019","290.00","295.50","285.60","294.35","32,929,233"
"09-Aug-2019","296.30","298.00","290.05","291.35","23,377,581"
"13-Aug-2019","290.90","291.55","282.50","283.35","24,231,272"
"14-Aug-2019","285.05","291.25","284.50","289.75","18,523,649"
"16-Aug-2019","287.95","292.80","284.30","290.90","20,047,399"
"19-Aug-2019","292.00","292.40","286.00","286.85","19,831,459"
"20-Aug-2019","287.30","287.40","280.65","283.70","23,204,417"
"21-Aug-2019","285.50","285.60","276.30","277.40","28,226,325"
"22-Aug-2019","278.30","278.30","267.30","268.55","27,728,925"
"23-Aug-2019","267.10","275.25","262.70","271.10","35,212,444"
"26-Aug-2019","288.00","288.00","270.00","280.20","64,066,440"
"27-Aug-2019","284.00","288.00","282.60","285.70","45,164,811"
