"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","827.50","834.75","823.50","833.50","463,290"
"02-Jan-2019","829.90","838.00","812.75","815.50","821,812"
"03-Jan-2019","818.00","819.00","798.00","799.70","959,578"
"04-Jan-2019","802.10","810.80","793.00","806.15","1,069,003"
"07-Jan-2019","810.20","824.80","808.00","820.65","1,071,590"
"08-Jan-2019","820.00","839.45","811.30","836.60","1,023,730"
"09-Jan-2019","840.00","844.30","826.50","835.30","4,005,124"
"10-Jan-2019","834.60","837.45","819.00","820.20","819,813"
"11-Jan-2019","822.50","832.65","811.80","814.25","1,217,852"
"14-Jan-2019","815.00","818.00","807.00","813.70","734,030"
"15-Jan-2019","815.90","821.85","802.70","815.50","2,626,359"
"16-Jan-2019","820.80","841.45","820.80","826.30","1,926,154"
"17-Jan-2019","831.45","839.40","821.00","828.10","997,585"
"18-Jan-2019","828.90","834.55","818.20","824.95","959,572"
"21-Jan-2019","828.00","828.00","811.95","815.65","506,429"
"22-Jan-2019","812.00","812.70","800.20","804.35","756,105"
"23-Jan-2019","805.60","806.50","777.00","782.15","1,572,530"
"24-Jan-2019","782.00","793.00","778.00","785.80","1,009,447"
"25-Jan-2019","786.90","794.60","757.05","759.60","991,355"
"28-Jan-2019","763.00","763.00","727.20","732.80","1,265,661"
"29-Jan-2019","722.00","743.60","722.00","733.50","991,737"
"30-Jan-2019","739.00","741.00","718.00","725.00","1,472,628"
"31-Jan-2019","730.00","733.45","714.50","721.00","2,616,247"
"01-Feb-2019","724.05","729.60","708.85","718.95","1,307,460"
"04-Feb-2019","719.60","719.85","701.00","706.75","1,007,710"
"05-Feb-2019","706.80","714.00","698.00","703.95","1,169,479"
"06-Feb-2019","705.05","739.85","705.05","733.50","1,587,847"
"07-Feb-2019","738.05","756.80","730.90","752.75","2,848,786"
"08-Feb-2019","760.00","764.05","708.40","717.95","3,991,393"
"11-Feb-2019","710.30","724.00","704.35","716.65","1,181,227"
"12-Feb-2019","717.00","727.90","710.00","718.85","1,187,659"
"13-Feb-2019","721.00","727.45","714.55","717.15","680,106"
"14-Feb-2019","714.00","723.50","710.10","718.90","669,502"
"15-Feb-2019","721.50","722.35","689.10","706.75","1,358,479"
"18-Feb-2019","711.95","711.95","693.80","699.85","1,158,588"
"19-Feb-2019","702.50","724.00","697.20","718.35","1,770,799"
"20-Feb-2019","721.30","733.50","721.30","730.70","1,109,901"
"21-Feb-2019","726.30","751.65","725.05","747.80","1,721,402"
"22-Feb-2019","747.00","762.00","742.05","758.70","1,523,930"
"25-Feb-2019","762.00","781.50","750.00","778.65","1,901,398"
"26-Feb-2019","774.00","785.65","762.60","781.00","1,452,437"
"27-Feb-2019","782.95","796.90","776.30","782.40","1,235,553"
"28-Feb-2019","788.90","790.50","773.50","777.05","1,294,690"
"01-Mar-2019","780.50","794.60","778.05","791.75","1,158,050"
"05-Mar-2019","791.50","813.45","789.45","810.15","1,238,834"
"06-Mar-2019","818.90","822.20","804.50","820.10","1,119,970"
"07-Mar-2019","821.00","824.35","808.50","810.20","1,121,059"
"08-Mar-2019","810.25","812.35","797.30","807.05","1,267,215"
"11-Mar-2019","809.00","831.95","808.25","827.50","1,243,742"
"12-Mar-2019","831.90","838.60","826.20","830.80","1,272,425"
"13-Mar-2019","832.00","834.20","821.00","823.15","605,280"
"14-Mar-2019","823.15","837.40","808.50","832.90","1,064,493"
"15-Mar-2019","838.10","845.80","824.05","829.85","1,750,118"
"18-Mar-2019","816.50","823.50","806.10","818.55","2,084,748"
"19-Mar-2019","820.00","832.80","815.10","822.30","1,404,225"
"20-Mar-2019","827.00","829.10","811.65","817.65","1,412,859"
"22-Mar-2019","821.00","829.00","814.60","820.10","1,683,565"
"25-Mar-2019","815.00","817.00","808.00","815.40","985,371"
"26-Mar-2019","820.00","838.80","816.10","836.70","1,077,359"
"27-Mar-2019","843.00","844.40","825.00","828.60","1,135,187"
"28-Mar-2019","828.60","841.45","823.70","830.15","1,010,951"
"29-Mar-2019","838.80","861.00","828.25","857.95","1,635,606"
"01-Apr-2019","867.65","871.00","851.75","857.35","1,722,012"
"02-Apr-2019","857.35","859.60","837.50","845.65","1,290,864"
"03-Apr-2019","847.15","852.10","828.00","831.70","1,015,377"
"04-Apr-2019","834.20","840.70","825.40","834.90","1,220,209"
"05-Apr-2019","835.00","852.90","828.85","848.95","2,003,216"
"08-Apr-2019","855.00","858.20","837.00","840.45","905,102"
"09-Apr-2019","837.00","849.10","829.00","846.00","679,796"
"10-Apr-2019","839.00","853.75","838.25","847.30","874,178"
"11-Apr-2019","848.00","853.00","843.35","848.75","1,059,178"
"12-Apr-2019","852.45","860.85","840.20","853.45","1,368,130"
"15-Apr-2019","853.50","869.00","852.65","866.00","955,859"
"16-Apr-2019","869.90","885.00","866.05","883.55","1,633,282"
"18-Apr-2019","887.40","887.90","861.60","867.25","1,047,651"
"22-Apr-2019","866.50","871.40","855.10","863.90","871,986"
"23-Apr-2019","864.00","873.80","856.30","869.45","1,220,925"
"24-Apr-2019","867.50","887.00","849.60","880.55","1,831,558"
"25-Apr-2019","876.10","940.00","876.10","924.80","7,135,560"
"26-Apr-2019","926.45","934.00","898.10","913.45","2,545,038"
"30-Apr-2019","918.00","923.80","896.75","901.20","1,444,739"
"02-May-2019","900.00","907.15","891.35","899.30","1,021,401"
"03-May-2019","900.00","909.95","881.55","898.65","1,083,056"
"06-May-2019","888.75","898.50","885.35","896.55","872,860"
"07-May-2019","900.00","906.90","865.50","872.35","1,375,348"
"08-May-2019","874.80","879.80","862.00","870.95","1,170,460"
"09-May-2019","864.00","873.00","857.05","869.00","854,077"
"10-May-2019","874.95","875.00","853.30","857.60","633,012"
"13-May-2019","854.30","854.40","833.35","837.95","652,682"
"14-May-2019","840.15","851.25","817.70","845.55","1,341,517"
"15-May-2019","846.00","847.00","810.10","814.80","1,299,508"
"16-May-2019","815.00","826.70","804.85","820.10","1,463,357"
"17-May-2019","819.00","833.60","814.30","828.95","1,774,033"
"20-May-2019","843.00","894.00","843.00","890.30","1,949,145"
"21-May-2019","902.70","902.70","862.00","865.60","1,265,452"
"22-May-2019","868.60","868.60","849.00","857.35","1,361,942"
"23-May-2019","872.00","905.70","861.55","886.55","3,420,575"
"24-May-2019","892.05","914.55","878.00","910.05","2,194,830"
"27-May-2019","905.00","959.80","896.55","935.30","3,423,163"
"28-May-2019","938.00","938.00","907.75","910.95","5,213,864"
"29-May-2019","911.00","915.50","901.55","910.50","1,351,790"
"30-May-2019","912.00","919.80","898.70","911.45","2,245,342"
"31-May-2019","912.50","913.00","878.80","886.10","2,989,460"
"03-Jun-2019","890.10","896.90","885.00","895.05","1,327,630"
"04-Jun-2019","890.00","903.90","883.30","886.50","997,897"
"06-Jun-2019","889.90","889.90","852.35","869.55","2,884,482"
"07-Jun-2019","872.00","877.35","856.95","871.45","1,244,825"
"10-Jun-2019","876.80","884.45","864.85","880.95","1,270,546"
"11-Jun-2019","884.95","895.80","876.50","890.10","1,278,396"
"12-Jun-2019","886.00","895.95","877.30","888.30","821,912"
"13-Jun-2019","884.00","907.50","869.70","904.60","1,516,431"
"14-Jun-2019","904.00","906.60","892.90","899.00","1,850,574"
"17-Jun-2019","897.10","900.00","873.80","879.35","1,482,691"
