"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","17,260.00","17,356.25","16,656.70","16,973.25","12,171"
"02-Jan-2019","16,969.75","17,198.00","16,772.00","16,939.95","13,931"
"03-Jan-2019","16,870.00","17,331.40","16,800.00","16,948.40","24,843"
"04-Jan-2019","16,850.10","17,020.00","16,609.40","16,737.10","30,506"
"07-Jan-2019","16,950.00","16,984.90","16,800.10","16,921.70","11,758"
"08-Jan-2019","16,851.20","16,898.80","16,613.00","16,753.85","10,883"
"09-Jan-2019","16,875.00","16,940.50","16,220.30","16,345.40","23,593"
"10-Jan-2019","16,470.00","16,600.00","16,299.80","16,496.15","9,641"
"11-Jan-2019","16,331.20","16,359.50","15,820.00","15,913.20","47,981"
"14-Jan-2019","16,080.00","16,080.00","15,401.35","15,496.55","43,144"
"15-Jan-2019","15,500.00","15,878.00","15,460.15","15,618.70","23,989"
"16-Jan-2019","15,760.00","15,900.00","15,651.60","15,822.95","16,308"
"17-Jan-2019","15,900.00","16,240.00","15,726.20","15,914.70","16,720"
"18-Jan-2019","15,900.00","15,979.00","15,475.00","15,590.25","16,832"
"21-Jan-2019","15,560.00","15,749.00","15,410.00","15,678.70","6,880"
"22-Jan-2019","15,620.00","16,199.00","15,225.00","15,917.55","97,794"
"23-Jan-2019","15,860.00","16,638.50","15,820.05","16,103.35","50,789"
"24-Jan-2019","16,005.45","16,250.00","15,611.40","16,170.55","27,535"
"25-Jan-2019","16,225.00","16,318.30","15,512.05","15,723.20","34,071"
"28-Jan-2019","15,710.05","15,800.00","14,951.10","15,052.40","29,244"
"29-Jan-2019","15,030.00","15,525.00","14,855.00","15,456.35","29,614"
"30-Jan-2019","15,460.00","15,590.25","15,175.30","15,450.35","16,654"
"31-Jan-2019","15,499.85","15,912.25","15,450.00","15,714.70","36,653"
"01-Feb-2019","15,802.00","16,140.00","15,600.00","15,782.00","39,190"
"04-Feb-2019","15,610.00","15,988.90","15,527.65","15,906.90","13,365"
"05-Feb-2019","15,860.00","15,944.00","15,600.50","15,675.65","11,291"
"06-Feb-2019","15,800.00","16,150.00","15,614.05","16,031.15","13,200"
"07-Feb-2019","16,136.50","16,388.85","15,999.90","16,245.70","15,911"
"08-Feb-2019","16,193.50","16,493.20","15,850.00","16,192.80","19,404"
"11-Feb-2019","16,100.00","16,190.00","15,825.10","15,963.35","11,517"
"12-Feb-2019","15,950.00","16,217.95","15,731.00","15,821.35","14,344"
"13-Feb-2019","15,969.00","15,969.00","15,531.60","15,605.35","17,175"
"14-Feb-2019","15,556.00","15,650.00","15,250.00","15,607.65","13,582"
"15-Feb-2019","15,467.05","15,660.00","15,077.65","15,614.65","17,211"
"18-Feb-2019","15,588.00","15,588.00","15,046.45","15,272.10","29,892"
"19-Feb-2019","15,369.95","15,431.05","15,179.25","15,319.05","26,489"
"20-Feb-2019","15,379.95","15,844.00","15,350.00","15,706.20","28,950"
"21-Feb-2019","15,632.00","16,240.60","15,632.00","16,104.65","29,323"
"22-Feb-2019","16,000.15","16,340.00","15,809.60","16,146.00","11,780"
"25-Feb-2019","16,249.00","16,620.00","16,172.05","16,515.85","19,223"
"26-Feb-2019","16,311.20","16,926.70","16,311.20","16,594.15","33,129"
"27-Feb-2019","16,699.00","17,155.10","16,519.95","16,719.65","35,008"
"28-Feb-2019","16,798.10","16,948.95","16,434.35","16,592.80","24,556"
"01-Mar-2019","16,612.00","16,835.65","16,562.05","16,687.35","27,102"
"05-Mar-2019","16,759.00","17,377.00","16,687.35","17,246.30","31,504"
"06-Mar-2019","17,200.00","17,644.45","17,160.05","17,474.20","30,011"
"07-Mar-2019","17,540.00","17,696.90","17,290.55","17,468.50","27,342"
"08-Mar-2019","17,450.00","17,669.90","17,350.00","17,629.40","15,235"
