"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","4,000.00","4,014.35","3,966.25","4,009.20","92,921"
"02-Jan-2019","4,000.00","4,018.95","3,973.95","4,006.10","143,828"
"03-Jan-2019","4,010.00","4,015.00","3,875.95","3,900.05","223,538"
"04-Jan-2019","3,928.00","3,928.00","3,853.00","3,914.55","220,079"
"07-Jan-2019","3,935.00","3,985.40","3,913.85","3,926.75","220,371"
"08-Jan-2019","3,915.00","3,943.45","3,840.00","3,916.30","271,012"
"09-Jan-2019","3,917.00","3,934.90","3,800.00","3,817.25","248,627"
"10-Jan-2019","3,820.00","3,847.00","3,804.05","3,818.20","138,524"
"11-Jan-2019","3,818.20","3,851.55","3,751.10","3,770.20","248,857"
"14-Jan-2019","3,770.20","3,796.95","3,737.95","3,776.60","198,557"
"15-Jan-2019","3,792.00","3,845.00","3,771.05","3,827.65","298,881"
"16-Jan-2019","3,843.00","3,908.00","3,835.20","3,887.00","201,711"
"17-Jan-2019","3,892.00","3,914.75","3,810.00","3,846.45","235,993"
"18-Jan-2019","3,859.00","3,859.00","3,771.60","3,819.95","237,908"
"21-Jan-2019","3,810.00","3,867.50","3,790.00","3,849.55","279,969"
"22-Jan-2019","3,850.00","3,887.00","3,800.90","3,860.50","220,491"
"23-Jan-2019","3,862.00","3,886.05","3,840.75","3,850.65","171,340"
"24-Jan-2019","3,856.00","3,878.55","3,770.05","3,790.70","808,713"
"25-Jan-2019","3,800.00","3,800.00","3,480.05","3,510.80","1,593,195"
"28-Jan-2019","3,510.00","3,510.00","3,332.45","3,374.45","1,260,559"
"29-Jan-2019","3,375.00","3,509.90","3,370.00","3,409.65","754,743"
"30-Jan-2019","3,420.00","3,467.30","3,365.00","3,442.20","303,793"
"31-Jan-2019","3,454.00","3,540.00","3,432.10","3,519.35","621,043"
"01-Feb-2019","3,530.00","3,538.55","3,446.00","3,483.65","745,604"
"04-Feb-2019","3,480.05","3,496.90","3,402.00","3,447.50","320,227"
"05-Feb-2019","3,447.50","3,472.00","3,410.00","3,461.75","286,515"
"06-Feb-2019","3,484.90","3,534.90","3,441.00","3,510.35","341,588"
"07-Feb-2019","3,509.70","3,606.85","3,497.50","3,570.55","367,134"
"08-Feb-2019","3,535.00","3,587.95","3,515.25","3,557.80","287,105"
"11-Feb-2019","3,565.60","3,565.60","3,440.10","3,449.40","206,491"
"12-Feb-2019","3,440.00","3,498.30","3,415.05","3,452.35","266,527"
"13-Feb-2019","3,482.70","3,496.80","3,450.00","3,472.25","191,197"
"14-Feb-2019","3,454.00","3,503.75","3,426.65","3,494.90","156,493"
"15-Feb-2019","3,489.90","3,489.90","3,367.05","3,439.45","276,417"
"18-Feb-2019","3,452.00","3,459.00","3,380.00","3,429.25","270,262"
"19-Feb-2019","3,410.15","3,504.95","3,410.15","3,467.60","213,945"
"20-Feb-2019","3,474.10","3,597.00","3,471.10","3,573.35","243,815"
"21-Feb-2019","3,583.00","3,654.00","3,560.00","3,631.25","394,248"
"22-Feb-2019","3,631.00","3,664.50","3,604.85","3,625.70","216,855"
"25-Feb-2019","3,620.00","3,724.45","3,617.00","3,716.60","445,514"
"26-Feb-2019","3,690.00","3,816.00","3,676.05","3,788.55","700,811"
"27-Feb-2019","3,810.00","3,905.00","3,801.70","3,889.10","681,050"
"28-Feb-2019","3,915.00","3,915.00","3,790.00","3,826.50","718,074"
"01-Mar-2019","3,839.90","3,899.50","3,826.55","3,878.35","270,365"
"05-Mar-2019","3,893.90","3,978.70","3,870.05","3,962.20","367,903"
"06-Mar-2019","3,963.00","4,020.00","3,935.80","3,978.65","349,217"
"07-Mar-2019","3,978.80","3,987.80","3,900.35","3,912.80","382,836"
"08-Mar-2019","3,924.80","3,986.15","3,885.50","3,972.00","253,766"
"11-Mar-2019","3,975.50","4,057.50","3,955.65","4,049.15","389,964"
"12-Mar-2019","4,063.90","4,147.95","4,050.50","4,095.75","609,648"
"13-Mar-2019","4,099.00","4,140.00","4,011.05","4,025.65","380,923"
"14-Mar-2019","4,036.90","4,061.15","3,932.00","3,964.15","301,915"
"15-Mar-2019","3,990.00","3,990.00","3,905.00","3,916.10","339,118"
"18-Mar-2019","3,949.00","3,979.00","3,918.05","3,970.20","286,827"
"19-Mar-2019","3,970.20","4,012.00","3,960.05","3,978.00","370,780"
"20-Mar-2019","4,004.70","4,009.75","3,910.90","3,922.30","295,550"
