"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,112.70","1,116.00","1,095.15","1,101.95","191,084"
"02-Jan-2019","1,103.10","1,116.20","1,088.30","1,107.65","410,838"
"03-Jan-2019","1,102.40","1,119.40","1,100.50","1,109.25","261,246"
"04-Jan-2019","1,109.30","1,118.40","1,103.30","1,105.70","272,802"
"07-Jan-2019","1,108.25","1,114.80","1,092.70","1,102.60","225,286"
"08-Jan-2019","1,103.00","1,108.00","1,092.60","1,102.90","211,092"
"09-Jan-2019","1,104.30","1,117.00","1,093.35","1,098.10","626,835"
"10-Jan-2019","1,095.00","1,127.25","1,087.00","1,115.15","847,082"
"11-Jan-2019","1,116.00","1,133.00","1,103.60","1,109.25","1,029,534"
"14-Jan-2019","1,114.90","1,140.75","1,100.00","1,134.65","1,001,695"
"15-Jan-2019","1,139.90","1,178.75","1,135.70","1,168.90","1,538,604"
"16-Jan-2019","1,164.50","1,171.70","1,150.20","1,154.00","408,227"
"17-Jan-2019","1,156.95","1,165.65","1,148.70","1,151.55","323,531"
"18-Jan-2019","1,152.00","1,162.60","1,140.35","1,148.80","289,024"
"21-Jan-2019","1,150.00","1,168.00","1,144.00","1,155.15","329,568"
"22-Jan-2019","1,160.00","1,167.50","1,145.45","1,152.80","553,067"
"23-Jan-2019","1,160.60","1,161.95","1,128.50","1,131.45","544,213"
"24-Jan-2019","1,110.05","1,139.45","1,091.00","1,109.35","2,220,551"
"25-Jan-2019","1,119.00","1,137.60","1,109.15","1,129.80","1,102,595"
"28-Jan-2019","1,132.00","1,135.00","1,098.10","1,102.00","428,568"
"29-Jan-2019","1,100.65","1,119.90","1,091.25","1,105.85","313,627"
"30-Jan-2019","1,100.00","1,118.00","1,072.15","1,110.10","1,000,557"
"31-Jan-2019","1,106.10","1,125.00","1,091.50","1,119.75","1,103,140"
"01-Feb-2019","1,120.95","1,144.00","1,112.50","1,122.80","944,639"
"04-Feb-2019","1,114.00","1,133.95","1,096.10","1,121.20","740,899"
"05-Feb-2019","1,125.55","1,134.20","1,115.95","1,119.30","360,603"
"06-Feb-2019","1,120.05","1,132.25","1,114.10","1,125.00","242,917"
"07-Feb-2019","1,120.00","1,167.90","1,120.00","1,163.65","683,439"
"08-Feb-2019","1,160.05","1,167.10","1,142.10","1,150.10","504,854"
"11-Feb-2019","1,150.00","1,161.90","1,117.25","1,125.55","296,657"
"12-Feb-2019","1,127.00","1,142.90","1,108.50","1,135.85","667,613"
"13-Feb-2019","1,143.95","1,144.35","1,121.50","1,129.65","297,669"
"14-Feb-2019","1,130.05","1,131.90","1,111.10","1,113.40","290,641"
"15-Feb-2019","1,113.90","1,117.85","1,080.15","1,096.10","565,406"
"18-Feb-2019","1,096.95","1,105.00","1,046.20","1,079.75","1,090,272"
"19-Feb-2019","1,079.90","1,093.00","1,052.15","1,056.30","570,531"
"20-Feb-2019","1,056.50","1,084.70","1,056.50","1,074.95","385,171"
"21-Feb-2019","1,075.10","1,083.00","1,066.15","1,073.95","267,663"
"22-Feb-2019","1,071.40","1,086.85","1,065.50","1,076.70","289,402"
"25-Feb-2019","1,077.10","1,111.80","1,076.00","1,105.70","672,893"
"26-Feb-2019","1,104.00","1,132.00","1,080.00","1,126.60","474,694"
"27-Feb-2019","1,123.55","1,154.00","1,114.05","1,147.25","1,053,018"
"28-Feb-2019","1,150.00","1,161.90","1,140.35","1,152.45","628,267"
"01-Mar-2019","1,151.00","1,158.75","1,132.10","1,144.15","359,987"
"05-Mar-2019","1,150.00","1,154.50","1,136.20","1,142.30","282,747"
"06-Mar-2019","1,146.95","1,169.70","1,136.80","1,142.05","944,322"
"07-Mar-2019","1,144.50","1,149.90","1,130.00","1,133.95","310,567"
"08-Mar-2019","1,136.45","1,139.95","1,112.20","1,124.50","442,801"
"11-Mar-2019","1,125.55","1,141.65","1,124.30","1,138.15","390,822"
"12-Mar-2019","1,145.15","1,149.40","1,128.00","1,131.75","696,383"
"13-Mar-2019","1,134.05","1,182.00","1,131.15","1,176.40","1,467,625"
"14-Mar-2019","1,190.00","1,190.00","1,162.10","1,169.95","1,351,930"
"15-Mar-2019","1,171.00","1,193.85","1,160.00","1,165.45","718,477"
"18-Mar-2019","1,167.50","1,181.70","1,161.00","1,175.35","325,288"
"19-Mar-2019","1,175.25","1,190.00","1,170.10","1,176.40","436,846"
"20-Mar-2019","1,182.00","1,187.00","1,165.00","1,176.75","434,584"
"22-Mar-2019","1,175.00","1,200.00","1,175.00","1,185.00","668,502"
"25-Mar-2019","1,177.00","1,185.00","1,167.00","1,179.55","222,241"
"26-Mar-2019","1,174.10","1,240.00","1,174.10","1,226.55","2,027,145"
"27-Mar-2019","1,230.00","1,237.05","1,213.55","1,224.00","900,753"
"28-Mar-2019","1,225.00","1,243.50","1,217.00","1,225.95","739,727"
"29-Mar-2019","1,234.00","1,250.00","1,226.50","1,246.25","655,264"
"01-Apr-2019","1,250.00","1,266.00","1,245.65","1,252.65","526,908"
"02-Apr-2019","1,259.95","1,265.00","1,242.00","1,258.10","381,462"
"03-Apr-2019","1,263.55","1,297.00","1,252.55","1,277.00","1,154,984"
"04-Apr-2019","1,284.95","1,294.50","1,263.50","1,288.10","1,011,307"
"05-Apr-2019","1,289.00","1,295.95","1,280.20","1,286.60","273,778"
"08-Apr-2019","1,285.00","1,289.20","1,272.10","1,284.95","343,351"
"09-Apr-2019","1,278.55","1,278.90","1,263.65","1,274.65","318,969"
"10-Apr-2019","1,270.00","1,286.20","1,270.00","1,282.15","274,600"
"11-Apr-2019","1,281.00","1,295.55","1,270.05","1,277.35","396,839"
"12-Apr-2019","1,280.80","1,294.00","1,277.35","1,290.20","327,863"
"15-Apr-2019","1,284.25","1,312.60","1,280.00","1,300.80","617,495"
"16-Apr-2019","1,300.00","1,303.00","1,287.50","1,291.75","209,130"
"18-Apr-2019","1,284.95","1,302.70","1,252.10","1,255.50","487,810"
"22-Apr-2019","1,250.00","1,251.95","1,223.50","1,229.95","292,709"
"23-Apr-2019","1,225.80","1,230.00","1,195.00","1,206.85","749,531"
"24-Apr-2019","1,213.00","1,227.50","1,210.00","1,221.95","387,858"
"25-Apr-2019","1,223.50","1,238.30","1,205.00","1,208.10","857,055"
"26-Apr-2019","1,217.80","1,229.85","1,208.00","1,221.40","341,399"
"30-Apr-2019","1,224.00","1,243.00","1,211.60","1,234.55","506,068"
"02-May-2019","1,229.00","1,255.00","1,225.20","1,228.80","1,283,973"
"03-May-2019","1,238.45","1,238.45","1,193.55","1,201.50","624,114"
"06-May-2019","1,200.00","1,200.00","1,178.00","1,187.85","612,571"
"07-May-2019","1,189.35","1,199.90","1,174.00","1,178.70","345,642"
"08-May-2019","1,178.30","1,183.20","1,157.70","1,164.35","422,536"
"09-May-2019","1,167.00","1,178.65","1,154.45","1,159.50","307,441"
"10-May-2019","1,160.00","1,178.75","1,153.00","1,167.85","303,672"
"13-May-2019","1,167.20","1,174.10","1,150.05","1,154.45","214,577"
"14-May-2019","1,150.00","1,157.25","1,131.30","1,139.20","537,325"
"15-May-2019","1,099.00","1,178.70","1,095.00","1,164.55","2,844,997"
"16-May-2019","1,155.30","1,169.70","1,145.05","1,153.85","550,396"
"17-May-2019","1,157.40","1,174.80","1,148.40","1,162.20","619,197"
"20-May-2019","1,180.00","1,230.00","1,171.60","1,217.00","759,417"
"21-May-2019","1,218.00","1,218.00","1,186.10","1,199.85","528,609"
"22-May-2019","1,204.90","1,215.95","1,182.55","1,211.60","401,367"
"23-May-2019","1,216.65","1,230.00","1,195.45","1,199.60","511,235"
"24-May-2019","1,208.00","1,250.00","1,185.25","1,237.60","993,693"
"27-May-2019","1,234.80","1,241.85","1,216.90","1,229.00","500,765"
"28-May-2019","1,234.00","1,275.00","1,224.60","1,266.15","1,320,148"
"29-May-2019","1,264.45","1,275.00","1,250.05","1,271.00","516,483"
"30-May-2019","1,269.80","1,282.05","1,260.00","1,268.70","660,117"
"31-May-2019","1,268.00","1,301.40","1,264.10","1,289.65","1,080,171"
"03-Jun-2019","1,297.70","1,304.20","1,282.40","1,295.70","595,015"
"04-Jun-2019","1,292.80","1,293.05","1,273.50","1,279.50","659,730"
"06-Jun-2019","1,287.00","1,287.00","1,261.00","1,270.20","537,351"
