"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","760.00","765.70","746.50","753.50","1,610,248"
"02-Jan-2019","750.00","758.45","744.00","756.50","1,308,043"
"03-Jan-2019","755.00","757.95","744.25","746.65","1,053,144"
"04-Jan-2019","748.80","759.25","743.10","756.40","1,060,318"
"07-Jan-2019","760.00","767.75","759.00","763.75","1,589,933"
"08-Jan-2019","763.50","765.00","748.00","752.20","981,440"
"09-Jan-2019","758.00","767.00","753.45","764.80","1,039,851"
"10-Jan-2019","765.80","780.00","765.05","773.10","2,401,210"
"11-Jan-2019","775.00","787.00","773.00","783.45","2,603,033"
"14-Jan-2019","784.00","784.00","766.90","770.40","1,392,118"
"15-Jan-2019","772.60","782.10","771.95","775.95","1,364,863"
"16-Jan-2019","775.95","775.95","752.60","766.10","2,584,090"
"17-Jan-2019","767.65","773.55","761.75","769.05","1,442,884"
"18-Jan-2019","768.00","771.00","764.00","766.05","919,475"
"21-Jan-2019","765.00","772.85","756.20","769.15","1,127,435"
"22-Jan-2019","766.20","772.05","753.45","763.30","1,416,981"
"23-Jan-2019","764.00","782.15","759.85","762.85","2,336,913"
"24-Jan-2019","765.00","767.35","742.95","747.35","2,109,205"
"25-Jan-2019","753.00","767.10","747.00","753.10","1,770,239"
"28-Jan-2019","755.00","764.00","744.00","760.05","1,226,284"
"29-Jan-2019","757.50","767.45","747.05","760.30","1,134,462"
"30-Jan-2019","763.10","770.00","755.30","767.35","1,057,185"
"31-Jan-2019","775.70","789.90","764.20","786.50","2,299,676"
"01-Feb-2019","799.75","799.75","766.40","779.85","2,960,388"
"04-Feb-2019","771.25","775.05","758.00","770.90","1,254,011"
"05-Feb-2019","772.85","800.00","772.85","795.95","2,516,447"
"06-Feb-2019","802.00","810.00","796.25","805.25","3,747,561"
"07-Feb-2019","805.25","817.50","802.30","809.00","1,667,638"
"08-Feb-2019","804.50","816.80","800.60","812.20","1,395,055"
"11-Feb-2019","812.00","815.00","801.45","805.85","1,159,530"
"12-Feb-2019","807.00","812.50","791.65","796.20","2,037,705"
"13-Feb-2019","794.00","824.00","792.35","817.20","3,034,355"
"14-Feb-2019","814.30","824.50","811.65","821.05","1,743,651"
"15-Feb-2019","819.00","821.00","806.20","818.35","1,867,644"
"18-Feb-2019","819.25","830.00","806.05","821.85","1,903,564"
"19-Feb-2019","821.00","824.45","812.00","816.45","1,485,171"
"20-Feb-2019","819.30","829.00","813.80","822.75","1,495,943"
"21-Feb-2019","825.00","832.70","818.00","826.25","1,044,953"
"22-Feb-2019","825.90","829.90","819.30","827.35","828,622"
"25-Feb-2019","828.00","851.90","828.00","847.65","3,685,601"
"26-Feb-2019","842.25","857.75","837.55","855.05","2,500,705"
"27-Feb-2019","856.85","871.90","856.85","869.30","3,139,617"
"28-Feb-2019","877.00","881.60","862.20","877.60","2,485,884"
"01-Mar-2019","876.10","881.90","868.15","869.75","1,659,613"
"05-Mar-2019","872.80","878.50","865.55","875.50","1,365,302"
"06-Mar-2019","879.00","884.60","866.70","877.35","2,096,752"
"07-Mar-2019","877.00","877.00","867.25","872.05","1,304,920"
"08-Mar-2019","871.30","885.00","863.55","881.75","1,780,245"
"11-Mar-2019","889.45","899.45","887.60","896.70","2,575,062"
"12-Mar-2019","900.00","906.90","893.65","898.30","2,202,033"
"13-Mar-2019","900.00","914.90","892.00","911.20","1,607,325"
"14-Mar-2019","911.20","916.25","900.30","903.75","1,367,655"
"15-Mar-2019","904.00","928.40","902.40","923.45","2,609,765"
"18-Mar-2019","923.50","935.95","916.80","927.10","1,280,561"
"19-Mar-2019","929.00","935.00","918.35","931.30","1,133,020"
"20-Mar-2019","930.00","939.80","927.10","935.40","900,335"
"22-Mar-2019","933.90","941.00","927.25","934.95","1,339,685"
"25-Mar-2019","930.00","931.70","905.80","912.70","2,309,109"
"26-Mar-2019","910.55","917.30","891.10","903.30","3,647,229"
"27-Mar-2019","903.35","911.95","894.55","901.90","2,085,332"
"28-Mar-2019","905.90","935.95","896.40","929.05","2,452,629"
"29-Mar-2019","930.10","962.90","926.05","958.85","2,110,469"
"01-Apr-2019","958.00","962.00","931.00","934.30","1,436,157"
"02-Apr-2019","940.00","940.00","915.50","927.10","1,940,263"
"03-Apr-2019","928.00","936.90","918.75","924.25","1,614,049"
"04-Apr-2019","920.60","935.30","901.00","931.50","2,377,767"
"05-Apr-2019","935.00","942.40","928.80","941.00","1,054,122"
"08-Apr-2019","938.00","950.90","933.65","946.80","1,892,458"
"09-Apr-2019","943.50","945.85","930.00","944.65","1,300,087"
"10-Apr-2019","938.00","945.50","923.40","925.95","1,540,216"
"11-Apr-2019","925.80","930.70","918.25","922.55","1,434,794"
"12-Apr-2019","922.45","929.75","911.00","925.80","1,151,008"
"15-Apr-2019","927.00","931.80","916.80","929.75","634,532"
"16-Apr-2019","935.00","939.60","925.65","933.90","1,108,757"
"18-Apr-2019","935.05","938.95","926.10","934.05","915,911"
"22-Apr-2019","931.10","942.35","922.95","937.30","981,962"
"23-Apr-2019","937.30","945.00","929.70","942.75","1,381,405"
"24-Apr-2019","942.75","951.00","941.10","948.20","1,554,387"
"25-Apr-2019","950.50","973.90","946.00","965.10","3,417,287"
"26-Apr-2019","970.55","972.70","958.55","970.35","1,254,591"
"30-Apr-2019","970.35","975.25","959.65","969.15","1,876,948"
"02-May-2019","967.00","973.00","955.05","963.90","1,081,955"
"03-May-2019","961.20","974.00","959.05","970.35","1,284,695"
"06-May-2019","965.75","965.75","938.55","949.80","3,209,489"
"07-May-2019","950.10","955.05","934.05","951.15","2,112,971"
"08-May-2019","953.00","968.40","945.40","961.65","2,384,763"
"09-May-2019","961.60","961.60","942.80","948.90","1,869,690"
"10-May-2019","951.00","962.95","947.00","959.00","876,783"
"13-May-2019","955.00","961.60","948.00","953.15","860,014"
"14-May-2019","953.20","958.05","938.70","955.10","1,159,391"
"15-May-2019","955.00","977.90","954.90","969.50","2,328,984"
"16-May-2019","969.50","982.95","957.15","970.85","2,322,742"
"17-May-2019","970.85","992.95","958.35","970.65","4,507,521"
"20-May-2019","980.35","1,023.00","965.35","1,018.85","2,757,852"
"21-May-2019","1,018.00","1,043.60","996.80","999.85","2,636,501"
"22-May-2019","1,000.00","1,018.95","991.35","1,014.65","1,605,787"
"23-May-2019","1,025.00","1,036.70","1,005.25","1,012.20","1,177,490"
"24-May-2019","1,015.00","1,024.40","1,012.45","1,020.85","1,140,646"
"27-May-2019","1,025.00","1,043.75","1,017.25","1,024.45","1,175,219"
"28-May-2019","1,023.00","1,040.00","1,011.90","1,015.55","2,088,317"
"29-May-2019","1,014.00","1,014.00","991.50","997.00","1,643,240"
"30-May-2019","992.30","1,013.80","987.20","1,005.85","2,430,852"
"31-May-2019","1,006.00","1,016.45","992.50","998.95","1,586,324"
"03-Jun-2019","1,005.00","1,010.85","993.60","1,007.10","1,116,588"
"04-Jun-2019","1,005.60","1,022.85","1,001.75","1,010.95","1,137,729"
"06-Jun-2019","1,014.00","1,018.00","996.85","1,012.20","1,603,855"
"07-Jun-2019","1,014.95","1,022.95","1,004.80","1,019.45","1,202,622"
"10-Jun-2019","1,021.00","1,026.65","1,003.65","1,016.40","1,504,225"
"11-Jun-2019","1,019.00","1,037.00","1,009.45","1,034.50","1,397,771"
"12-Jun-2019","1,030.25","1,040.00","1,013.20","1,020.75","1,063,652"
"13-Jun-2019","1,019.50","1,021.00","983.50","1,005.00","2,542,549"
"14-Jun-2019","1,005.00","1,014.50","996.45","1,006.00","1,044,308"
"17-Jun-2019","1,007.50","1,013.80","991.00","994.95","1,437,711"
"18-Jun-2019","994.00","1,003.50","988.00","999.70","1,125,228"
"19-Jun-2019","1,003.00","1,005.85","936.90","950.30","2,657,234"
"20-Jun-2019","940.55","940.55","833.00","870.25","12,905,733"
