"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","88.40","88.75","87.10","87.45","3,492,676"
"02-Jan-2019","87.25","90.25","86.75","89.70","10,231,387"
"03-Jan-2019","90.10","90.85","88.35","88.80","13,269,297"
"04-Jan-2019","88.90","92.15","88.50","91.85","11,509,090"
"07-Jan-2019","92.50","93.20","91.05","91.40","8,019,169"
"08-Jan-2019","91.50","91.85","90.05","90.85","4,701,564"
"09-Jan-2019","91.10","92.85","90.20","92.35","6,095,203"
"10-Jan-2019","91.90","93.00","91.50","92.40","5,849,807"
"11-Jan-2019","92.60","92.90","91.75","92.05","7,395,234"
"14-Jan-2019","91.90","92.55","89.70","91.60","5,311,400"
"15-Jan-2019","92.00","92.15","89.75","90.20","7,347,889"
"16-Jan-2019","90.50","91.25","88.40","88.90","5,854,118"
"17-Jan-2019","89.20","89.40","86.70","87.20","7,937,656"
"18-Jan-2019","87.90","88.25","86.05","86.35","3,889,202"
"21-Jan-2019","86.90","87.60","85.70","86.50","3,050,580"
"22-Jan-2019","86.95","87.40","84.35","85.15","6,518,284"
"23-Jan-2019","85.40","85.75","83.60","83.90","3,879,672"
"24-Jan-2019","83.95","84.30","82.40","82.80","4,472,876"
"25-Jan-2019","83.20","84.00","80.05","80.35","5,902,826"
"28-Jan-2019","80.35","81.10","79.05","79.70","4,549,401"
"29-Jan-2019","79.95","82.40","79.60","81.85","8,696,417"
"30-Jan-2019","82.35","84.65","82.00","84.00","7,771,973"
"31-Jan-2019","87.60","88.00","83.35","83.65","29,020,309"
"01-Feb-2019","84.15","86.20","83.25","84.60","9,737,752"
"04-Feb-2019","84.50","84.50","81.65","82.80","3,762,635"
"05-Feb-2019","81.60","83.20","79.25","79.80","5,285,262"
"06-Feb-2019","80.00","82.20","78.30","81.90","6,294,987"
"07-Feb-2019","82.00","83.00","80.55","81.65","5,396,444"
"08-Feb-2019","81.15","81.85","79.50","80.00","3,458,045"
"11-Feb-2019","79.85","79.90","75.90","76.75","8,090,201"
"12-Feb-2019","76.85","79.95","76.15","77.70","8,781,184"
"13-Feb-2019","78.15","78.85","73.80","74.50","9,081,481"
"14-Feb-2019","75.10","76.45","72.50","74.50","17,860,130"
"15-Feb-2019","75.00","76.25","74.15","75.10","10,021,141"
"18-Feb-2019","75.55","76.30","74.85","75.30","4,102,420"
"19-Feb-2019","75.50","77.00","75.15","76.00","5,698,562"
"20-Feb-2019","77.80","78.75","76.30","77.50","12,525,521"
"21-Feb-2019","77.20","77.95","76.05","77.45","4,870,359"
"22-Feb-2019","78.80","79.25","78.00","78.55","10,396,045"
"25-Feb-2019","78.55","81.30","77.10","80.90","22,009,380"
"26-Feb-2019","79.50","80.55","77.40","79.70","15,257,415"
"27-Feb-2019","80.00","82.75","79.70","80.65","14,278,303"
"28-Feb-2019","81.00","83.20","80.05","82.50","23,879,518"
"01-Mar-2019","83.00","85.30","83.00","85.00","11,338,932"
"05-Mar-2019","85.80","91.15","85.15","90.15","19,977,551"
"06-Mar-2019","90.85","93.90","90.05","92.10","17,065,207"
"07-Mar-2019","92.75","92.75","88.90","89.35","11,339,245"
"08-Mar-2019","88.00","89.00","86.80","87.20","12,103,502"
"11-Mar-2019","87.75","92.00","87.30","91.65","14,186,201"
"12-Mar-2019","92.20","93.70","90.70","91.20","15,076,359"
"13-Mar-2019","91.30","94.35","87.95","93.60","21,003,616"
"14-Mar-2019","94.50","94.70","91.15","93.20","15,297,231"
"15-Mar-2019","93.05","95.45","92.35","94.95","21,185,335"
"18-Mar-2019","95.60","96.15","93.40","94.35","11,978,953"
"19-Mar-2019","94.45","97.00","93.45","96.70","16,123,575"
"20-Mar-2019","96.65","97.65","93.05","93.50","18,217,282"
"22-Mar-2019","94.00","94.40","90.55","91.05","13,873,295"
"25-Mar-2019","90.50","93.10","90.00","91.80","10,053,401"
"26-Mar-2019","92.25","93.25","91.70","92.40","6,803,099"
"27-Mar-2019","92.90","94.20","91.55","92.10","9,098,118"
"28-Mar-2019","92.90","93.20","91.65","92.45","16,639,126"
"29-Mar-2019","94.75","96.10","93.00","93.25","24,742,495"
"01-Apr-2019","93.80","97.55","92.85","95.90","21,911,100"
"02-Apr-2019","96.40","101.80","96.05","100.85","35,623,918"
"03-Apr-2019","102.05","102.20","96.75","97.25","20,662,237"
"04-Apr-2019","97.30","99.00","96.10","97.35","12,449,954"
"05-Apr-2019","98.15","98.35","96.30","96.80","6,772,527"
"08-Apr-2019","96.90","97.45","94.45","95.00","6,874,741"
"09-Apr-2019","95.15","96.35","93.20","95.80","9,076,285"
"10-Apr-2019","95.55","96.80","94.90","95.55","7,249,763"
"11-Apr-2019","95.40","95.50","92.90","93.30","17,808,454"
"12-Apr-2019","93.55","94.20","92.00","93.95","13,843,182"
"15-Apr-2019","94.65","95.75","94.05","95.00","6,884,978"
"16-Apr-2019","95.05","95.65","93.90","94.15","4,403,117"
"18-Apr-2019","94.15","94.55","92.15","92.50","5,425,909"
"22-Apr-2019","91.90","91.90","88.60","89.40","7,657,082"
"23-Apr-2019","89.30","89.85","87.90","88.40","8,118,248"
"24-Apr-2019","88.50","89.20","87.50","88.40","6,804,511"
"25-Apr-2019","88.55","89.60","86.65","87.05","16,272,717"
"26-Apr-2019","87.50","88.55","86.55","88.15","7,112,723"
"30-Apr-2019","88.00","88.25","85.30","87.15","7,596,575"
"02-May-2019","86.80","89.25","86.25","88.25","8,115,002"
"03-May-2019","88.25","89.30","87.50","88.45","8,807,839"
"06-May-2019","87.65","88.45","87.20","88.25","3,796,345"
"07-May-2019","89.00","89.35","86.45","86.70","6,085,306"
"08-May-2019","86.70","87.30","85.60","86.90","5,196,636"
"09-May-2019","86.85","91.10","86.25","89.95","9,874,034"
"10-May-2019","90.10","90.75","88.80","89.70","6,936,419"
"13-May-2019","89.70","90.50","86.40","86.90","6,039,277"
"14-May-2019","86.90","89.80","86.00","89.10","5,888,278"
"15-May-2019","89.10","89.80","88.55","89.00","4,807,379"
"16-May-2019","89.50","89.65","86.65","89.25","4,214,302"
"17-May-2019","89.00","92.40","88.65","91.95","6,984,898"
"20-May-2019","95.10","100.10","95.10","99.30","17,283,046"
"21-May-2019","99.90","99.90","95.55","96.95","8,370,427"
"22-May-2019","98.00","102.25","96.80","101.10","15,229,942"
"23-May-2019","104.00","107.65","101.35","102.65","25,985,663"
"24-May-2019","103.10","112.50","103.00","111.80","36,197,682"
"27-May-2019","111.50","117.75","109.45","113.00","22,766,311"
"28-May-2019","112.95","114.70","111.55","112.75","11,972,391"
"29-May-2019","113.30","113.65","110.00","112.20","10,881,424"
"30-May-2019","116.00","116.00","111.35","113.40","35,031,063"
"31-May-2019","113.85","114.95","109.65","111.65","16,640,764"
"03-Jun-2019","112.00","112.70","110.65","111.20","10,352,655"
"04-Jun-2019","110.80","114.20","110.80","113.15","9,396,480"
"06-Jun-2019","113.00","113.15","106.20","106.85","13,892,339"
"07-Jun-2019","107.70","110.00","104.95","108.30","13,027,610"
"10-Jun-2019","108.55","109.50","106.35","107.70","5,275,102"
"11-Jun-2019","108.05","111.15","107.55","110.45","7,924,285"
"12-Jun-2019","110.00","110.90","106.75","107.00","6,728,949"
"13-Jun-2019","107.25","110.25","107.20","110.05","6,176,455"
"14-Jun-2019","109.75","111.60","108.85","110.80","8,314,536"
"17-Jun-2019","111.00","112.25","108.45","109.00","10,974,689"
"18-Jun-2019","109.35","110.70","108.75","109.80","7,808,267"
"19-Jun-2019","110.55","112.00","106.05","107.60","10,810,310"
"20-Jun-2019","108.00","110.95","107.65","110.60","5,354,651"
"21-Jun-2019","110.75","113.30","108.95","111.50","11,268,161"
"24-Jun-2019","111.85","115.20","111.50","114.75","14,050,589"
"25-Jun-2019","114.95","115.30","112.65","113.90","11,001,089"
"26-Jun-2019","113.85","115.35","113.50","114.40","7,074,502"
"27-Jun-2019","115.50","116.60","114.60","114.95","17,016,748"
"28-Jun-2019","115.00","116.10","111.70","112.50","6,970,823"
"01-Jul-2019","113.25","115.45","109.80","110.85","11,122,631"
"02-Jul-2019","111.00","112.85","111.00","112.10","4,669,765"
"03-Jul-2019","112.70","113.85","110.90","113.10","8,408,980"
"04-Jul-2019","113.20","114.45","112.35","113.60","4,062,454"
"05-Jul-2019","114.25","114.75","107.20","108.40","10,305,416"
"08-Jul-2019","108.10","109.75","100.75","101.20","17,892,928"
"09-Jul-2019","101.00","108.10","100.00","107.35","23,959,721"
"10-Jul-2019","107.45","107.45","103.30","103.85","8,200,835"
"11-Jul-2019","104.50","107.20","103.15","106.80","9,482,537"
"12-Jul-2019","106.40","107.10","104.30","106.05","19,439,417"
"15-Jul-2019","105.75","105.75","101.20","102.85","10,031,964"
"16-Jul-2019","102.90","105.20","102.50","103.05","7,817,106"
"17-Jul-2019","103.50","104.40","102.10","103.30","5,584,954"
"18-Jul-2019","103.80","103.90","95.90","96.55","14,419,051"
"19-Jul-2019","97.50","99.95","93.80","98.55","21,251,089"
"22-Jul-2019","98.40","101.75","95.80","100.50","13,720,516"
"23-Jul-2019","100.95","102.40","98.25","98.85","10,130,462"
"24-Jul-2019","99.15","100.20","95.85","97.60","8,287,123"
"25-Jul-2019","98.20","100.25","97.20","99.15","13,532,297"
"26-Jul-2019","99.90","99.90","97.85","98.65","7,019,827"
"29-Jul-2019","98.05","98.30","92.15","92.75","13,864,606"
"30-Jul-2019","93.40","100.40","93.25","98.40","38,172,286"
"31-Jul-2019","97.40","103.50","97.00","102.70","22,866,137"
"01-Aug-2019","101.35","101.80","96.70","98.75","12,928,194"
"02-Aug-2019","97.00","98.65","94.25","95.35","13,698,362"
"05-Aug-2019","94.95","94.95","91.20","92.50","23,481,219"
"06-Aug-2019","92.40","97.70","92.40","96.95","14,065,724"
"07-Aug-2019","96.90","98.40","94.20","94.85","11,233,357"
"08-Aug-2019","95.20","97.40","93.50","97.00","10,466,720"
"09-Aug-2019","96.75","98.90","96.50","97.65","5,818,536"
"13-Aug-2019","97.65","98.45","93.40","94.25","7,439,250"
"14-Aug-2019","94.00","96.00","92.10","95.05","7,122,368"
"16-Aug-2019","95.05","96.50","94.05","96.10","5,479,495"
"19-Aug-2019","96.40","98.40","95.40","97.85","6,917,292"
"20-Aug-2019","96.90","97.35","92.00","93.35","9,051,680"
"21-Aug-2019","93.60","95.30","91.50","91.95","8,583,549"
"22-Aug-2019","92.85","94.20","92.10","93.30","11,671,269"
"23-Aug-2019","93.80","100.95","92.80","99.90","17,316,377"
"26-Aug-2019","101.95","105.00","100.20","102.20","17,306,020"
"27-Aug-2019","102.00","104.80","101.75","103.65","9,215,157"
"28-Aug-2019","103.20","104.55","102.75","103.70","8,688,813"
"29-Aug-2019","103.25","106.35","100.75","104.70","20,111,083"
"30-Aug-2019","104.00","105.00","100.65","102.90","8,821,436"
"03-Sep-2019","101.25","103.80","100.40","100.85","6,810,933"
"04-Sep-2019","100.90","107.20","100.90","106.50","17,273,340"
"05-Sep-2019","107.00","109.45","106.20","107.85","15,471,253"
"06-Sep-2019","107.50","109.50","106.95","109.05","9,829,787"
"09-Sep-2019","109.70","110.90","108.75","109.70","10,261,934"
"11-Sep-2019","109.70","111.35","107.20","107.95","9,453,974"
"12-Sep-2019","108.50","110.20","107.05","108.00","8,934,611"
"13-Sep-2019","108.10","109.80","105.40","108.65","7,398,475"
"16-Sep-2019","111.00","113.40","108.70","109.30","17,928,623"
"17-Sep-2019","109.95","112.45","107.45","108.05","18,594,868"
"18-Sep-2019","109.05","110.40","105.65","106.90","11,387,982"
"19-Sep-2019","107.70","107.70","103.95","104.30","6,974,278"
"20-Sep-2019","105.40","110.95","103.70","108.10","21,246,760"
"23-Sep-2019","110.25","115.65","108.40","112.45","20,130,840"
"24-Sep-2019","112.50","113.25","110.50","111.85","11,170,450"
"25-Sep-2019","111.50","111.55","107.90","108.95","6,184,376"
"26-Sep-2019","108.75","111.80","107.30","111.00","8,007,146"
"27-Sep-2019","110.45","111.25","107.85","108.15","6,127,858"
"30-Sep-2019","108.35","108.90","105.10","108.30","7,870,395"
"01-Oct-2019","108.60","111.20","105.65","107.15","10,149,956"
"03-Oct-2019","106.20","107.20","104.30","105.40","6,971,659"
"04-Oct-2019","106.00","107.50","104.25","104.95","8,720,254"
"07-Oct-2019","105.10","106.25","103.50","104.35","6,213,977"
"09-Oct-2019","105.00","106.65","104.05","105.40","6,724,764"
"10-Oct-2019","105.10","106.45","103.90","105.65","4,572,778"
"11-Oct-2019","105.70","106.40","104.00","105.05","6,218,063"
"14-Oct-2019","105.60","110.15","105.50","108.95","11,093,633"
"15-Oct-2019","109.95","111.15","108.15","110.50","8,543,399"
"16-Oct-2019","111.00","112.60","110.15","111.95","10,490,110"
"17-Oct-2019","111.95","113.50","111.65","113.20","8,183,449"
"18-Oct-2019","112.95","121.00","112.90","116.55","25,981,224"
"22-Oct-2019","116.80","118.05","114.65","115.35","9,520,425"
"23-Oct-2019","115.35","116.55","113.30","113.95","10,947,625"
"24-Oct-2019","114.45","116.20","112.60","115.95","7,138,637"
"25-Oct-2019","116.00","117.25","114.65","116.70","7,575,021"
"27-Oct-2019","116.80","117.45","116.25","116.65","688,591"
"29-Oct-2019","117.30","120.40","116.70","118.70","9,326,288"
"30-Oct-2019","119.90","122.10","117.70","119.35","9,364,442"
"31-Oct-2019","119.85","120.40","117.65","118.15","7,902,074"
"01-Nov-2019","118.80","121.75","118.10","120.40","8,565,591"
"04-Nov-2019","121.05","122.10","119.05","119.50","10,886,660"
"05-Nov-2019","115.30","115.90","111.60","112.60","20,962,769"
"06-Nov-2019","112.45","112.50","108.15","109.40","16,807,674"
"07-Nov-2019","109.55","110.25","107.70","108.90","8,715,227"
