"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","241.00","242.45","240.25","241.50","2,227,003"
"02-Jan-2019","240.90","241.45","236.05","236.70","3,897,893"
"03-Jan-2019","238.70","238.70","233.20","235.00","5,664,136"
"04-Jan-2019","234.10","237.70","233.75","236.50","2,885,669"
"07-Jan-2019","238.00","238.00","233.50","234.50","7,347,326"
"08-Jan-2019","234.50","235.15","232.15","233.30","4,206,563"
"09-Jan-2019","234.20","234.85","231.80","232.65","2,954,253"
"10-Jan-2019","233.80","233.95","232.05","233.00","2,292,058"
"11-Jan-2019","233.70","233.75","231.50","232.25","2,446,815"
"14-Jan-2019","232.40","232.50","229.05","230.90","2,273,231"
"15-Jan-2019","231.50","233.60","231.05","232.65","2,323,323"
"16-Jan-2019","232.80","233.40","231.55","232.05","2,050,899"
"17-Jan-2019","232.75","232.75","230.40","232.05","3,220,136"
"18-Jan-2019","232.15","232.55","229.60","230.00","2,944,908"
"21-Jan-2019","230.45","231.25","228.15","229.00","1,904,575"
"22-Jan-2019","228.45","230.35","225.80","227.75","4,564,028"
"23-Jan-2019","227.80","228.00","225.25","225.55","2,328,748"
"24-Jan-2019","225.70","226.25","223.00","223.85","2,838,220"
"25-Jan-2019","224.25","226.20","220.10","220.95","3,432,012"
"28-Jan-2019","221.25","227.50","218.05","225.20","3,917,992"
"29-Jan-2019","225.40","225.85","221.15","222.55","3,850,399"
"30-Jan-2019","222.00","228.00","220.55","225.20","7,349,253"
"31-Jan-2019","226.50","227.50","223.05","224.65","15,389,786"
"01-Feb-2019","224.35","226.70","222.75","223.20","2,820,146"
"04-Feb-2019","223.30","224.20","220.05","222.10","3,417,620"
"05-Feb-2019","222.00","223.40","215.70","216.40","5,557,034"
"06-Feb-2019","216.50","220.70","216.35","219.95","3,707,342"
"07-Feb-2019","220.80","224.65","220.15","224.20","3,111,207"
"08-Feb-2019","223.90","225.65","217.60","218.65","2,962,142"
"11-Feb-2019","217.70","220.35","214.15","218.80","4,580,373"
"12-Feb-2019","219.80","223.90","219.35","223.05","7,857,592"
"13-Feb-2019","226.00","228.00","219.55","220.25","12,051,126"
"14-Feb-2019","217.00","219.70","211.40","217.20","14,953,813"
"15-Feb-2019","219.90","221.50","214.70","219.95","11,511,255"
"18-Feb-2019","218.00","218.00","214.80","215.15","3,651,021"
"19-Feb-2019","215.25","218.95","213.55","214.25","5,288,764"
"20-Feb-2019","214.80","216.40","213.55","214.95","6,637,981"
"21-Feb-2019","215.05","215.70","213.20","213.70","4,081,685"
"22-Feb-2019","214.85","216.90","213.45","214.95","5,229,408"
"25-Feb-2019","216.00","216.70","212.70","214.35","9,386,982"
"26-Feb-2019","213.30","222.00","213.00","220.15","11,886,116"
"27-Feb-2019","221.50","224.40","219.60","221.45","8,604,781"
"28-Feb-2019","223.50","229.90","222.15","228.30","32,625,237"
"01-Mar-2019","228.80","233.00","226.60","232.65","9,526,492"
"05-Mar-2019","233.40","242.00","232.70","241.15","9,391,114"
"06-Mar-2019","241.15","246.20","238.00","242.75","9,535,153"
"07-Mar-2019","243.00","243.00","233.35","235.00","7,181,084"
"08-Mar-2019","233.10","237.50","229.60","234.90","12,803,612"
"11-Mar-2019","236.70","245.00","235.25","243.40","19,931,174"
"12-Mar-2019","245.00","246.90","241.20","242.95","9,766,818"
"13-Mar-2019","242.00","242.00","233.80","238.65","17,949,230"
"14-Mar-2019","240.90","244.10","238.50","243.20","13,627,811"
"15-Mar-2019","238.85","246.15","238.00","244.35","16,465,364"
"18-Mar-2019","243.95","245.60","242.00","244.20","5,518,089"
"19-Mar-2019","244.55","247.90","241.35","242.90","10,839,789"
"20-Mar-2019","244.60","244.60","236.00","237.00","20,268,896"
"22-Mar-2019","232.70","233.80","230.00","231.95","14,139,706"
"25-Mar-2019","233.00","239.45","231.35","237.20","7,458,064"
"26-Mar-2019","237.25","242.75","234.30","236.45","7,475,564"
"27-Mar-2019","236.40","238.10","233.60","234.45","4,777,913"
"28-Mar-2019","234.40","237.65","232.75","236.10","20,584,925"
"29-Mar-2019","236.50","239.30","233.50","237.20","14,086,653"
"01-Apr-2019","238.10","238.10","231.50","236.40","13,985,622"
"02-Apr-2019","238.95","239.50","235.55","236.40","7,356,923"
"03-Apr-2019","236.50","236.95","233.00","234.10","5,120,392"
"04-Apr-2019","235.00","235.55","232.55","234.80","3,948,463"
"05-Apr-2019","235.00","236.20","233.70","234.70","3,044,309"
"08-Apr-2019","235.00","236.20","231.60","232.95","4,374,595"
"09-Apr-2019","233.00","239.50","232.30","238.40","9,383,394"
"10-Apr-2019","238.90","242.90","238.40","240.05","8,657,560"
"11-Apr-2019","240.10","241.60","238.60","240.95","3,347,291"
"12-Apr-2019","242.00","242.00","239.45","240.80","3,442,878"
"15-Apr-2019","244.00","251.95","243.25","250.00","15,659,370"
"16-Apr-2019","252.00","256.70","248.05","251.60","71,315,879"
"18-Apr-2019","251.75","252.90","249.60","251.45","7,981,706"
"22-Apr-2019","251.45","252.50","248.95","252.05","4,703,770"
"23-Apr-2019","251.00","256.10","251.00","255.50","7,446,838"
"24-Apr-2019","256.00","258.30","253.40","254.00","14,221,692"
"25-Apr-2019","254.85","255.20","248.30","251.65","20,305,140"
"26-Apr-2019","253.50","255.50","250.00","250.50","2,428,140"
"30-Apr-2019","250.50","253.50","246.60","252.15","6,190,464"
"02-May-2019","251.60","254.90","250.45","252.35","5,411,707"
"03-May-2019","253.05","256.00","251.30","252.10","5,010,129"
"06-May-2019","250.10","253.20","248.05","251.35","3,270,067"
"07-May-2019","252.00","255.25","247.70","248.80","4,320,204"
"08-May-2019","249.60","252.10","248.55","249.10","4,215,463"
"09-May-2019","249.10","250.65","241.15","242.30","6,993,406"
"10-May-2019","242.00","244.95","240.00","241.25","5,294,698"
"13-May-2019","241.75","242.90","237.60","242.10","3,539,800"
"14-May-2019","241.00","243.00","238.80","241.80","3,301,180"
"15-May-2019","241.75","242.40","233.45","235.10","5,134,147"
"16-May-2019","235.15","236.70","229.55","232.15","4,788,978"
"17-May-2019","233.10","238.00","232.35","236.15","7,517,604"
"20-May-2019","241.90","242.90","235.80","237.70","6,976,701"
"21-May-2019","239.70","241.45","234.50","237.20","5,817,365"
"22-May-2019","237.65","242.00","237.10","241.25","3,916,767"
"23-May-2019","243.00","245.00","239.70","244.15","4,979,182"
"24-May-2019","244.75","245.95","241.40","244.90","2,407,824"
"27-May-2019","244.90","246.45","243.10","244.10","1,947,123"
"28-May-2019","244.90","251.80","244.45","250.70","13,294,021"
"29-May-2019","249.90","251.60","247.45","250.70","3,325,742"
"30-May-2019","251.95","255.25","249.10","252.95","16,592,348"
"31-May-2019","261.00","262.95","252.20","253.50","22,235,393"
"03-Jun-2019","255.00","261.90","253.20","260.90","6,895,062"
"04-Jun-2019","258.80","264.15","258.10","263.40","6,111,033"
"06-Jun-2019","263.90","271.45","263.65","269.15","11,211,307"
"07-Jun-2019","269.10","269.70","263.60","265.55","4,860,923"
