"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","137.20","138.00","136.30","137.70","4,059,229"
"02-Jan-2019","137.30","138.20","134.10","137.25","11,509,773"
"03-Jan-2019","137.20","137.20","132.15","132.65","13,059,163"
"04-Jan-2019","132.65","134.95","132.50","133.95","7,277,203"
"07-Jan-2019","134.50","134.75","132.50","133.45","10,623,470"
"08-Jan-2019","133.60","134.20","132.70","134.00","6,870,682"
"09-Jan-2019","133.75","134.30","131.60","132.00","8,349,450"
"10-Jan-2019","131.10","131.80","129.45","129.90","10,687,270"
"11-Jan-2019","130.50","131.55","130.35","131.20","7,589,370"
"14-Jan-2019","133.00","133.15","131.00","132.30","8,986,002"
"15-Jan-2019","132.60","134.75","132.55","134.55","6,386,411"
"16-Jan-2019","135.00","136.00","134.15","135.80","6,605,251"
"17-Jan-2019","136.00","138.30","135.30","137.65","11,644,105"
"18-Jan-2019","137.50","138.70","137.15","137.85","7,023,754"
"21-Jan-2019","137.00","137.80","135.45","135.65","5,191,531"
"22-Jan-2019","135.95","137.30","135.35","135.95","7,120,979"
"23-Jan-2019","136.50","136.80","135.10","136.10","5,367,900"
"24-Jan-2019","136.25","138.20","136.10","136.80","6,161,313"
"25-Jan-2019","136.80","138.80","136.80","137.75","6,255,229"
"28-Jan-2019","137.20","138.35","136.40","138.05","5,570,306"
"29-Jan-2019","138.00","139.55","136.50","137.35","8,366,609"
"30-Jan-2019","137.15","138.00","132.65","134.55","16,613,250"
"31-Jan-2019","133.00","138.30","132.25","136.85","32,332,758"
"01-Feb-2019","137.35","138.50","136.15","137.20","5,092,724"
"04-Feb-2019","136.50","138.25","135.10","135.90","4,992,704"
"05-Feb-2019","135.95","136.20","133.30","133.75","3,435,563"
"06-Feb-2019","133.50","138.25","133.50","137.85","4,483,438"
"07-Feb-2019","137.85","138.55","136.65","138.05","3,429,101"
"08-Feb-2019","138.15","138.20","133.10","133.80","3,582,567"
"11-Feb-2019","133.90","137.55","130.60","135.85","11,300,239"
"12-Feb-2019","137.00","137.90","133.90","134.75","9,587,846"
"13-Feb-2019","135.00","135.50","129.35","129.90","9,757,587"
"14-Feb-2019","129.50","129.65","123.55","124.65","24,830,679"
"15-Feb-2019","126.95","127.00","120.95","125.45","16,601,313"
"18-Feb-2019","125.85","126.75","124.20","124.95","5,920,366"
"19-Feb-2019","125.00","128.15","125.00","125.60","6,131,943"
"20-Feb-2019","126.50","130.70","125.90","129.30","7,962,818"
"21-Feb-2019","129.00","131.45","128.30","131.10","5,912,967"
"22-Feb-2019","131.75","138.00","131.70","137.20","24,995,422"
"25-Feb-2019","137.90","139.50","134.55","138.60","17,046,470"
"26-Feb-2019","137.00","143.25","136.65","142.25","18,210,608"
"27-Feb-2019","143.00","144.25","139.05","140.90","11,495,038"
"28-Feb-2019","142.50","146.80","141.55","144.60","66,681,103"
"01-Mar-2019","144.90","148.95","143.25","148.05","8,671,002"
"05-Mar-2019","146.80","154.25","146.70","153.65","13,842,965"
"06-Mar-2019","155.00","157.25","153.50","154.90","11,217,264"
"07-Mar-2019","155.45","157.20","149.15","150.20","11,340,915"
"08-Mar-2019","150.00","150.90","144.70","148.70","16,049,350"
"11-Mar-2019","150.00","155.35","149.35","153.70","12,346,239"
"12-Mar-2019","155.00","156.45","153.00","154.10","11,740,554"
"13-Mar-2019","152.00","152.70","146.85","148.75","20,116,619"
"14-Mar-2019","149.50","152.15","149.15","151.10","11,582,969"
"15-Mar-2019","152.70","159.20","150.70","157.35","29,634,224"
"18-Mar-2019","159.95","166.20","157.85","162.80","41,482,126"
"19-Mar-2019","166.00","166.00","161.75","162.70","30,403,832"
"20-Mar-2019","162.75","162.75","155.70","159.00","36,067,181"
"22-Mar-2019","158.80","161.25","155.10","157.05","31,011,781"
"25-Mar-2019","157.00","165.90","155.00","164.35","23,685,632"
"26-Mar-2019","165.10","169.75","160.50","161.80","26,397,138"
"27-Mar-2019","162.00","163.70","160.40","161.45","10,666,251"
"28-Mar-2019","162.00","164.10","160.35","161.30","29,432,533"
"29-Mar-2019","163.00","165.10","162.20","162.85","24,363,007"
"01-Apr-2019","163.10","163.80","156.80","158.70","20,174,629"
"02-Apr-2019","158.00","159.90","157.05","158.15","10,903,166"
"03-Apr-2019","158.00","159.65","153.00","153.45","10,570,399"
"04-Apr-2019","154.50","156.10","153.35","155.20","9,365,107"
"05-Apr-2019","155.75","159.00","155.40","158.45","8,951,614"
"08-Apr-2019","157.40","157.40","151.70","152.05","12,708,062"
"09-Apr-2019","149.00","156.00","148.80","155.40","15,095,801"
"10-Apr-2019","154.75","158.35","153.45","156.60","8,883,968"
"11-Apr-2019","156.60","161.80","156.15","157.95","15,119,968"
"12-Apr-2019","158.85","159.70","155.05","155.35","14,343,500"
"15-Apr-2019","156.80","158.00","153.30","154.00","9,738,383"
"16-Apr-2019","155.60","158.50","153.75","155.70","11,692,744"
"18-Apr-2019","157.45","157.45","154.15","156.10","9,175,855"
"22-Apr-2019","152.50","152.75","148.85","149.75","12,552,321"
"23-Apr-2019","149.40","150.90","146.85","149.40","8,417,128"
"24-Apr-2019","151.00","154.15","150.45","153.80","11,867,517"
"25-Apr-2019","153.60","155.45","151.85","152.70","28,773,110"
"26-Apr-2019","153.90","157.10","151.50","152.85","11,983,996"
"30-Apr-2019","155.00","159.00","153.65","158.05","14,156,261"
"02-May-2019","159.00","160.30","156.20","158.10","11,858,590"
"03-May-2019","159.95","160.00","155.70","156.15","6,920,322"
"06-May-2019","157.50","158.40","155.15","156.70","7,947,973"
"07-May-2019","156.70","156.70","152.20","153.45","8,413,961"
"08-May-2019","154.00","155.20","151.70","152.20","5,788,594"
"09-May-2019","152.20","152.95","150.00","150.60","4,834,865"
"10-May-2019","149.90","150.25","147.05","147.60","7,220,841"
"13-May-2019","146.20","147.85","142.00","142.60","9,712,869"
"14-May-2019","142.60","144.85","141.50","143.60","9,252,786"
"15-May-2019","145.00","147.15","143.80","145.75","12,492,965"
"16-May-2019","144.30","152.30","143.00","151.15","11,507,435"
"17-May-2019","150.00","152.65","146.85","149.60","22,762,517"
"20-May-2019","155.00","158.85","151.10","157.65","12,544,327"
"21-May-2019","158.00","159.25","152.40","153.50","8,646,559"
"22-May-2019","155.00","156.75","152.25","155.45","8,699,597"
"23-May-2019","158.50","160.20","153.40","154.20","14,440,150"
"24-May-2019","159.00","159.85","154.30","156.80","16,976,732"
"27-May-2019","156.00","162.85","155.40","162.20","12,472,892"
"28-May-2019","162.00","164.00","160.10","163.45","16,148,042"
"29-May-2019","164.60","164.90","159.40","160.35","8,732,638"
"30-May-2019","160.50","163.40","159.40","161.95","21,433,409"
