"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","150.00","150.10","148.00","148.50","4,496,586"
"02-Jan-2019","148.00","148.35","145.75","147.05","17,436,694"
"03-Jan-2019","145.00","145.65","141.60","142.40","26,599,483"
"04-Jan-2019","142.05","146.20","142.05","145.70","7,395,898"
"07-Jan-2019","147.55","148.40","145.75","147.85","12,700,566"
"08-Jan-2019","149.10","149.10","146.30","147.45","6,163,846"
"09-Jan-2019","147.90","148.20","144.85","145.30","4,951,441"
"10-Jan-2019","145.90","147.00","143.00","143.25","7,131,028"
"11-Jan-2019","144.00","145.50","143.65","144.65","7,665,486"
"14-Jan-2019","145.00","145.20","142.50","143.45","6,028,078"
"15-Jan-2019","144.70","145.50","144.05","145.15","3,680,774"
"16-Jan-2019","145.20","147.25","145.20","146.35","3,667,241"
"17-Jan-2019","146.50","147.45","144.45","145.00","5,142,302"
"18-Jan-2019","145.10","147.70","145.10","146.75","4,904,282"
"21-Jan-2019","147.00","147.20","144.10","144.70","4,087,312"
"22-Jan-2019","145.50","146.00","144.05","144.35","4,113,351"
"23-Jan-2019","144.70","145.55","143.00","143.30","4,946,218"
"24-Jan-2019","143.40","143.95","141.05","141.70","3,820,645"
"25-Jan-2019","142.10","144.45","141.65","142.00","3,871,762"
"28-Jan-2019","142.50","142.95","139.65","141.65","2,910,523"
"29-Jan-2019","142.30","143.70","140.10","141.05","7,282,910"
"30-Jan-2019","141.45","141.50","138.50","139.70","8,511,453"
"31-Jan-2019","140.20","142.80","139.25","141.25","28,107,358"
"01-Feb-2019","141.00","143.30","139.80","141.80","5,260,578"
"04-Feb-2019","142.50","147.45","142.45","146.25","9,532,350"
"05-Feb-2019","146.00","148.20","142.30","142.95","5,413,425"
"06-Feb-2019","143.40","147.75","142.50","146.70","5,075,180"
"07-Feb-2019","146.90","148.30","145.50","147.90","6,080,631"
"08-Feb-2019","146.30","148.30","143.15","144.15","4,510,762"
"11-Feb-2019","143.25","143.65","137.10","138.20","6,424,512"
"12-Feb-2019","138.50","140.95","136.55","137.45","6,816,203"
"13-Feb-2019","138.75","139.50","133.10","133.40","8,709,694"
"14-Feb-2019","133.50","134.20","127.60","132.15","25,346,334"
"15-Feb-2019","138.00","140.90","133.40","135.00","37,975,666"
"18-Feb-2019","136.80","138.90","135.80","137.10","10,614,715"
"19-Feb-2019","137.20","140.35","137.20","139.15","9,077,045"
"20-Feb-2019","141.60","145.35","140.00","144.05","14,236,359"
"21-Feb-2019","145.00","148.60","144.20","146.95","13,876,243"
"22-Feb-2019","148.60","150.50","147.10","148.60","18,273,813"
"25-Feb-2019","149.00","149.35","145.70","147.75","20,216,077"
"26-Feb-2019","147.50","149.20","146.00","147.50","12,458,860"
"27-Feb-2019","148.75","149.75","146.50","148.00","11,868,751"
"28-Feb-2019","144.40","150.75","143.10","148.65","48,854,712"
"01-Mar-2019","149.90","150.20","147.85","149.10","9,764,801"
"05-Mar-2019","148.75","155.65","147.85","155.00","11,194,669"
"06-Mar-2019","155.10","157.00","152.80","154.80","15,648,948"
"07-Mar-2019","154.80","155.50","151.50","152.05","30,210,637"
"08-Mar-2019","152.10","152.60","147.00","150.40","17,986,042"
"11-Mar-2019","151.55","154.30","151.10","153.00","15,880,368"
"12-Mar-2019","154.00","155.60","151.10","151.85","10,818,012"
"13-Mar-2019","151.25","151.25","145.70","149.75","21,001,041"
"14-Mar-2019","150.00","152.50","149.50","151.05","6,328,309"
"15-Mar-2019","151.90","157.45","151.20","156.00","15,483,879"
"18-Mar-2019","155.00","157.30","153.60","154.65","7,575,127"
"19-Mar-2019","155.95","163.20","154.80","157.00","18,289,779"
"20-Mar-2019","156.65","157.05","150.60","151.85","28,675,956"
"22-Mar-2019","152.95","153.45","148.45","152.35","26,751,005"
"25-Mar-2019","152.00","160.55","150.70","158.65","22,638,399"
"26-Mar-2019","159.00","163.05","158.70","160.05","16,694,599"
"27-Mar-2019","160.15","161.40","157.50","160.10","10,063,152"
"28-Mar-2019","160.00","160.25","155.20","155.90","25,492,224"
"29-Mar-2019","157.00","162.30","155.50","159.75","28,968,721"
"01-Apr-2019","160.50","160.95","155.80","157.25","20,605,152"
"02-Apr-2019","159.20","159.70","156.40","157.50","10,435,568"
"03-Apr-2019","158.55","159.10","154.60","155.45","8,283,863"
"04-Apr-2019","155.25","156.35","153.30","155.25","10,752,094"
"05-Apr-2019","156.00","157.15","153.95","156.55","6,797,106"
"08-Apr-2019","157.80","160.25","156.55","158.10","13,120,469"
"09-Apr-2019","158.60","158.90","157.05","157.55","8,487,177"
"10-Apr-2019","156.95","159.95","156.80","158.00","9,363,447"
"11-Apr-2019","158.00","159.40","155.90","158.60","5,279,154"
"12-Apr-2019","159.00","159.65","157.25","157.60","5,631,030"
"15-Apr-2019","158.30","158.30","156.10","156.45","3,902,646"
"16-Apr-2019","156.50","161.00","155.85","160.45","8,394,765"
"18-Apr-2019","160.85","162.20","159.05","160.60","9,606,055"
"22-Apr-2019","160.70","161.50","156.90","157.90","5,543,020"
"23-Apr-2019","158.00","165.00","157.60","163.75","10,137,024"
"24-Apr-2019","165.70","170.45","165.70","168.65","33,596,281"
"25-Apr-2019","168.35","170.00","166.55","168.85","134,264,338"
"26-Apr-2019","169.50","169.95","167.90","168.40","8,708,111"
"30-Apr-2019","168.00","171.15","166.15","169.20","9,844,317"
"02-May-2019","169.30","172.00","168.40","168.90","22,056,708"
"03-May-2019","168.85","171.90","168.70","170.25","12,720,120"
"06-May-2019","170.00","171.70","168.15","170.15","18,962,836"
"07-May-2019","170.40","172.50","168.60","171.70","9,042,790"
"08-May-2019","171.40","171.40","167.75","168.90","8,603,091"
"09-May-2019","167.40","170.10","167.40","169.40","6,869,953"
"10-May-2019","168.40","169.40","165.70","166.30","6,195,094"
"13-May-2019","167.20","167.90","163.00","164.10","7,792,358"
"14-May-2019","162.00","165.40","160.85","164.15","7,268,915"
"15-May-2019","164.60","165.20","161.80","162.75","5,412,275"
"16-May-2019","163.40","166.90","162.00","165.95","5,197,438"
"17-May-2019","166.50","168.00","162.10","167.35","5,532,072"
"20-May-2019","170.00","176.60","169.10","176.00","7,103,649"
"21-May-2019","175.10","176.50","173.80","174.75","7,135,887"
"22-May-2019","174.85","178.00","174.15","177.00","10,347,293"
"23-May-2019","178.50","178.90","173.00","174.15","9,247,879"
"24-May-2019","174.00","175.90","168.80","174.40","9,263,195"
"27-May-2019","174.00","175.20","172.55","173.65","7,461,458"
"28-May-2019","173.15","176.40","171.60","175.30","16,628,505"
"29-May-2019","173.90","174.65","170.35","171.55","7,205,487"
"30-May-2019","172.00","172.00","167.55","169.45","21,945,960"
"31-May-2019","168.00","173.95","166.55","171.95","17,113,729"
