"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,125.25","1,127.30","1,110.10","1,121.00","4,455,850"
"02-Jan-2019","1,114.50","1,127.00","1,101.00","1,106.40","7,144,970"
"03-Jan-2019","1,107.50","1,114.60","1,090.10","1,092.75","7,446,457"
"04-Jan-2019","1,097.40","1,104.45","1,081.10","1,098.65","8,465,141"
"07-Jan-2019","1,107.00","1,118.45","1,101.00","1,104.75","5,513,559"
"08-Jan-2019","1,105.10","1,109.95","1,096.00","1,104.65","5,625,153"
"09-Jan-2019","1,112.00","1,117.00","1,098.70","1,110.75","5,766,805"
"10-Jan-2019","1,107.75","1,111.00","1,103.00","1,107.50","4,080,283"
"11-Jan-2019","1,107.60","1,113.80","1,088.60","1,098.05","6,463,903"
"14-Jan-2019","1,095.00","1,100.50","1,086.40","1,096.80","4,111,782"
"15-Jan-2019","1,105.00","1,132.00","1,105.00","1,129.65","10,062,875"
"16-Jan-2019","1,135.00","1,145.00","1,130.35","1,135.90","6,382,777"
"17-Jan-2019","1,144.45","1,147.90","1,130.00","1,134.45","7,487,963"
"18-Jan-2019","1,148.80","1,189.90","1,135.25","1,184.35","25,684,142"
"21-Jan-2019","1,194.00","1,239.95","1,188.65","1,237.70","22,038,534"
"22-Jan-2019","1,232.85","1,246.95","1,219.60","1,235.15","16,552,819"
"23-Jan-2019","1,233.30","1,244.20","1,222.00","1,226.30","8,829,502"
"24-Jan-2019","1,225.00","1,253.20","1,220.10","1,247.45","13,155,185"
"25-Jan-2019","1,250.45","1,264.70","1,235.40","1,246.00","8,550,836"
"28-Jan-2019","1,250.50","1,255.95","1,222.40","1,229.55","8,569,265"
"29-Jan-2019","1,231.00","1,231.65","1,201.35","1,210.65","9,328,866"
"30-Jan-2019","1,215.00","1,225.00","1,191.10","1,195.70","7,846,940"
"31-Jan-2019","1,202.00","1,229.70","1,201.00","1,227.15","10,185,347"
"01-Feb-2019","1,234.00","1,255.00","1,227.05","1,249.95","9,228,965"
"04-Feb-2019","1,247.00","1,296.95","1,242.05","1,290.90","11,670,570"
"05-Feb-2019","1,292.00","1,304.40","1,278.60","1,291.55","9,362,406"
"06-Feb-2019","1,296.25","1,317.65","1,294.25","1,310.25","9,411,585"
"07-Feb-2019","1,310.25","1,321.20","1,286.10","1,290.40","9,212,227"
"08-Feb-2019","1,284.80","1,300.50","1,272.25","1,277.70","6,505,502"
"11-Feb-2019","1,275.90","1,276.00","1,251.00","1,253.25","7,523,999"
"12-Feb-2019","1,251.50","1,272.35","1,251.50","1,256.40","6,399,485"
"13-Feb-2019","1,261.00","1,273.95","1,235.75","1,245.95","6,964,042"
"14-Feb-2019","1,241.00","1,241.00","1,218.00","1,224.20","6,627,360"
"15-Feb-2019","1,229.75","1,249.90","1,214.00","1,244.45","9,597,961"
"18-Feb-2019","1,250.00","1,252.50","1,215.00","1,220.10","9,649,017"
"19-Feb-2019","1,218.00","1,239.70","1,211.20","1,216.10","6,244,189"
"20-Feb-2019","1,223.85","1,240.00","1,219.00","1,234.35","6,298,179"
"21-Feb-2019","1,236.00","1,257.80","1,229.35","1,246.90","10,580,178"
"22-Feb-2019","1,244.60","1,245.30","1,226.00","1,232.35","8,755,865"
"25-Feb-2019","1,236.00","1,243.00","1,220.65","1,232.30","7,852,528"
"26-Feb-2019","1,209.50","1,234.80","1,206.00","1,220.25","10,131,050"
"27-Feb-2019","1,228.05","1,244.90","1,209.00","1,223.50","11,113,182"
"28-Feb-2019","1,233.75","1,239.85","1,226.55","1,231.05","11,286,916"
"01-Mar-2019","1,237.00","1,242.35","1,222.25","1,226.05","7,922,513"
"05-Mar-2019","1,223.40","1,239.80","1,218.60","1,237.65","7,121,509"
"06-Mar-2019","1,239.80","1,273.10","1,235.10","1,264.80","12,038,231"
"07-Mar-2019","1,264.00","1,279.80","1,258.15","1,270.25","8,109,259"
"08-Mar-2019","1,266.05","1,274.45","1,262.00","1,267.10","6,040,052"
"11-Mar-2019","1,270.05","1,312.00","1,268.00","1,304.10","9,718,840"
"12-Mar-2019","1,316.90","1,334.00","1,314.25","1,331.35","11,228,736"
"13-Mar-2019","1,337.00","1,360.00","1,328.10","1,347.30","11,236,048"
"14-Mar-2019","1,349.75","1,362.00","1,336.10","1,341.55","10,402,048"
"15-Mar-2019","1,345.00","1,358.80","1,311.20","1,321.65","15,893,093"
"18-Mar-2019","1,331.00","1,357.95","1,329.00","1,350.05","10,105,234"
"19-Mar-2019","1,360.00","1,380.00","1,343.10","1,376.55","9,805,318"
"20-Mar-2019","1,377.80","1,388.00","1,364.00","1,375.45","9,892,823"
"22-Mar-2019","1,372.50","1,380.90","1,336.70","1,341.75","11,465,112"
"25-Mar-2019","1,330.60","1,336.85","1,316.70","1,324.45","7,951,992"
"26-Mar-2019","1,330.30","1,371.60","1,330.00","1,367.25","9,479,288"
"27-Mar-2019","1,377.95","1,377.95","1,344.25","1,349.25","10,094,174"
"28-Mar-2019","1,350.25","1,369.80","1,342.80","1,360.00","10,482,938"
"29-Mar-2019","1,370.05","1,376.85","1,355.10","1,363.25","7,699,271"
"01-Apr-2019","1,370.00","1,406.80","1,362.55","1,391.85","10,098,281"
"02-Apr-2019","1,398.00","1,403.10","1,380.10","1,389.70","8,012,636"
"03-Apr-2019","1,392.75","1,403.00","1,372.00","1,375.20","7,849,461"
"04-Apr-2019","1,379.00","1,383.70","1,347.25","1,353.05","8,375,674"
"05-Apr-2019","1,360.95","1,363.90","1,343.00","1,353.90","6,728,239"
"08-Apr-2019","1,356.00","1,357.50","1,323.70","1,329.25","8,723,577"
"09-Apr-2019","1,328.90","1,340.70","1,321.00","1,334.45","9,497,621"
"10-Apr-2019","1,337.95","1,348.00","1,326.50","1,331.40","7,612,711"
"11-Apr-2019","1,332.95","1,353.00","1,329.00","1,346.80","5,741,333"
"12-Apr-2019","1,350.00","1,356.90","1,336.65","1,343.10","5,919,742"
"15-Apr-2019","1,345.00","1,348.95","1,335.00","1,340.15","4,245,127"
"16-Apr-2019","1,345.00","1,360.00","1,340.00","1,343.75","7,936,553"
"18-Apr-2019","1,375.00","1,389.75","1,365.00","1,385.95","17,960,482"
"22-Apr-2019","1,360.00","1,367.00","1,341.30","1,345.35","10,792,748"
"23-Apr-2019","1,348.00","1,373.00","1,346.00","1,363.85","9,055,300"
"24-Apr-2019","1,370.30","1,394.80","1,366.25","1,389.50","7,360,887"
"25-Apr-2019","1,389.10","1,412.40","1,362.60","1,372.40","13,929,820"
"26-Apr-2019","1,375.00","1,395.95","1,370.70","1,392.80","6,889,444"
"30-Apr-2019","1,396.40","1,396.40","1,366.80","1,392.80","10,217,019"
"02-May-2019","1,392.00","1,413.90","1,382.10","1,405.05","8,682,505"
"03-May-2019","1,407.95","1,417.50","1,402.65","1,408.85","6,510,169"
"06-May-2019","1,398.00","1,402.80","1,378.10","1,384.90","7,237,910"
"07-May-2019","1,394.80","1,395.00","1,340.20","1,343.50","8,877,095"
"08-May-2019","1,340.00","1,340.00","1,292.20","1,299.45","14,610,543"
"09-May-2019","1,288.80","1,288.80","1,251.75","1,256.45","19,507,368"
"10-May-2019","1,265.00","1,277.70","1,245.00","1,251.15","11,226,831"
"13-May-2019","1,247.90","1,260.80","1,227.50","1,232.05","8,047,801"
"14-May-2019","1,236.50","1,269.35","1,231.50","1,260.45","13,001,004"
"15-May-2019","1,273.00","1,278.00","1,250.60","1,256.90","11,163,801"
"16-May-2019","1,259.95","1,271.90","1,258.10","1,265.35","6,606,652"
"17-May-2019","1,267.00","1,276.95","1,252.00","1,267.40","7,898,440"
"20-May-2019","1,313.60","1,337.70","1,303.50","1,325.90","12,333,937"
"21-May-2019","1,332.20","1,367.00","1,330.05","1,339.80","13,872,055"
"22-May-2019","1,345.65","1,359.70","1,335.10","1,340.40","11,287,400"
"23-May-2019","1,372.00","1,392.00","1,325.00","1,333.90","17,722,514"
"24-May-2019","1,348.00","1,353.80","1,316.50","1,336.85","10,180,759"
"27-May-2019","1,337.10","1,337.50","1,307.00","1,310.65","7,349,720"
"28-May-2019","1,319.80","1,334.80","1,313.35","1,323.75","19,472,659"
"29-May-2019","1,321.00","1,333.30","1,304.15","1,313.05","7,112,830"
"30-May-2019","1,316.25","1,342.00","1,316.25","1,329.75","10,740,841"
"31-May-2019","1,337.90","1,341.90","1,320.20","1,330.15","11,760,178"
"03-Jun-2019","1,335.00","1,367.25","1,321.20","1,360.20","8,483,610"
"04-Jun-2019","1,357.45","1,374.25","1,348.10","1,351.65","7,059,911"
"06-Jun-2019","1,361.90","1,361.90","1,321.10","1,327.35","7,664,319"
"07-Jun-2019","1,325.95","1,327.25","1,305.60","1,314.90","6,730,595"
"10-Jun-2019","1,320.90","1,327.00","1,310.10","1,319.15","5,380,148"
"11-Jun-2019","1,321.85","1,334.50","1,318.00","1,329.15","5,253,790"
"12-Jun-2019","1,334.70","1,338.40","1,325.00","1,332.15","4,707,716"
"13-Jun-2019","1,330.00","1,334.70","1,308.65","1,327.25","7,171,189"
"14-Jun-2019","1,321.90","1,325.00","1,309.40","1,317.55","6,831,331"
"17-Jun-2019","1,320.00","1,320.00","1,278.50","1,282.30","6,815,554"
"18-Jun-2019","1,278.90","1,287.95","1,269.10","1,281.00","7,679,193"
"19-Jun-2019","1,286.90","1,302.00","1,262.60","1,277.35","6,625,604"
"20-Jun-2019","1,280.00","1,300.00","1,278.00","1,296.75","4,914,012"
"21-Jun-2019","1,295.95","1,296.00","1,275.55","1,279.50","10,623,098"
"24-Jun-2019","1,272.15","1,276.45","1,257.10","1,262.40","5,150,998"
"25-Jun-2019","1,258.90","1,298.00","1,254.25","1,295.85","6,842,363"
"26-Jun-2019","1,291.00","1,304.60","1,286.35","1,294.15","5,299,942"
"27-Jun-2019","1,293.15","1,296.90","1,271.00","1,274.15","11,385,972"
"28-Jun-2019","1,277.10","1,282.85","1,248.65","1,253.10","8,659,721"
"01-Jul-2019","1,258.05","1,272.65","1,246.45","1,268.85","6,162,080"
"02-Jul-2019","1,273.95","1,281.00","1,263.30","1,278.50","4,638,751"
"03-Jul-2019","1,282.90","1,286.50","1,275.05","1,282.55","4,026,032"
"04-Jul-2019","1,281.40","1,291.00","1,280.00","1,284.00","4,275,148"
"05-Jul-2019","1,285.10","1,290.50","1,260.00","1,263.35","4,995,344"
"08-Jul-2019","1,258.00","1,268.10","1,248.20","1,252.05","6,404,544"
"09-Jul-2019","1,248.95","1,283.50","1,245.50","1,280.10","8,016,757"
"10-Jul-2019","1,280.05","1,289.35","1,268.70","1,278.85","5,494,315"
"11-Jul-2019","1,287.00","1,289.80","1,279.30","1,281.55","3,935,460"
"12-Jul-2019","1,283.00","1,300.00","1,278.05","1,280.50","7,174,054"
"15-Jul-2019","1,285.00","1,289.50","1,270.35","1,276.10","4,873,164"
"16-Jul-2019","1,279.95","1,294.90","1,277.05","1,293.00","4,604,019"
"17-Jul-2019","1,294.30","1,297.00","1,280.00","1,281.85","4,334,958"
"18-Jul-2019","1,282.00","1,286.40","1,258.00","1,261.85","5,459,896"
"19-Jul-2019","1,268.20","1,272.95","1,242.70","1,249.00","7,468,515"
"22-Jul-2019","1,251.00","1,284.50","1,227.30","1,280.50","13,300,153"
"23-Jul-2019","1,285.00","1,293.90","1,260.40","1,273.55","9,287,951"
"24-Jul-2019","1,273.50","1,278.80","1,253.55","1,259.10","6,943,982"
"25-Jul-2019","1,264.00","1,269.05","1,227.00","1,231.50","9,968,545"
"26-Jul-2019","1,231.50","1,242.50","1,210.00","1,213.80","9,320,481"
"29-Jul-2019","1,216.90","1,222.00","1,205.10","1,210.95","8,058,035"
"30-Jul-2019","1,213.95","1,220.00","1,175.95","1,180.90","9,533,344"
"31-Jul-2019","1,175.75","1,185.00","1,162.40","1,166.25","9,705,619"
"01-Aug-2019","1,163.40","1,188.20","1,150.35","1,180.25","10,344,862"
"02-Aug-2019","1,175.70","1,198.25","1,162.10","1,184.35","10,865,385"
"05-Aug-2019","1,167.00","1,167.00","1,128.00","1,143.35","13,897,461"
"06-Aug-2019","1,134.75","1,149.60","1,122.00","1,128.30","13,288,909"
"07-Aug-2019","1,126.50","1,138.55","1,103.10","1,109.40","11,588,879"
"08-Aug-2019","1,108.35","1,158.00","1,095.30","1,152.35","14,262,936"
"09-Aug-2019","1,161.85","1,175.50","1,152.30","1,162.10","10,043,949"
"13-Aug-2019","1,233.15","1,302.80","1,226.00","1,274.75","47,923,444"
"14-Aug-2019","1,304.00","1,304.45","1,280.35","1,288.25","14,487,137"
"16-Aug-2019","1,291.20","1,291.80","1,273.00","1,278.00","10,047,496"
"19-Aug-2019","1,281.05","1,296.80","1,280.00","1,292.60","7,459,859"
"20-Aug-2019","1,289.80","1,292.60","1,272.60","1,275.95","6,843,460"
"21-Aug-2019","1,275.65","1,278.65","1,266.50","1,270.95","4,881,553"
"22-Aug-2019","1,270.95","1,271.00","1,238.90","1,246.75","6,414,937"
"23-Aug-2019","1,239.00","1,284.00","1,226.50","1,275.85","9,741,262"
"26-Aug-2019","1,294.00","1,294.00","1,259.00","1,266.80","8,778,739"
"27-Aug-2019","1,285.00","1,285.00","1,261.20","1,274.85","12,984,396"
"28-Aug-2019","1,273.75","1,281.00","1,256.05","1,263.30","5,305,639"
"29-Aug-2019","1,256.45","1,260.25","1,235.30","1,241.75","8,635,974"
"30-Aug-2019","1,245.50","1,254.40","1,221.00","1,248.55","11,308,120"
"03-Sep-2019","1,242.25","1,243.00","1,200.00","1,206.40","8,563,009"
"04-Sep-2019","1,200.55","1,205.25","1,186.05","1,201.15","15,063,355"
