"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","3,120.00","3,128.90","3,080.00","3,103.05","140,863"
"02-Jan-2019","3,100.00","3,131.00","3,081.20","3,116.85","152,324"
"03-Jan-2019","3,116.85","3,177.00","3,097.40","3,135.90","311,498"
"04-Jan-2019","3,137.95","3,159.20","3,105.55","3,122.70","170,818"
"07-Jan-2019","3,137.10","3,155.00","3,125.00","3,143.80","152,966"
"08-Jan-2019","3,155.00","3,155.00","3,080.00","3,089.55","217,274"
"09-Jan-2019","3,114.00","3,119.85","3,081.00","3,092.65","257,227"
"10-Jan-2019","3,100.00","3,100.00","3,073.00","3,088.95","229,690"
"11-Jan-2019","3,090.00","3,116.75","3,079.60","3,096.85","353,709"
"14-Jan-2019","3,102.00","3,124.00","3,063.00","3,113.65","154,975"
"15-Jan-2019","3,120.15","3,199.90","3,095.00","3,183.90","278,642"
"16-Jan-2019","3,184.00","3,204.90","3,145.00","3,175.75","182,044"
"17-Jan-2019","3,181.00","3,212.00","3,175.05","3,207.10","154,540"
"18-Jan-2019","3,214.85","3,217.35","3,134.25","3,171.35","161,433"
"21-Jan-2019","3,170.00","3,198.55","3,136.50","3,148.40","174,710"
"22-Jan-2019","3,150.00","3,174.95","3,130.15","3,153.65","156,085"
"23-Jan-2019","3,177.00","3,229.00","3,161.05","3,203.85","286,992"
"24-Jan-2019","3,217.00","3,225.00","3,190.55","3,216.85","148,520"
"25-Jan-2019","3,221.00","3,270.00","3,193.05","3,206.65","325,166"
"28-Jan-2019","3,210.50","3,222.00","3,131.00","3,203.45","216,799"
"29-Jan-2019","3,197.00","3,197.00","3,152.50","3,180.05","179,979"
"30-Jan-2019","3,197.00","3,222.00","3,180.10","3,208.80","116,521"
"31-Jan-2019","3,231.95","3,231.95","3,189.20","3,197.70","255,273"
"01-Feb-2019","3,201.00","3,286.00","3,201.00","3,251.00","387,188"
"04-Feb-2019","3,251.35","3,280.40","3,228.20","3,266.00","140,277"
"05-Feb-2019","3,278.00","3,316.00","3,150.10","3,167.05","503,959"
"06-Feb-2019","3,188.50","3,199.95","3,105.05","3,181.40","313,476"
"07-Feb-2019","3,210.00","3,230.00","3,174.10","3,214.10","374,133"
"08-Feb-2019","3,138.50","3,210.00","3,095.00","3,110.00","640,983"
"11-Feb-2019","3,120.00","3,132.30","3,055.30","3,107.55","265,355"
"12-Feb-2019","3,105.00","3,107.00","3,001.00","3,008.60","515,301"
"13-Feb-2019","3,015.00","3,034.80","2,907.00","2,923.40","504,157"
"14-Feb-2019","2,915.00","2,949.00","2,900.00","2,924.60","288,540"
"15-Feb-2019","2,945.00","2,945.00","2,846.00","2,858.35","374,811"
"18-Feb-2019","2,860.00","2,939.00","2,759.00","2,911.70","700,981"
"19-Feb-2019","2,910.20","2,975.95","2,851.00","2,873.55","484,180"
"20-Feb-2019","2,884.00","2,930.00","2,884.00","2,922.30","271,061"
"21-Feb-2019","2,943.95","3,018.00","2,935.00","3,001.60","724,297"
"22-Feb-2019","3,008.00","3,057.30","2,972.70","3,012.80","313,430"
"25-Feb-2019","3,013.20","3,077.00","2,982.00","3,048.20","336,072"
"26-Feb-2019","3,056.00","3,092.95","3,018.25","3,073.50","568,492"
"27-Feb-2019","3,080.00","3,108.95","3,023.35","3,058.60","393,442"
"28-Feb-2019","3,071.00","3,098.60","3,032.90","3,056.90","447,041"
"01-Mar-2019","3,083.00","3,090.35","3,062.30","3,077.25","217,420"
"05-Mar-2019","3,065.20","3,100.25","3,060.00","3,068.85","246,280"
"06-Mar-2019","3,086.95","3,086.95","3,009.00","3,026.85","383,038"
"07-Mar-2019","3,045.00","3,069.00","3,028.70","3,043.85","254,411"
"08-Mar-2019","3,041.00","3,079.50","3,021.00","3,071.20","190,651"
"11-Mar-2019","3,086.00","3,139.50","3,066.50","3,133.45","336,189"
"12-Mar-2019","3,165.90","3,178.80","3,120.90","3,135.15","413,123"
"13-Mar-2019","3,136.00","3,150.00","3,093.90","3,126.95","298,030"
"14-Mar-2019","3,135.00","3,170.00","3,116.00","3,149.40","293,230"
"15-Mar-2019","3,160.00","3,169.00","3,054.70","3,066.55","403,251"
"18-Mar-2019","3,090.00","3,134.90","3,060.10","3,123.35","238,905"
"19-Mar-2019","3,128.00","3,138.85","3,084.00","3,125.40","184,380"
"20-Mar-2019","3,126.80","3,135.00","3,079.40","3,088.10","257,001"
"22-Mar-2019","3,094.00","3,117.90","3,088.00","3,098.60","197,654"
"25-Mar-2019","3,074.75","3,099.00","3,061.10","3,090.75","224,948"
"26-Mar-2019","3,100.00","3,132.00","3,060.00","3,099.15","340,645"
"27-Mar-2019","3,117.00","3,117.00","3,078.00","3,096.90","360,838"
"28-Mar-2019","3,092.00","3,118.50","3,028.00","3,096.55","3,470,524"
"29-Mar-2019","3,120.00","3,139.00","3,045.00","3,085.50","595,114"
"01-Apr-2019","3,104.95","3,109.00","3,044.00","3,049.85","497,409"
"02-Apr-2019","3,056.00","3,059.60","2,980.40","2,994.20","378,147"
"03-Apr-2019","2,990.00","3,013.50","2,955.20","2,990.10","439,719"
"04-Apr-2019","3,001.95","3,055.00","2,984.15","3,041.80","464,430"
"05-Apr-2019","3,048.00","3,051.05","2,985.75","2,994.05","387,504"
"08-Apr-2019","3,000.00","3,013.95","2,964.50","2,971.50","293,053"
"09-Apr-2019","2,973.10","2,988.75","2,942.50","2,962.90","350,181"
"10-Apr-2019","2,969.90","2,995.00","2,951.30","2,958.80","377,556"
"11-Apr-2019","2,964.00","2,974.05","2,940.00","2,946.05","276,801"
"12-Apr-2019","2,952.00","2,990.00","2,944.00","2,984.30","261,483"
"15-Apr-2019","2,998.00","3,008.00","2,972.00","2,998.45","221,766"
"16-Apr-2019","3,000.00","3,030.00","2,998.00","3,020.50","258,557"
"18-Apr-2019","3,029.85","3,029.85","2,988.15","2,997.75","155,314"
"22-Apr-2019","2,989.00","3,014.00","2,971.00","3,000.15","150,447"
"23-Apr-2019","3,002.00","3,013.95","2,986.35","2,991.00","138,140"
"24-Apr-2019","2,988.00","2,997.55","2,952.05","2,978.20","222,279"
"25-Apr-2019","2,988.00","2,999.00","2,962.65","2,969.25","163,138"
"26-Apr-2019","2,990.00","2,990.00","2,955.00","2,967.70","121,340"
"30-Apr-2019","2,970.00","2,974.90","2,876.05","2,896.05","458,803"
"02-May-2019","2,927.00","2,959.95","2,772.00","2,783.05","1,439,763"
"03-May-2019","2,782.95","2,803.85","2,690.00","2,696.15","1,857,697"
"06-May-2019","2,699.00","2,699.00","2,654.45","2,666.00","764,919"
"07-May-2019","2,683.00","2,720.50","2,644.70","2,650.55","1,182,277"
"08-May-2019","2,656.60","2,667.10","2,615.85","2,649.50","723,429"
"09-May-2019","2,637.00","2,689.80","2,637.00","2,672.40","457,843"
"10-May-2019","2,680.00","2,725.00","2,673.00","2,688.55","471,289"
"13-May-2019","2,695.00","2,707.60","2,668.55","2,676.55","332,869"
"14-May-2019","2,675.90","2,723.00","2,658.05","2,697.60","403,041"
"15-May-2019","2,700.00","2,709.95","2,660.00","2,687.75","322,361"
"16-May-2019","2,699.80","2,737.00","2,677.80","2,716.20","307,180"
"17-May-2019","2,719.85","2,785.10","2,710.00","2,779.25","533,790"
"20-May-2019","2,839.00","2,840.00","2,781.00","2,801.20","442,704"
"21-May-2019","2,800.00","2,867.40","2,794.10","2,848.70","490,607"
"22-May-2019","2,861.00","2,878.00","2,817.50","2,852.65","393,507"
"23-May-2019","2,874.00","2,890.00","2,827.10","2,838.70","262,582"
"24-May-2019","2,845.00","2,867.00","2,808.20","2,851.05","227,827"
"27-May-2019","2,870.00","2,905.00","2,858.05","2,896.55","267,259"
"28-May-2019","2,910.00","2,925.00","2,880.00","2,887.00","441,693"
"29-May-2019","2,887.50","2,930.00","2,871.00","2,917.00","248,043"
"30-May-2019","2,921.00","2,937.05","2,874.60","2,887.15","225,789"
"31-May-2019","2,895.00","2,970.00","2,889.60","2,921.95","577,546"
"03-Jun-2019","2,936.00","3,000.00","2,935.90","2,970.20","535,064"
"04-Jun-2019","2,970.20","2,985.00","2,951.00","2,963.10","211,082"
"06-Jun-2019","2,965.30","2,977.95","2,881.80","2,901.35","333,116"
"07-Jun-2019","2,905.00","2,919.30","2,860.00","2,899.30","285,268"
"10-Jun-2019","2,909.70","3,005.00","2,909.70","2,994.30","477,974"
"11-Jun-2019","3,005.00","3,010.00","2,970.00","2,980.30","282,227"
"12-Jun-2019","2,979.95","3,005.00","2,960.95","2,996.90","203,661"
"13-Jun-2019","2,989.30","2,994.60","2,952.00","2,984.55","213,532"
