"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","431.75","433.95","421.10","421.85","1,617,567"
"02-Jan-2019","421.95","425.35","411.00","416.40","2,550,167"
"03-Jan-2019","416.40","426.00","413.50","422.00","3,271,824"
"04-Jan-2019","423.00","425.45","416.90","419.25","1,831,799"
"07-Jan-2019","421.55","425.75","418.40","420.45","1,394,010"
"08-Jan-2019","422.35","422.50","414.00","416.40","1,412,597"
"09-Jan-2019","419.75","426.80","417.00","421.50","2,975,792"
"10-Jan-2019","422.50","423.90","418.55","421.15","1,089,796"
"11-Jan-2019","422.45","422.75","418.65","421.65","929,656"
"14-Jan-2019","422.35","435.30","420.80","433.50","3,145,076"
"15-Jan-2019","434.90","438.00","424.00","426.10","4,594,571"
"16-Jan-2019","425.15","427.40","419.35","423.85","1,621,386"
"17-Jan-2019","425.85","426.75","417.65","420.30","2,118,185"
"18-Jan-2019","422.95","427.00","418.55","424.10","2,301,927"
"21-Jan-2019","425.10","433.75","424.15","428.15","2,235,926"
"22-Jan-2019","428.20","434.35","423.20","433.35","1,553,097"
"23-Jan-2019","433.35","436.05","428.65","430.65","1,537,391"
"24-Jan-2019","429.40","433.80","427.40","430.40","1,179,389"
"25-Jan-2019","432.15","438.45","428.20","430.00","1,819,072"
"28-Jan-2019","430.75","432.00","422.50","427.40","1,613,234"
"29-Jan-2019","425.00","426.15","417.60","423.15","1,910,592"
"30-Jan-2019","425.55","432.45","424.35","431.15","1,919,495"
"31-Jan-2019","434.45","448.20","427.20","443.65","10,969,400"
"01-Feb-2019","450.00","456.00","441.35","451.85","6,034,606"
"04-Feb-2019","452.00","458.00","443.60","447.45","2,210,541"
"05-Feb-2019","447.90","453.00","444.20","449.05","1,499,771"
"06-Feb-2019","451.00","455.00","447.10","453.70","1,491,252"
"07-Feb-2019","453.50","462.00","453.00","459.80","2,064,428"
"08-Feb-2019","459.90","464.20","449.55","451.95","1,970,613"
"11-Feb-2019","451.00","452.50","441.80","448.95","1,208,431"
"12-Feb-2019","450.90","452.90","444.00","446.25","1,103,428"
"13-Feb-2019","446.30","448.00","437.50","439.50","1,191,003"
"14-Feb-2019","438.50","444.40","437.00","440.20","1,107,732"
"15-Feb-2019","440.00","443.45","430.10","434.30","1,882,950"
"18-Feb-2019","431.35","434.50","417.50","422.35","3,075,577"
"19-Feb-2019","420.00","427.40","417.70","420.80","1,806,783"
"20-Feb-2019","422.25","426.00","421.30","424.70","912,999"
"21-Feb-2019","426.00","428.75","423.10","426.55","892,660"
"22-Feb-2019","426.15","436.20","425.40","435.40","1,427,270"
"25-Feb-2019","438.50","439.85","429.75","431.90","1,630,382"
"26-Feb-2019","426.75","433.55","424.00","428.85","1,333,714"
"27-Feb-2019","431.00","441.00","429.50","434.60","3,023,613"
"28-Feb-2019","437.95","440.00","433.00","438.05","2,950,017"
"01-Mar-2019","439.70","446.05","439.70","445.30","2,704,142"
"05-Mar-2019","445.50","445.85","440.05","442.80","3,043,292"
"06-Mar-2019","443.05","445.00","435.25","436.75","1,699,096"
"07-Mar-2019","438.75","441.80","432.10","433.10","1,361,590"
"08-Mar-2019","431.50","435.55","430.80","432.20","832,863"
"11-Mar-2019","434.30","444.00","432.70","442.30","1,940,292"
"12-Mar-2019","448.00","454.70","444.70","447.30","2,683,161"
"13-Mar-2019","447.30","448.00","439.15","440.30","1,630,557"
"14-Mar-2019","440.00","440.80","435.15","438.90","1,205,591"
"15-Mar-2019","438.00","439.15","423.50","425.45","2,771,756"
"18-Mar-2019","426.75","429.80","422.20","428.40","1,967,141"
"19-Mar-2019","429.90","429.90","425.40","427.05","1,463,935"
"20-Mar-2019","427.20","427.95","423.55","426.05","2,261,001"
"22-Mar-2019","426.50","428.00","424.10","425.05","2,909,755"
"25-Mar-2019","420.55","423.90","416.20","419.95","3,136,076"
"26-Mar-2019","422.00","431.70","420.30","425.10","2,340,305"
"27-Mar-2019","425.20","427.05","409.45","411.25","5,120,542"
"28-Mar-2019","410.00","417.30","407.45","410.95","6,247,333"
"29-Mar-2019","414.30","414.50","407.00","408.80","5,749,812"
"01-Apr-2019","410.05","411.35","399.10","400.95","5,907,663"
"02-Apr-2019","402.10","408.00","399.60","402.00","4,074,190"
"03-Apr-2019","406.90","408.85","402.15","403.45","3,689,189"
"04-Apr-2019","405.60","406.80","403.25","405.05","2,366,959"
"05-Apr-2019","405.50","407.15","399.65","400.35","2,956,038"
"08-Apr-2019","401.05","405.00","400.40","401.10","1,381,349"
"09-Apr-2019","402.00","404.55","400.00","403.65","1,468,121"
"10-Apr-2019","406.75","408.75","401.25","403.30","2,861,296"
"11-Apr-2019","403.50","406.20","399.30","403.70","1,319,979"
"12-Apr-2019","404.60","409.35","403.00","407.30","3,346,428"
"15-Apr-2019","409.00","411.00","404.85","405.75","1,289,166"
"16-Apr-2019","406.65","410.00","406.35","409.00","1,586,331"
"18-Apr-2019","409.90","412.00","403.55","404.95","1,435,665"
"22-Apr-2019","405.70","405.85","401.50","403.55","838,599"
"23-Apr-2019","404.10","406.70","402.00","403.05","1,045,407"
"24-Apr-2019","403.85","404.30","397.00","398.65","1,863,429"
"25-Apr-2019","398.65","401.70","393.80","395.10","1,937,889"
"26-Apr-2019","395.25","400.60","394.50","397.95","1,400,795"
"30-Apr-2019","398.55","403.10","397.00","398.10","2,073,958"
"02-May-2019","398.10","399.70","376.90","382.15","13,091,778"
"03-May-2019","382.15","385.90","377.30","380.20","5,523,649"
"06-May-2019","380.00","380.95","375.10","377.75","1,785,915"
"07-May-2019","378.55","384.35","374.45","375.50","3,510,917"
"08-May-2019","375.50","375.75","365.00","367.25","5,290,060"
"09-May-2019","367.00","368.50","364.40","367.30","1,718,130"
"10-May-2019","368.20","371.45","367.45","369.80","3,122,309"
"13-May-2019","368.00","372.25","362.05","363.15","2,096,407"
"14-May-2019","363.65","370.75","360.55","368.60","2,082,247"
"15-May-2019","369.00","370.85","362.50","363.55","1,360,428"
"16-May-2019","365.10","365.10","357.55","361.05","1,864,739"
"17-May-2019","361.00","377.30","361.00","370.05","6,586,973"
"20-May-2019","377.60","384.55","374.25","382.40","4,140,456"
"21-May-2019","389.95","389.95","381.65","382.95","2,949,046"
"22-May-2019","383.00","386.95","378.85","385.65","1,811,235"
"23-May-2019","390.30","393.65","384.30","385.45","2,477,785"
"24-May-2019","390.00","405.95","388.00","399.05","5,822,005"
"27-May-2019","400.20","408.40","397.40","400.10","3,052,919"
"28-May-2019","402.00","405.90","396.05","398.10","3,755,326"
"29-May-2019","396.70","400.75","391.00","399.00","1,312,259"
"30-May-2019","399.95","402.00","394.20","396.35","1,171,056"
"31-May-2019","396.95","403.20","394.85","395.95","3,194,649"
"03-Jun-2019","400.00","409.50","398.05","408.80","3,171,471"
"04-Jun-2019","408.70","410.30","404.20","405.55","1,662,840"
"06-Jun-2019","406.00","408.70","401.50","402.95","1,621,809"
"07-Jun-2019","403.10","408.30","400.85","404.15","1,097,730"
"10-Jun-2019","408.00","414.35","406.90","409.30","2,216,371"
"11-Jun-2019","411.00","413.95","407.00","409.75","1,644,164"
"12-Jun-2019","409.70","410.45","406.15","409.00","930,133"
"13-Jun-2019","410.85","411.00","406.20","409.05","1,347,458"
"14-Jun-2019","408.00","408.90","400.00","400.55","1,247,599"
