"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,824.80","1,824.80","1,798.35","1,801.10","807,345"
"02-Jan-2019","1,792.40","1,808.85","1,771.30","1,784.60","1,598,707"
"03-Jan-2019","1,782.60","1,803.45","1,782.60","1,788.40","1,182,624"
"04-Jan-2019","1,798.90","1,802.00","1,772.15","1,781.70","1,454,134"
"07-Jan-2019","1,791.50","1,804.00","1,782.45","1,784.95","909,032"
"08-Jan-2019","1,792.00","1,793.50","1,761.10","1,770.85","1,262,707"
"09-Jan-2019","1,777.50","1,797.00","1,773.40","1,785.00","1,324,628"
"10-Jan-2019","1,785.00","1,799.10","1,779.00","1,786.20","1,313,981"
"11-Jan-2019","1,795.00","1,795.40","1,758.55","1,769.40","1,113,837"
"14-Jan-2019","1,771.00","1,780.75","1,760.10","1,763.90","1,018,068"
"15-Jan-2019","1,767.40","1,793.40","1,767.40","1,789.85","1,614,600"
"16-Jan-2019","1,790.00","1,794.80","1,766.80","1,772.55","2,054,033"
"17-Jan-2019","1,776.90","1,779.25","1,742.50","1,751.50","1,941,204"
"18-Jan-2019","1,750.00","1,768.85","1,727.30","1,744.10","3,234,056"
"21-Jan-2019","1,749.00","1,758.00","1,736.05","1,746.90","1,628,067"
"22-Jan-2019","1,746.00","1,755.00","1,741.25","1,750.20","1,776,472"
"23-Jan-2019","1,752.00","1,784.05","1,749.40","1,767.20","2,321,782"
"24-Jan-2019","1,766.80","1,784.05","1,756.70","1,759.50","1,350,870"
"25-Jan-2019","1,762.00","1,778.75","1,750.00","1,756.80","1,131,790"
"28-Jan-2019","1,758.90","1,771.55","1,740.15","1,743.00","1,289,774"
"29-Jan-2019","1,745.00","1,763.85","1,726.10","1,756.70","1,319,822"
"30-Jan-2019","1,760.00","1,760.75","1,728.10","1,733.35","1,259,978"
"31-Jan-2019","1,735.90","1,774.90","1,735.25","1,763.25","1,880,257"
"01-Feb-2019","1,763.25","1,832.50","1,761.45","1,799.30","2,342,251"
"04-Feb-2019","1,799.90","1,823.00","1,794.70","1,802.60","1,116,390"
"05-Feb-2019","1,805.00","1,834.95","1,804.95","1,821.45","1,278,708"
"06-Feb-2019","1,828.40","1,836.45","1,820.00","1,829.95","859,789"
"07-Feb-2019","1,834.00","1,845.00","1,828.35","1,839.05","927,434"
"08-Feb-2019","1,839.10","1,847.00","1,811.00","1,817.30","1,222,765"
"11-Feb-2019","1,811.05","1,815.40","1,795.75","1,804.80","797,453"
"12-Feb-2019","1,810.00","1,812.00","1,789.00","1,794.50","990,035"
"13-Feb-2019","1,800.00","1,814.90","1,791.60","1,798.95","1,227,463"
"14-Feb-2019","1,796.00","1,798.50","1,777.00","1,785.05","1,341,658"
"15-Feb-2019","1,790.00","1,790.00","1,747.50","1,772.80","1,177,218"
"18-Feb-2019","1,775.10","1,775.10","1,735.00","1,751.90","1,513,430"
"19-Feb-2019","1,750.00","1,759.60","1,730.45","1,737.95","1,598,381"
"20-Feb-2019","1,742.70","1,745.95","1,722.00","1,733.50","1,430,235"
"21-Feb-2019","1,737.00","1,758.00","1,736.35","1,754.70","1,225,418"
"22-Feb-2019","1,760.00","1,773.00","1,751.95","1,768.55","1,360,163"
"25-Feb-2019","1,772.00","1,775.80","1,759.00","1,770.15","1,490,746"
"26-Feb-2019","1,763.40","1,785.90","1,762.00","1,772.25","2,190,515"
"27-Feb-2019","1,779.00","1,779.00","1,728.55","1,736.50","1,491,740"
"28-Feb-2019","1,749.00","1,756.65","1,727.60","1,732.65","1,895,136"
"01-Mar-2019","1,735.00","1,749.00","1,731.05","1,734.65","761,115"
"05-Mar-2019","1,739.80","1,739.80","1,717.50","1,724.60","1,406,843"
"06-Mar-2019","1,726.10","1,730.00","1,697.95","1,699.80","2,193,045"
"07-Mar-2019","1,706.35","1,720.00","1,699.80","1,705.40","1,566,441"
"08-Mar-2019","1,706.00","1,718.00","1,695.10","1,701.60","1,419,614"
"11-Mar-2019","1,708.75","1,726.00","1,703.00","1,714.95","1,427,771"
"12-Mar-2019","1,718.90","1,739.00","1,718.80","1,734.80","1,861,116"
"13-Mar-2019","1,749.00","1,755.50","1,741.10","1,747.60","1,744,331"
"14-Mar-2019","1,750.75","1,751.70","1,730.20","1,737.30","867,427"
"15-Mar-2019","1,745.00","1,746.50","1,694.45","1,698.40","3,571,762"
"18-Mar-2019","1,710.00","1,710.95","1,686.90","1,697.55","1,621,113"
"19-Mar-2019","1,697.60","1,709.40","1,688.20","1,699.65","1,456,211"
"20-Mar-2019","1,705.00","1,716.50","1,683.45","1,687.55","2,312,268"
"22-Mar-2019","1,687.55","1,703.85","1,673.70","1,678.05","1,636,228"
"25-Mar-2019","1,674.00","1,687.50","1,660.00","1,673.85","2,039,945"
"26-Mar-2019","1,679.90","1,691.55","1,674.00","1,683.80","1,452,899"
"27-Mar-2019","1,684.00","1,707.80","1,675.00","1,680.80","1,520,533"
"28-Mar-2019","1,685.00","1,692.00","1,673.40","1,683.90","1,852,958"
"29-Mar-2019","1,695.30","1,712.85","1,691.90","1,706.80","2,348,874"
"01-Apr-2019","1,710.00","1,721.35","1,686.00","1,690.00","1,283,162"
"02-Apr-2019","1,693.15","1,697.00","1,680.10","1,687.15","1,227,869"
"03-Apr-2019","1,682.00","1,686.60","1,668.65","1,670.80","1,233,102"
"04-Apr-2019","1,668.00","1,686.60","1,658.00","1,666.55","1,212,398"
"05-Apr-2019","1,670.00","1,671.50","1,650.00","1,659.10","1,468,074"
"08-Apr-2019","1,664.90","1,679.75","1,656.90","1,664.90","1,647,502"
"09-Apr-2019","1,668.80","1,683.90","1,662.25","1,680.50","1,232,434"
"10-Apr-2019","1,684.70","1,704.65","1,675.00","1,694.15","1,720,236"
"11-Apr-2019","1,703.00","1,716.50","1,698.05","1,710.40","2,026,954"
"12-Apr-2019","1,716.40","1,724.70","1,710.20","1,721.65","1,437,818"
"15-Apr-2019","1,725.00","1,731.20","1,713.10","1,722.05","1,035,378"
"16-Apr-2019","1,726.00","1,742.00","1,716.15","1,738.55","1,625,738"
"18-Apr-2019","1,738.55","1,744.10","1,729.25","1,739.90","1,475,552"
"22-Apr-2019","1,740.00","1,745.00","1,730.10","1,739.85","717,781"
"23-Apr-2019","1,742.00","1,748.00","1,733.10","1,744.20","802,947"
"24-Apr-2019","1,744.60","1,755.00","1,735.00","1,752.60","1,169,461"
"25-Apr-2019","1,756.00","1,762.60","1,727.20","1,734.20","1,704,890"
"26-Apr-2019","1,738.00","1,750.80","1,726.15","1,747.35","772,993"
"30-Apr-2019","1,750.00","1,762.00","1,744.95","1,757.70","1,171,594"
"02-May-2019","1,756.50","1,762.50","1,720.25","1,723.55","793,819"
"03-May-2019","1,720.00","1,727.00","1,682.00","1,693.55","1,442,888"
"06-May-2019","1,687.00","1,687.00","1,656.00","1,668.90","2,373,878"
"07-May-2019","1,678.80","1,710.90","1,672.50","1,697.50","2,212,617"
"08-May-2019","1,697.50","1,697.50","1,675.00","1,688.70","1,243,338"
"09-May-2019","1,680.10","1,713.00","1,677.00","1,703.75","1,204,995"
"10-May-2019","1,708.95","1,709.00","1,678.50","1,687.45","1,000,696"
"13-May-2019","1,692.00","1,717.00","1,688.70","1,702.00","1,160,287"
"14-May-2019","1,700.00","1,710.00","1,680.20","1,698.50","1,442,817"
"15-May-2019","1,700.00","1,703.00","1,666.95","1,671.05","1,235,429"
"16-May-2019","1,674.70","1,700.00","1,672.20","1,688.20","714,690"
"17-May-2019","1,690.10","1,742.20","1,685.20","1,736.80","1,502,484"
"20-May-2019","1,760.00","1,776.65","1,734.85","1,772.50","1,279,236"
"21-May-2019","1,772.90","1,797.45","1,772.90","1,785.25","1,337,466"
"22-May-2019","1,785.00","1,785.00","1,747.35","1,768.30","1,162,653"
"23-May-2019","1,785.95","1,804.90","1,745.00","1,753.85","1,551,172"
"24-May-2019","1,754.00","1,759.80","1,727.10","1,749.60","1,603,085"
"27-May-2019","1,749.00","1,775.95","1,736.00","1,771.95","1,373,845"
"28-May-2019","1,775.00","1,786.00","1,754.50","1,776.90","2,863,139"
"29-May-2019","1,775.00","1,789.35","1,770.40","1,780.85","899,619"
"30-May-2019","1,788.00","1,792.00","1,781.00","1,784.25","1,038,433"
"31-May-2019","1,786.70","1,802.65","1,764.00","1,788.50","1,329,926"
"03-Jun-2019","1,794.00","1,845.00","1,792.00","1,839.70","1,415,582"
"04-Jun-2019","1,831.00","1,845.50","1,807.10","1,815.60","842,283"
"06-Jun-2019","1,822.15","1,849.90","1,812.10","1,837.75","1,626,007"
"07-Jun-2019","1,833.00","1,844.75","1,815.00","1,830.75","698,970"
"10-Jun-2019","1,839.80","1,864.95","1,835.00","1,852.50","814,577"
"11-Jun-2019","1,855.10","1,856.80","1,832.10","1,839.80","591,026"
"12-Jun-2019","1,838.00","1,853.25","1,822.05","1,847.10","709,916"
"13-Jun-2019","1,847.05","1,848.70","1,823.05","1,845.50","697,830"
"14-Jun-2019","1,843.00","1,853.25","1,816.35","1,822.95","632,971"
"17-Jun-2019","1,831.90","1,831.90","1,804.60","1,818.05","669,276"
"18-Jun-2019","1,810.50","1,818.15","1,793.00","1,809.60","995,083"
"19-Jun-2019","1,816.80","1,824.95","1,802.00","1,811.70","600,455"
"20-Jun-2019","1,799.00","1,809.45","1,791.50","1,805.05","603,514"
"21-Jun-2019","1,810.00","1,812.00","1,760.30","1,766.65","2,512,357"
"24-Jun-2019","1,769.00","1,777.60","1,756.70","1,764.45","762,144"
"25-Jun-2019","1,769.70","1,769.70","1,745.00","1,756.45","941,132"
"26-Jun-2019","1,753.00","1,765.00","1,746.40","1,761.00","1,075,017"
"27-Jun-2019","1,768.00","1,787.55","1,760.25","1,774.40","1,235,049"
"28-Jun-2019","1,777.25","1,790.65","1,762.75","1,787.60","1,008,229"
"01-Jul-2019","1,798.90","1,798.90","1,772.65","1,780.20","553,283"
"02-Jul-2019","1,784.00","1,798.00","1,770.00","1,789.20","763,979"
"03-Jul-2019","1,793.00","1,796.85","1,776.90","1,784.70","815,571"
"04-Jul-2019","1,780.55","1,798.70","1,780.55","1,793.60","646,633"
"05-Jul-2019","1,800.00","1,816.00","1,786.00","1,791.40","1,098,940"
"08-Jul-2019","1,784.75","1,784.75","1,748.70","1,753.55","776,755"
"09-Jul-2019","1,752.00","1,756.00","1,724.10","1,740.25","1,462,668"
"10-Jul-2019","1,739.00","1,754.90","1,703.10","1,718.60","648,476"
"11-Jul-2019","1,708.00","1,742.65","1,708.00","1,730.90","813,618"
"12-Jul-2019","1,726.80","1,738.25","1,708.25","1,713.20","1,107,445"
"15-Jul-2019","1,715.00","1,724.70","1,702.00","1,716.95","725,180"
"16-Jul-2019","1,723.50","1,750.60","1,712.75","1,741.30","1,259,786"
"17-Jul-2019","1,740.00","1,765.55","1,725.85","1,760.70","1,278,232"
"18-Jul-2019","1,766.00","1,766.00","1,709.00","1,739.15","1,006,299"
"19-Jul-2019","1,748.00","1,761.95","1,709.15","1,720.40","983,217"
"22-Jul-2019","1,722.30","1,724.70","1,659.05","1,680.70","1,729,722"
"23-Jul-2019","1,683.00","1,701.55","1,667.30","1,693.35","1,556,691"
"24-Jul-2019","1,685.00","1,732.00","1,678.60","1,728.65","2,621,818"
"25-Jul-2019","1,730.00","1,749.90","1,728.00","1,736.65","1,297,267"
"26-Jul-2019","1,731.10","1,742.00","1,719.30","1,730.65","771,408"
"29-Jul-2019","1,729.00","1,739.80","1,700.00","1,713.30","688,427"
"30-Jul-2019","1,715.00","1,734.35","1,705.00","1,719.90","747,251"
"31-Jul-2019","1,719.00","1,753.05","1,701.05","1,726.65","1,371,879"
"01-Aug-2019","1,721.00","1,744.70","1,710.00","1,731.30","1,072,498"
"02-Aug-2019","1,722.20","1,742.00","1,706.00","1,737.45","1,051,529"
"05-Aug-2019","1,727.90","1,753.45","1,707.70","1,741.20","1,539,739"
"06-Aug-2019","1,731.50","1,760.00","1,727.55","1,744.10","1,409,075"
"07-Aug-2019","1,744.10","1,786.90","1,740.00","1,777.25","2,507,314"
"08-Aug-2019","1,780.50","1,807.00","1,780.50","1,803.10","1,761,732"
"09-Aug-2019","1,805.00","1,846.65","1,800.90","1,841.35","1,730,596"
"13-Aug-2019","1,838.00","1,838.00","1,802.15","1,824.75","1,907,934"
"14-Aug-2019","1,826.00","1,854.15","1,808.70","1,839.05","1,910,376"
"16-Aug-2019","1,838.00","1,847.55","1,816.05","1,828.65","1,468,390"
"19-Aug-2019","1,830.15","1,845.00","1,811.00","1,820.90","905,742"
"20-Aug-2019","1,822.00","1,849.70","1,813.00","1,843.40","1,231,835"
"21-Aug-2019","1,842.90","1,855.75","1,836.00","1,850.00","1,933,855"
"22-Aug-2019","1,850.45","1,880.00","1,841.90","1,872.10","2,543,055"
"23-Aug-2019","1,874.75","1,877.35","1,850.65","1,860.00","1,278,546"
"26-Aug-2019","1,867.50","1,883.70","1,850.00","1,876.55","855,849"
"27-Aug-2019","1,884.00","1,889.00","1,841.95","1,861.40","2,510,386"
"28-Aug-2019","1,835.00","1,848.40","1,812.50","1,828.10","2,519,453"
"29-Aug-2019","1,817.00","1,843.65","1,814.10","1,832.95","2,837,369"
"30-Aug-2019","1,834.20","1,886.40","1,827.15","1,881.90","1,766,858"
"03-Sep-2019","1,863.00","1,875.80","1,835.00","1,841.85","1,195,923"
"04-Sep-2019","1,847.00","1,859.05","1,817.30","1,846.60","1,147,464"
