"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","282.20","283.55","279.80","282.70","2,490,548"
"02-Jan-2019","282.25","283.25","277.55","280.60","9,934,187"
"03-Jan-2019","280.60","282.45","277.75","278.85","6,114,946"
"04-Jan-2019","279.15","282.95","279.15","280.95","7,805,148"
"07-Jan-2019","284.30","285.25","281.00","281.65","9,757,529"
"08-Jan-2019","282.00","285.50","281.35","284.25","7,480,522"
"09-Jan-2019","285.60","291.70","284.60","290.40","12,182,118"
"10-Jan-2019","290.75","293.70","288.90","289.60","10,288,580"
"11-Jan-2019","291.90","296.00","291.50","295.35","16,773,035"
"14-Jan-2019","294.50","294.80","290.00","294.30","6,400,147"
"15-Jan-2019","295.25","297.40","294.00","296.55","7,213,165"
"16-Jan-2019","296.00","296.55","291.70","294.05","7,784,035"
"17-Jan-2019","294.10","295.60","290.15","293.95","10,601,100"
"18-Jan-2019","293.25","295.10","290.65","291.45","10,994,807"
"21-Jan-2019","292.85","293.20","288.70","289.90","8,203,333"
"22-Jan-2019","289.85","291.00","285.15","289.75","10,329,563"
"23-Jan-2019","291.50","294.40","275.00","277.30","40,188,183"
"24-Jan-2019","279.30","283.35","277.85","278.90","28,026,449"
"25-Jan-2019","280.00","282.70","278.50","279.20","8,897,906"
"28-Jan-2019","278.90","279.45","274.20","274.75","8,992,136"
"29-Jan-2019","275.30","279.00","274.75","278.45","6,998,389"
"30-Jan-2019","280.10","280.20","274.20","275.50","10,449,713"
"31-Jan-2019","276.50","279.60","273.60","278.65","15,346,406"
"01-Feb-2019","280.65","285.20","279.10","280.85","18,353,829"
"04-Feb-2019","281.90","281.90","276.05","277.10","6,056,619"
"05-Feb-2019","277.35","277.80","272.50","274.15","9,827,060"
"06-Feb-2019","275.00","278.40","274.55","277.70","8,097,580"
"07-Feb-2019","277.90","281.00","277.00","280.30","5,947,966"
"08-Feb-2019","279.50","281.20","274.60","275.50","4,405,887"
"11-Feb-2019","275.80","278.20","268.45","277.10","9,952,322"
"12-Feb-2019","277.05","280.50","274.60","275.30","7,341,352"
"13-Feb-2019","280.05","283.90","275.20","276.85","15,344,186"
"14-Feb-2019","277.00","280.20","277.00","277.90","9,993,785"
"15-Feb-2019","279.00","280.95","275.40","280.10","37,552,143"
"18-Feb-2019","278.80","282.45","273.90","274.70","40,666,405"
"19-Feb-2019","274.00","279.20","274.00","275.90","34,451,117"
"20-Feb-2019","277.25","277.50","274.25","275.85","5,977,880"
"21-Feb-2019","275.90","276.75","274.20","275.05","6,995,026"
"22-Feb-2019","275.60","275.95","273.10","274.30","8,763,445"
"25-Feb-2019","274.50","277.15","273.00","276.70","30,047,503"
"26-Feb-2019","274.95","277.00","274.05","275.50","11,779,606"
"27-Feb-2019","276.00","278.90","273.90","275.10","13,128,412"
"28-Feb-2019","277.30","277.30","274.25","276.05","43,208,896"
"01-Mar-2019","276.45","279.00","276.25","278.20","8,830,848"
"05-Mar-2019","280.00","284.00","276.05","282.55","13,580,306"
"06-Mar-2019","285.00","289.20","284.75","285.75","20,045,621"
"07-Mar-2019","286.70","291.00","285.85","290.10","14,287,507"
"08-Mar-2019","290.30","293.00","288.40","292.00","12,681,454"
"11-Mar-2019","293.00","294.90","291.10","292.95","14,720,968"
"12-Mar-2019","294.00","295.65","293.15","294.50","14,142,103"
"13-Mar-2019","295.00","297.00","294.15","294.90","11,070,294"
"14-Mar-2019","295.40","296.00","290.45","295.50","10,113,962"
"15-Mar-2019","295.95","296.55","289.35","290.80","21,395,473"
"18-Mar-2019","292.00","294.20","291.30","293.75","9,166,882"
"19-Mar-2019","294.60","300.00","293.35","299.45","15,756,420"
"20-Mar-2019","300.00","301.95","296.60","298.90","15,619,922"
"22-Mar-2019","300.00","300.00","296.55","298.20","8,067,384"
"25-Mar-2019","297.00","297.00","293.20","295.05","8,015,871"
"26-Mar-2019","295.00","296.35","291.05","293.40","10,763,629"
"27-Mar-2019","294.00","296.70","291.60","293.10","8,432,517"
"28-Mar-2019","294.10","302.00","293.00","300.00","17,752,380"
"29-Mar-2019","302.00","303.00","295.45","297.25","11,913,335"
"01-Apr-2019","297.00","299.20","296.55","297.25","6,203,276"
"02-Apr-2019","297.40","300.00","294.65","297.90","9,849,417"
"03-Apr-2019","298.00","299.00","295.15","296.15","9,064,767"
"04-Apr-2019","296.00","297.30","293.75","294.80","6,965,053"
"05-Apr-2019","295.05","296.40","292.65","294.55","7,806,991"
"08-Apr-2019","294.65","295.00","291.70","292.75","5,288,853"
"09-Apr-2019","292.50","296.70","292.25","296.30","6,175,672"
"10-Apr-2019","296.05","296.55","293.50","294.70","5,334,642"
"11-Apr-2019","294.55","297.45","293.00","296.40","10,764,968"
"12-Apr-2019","296.65","307.40","295.60","305.75","21,818,291"
"15-Apr-2019","307.90","310.00","304.35","305.50","12,612,414"
"16-Apr-2019","306.80","309.95","306.15","307.20","9,746,168"
"18-Apr-2019","308.25","308.25","303.55","304.40","8,838,122"
"22-Apr-2019","303.85","305.50","301.05","301.80","6,672,456"
"23-Apr-2019","302.15","304.80","301.55","303.40","7,496,038"
"24-Apr-2019","303.40","307.20","298.50","306.45","11,447,878"
"25-Apr-2019","307.25","309.80","302.00","304.15","23,240,675"
"26-Apr-2019","304.60","306.40","302.55","304.55","4,654,775"
"30-Apr-2019","304.55","307.55","299.50","301.35","11,163,210"
"02-May-2019","301.10","306.50","300.60","305.00","7,493,271"
"03-May-2019","304.25","307.45","303.30","304.25","5,885,895"
"06-May-2019","304.00","307.50","300.75","307.00","6,737,627"
"07-May-2019","308.25","309.50","300.85","301.90","8,655,871"
"08-May-2019","300.00","303.40","298.65","300.65","7,876,031"
"09-May-2019","299.40","301.30","296.35","299.85","10,223,616"
"10-May-2019","300.00","300.45","296.90","297.75","6,904,657"
"13-May-2019","295.10","303.50","287.70","289.30","35,880,558"
"14-May-2019","291.00","298.25","288.85","294.35","21,145,245"
"15-May-2019","297.55","299.30","292.00","297.05","17,894,032"
"16-May-2019","297.00","297.00","293.25","294.75","7,354,375"
"17-May-2019","295.10","302.35","295.10","301.40","11,194,900"
"20-May-2019","306.85","307.55","302.10","307.00","11,013,451"
"21-May-2019","307.00","310.00","305.30","305.90","10,518,883"
"22-May-2019","302.15","302.80","296.80","299.75","13,737,694"
"23-May-2019","305.00","305.60","287.00","288.20","31,380,501"
"24-May-2019","291.50","291.65","287.30","290.45","10,879,657"
"27-May-2019","291.25","293.55","289.05","290.85","9,024,193"
"28-May-2019","291.80","292.00","288.10","288.90","15,598,601"
"29-May-2019","288.80","291.70","287.60","288.10","7,255,516"
"30-May-2019","289.00","291.05","288.30","288.65","8,656,311"
"31-May-2019","289.35","291.50","277.45","278.55","26,281,811"
"03-Jun-2019","281.40","281.50","275.30","278.55","19,569,620"
"04-Jun-2019","279.25","282.15","278.80","279.25","13,850,737"
"06-Jun-2019","280.40","280.40","275.30","275.75","10,660,963"
"07-Jun-2019","276.80","276.80","274.20","275.25","7,699,206"
"10-Jun-2019","278.30","280.55","276.90","279.40","8,615,348"
"11-Jun-2019","280.90","281.40","279.20","279.85","8,461,371"
"12-Jun-2019","281.40","281.40","278.25","279.95","8,247,867"
"13-Jun-2019","278.90","281.35","278.55","280.60","7,198,584"
"14-Jun-2019","280.50","280.50","277.15","278.05","7,908,039"
"17-Jun-2019","278.85","278.85","274.45","275.00","10,013,278"
"18-Jun-2019","276.15","277.85","274.00","275.10","13,845,733"
"19-Jun-2019","275.70","278.90","275.60","277.20","9,046,515"
"20-Jun-2019","277.00","277.95","275.35","277.00","10,566,110"
"21-Jun-2019","276.65","276.65","273.25","274.25","18,595,809"
"24-Jun-2019","274.25","277.50","274.25","276.25","8,935,066"
"25-Jun-2019","275.05","280.00","274.25","278.50","12,379,897"
"26-Jun-2019","278.45","278.70","276.35","277.40","7,421,269"
"27-Jun-2019","277.95","278.20","272.80","273.50","23,308,215"
"28-Jun-2019","274.10","275.45","272.50","273.85","8,449,727"
"01-Jul-2019","274.40","276.25","274.15","274.95","5,042,447"
"02-Jul-2019","275.35","275.65","273.20","273.85","9,976,439"
"03-Jul-2019","274.30","277.55","272.15","276.70","18,120,809"
"04-Jul-2019","277.45","278.25","275.20","277.65","9,697,597"
"05-Jul-2019","277.65","281.85","268.00","279.45","37,047,327"
"08-Jul-2019","280.15","282.90","275.80","277.45","12,169,249"
"09-Jul-2019","276.95","277.55","272.15","273.10","7,706,490"
