"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","11,150.00","11,170.40","10,989.95","11,015.05","31,709"
"02-Jan-2019","10,980.50","11,160.00","10,907.05","11,035.40","28,167"
"03-Jan-2019","11,111.00","11,499.00","10,999.90","11,207.15","169,291"
"04-Jan-2019","11,139.00","11,198.90","10,655.55","10,851.20","206,163"
"07-Jan-2019","10,875.00","10,939.65","10,700.00","10,786.10","85,959"
"08-Jan-2019","10,800.00","11,240.00","10,690.00","11,005.40","134,341"
"09-Jan-2019","11,099.85","11,298.40","11,058.40","11,252.25","98,483"
"10-Jan-2019","11,320.00","11,447.80","11,139.60","11,416.60","76,915"
"11-Jan-2019","11,400.15","11,458.00","11,151.00","11,273.00","57,253"
"14-Jan-2019","11,300.00","11,385.70","11,189.95","11,228.65","51,811"
"15-Jan-2019","11,296.00","11,340.00","11,200.00","11,282.65","49,470"
"16-Jan-2019","11,261.05","11,291.75","10,980.00","11,055.90","136,679"
"17-Jan-2019","11,200.00","11,232.95","11,122.00","11,165.70","72,737"
"18-Jan-2019","11,200.00","11,326.45","11,181.00","11,248.40","76,762"
"21-Jan-2019","11,296.00","11,308.95","11,150.10","11,255.25","19,108"
"22-Jan-2019","11,290.00","11,350.00","11,200.00","11,236.55","39,958"
"23-Jan-2019","11,255.00","11,348.00","11,240.00","11,315.90","51,210"
"24-Jan-2019","11,315.90","11,460.00","11,306.05","11,433.40","104,618"
"25-Jan-2019","11,460.00","11,517.00","11,300.00","11,365.60","59,928"
"28-Jan-2019","11,365.60","11,420.00","11,155.00","11,360.60","103,963"
"29-Jan-2019","11,380.00","11,440.00","11,293.90","11,399.10","70,632"
"30-Jan-2019","11,420.00","11,439.75","11,280.00","11,396.65","39,290"
"31-Jan-2019","11,420.00","11,538.95","11,373.05","11,497.85","95,373"
"01-Feb-2019","11,498.05","11,622.00","11,430.15","11,556.55","61,906"
"04-Feb-2019","11,515.00","11,642.15","11,500.00","11,533.75","34,434"
"05-Feb-2019","11,534.95","11,654.00","11,510.10","11,607.45","36,727"
"06-Feb-2019","11,654.00","11,654.00","11,469.70","11,617.40","27,885"
"07-Feb-2019","11,615.00","11,749.00","11,540.00","11,715.70","36,168"
"08-Feb-2019","11,707.95","11,751.00","11,111.00","11,242.70","114,697"
"11-Feb-2019","11,300.00","11,300.00","10,765.45","10,843.50","122,841"
"12-Feb-2019","10,835.00","10,850.00","10,615.70","10,783.80","97,576"
"13-Feb-2019","10,869.00","10,950.00","10,458.45","10,578.30","112,684"
"14-Feb-2019","10,541.00","10,778.95","10,310.00","10,628.80","124,563"
"15-Feb-2019","10,450.00","10,740.15","10,251.00","10,535.45","414,813"
"18-Feb-2019","10,549.00","10,579.95","10,176.25","10,349.45","87,235"
"19-Feb-2019","10,350.05","10,729.05","10,350.05","10,515.40","88,601"
"20-Feb-2019","10,531.50","10,638.85","10,399.25","10,521.80","62,379"
"21-Feb-2019","10,500.00","10,671.45","10,450.00","10,621.95","70,280"
"22-Feb-2019","10,639.90","10,709.00","10,561.65","10,685.45","55,283"
"25-Feb-2019","10,739.00","10,870.00","10,680.00","10,831.65","42,086"
"26-Feb-2019","10,799.00","10,855.00","10,666.50","10,804.40","72,467"
"27-Feb-2019","10,804.40","10,820.65","10,651.80","10,713.70","85,713"
"28-Feb-2019","10,750.00","10,763.45","10,555.10","10,639.75","111,875"
"01-Mar-2019","10,640.00","10,675.00","10,406.05","10,451.80","109,782"
"05-Mar-2019","10,281.45","10,566.65","10,281.45","10,505.95","81,658"
"06-Mar-2019","10,593.00","10,593.00","10,195.00","10,320.75","145,434"
"07-Mar-2019","10,340.00","10,352.60","10,165.10","10,203.35","78,052"
"08-Mar-2019","10,219.95","10,220.00","10,035.00","10,095.15","98,498"
"11-Mar-2019","10,099.35","10,329.00","10,031.65","10,292.80","114,136"
"12-Mar-2019","10,298.90","10,511.95","10,260.05","10,428.90","83,043"
"13-Mar-2019","10,528.00","10,754.95","10,500.40","10,723.30","133,760"
"14-Mar-2019","10,758.00","10,770.00","10,540.00","10,739.30","55,804"
"15-Mar-2019","10,701.30","10,762.05","10,230.05","10,289.90","183,452"
"18-Mar-2019","10,375.00","10,495.40","10,271.20","10,456.60","61,262"
"19-Mar-2019","10,456.60","10,755.00","10,409.85","10,707.00","82,821"
"20-Mar-2019","10,729.90","10,749.95","10,463.50","10,530.15","59,630"
"22-Mar-2019","10,593.00","10,649.00","10,527.25","10,600.65","85,656"
"25-Mar-2019","10,515.05","10,549.90","10,303.00","10,528.30","109,785"
"26-Mar-2019","10,565.20","10,790.25","10,515.95","10,691.90","150,685"
"27-Mar-2019","10,690.95","11,049.00","10,576.75","10,892.00","139,605"
"28-Mar-2019","10,938.90","11,130.00","10,801.00","11,073.10","91,828"
"29-Mar-2019","11,027.15","11,239.00","10,901.00","10,960.95","149,501"
"01-Apr-2019","10,980.00","11,121.00","10,861.10","10,915.15","81,431"
"02-Apr-2019","10,979.70","10,979.70","10,700.00","10,786.80","59,609"
"03-Apr-2019","10,947.00","11,067.00","10,780.00","11,003.75","74,692"
"04-Apr-2019","11,059.00","11,059.00","10,850.00","10,961.85","40,177"
"05-Apr-2019","10,935.05","11,091.00","10,900.00","10,980.75","26,013"
"08-Apr-2019","10,999.00","11,050.00","10,804.50","10,850.60","37,049"
"09-Apr-2019","10,889.00","10,889.00","10,740.00","10,790.05","75,730"
"10-Apr-2019","10,792.50","10,850.00","10,730.00","10,811.95","48,089"
"11-Apr-2019","10,795.00","10,899.00","10,690.00","10,764.10","93,902"
"12-Apr-2019","10,767.90","11,000.00","10,764.30","10,973.80","49,737"
"15-Apr-2019","11,000.00","11,089.00","10,891.05","10,970.10","84,735"
"16-Apr-2019","11,000.00","11,218.95","10,995.00","11,155.80","89,355"
"18-Apr-2019","11,186.40","11,239.95","10,925.00","10,954.45","56,399"
"22-Apr-2019","10,965.00","11,125.00","10,851.55","10,879.90","31,883"
"23-Apr-2019","10,940.00","10,979.00","10,872.00","10,910.20","25,119"
"24-Apr-2019","10,907.50","11,029.55","10,705.00","10,833.40","76,358"
"25-Apr-2019","10,890.00","10,990.00","10,780.00","10,846.45","90,249"
"26-Apr-2019","10,851.00","11,049.20","10,822.05","10,971.25","51,412"
"30-Apr-2019","10,900.00","10,974.95","10,854.70","10,905.30","74,238"
"02-May-2019","10,905.00","10,905.00","10,403.05","10,589.70","44,249"
"03-May-2019","10,650.00","10,650.00","10,380.00","10,485.70","115,448"
"06-May-2019","10,400.00","10,497.10","10,305.05","10,364.00","90,136"
"07-May-2019","10,401.50","10,589.95","10,401.00","10,477.10","72,631"
"08-May-2019","10,487.75","10,536.00","10,275.70","10,298.35","46,391"
"09-May-2019","10,295.00","10,409.00","10,200.00","10,362.20","46,552"
"10-May-2019","10,371.90","10,435.65","10,171.05","10,231.15","61,273"
"13-May-2019","10,262.00","10,433.25","10,232.25","10,300.05","48,042"
"14-May-2019","10,310.00","10,364.40","10,120.05","10,198.65","54,275"
"15-May-2019","10,401.00","10,509.00","10,211.00","10,268.55","127,190"
"16-May-2019","10,332.70","10,401.00","10,255.05","10,280.55","39,322"
"17-May-2019","10,299.95","10,546.20","10,256.85","10,465.65","65,704"
"20-May-2019","10,680.00","10,832.00","10,560.35","10,768.15","49,555"
"21-May-2019","10,849.95","10,884.70","10,493.95","10,609.20","47,182"
"22-May-2019","10,650.05","10,784.20","10,600.00","10,700.55","31,497"
"23-May-2019","10,848.00","10,989.00","10,680.00","10,797.05","56,257"
"24-May-2019","10,813.00","10,849.90","10,592.30","10,660.05","49,465"
"27-May-2019","10,750.00","11,083.00","10,700.00","11,036.25","84,400"
"28-May-2019","11,040.00","11,165.00","10,950.00","11,105.20","133,445"
"29-May-2019","11,125.00","11,295.95","10,987.45","11,206.00","128,654"
"30-May-2019","11,175.25","11,345.00","11,170.00","11,320.50","93,421"
"31-May-2019","11,350.00","11,540.00","11,303.45","11,498.10","70,172"
"03-Jun-2019","11,498.60","11,700.00","11,498.60","11,686.45","64,302"
"04-Jun-2019","11,600.00","11,698.00","11,428.00","11,552.35","96,144"
"06-Jun-2019","11,552.35","11,684.00","11,530.00","11,603.30","82,658"
"07-Jun-2019","11,610.00","11,628.00","11,451.00","11,503.85","43,726"
"10-Jun-2019","11,607.10","11,729.00","11,376.00","11,698.40","48,341"
"11-Jun-2019","11,755.00","11,817.70","11,498.10","11,622.95","72,286"
"12-Jun-2019","11,674.00","11,715.00","11,505.00","11,695.50","43,374"
"13-Jun-2019","11,620.00","11,661.55","11,570.05","11,613.75","69,156"
"14-Jun-2019","11,615.50","11,723.65","11,451.00","11,489.00","40,564"
"17-Jun-2019","11,559.00","11,629.65","11,425.65","11,480.85","45,786"
"18-Jun-2019","11,505.05","11,551.95","11,300.00","11,457.60","55,529"
"19-Jun-2019","11,478.90","11,650.50","11,450.00","11,611.70","69,510"
"20-Jun-2019","11,613.05","11,759.00","11,474.20","11,718.05","65,396"
"21-Jun-2019","11,710.00","11,790.00","11,539.15","11,600.90","111,980"
"24-Jun-2019","11,600.00","11,760.00","11,550.15","11,712.00","24,222"
