"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","962.00","965.00","952.85","959.85","358,734"
"02-Jan-2019","959.00","962.00","939.15","946.35","1,135,048"
"03-Jan-2019","950.00","960.00","945.00","948.35","1,404,612"
"04-Jan-2019","946.00","950.55","925.00","932.35","1,538,639"
"07-Jan-2019","939.90","950.00","935.90","941.55","1,172,376"
"08-Jan-2019","948.00","948.00","933.10","945.15","1,515,788"
"09-Jan-2019","947.00","948.55","932.30","938.40","1,235,860"
"10-Jan-2019","943.00","943.00","932.00","935.85","916,048"
"11-Jan-2019","935.00","941.00","920.00","940.05","2,165,684"
"14-Jan-2019","941.00","944.00","928.00","937.20","978,404"
"15-Jan-2019","929.00","955.90","929.00","947.70","1,846,946"
"16-Jan-2019","948.00","954.20","936.75","938.25","850,621"
"17-Jan-2019","935.10","957.00","933.10","954.70","1,845,117"
"18-Jan-2019","948.60","968.75","946.35","966.30","2,342,528"
"21-Jan-2019","969.05","981.50","962.05","965.75","1,632,709"
"22-Jan-2019","962.00","964.55","937.00","940.75","2,395,796"
"23-Jan-2019","947.50","949.95","938.70","944.45","2,820,793"
"24-Jan-2019","944.90","953.70","939.25","946.45","1,477,391"
"25-Jan-2019","949.00","975.70","946.10","969.40","2,155,004"
"28-Jan-2019","973.00","980.00","963.90","977.80","1,514,965"
"29-Jan-2019","978.00","994.85","961.10","988.45","2,366,569"
"30-Jan-2019","1,018.00","1,035.00","1,001.50","1,018.40","7,026,674"
"31-Jan-2019","1,019.60","1,023.15","986.75","1,005.20","4,529,214"
"01-Feb-2019","1,010.60","1,050.00","1,010.50","1,043.85","3,230,111"
"04-Feb-2019","1,045.00","1,057.80","1,040.30","1,044.80","2,066,972"
"05-Feb-2019","1,046.50","1,055.00","1,041.50","1,047.75","1,184,282"
"06-Feb-2019","1,051.00","1,064.95","1,045.10","1,055.20","1,165,500"
"07-Feb-2019","1,056.00","1,077.80","1,056.00","1,062.90","1,625,544"
"08-Feb-2019","1,060.00","1,076.00","1,058.05","1,068.45","1,866,901"
"11-Feb-2019","1,068.10","1,084.00","1,063.00","1,079.35","1,578,943"
"12-Feb-2019","1,076.00","1,078.40","1,052.75","1,058.80","1,394,441"
"13-Feb-2019","1,060.00","1,073.00","1,047.05","1,070.15","1,321,888"
"14-Feb-2019","1,070.00","1,070.00","1,057.05","1,061.30","985,360"
"15-Feb-2019","1,066.20","1,067.35","1,041.50","1,057.25","1,246,060"
"18-Feb-2019","1,060.80","1,072.00","1,032.50","1,046.30","1,275,349"
"19-Feb-2019","1,048.00","1,051.20","1,036.35","1,039.05","918,720"
"20-Feb-2019","1,042.35","1,061.50","1,026.00","1,057.95","1,279,177"
"21-Feb-2019","1,060.00","1,061.50","1,042.60","1,053.40","1,301,577"
"22-Feb-2019","1,044.20","1,070.50","1,044.00","1,066.15","1,422,246"
"25-Feb-2019","1,070.60","1,085.00","1,062.95","1,082.25","1,170,470"
"26-Feb-2019","1,080.60","1,095.95","1,054.95","1,058.85","1,863,185"
"27-Feb-2019","1,060.00","1,066.00","1,038.00","1,060.35","1,662,555"
"28-Feb-2019","1,069.95","1,069.95","1,047.70","1,053.90","3,330,830"
"01-Mar-2019","1,055.00","1,061.40","1,043.75","1,052.60","1,147,955"
"05-Mar-2019","1,057.70","1,059.80","1,045.20","1,052.55","1,058,779"
"06-Mar-2019","1,060.60","1,062.00","1,038.60","1,043.25","1,403,626"
"07-Mar-2019","1,047.60","1,050.50","1,032.00","1,034.55","1,036,807"
"08-Mar-2019","1,029.40","1,029.95","1,006.00","1,009.05","1,588,047"
"11-Mar-2019","1,007.00","1,021.75","1,001.00","1,004.40","2,273,794"
"12-Mar-2019","1,007.10","1,019.50","1,000.05","1,013.35","2,451,094"
"13-Mar-2019","1,018.70","1,043.00","1,014.10","1,028.35","3,401,670"
"14-Mar-2019","1,035.00","1,040.55","1,004.10","1,006.75","1,896,916"
"15-Mar-2019","1,012.00","1,033.85","1,008.80","1,029.30","2,603,844"
"18-Mar-2019","1,032.10","1,039.95","1,008.35","1,012.00","1,175,027"
"19-Mar-2019","1,020.10","1,042.00","1,013.10","1,036.20","1,621,276"
"20-Mar-2019","1,042.00","1,054.50","1,031.50","1,037.95","2,204,401"
"22-Mar-2019","1,038.00","1,048.00","1,018.00","1,024.85","2,618,545"
"25-Mar-2019","1,029.00","1,029.00","1,011.85","1,017.65","1,527,955"
"26-Mar-2019","1,013.35","1,043.80","1,011.50","1,034.60","1,655,723"
"27-Mar-2019","1,020.00","1,056.35","1,020.00","1,043.15","1,455,845"
"28-Mar-2019","1,051.40","1,088.35","1,050.00","1,082.90","4,313,807"
"29-Mar-2019","1,090.00","1,098.45","1,067.65","1,087.45","2,827,220"
"01-Apr-2019","1,090.00","1,120.00","1,082.05","1,110.75","2,308,865"
"02-Apr-2019","1,110.00","1,120.00","1,092.50","1,102.60","1,393,922"
"03-Apr-2019","1,102.60","1,133.30","1,091.55","1,120.60","2,648,314"
"04-Apr-2019","1,118.00","1,118.05","1,081.50","1,098.05","4,222,104"
"05-Apr-2019","1,090.35","1,104.65","1,085.50","1,092.80","1,704,522"
"08-Apr-2019","1,095.00","1,101.00","1,080.95","1,096.35","2,013,924"
"09-Apr-2019","1,096.35","1,128.85","1,096.20","1,118.15","3,250,491"
"10-Apr-2019","1,120.00","1,125.30","1,096.20","1,098.70","2,413,433"
"11-Apr-2019","1,092.30","1,101.10","1,085.00","1,088.85","1,517,790"
"12-Apr-2019","1,088.80","1,100.85","1,076.60","1,083.45","1,419,742"
"15-Apr-2019","1,089.00","1,108.00","1,085.00","1,103.25","1,934,151"
"16-Apr-2019","1,109.50","1,116.25","1,102.35","1,107.05","1,200,591"
"18-Apr-2019","1,108.00","1,123.90","1,090.50","1,102.65","2,027,619"
"22-Apr-2019","1,103.50","1,114.30","1,095.00","1,101.10","1,115,258"
"23-Apr-2019","1,102.60","1,111.95","1,096.60","1,102.00","1,067,764"
"24-Apr-2019","1,103.00","1,142.10","1,096.85","1,138.95","2,840,823"
"25-Apr-2019","1,141.00","1,151.40","1,129.05","1,133.70","2,680,549"
"26-Apr-2019","1,140.00","1,169.85","1,135.00","1,139.75","1,732,967"
"30-Apr-2019","1,140.05","1,187.60","1,140.00","1,183.35","4,155,200"
"02-May-2019","1,170.00","1,180.50","1,156.50","1,160.05","2,113,097"
"03-May-2019","1,144.00","1,149.15","1,126.25","1,143.05","2,855,158"
"06-May-2019","1,139.90","1,144.40","1,128.05","1,136.05","1,413,565"
"07-May-2019","1,137.35","1,150.00","1,116.00","1,131.75","2,344,602"
"08-May-2019","1,132.00","1,140.00","1,122.40","1,132.60","1,493,911"
"09-May-2019","1,124.50","1,145.00","1,110.10","1,136.60","2,481,345"
"10-May-2019","1,111.00","1,111.00","1,072.80","1,086.65","7,767,725"
"13-May-2019","1,088.30","1,100.75","1,078.00","1,083.65","1,684,031"
"14-May-2019","1,083.65","1,083.65","1,057.00","1,067.85","2,194,007"
"15-May-2019","1,072.95","1,086.50","1,062.85","1,067.45","1,620,299"
"16-May-2019","1,079.90","1,080.45","1,056.05","1,072.25","1,113,451"
"17-May-2019","1,075.05","1,077.00","1,059.75","1,062.70","1,390,023"
"20-May-2019","1,065.00","1,083.80","1,051.25","1,073.55","1,190,237"
"21-May-2019","1,071.40","1,074.00","1,052.65","1,056.10","806,713"
"22-May-2019","1,057.00","1,075.00","1,053.70","1,061.00","1,712,432"
"23-May-2019","1,064.00","1,071.00","1,050.25","1,066.40","1,942,100"
"24-May-2019","1,071.00","1,074.00","1,054.10","1,065.95","2,170,234"
"27-May-2019","1,072.00","1,081.00","1,058.20","1,064.20","1,582,207"
"28-May-2019","1,071.00","1,089.95","1,055.25","1,071.30","5,315,844"
"29-May-2019","1,071.40","1,095.00","1,068.20","1,085.00","2,177,406"
"30-May-2019","1,088.00","1,098.35","1,068.00","1,078.20","2,372,724"
"31-May-2019","1,085.00","1,099.40","1,080.05","1,092.55","2,127,547"
"03-Jun-2019","1,098.85","1,119.00","1,087.15","1,115.20","1,700,197"
"04-Jun-2019","1,112.40","1,113.40","1,081.00","1,085.85","2,064,485"
"06-Jun-2019","1,090.00","1,101.15","1,075.55","1,079.20","2,350,903"
"07-Jun-2019","1,083.00","1,087.20","1,071.25","1,079.60","1,636,403"
"10-Jun-2019","1,086.90","1,101.80","1,081.40","1,091.20","1,028,004"
"11-Jun-2019","1,100.00","1,116.95","1,093.90","1,107.90","3,242,539"
"12-Jun-2019","1,107.00","1,110.00","1,091.30","1,108.10","1,568,101"
"13-Jun-2019","1,103.00","1,106.10","1,093.00","1,100.90","1,975,925"
"14-Jun-2019","1,093.10","1,102.35","1,084.00","1,087.00","1,733,936"
"17-Jun-2019","1,084.00","1,087.70","1,071.50","1,074.90","1,243,674"
"18-Jun-2019","1,074.90","1,094.15","1,074.65","1,089.60","706,081"
"19-Jun-2019","1,090.10","1,096.60","1,077.80","1,084.10","1,218,939"
"20-Jun-2019","1,070.00","1,091.00","1,065.65","1,087.35","947,544"
"21-Jun-2019","1,092.50","1,092.65","1,071.15","1,076.25","2,347,555"
"24-Jun-2019","1,079.00","1,084.05","1,068.10","1,077.90","675,052"
"25-Jun-2019","1,077.90","1,081.10","1,060.15","1,079.00","1,101,967"
"26-Jun-2019","1,072.20","1,092.65","1,072.20","1,078.75","1,638,867"
"27-Jun-2019","1,074.30","1,084.05","1,059.95","1,062.75","1,388,025"
"28-Jun-2019","1,070.70","1,075.95","1,058.70","1,064.65","1,414,937"
"01-Jul-2019","1,067.25","1,069.90","1,047.35","1,049.10","1,233,848"
"02-Jul-2019","1,053.00","1,064.65","1,043.00","1,060.00","1,007,025"
"03-Jul-2019","1,061.00","1,064.75","1,047.60","1,051.20","606,670"
"04-Jul-2019","1,048.70","1,051.20","1,033.80","1,040.75","1,276,519"
"05-Jul-2019","1,043.90","1,049.00","1,012.65","1,016.40","1,257,176"
"08-Jul-2019","1,011.00","1,045.80","1,010.05","1,039.05","2,004,112"
"09-Jul-2019","1,033.45","1,047.80","1,008.00","1,020.75","1,602,967"
"10-Jul-2019","1,014.00","1,035.00","1,013.10","1,018.90","865,800"
"11-Jul-2019","1,027.80","1,027.80","1,015.05","1,020.80","775,353"
"12-Jul-2019","1,016.05","1,029.70","1,009.00","1,023.90","1,451,643"
"15-Jul-2019","1,034.45","1,038.00","1,020.00","1,027.50","1,316,603"
"16-Jul-2019","1,031.90","1,032.15","1,013.45","1,019.65","1,725,251"
"17-Jul-2019","1,024.40","1,043.00","1,020.90","1,040.75","1,145,555"
"18-Jul-2019","1,033.40","1,037.00","1,016.00","1,018.55","1,304,150"
"19-Jul-2019","1,024.00","1,030.80","1,009.20","1,015.60","1,069,812"
"22-Jul-2019","1,015.60","1,027.25","1,003.25","1,018.95","951,078"
"23-Jul-2019","1,020.65","1,025.95","1,007.15","1,010.95","1,005,829"
"24-Jul-2019","1,009.95","1,024.85","1,001.50","1,021.30","1,192,280"
"25-Jul-2019","1,021.10","1,027.65","1,003.00","1,011.30","3,021,020"
"26-Jul-2019","1,007.70","1,012.10","997.40","1,001.45","1,166,192"
"29-Jul-2019","1,005.00","1,024.00","1,004.00","1,015.45","912,913"
"30-Jul-2019","1,015.00","1,027.35","1,010.80","1,023.60","1,067,237"
"31-Jul-2019","1,022.50","1,037.90","1,002.95","1,034.55","1,857,018"
"01-Aug-2019","1,029.15","1,042.45","1,015.10","1,021.55","1,745,006"
"02-Aug-2019","1,017.00","1,017.90","993.00","1,010.50","1,772,429"
"05-Aug-2019","1,003.40","1,017.00","997.10","1,011.10","1,343,640"
"06-Aug-2019","1,011.10","1,037.00","1,003.20","1,024.20","1,587,416"
"07-Aug-2019","1,025.15","1,045.90","1,016.45","1,022.65","1,983,922"
"08-Aug-2019","1,035.95","1,095.00","1,028.05","1,088.25","6,246,649"
"09-Aug-2019","1,084.80","1,102.45","1,077.80","1,086.30","2,822,849"
"13-Aug-2019","1,091.90","1,091.90","1,067.35","1,072.50","1,253,805"
"14-Aug-2019","1,069.15","1,083.40","1,057.45","1,076.15","1,401,960"
"16-Aug-2019","1,076.90","1,076.90","1,050.50","1,062.75","1,554,110"
"19-Aug-2019","1,065.60","1,077.95","1,057.65","1,064.05","841,106"
