"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","715.00","721.45","715.00","719.10","815,535"
"02-Jan-2019","719.15","729.70","709.25","712.05","2,576,769"
"03-Jan-2019","715.05","716.00","685.25","691.25","3,558,015"
"04-Jan-2019","694.45","697.05","672.50","681.10","3,926,171"
"07-Jan-2019","685.00","690.85","682.55","687.50","1,885,000"
"08-Jan-2019","688.00","692.40","685.20","689.85","1,300,906"
"09-Jan-2019","694.20","701.40","684.00","693.70","2,183,998"
"10-Jan-2019","695.00","696.95","689.15","694.55","1,454,656"
"11-Jan-2019","694.00","701.25","687.00","699.20","1,849,817"
"14-Jan-2019","703.00","703.10","676.90","679.85","1,558,602"
"15-Jan-2019","682.95","710.80","682.05","706.25","2,491,520"
"16-Jan-2019","705.00","705.00","697.00","699.90","1,922,647"
"17-Jan-2019","699.50","709.10","696.00","705.55","1,434,040"
"18-Jan-2019","705.00","714.20","702.35","709.15","1,888,004"
"21-Jan-2019","710.35","721.40","709.00","713.90","2,586,962"
"22-Jan-2019","714.00","720.00","701.80","714.20","2,839,669"
"23-Jan-2019","714.00","725.90","711.00","720.70","1,965,283"
"24-Jan-2019","724.00","730.00","716.50","727.75","1,849,102"
"25-Jan-2019","732.00","735.20","724.00","729.05","2,528,541"
"28-Jan-2019","732.20","738.00","721.15","735.15","1,804,582"
"29-Jan-2019","735.20","742.40","721.40","731.50","3,100,457"
"30-Jan-2019","732.00","733.40","711.75","714.60","2,139,900"
"31-Jan-2019","718.00","736.70","718.00","731.90","3,253,640"
"01-Feb-2019","732.95","750.60","728.00","746.60","2,260,029"
"04-Feb-2019","749.00","752.25","736.60","749.15","1,518,373"
"05-Feb-2019","752.00","760.00","740.20","751.00","2,446,263"
"06-Feb-2019","784.00","814.50","774.00","811.35","14,860,848"
"07-Feb-2019","809.00","816.20","798.10","805.00","4,966,655"
"08-Feb-2019","800.00","818.00","800.00","805.55","5,242,725"
"11-Feb-2019","809.00","813.90","804.00","809.40","2,541,742"
"12-Feb-2019","809.90","814.90","796.45","805.15","2,416,559"
"13-Feb-2019","805.00","811.10","797.80","809.70","2,032,331"
"14-Feb-2019","805.80","811.75","800.40","805.90","2,464,657"
"15-Feb-2019","804.80","804.80","777.25","799.65","4,312,334"
"18-Feb-2019","815.00","822.00","800.50","803.45","3,851,335"
"19-Feb-2019","807.00","809.00","788.85","791.00","2,372,030"
"20-Feb-2019","794.05","816.25","785.25","812.40","3,340,240"
"21-Feb-2019","814.00","840.00","809.10","820.65","14,193,982"
"22-Feb-2019","824.90","829.75","818.10","826.00","4,789,937"
"25-Feb-2019","830.20","832.90","822.50","830.65","2,881,535"
"26-Feb-2019","825.00","838.40","820.60","833.30","3,319,590"
"27-Feb-2019","836.40","837.95","820.60","825.60","3,703,224"
"28-Feb-2019","833.00","838.40","825.00","830.15","6,409,662"
"01-Mar-2019","831.00","836.50","829.10","831.80","3,820,707"
"05-Mar-2019","822.50","824.70","808.05","810.00","4,927,644"
"06-Mar-2019","812.00","829.70","812.00","823.55","3,999,053"
"07-Mar-2019","823.55","825.45","806.25","808.25","2,306,250"
"08-Mar-2019","810.20","813.50","802.60","811.35","1,437,045"
"11-Mar-2019","812.00","814.40","803.00","807.15","2,699,806"
"12-Mar-2019","811.00","813.75","801.15","804.70","2,793,702"
"13-Mar-2019","808.90","816.00","788.00","789.95","4,815,576"
"14-Mar-2019","792.10","795.00","775.00","788.45","3,112,666"
"15-Mar-2019","794.00","807.50","787.00","799.30","3,854,238"
"18-Mar-2019","804.95","805.70","782.25","788.60","3,379,301"
"19-Mar-2019","793.50","797.45","783.25","794.65","2,413,153"
"20-Mar-2019","797.00","806.20","787.30","789.85","3,331,375"
"22-Mar-2019","794.50","798.00","783.20","788.75","2,815,749"
"25-Mar-2019","792.00","795.45","786.40","789.60","1,861,646"
"26-Mar-2019","790.20","791.90","768.15","770.75","3,169,827"
"27-Mar-2019","771.00","773.00","761.60","764.95","3,893,738"
"28-Mar-2019","770.00","782.00","768.05","771.70","3,908,706"
"29-Mar-2019","778.95","781.95","771.00","775.90","2,455,461"
"01-Apr-2019","782.85","794.80","779.00","785.50","3,433,947"
"02-Apr-2019","790.95","794.00","785.05","792.45","2,596,840"
"03-Apr-2019","792.45","793.35","776.25","777.70","1,467,406"
"04-Apr-2019","777.90","781.75","767.25","774.50","1,751,584"
"05-Apr-2019","779.00","787.10","774.50","777.25","1,367,411"
"08-Apr-2019","779.70","790.00","773.40","787.15","1,368,825"
"09-Apr-2019","790.35","797.70","787.30","789.50","2,128,462"
"10-Apr-2019","786.05","798.95","786.00","790.25","2,497,013"
"11-Apr-2019","790.40","795.75","778.60","780.95","1,854,222"
"12-Apr-2019","779.00","786.35","774.55","785.35","3,162,714"
"15-Apr-2019","785.35","799.40","785.00","797.20","3,317,405"
"16-Apr-2019","799.00","804.70","795.15","798.10","1,868,910"
"18-Apr-2019","804.00","809.00","798.10","800.35","6,307,643"
"22-Apr-2019","800.70","810.80","798.80","805.35","1,833,972"
"23-Apr-2019","806.50","807.95","800.05","804.95","1,214,892"
"24-Apr-2019","807.00","820.00","806.00","818.75","2,710,117"
"25-Apr-2019","820.00","827.00","813.45","816.50","5,447,101"
"26-Apr-2019","816.50","826.85","816.50","823.25","1,996,703"
"30-Apr-2019","825.95","838.00","823.10","836.10","2,783,771"
"02-May-2019","834.90","846.50","829.10","837.00","3,241,791"
"03-May-2019","830.00","834.45","813.00","817.40","2,329,144"
"06-May-2019","810.00","825.50","810.00","820.15","1,247,845"
"07-May-2019","822.00","824.30","809.70","814.65","1,810,222"
"08-May-2019","813.00","814.10","799.60","802.30","1,270,071"
"09-May-2019","801.00","814.75","799.20","809.65","2,024,710"
"10-May-2019","810.40","813.40","800.40","808.40","1,429,055"
"13-May-2019","811.60","825.70","809.20","817.30","3,719,275"
"14-May-2019","818.80","818.80","786.60","790.05","2,701,861"
"15-May-2019","791.00","798.40","785.55","790.30","1,662,095"
"16-May-2019","788.65","794.75","781.35","789.35","1,233,818"
"17-May-2019","793.00","793.00","776.55","784.85","1,608,854"
"20-May-2019","790.00","790.00","763.00","779.35","3,754,370"
"21-May-2019","780.00","784.80","768.10","773.05","1,669,926"
"22-May-2019","758.00","767.35","744.20","749.95","5,888,740"
"23-May-2019","760.00","761.35","740.55","743.30","3,764,857"
"24-May-2019","749.90","749.90","732.05","735.85","3,591,853"
"27-May-2019","737.00","738.00","719.50","726.05","3,672,605"
"28-May-2019","727.00","746.75","727.00","737.15","5,583,587"
"29-May-2019","736.95","748.25","733.65","738.85","2,058,402"
"30-May-2019","741.50","746.00","732.95","735.00","3,367,426"
"31-May-2019","740.00","763.80","738.15","760.35","5,503,111"
"03-Jun-2019","763.90","763.90","749.00","757.60","2,826,290"
"04-Jun-2019","756.30","762.70","746.80","748.30","2,332,547"
"06-Jun-2019","748.30","749.30","733.90","738.00","3,225,967"
"07-Jun-2019","738.10","752.70","729.40","750.75","1,569,343"
"10-Jun-2019","755.45","769.35","754.05","768.20","2,539,412"
"11-Jun-2019","770.00","770.75","759.25","762.10","2,069,998"
"12-Jun-2019","762.00","764.30","743.30","747.95","3,056,823"
"13-Jun-2019","744.00","752.70","738.50","744.10","2,385,606"
"14-Jun-2019","744.00","746.65","735.30","740.25","1,348,083"
"17-Jun-2019","740.00","743.15","734.05","736.55","1,333,739"
"18-Jun-2019","737.90","744.40","736.05","741.55","1,645,116"
"19-Jun-2019","742.00","744.30","729.55","735.60","1,945,921"
"20-Jun-2019","722.00","731.00","717.85","725.55","4,139,025"
"21-Jun-2019","729.00","744.00","726.50","740.45","7,280,809"
"24-Jun-2019","738.00","738.00","727.00","728.25","1,242,655"
"25-Jun-2019","727.00","728.15","720.00","724.35","1,451,025"
"26-Jun-2019","721.30","730.85","716.40","718.10","2,781,711"
"27-Jun-2019","715.50","719.00","691.65","701.95","8,567,309"
