"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","330.75","332.75","325.40","326.65","1,513,704"
"02-Jan-2019","328.80","331.30","323.00","325.55","3,308,303"
"03-Jan-2019","327.00","327.95","323.05","325.50","3,542,281"
"04-Jan-2019","324.50","326.85","319.65","324.45","2,405,278"
"07-Jan-2019","326.10","326.75","322.30","324.25","1,903,604"
"08-Jan-2019","325.00","327.50","322.60","325.55","2,084,659"
"09-Jan-2019","324.55","332.60","324.55","329.00","3,927,881"
"10-Jan-2019","330.80","331.05","323.00","325.75","3,099,392"
"11-Jan-2019","325.60","329.90","323.50","328.70","1,598,939"
"14-Jan-2019","330.05","331.10","311.35","312.55","6,913,323"
"15-Jan-2019","319.00","332.30","315.05","329.80","15,070,795"
"16-Jan-2019","331.80","339.80","329.05","336.55","9,896,290"
"17-Jan-2019","337.00","338.60","331.60","335.40","5,289,184"
"18-Jan-2019","336.00","347.50","333.40","346.15","10,091,966"
"21-Jan-2019","340.00","344.90","333.20","337.80","15,621,848"
"22-Jan-2019","336.80","349.60","336.00","346.50","6,681,724"
"23-Jan-2019","348.65","355.80","348.00","351.55","9,937,426"
"24-Jan-2019","350.20","353.00","346.50","351.75","4,230,546"
"25-Jan-2019","348.25","358.35","348.00","353.45","5,236,553"
"28-Jan-2019","354.35","362.70","354.25","355.15","6,899,957"
"29-Jan-2019","356.00","360.80","353.05","359.40","4,620,099"
"30-Jan-2019","359.00","367.65","358.00","363.25","7,408,937"
"31-Jan-2019","366.00","371.40","363.30","369.20","7,694,071"
"01-Feb-2019","370.10","372.45","363.50","371.55","3,366,604"
"04-Feb-2019","370.00","374.70","368.10","371.25","3,143,722"
"05-Feb-2019","370.00","372.20","365.80","368.45","2,456,401"
"06-Feb-2019","369.15","374.95","368.75","372.20","2,179,261"
"07-Feb-2019","372.00","374.50","369.65","373.60","2,243,431"
"08-Feb-2019","371.50","374.90","368.70","372.70","1,400,929"
"11-Feb-2019","370.90","377.40","369.70","373.05","2,972,778"
"12-Feb-2019","374.15","376.25","368.35","375.00","2,977,246"
"13-Feb-2019","374.80","379.70","373.25","377.45","3,297,274"
"14-Feb-2019","376.40","378.40","373.95","375.10","3,074,852"
"15-Feb-2019","375.25","377.35","370.15","376.10","3,522,673"
"18-Feb-2019","378.80","378.80","370.75","375.60","3,480,075"
"19-Feb-2019","372.55","375.40","362.20","363.45","3,064,358"
"20-Feb-2019","363.20","374.00","361.20","372.20","4,410,484"
"21-Feb-2019","372.80","376.80","370.80","374.55","2,573,085"
"22-Feb-2019","375.00","380.00","373.50","378.75","3,194,664"
"25-Feb-2019","380.80","386.70","379.25","385.40","4,678,470"
"26-Feb-2019","384.50","388.95","381.25","387.65","3,802,537"
"27-Feb-2019","380.25","383.85","372.40","374.40","8,009,017"
"28-Feb-2019","374.90","376.70","366.60","368.90","9,428,265"
"01-Mar-2019","370.90","378.35","365.50","375.70","7,036,417"
"05-Mar-2019","374.00","374.65","362.00","363.60","13,515,990"
"06-Mar-2019","274.40","285.90","273.10","277.45","21,507,060"
"07-Mar-2019","280.00","280.30","267.50","268.85","8,100,134"
"08-Mar-2019","261.10","262.25","256.55","257.70","27,344,869"
