"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","386.30","390.90","384.05","389.00","1,233,249"
"02-Jan-2019","388.00","388.95","378.00","381.30","1,506,543"
"03-Jan-2019","382.40","385.30","376.60","378.10","1,902,063"
"04-Jan-2019","378.65","383.95","375.85","382.15","1,669,709"
"07-Jan-2019","385.00","386.95","379.35","381.65","1,260,331"
"08-Jan-2019","383.00","383.00","375.75","378.75","2,154,121"
"09-Jan-2019","382.00","382.00","373.30","377.30","1,166,498"
"10-Jan-2019","377.95","381.80","376.95","380.25","1,286,641"
"11-Jan-2019","380.30","381.00","375.10","377.15","1,829,555"
"14-Jan-2019","377.00","377.00","372.40","374.45","927,301"
"15-Jan-2019","375.00","386.00","375.00","385.15","1,965,520"
"16-Jan-2019","385.30","390.70","379.20","389.30","2,847,403"
"17-Jan-2019","391.20","395.45","386.50","394.50","4,156,932"
"18-Jan-2019","396.50","399.95","392.25","399.30","3,617,922"
"21-Jan-2019","397.50","402.70","392.10","396.20","2,563,705"
"22-Jan-2019","393.40","394.70","387.10","390.60","3,328,908"
"23-Jan-2019","390.00","392.00","383.60","385.20","3,653,992"
"24-Jan-2019","386.00","386.50","377.60","380.95","3,633,336"
"25-Jan-2019","382.50","383.75","372.25","373.85","4,760,625"
"28-Jan-2019","374.95","375.35","292.10","326.10","15,177,384"
"29-Jan-2019","330.00","354.60","327.60","349.25","9,816,333"
"30-Jan-2019","349.05","349.05","335.60","338.15","7,672,859"
"31-Jan-2019","339.90","341.70","330.20","338.65","6,403,921"
"01-Feb-2019","339.90","346.80","333.35","338.45","3,119,675"
"04-Feb-2019","337.25","338.80","329.05","335.65","4,517,829"
"05-Feb-2019","333.10","340.95","330.75","339.80","3,262,960"
"06-Feb-2019","338.80","341.80","318.85","330.35","6,687,853"
"07-Feb-2019","330.55","336.35","322.60","332.35","4,871,712"
"08-Feb-2019","333.00","336.50","328.00","331.50","2,915,806"
"11-Feb-2019","332.95","333.95","318.40","328.80","3,783,848"
"12-Feb-2019","328.80","329.95","323.25","326.80","4,496,913"
"13-Feb-2019","328.15","349.45","328.15","341.65","17,852,712"
"14-Feb-2019","342.00","352.20","340.05","349.10","6,612,759"
"15-Feb-2019","347.55","352.90","347.30","350.15","7,728,519"
"18-Feb-2019","348.00","352.90","345.55","347.30","6,875,440"
"19-Feb-2019","347.50","348.50","337.55","339.55","3,300,497"
"20-Feb-2019","342.00","356.35","340.95","354.75","4,885,571"
"21-Feb-2019","352.10","359.25","350.80","355.75","4,089,677"
"22-Feb-2019","353.55","358.60","352.70","354.30","1,719,606"
"25-Feb-2019","329.00","339.55","320.60","324.55","21,795,407"
"26-Feb-2019","324.00","326.50","315.75","323.50","14,243,781"
"27-Feb-2019","326.55","332.30","322.60","325.25","5,738,757"
"28-Feb-2019","328.70","329.70","325.15","325.85","5,059,506"
"01-Mar-2019","328.80","334.80","327.00","333.20","4,756,894"
"05-Mar-2019","333.25","340.50","330.50","339.25","5,098,498"
"06-Mar-2019","342.50","349.20","334.05","337.05","7,949,482"
"07-Mar-2019","338.00","342.50","335.00","340.90","3,047,318"
"08-Mar-2019","340.90","342.95","338.10","342.15","2,265,000"
"11-Mar-2019","343.20","352.90","342.15","351.30","2,918,059"
"12-Mar-2019","352.55","365.15","351.60","361.05","5,386,817"
"13-Mar-2019","361.45","369.40","357.80","367.15","3,888,377"
"14-Mar-2019","367.00","369.20","360.20","366.00","1,775,804"
"15-Mar-2019","366.25","368.95","361.50","367.10","3,057,825"
"18-Mar-2019","365.05","375.80","365.05","369.00","3,037,029"
"19-Mar-2019","370.00","372.00","362.50","365.75","1,933,040"
"20-Mar-2019","367.00","367.55","359.50","360.60","2,925,322"
"22-Mar-2019","359.60","362.00","355.30","360.75","3,229,387"
"25-Mar-2019","358.90","363.00","353.15","361.35","3,162,063"
"26-Mar-2019","361.35","369.85","361.35","368.60","2,657,710"
"27-Mar-2019","367.20","371.70","364.20","366.30","2,965,654"
"28-Mar-2019","368.85","382.65","366.30","381.30","5,909,606"
"29-Mar-2019","383.30","385.90","375.50","378.15","4,126,878"
"01-Apr-2019","380.95","386.50","378.80","383.05","2,479,521"
"02-Apr-2019","383.00","386.00","377.50","379.70","1,825,681"
"03-Apr-2019","380.30","386.30","380.00","382.00","2,701,443"
"04-Apr-2019","382.00","382.05","374.70","380.20","1,909,852"
"05-Apr-2019","379.00","388.90","377.40","387.15","2,443,633"
"08-Apr-2019","388.30","388.30","375.15","379.90","2,624,528"
"09-Apr-2019","379.75","381.60","373.00","380.70","1,542,463"
"10-Apr-2019","378.40","385.40","375.20","383.45","2,067,637"
"11-Apr-2019","382.50","383.00","377.50","379.45","1,621,369"
"12-Apr-2019","379.20","387.00","377.30","385.65","2,146,541"
"15-Apr-2019","385.00","389.00","382.75","387.05","2,070,828"
"16-Apr-2019","387.05","396.55","386.10","395.65","3,728,013"
"18-Apr-2019","395.00","395.50","388.90","390.55","3,218,018"
"22-Apr-2019","388.40","391.80","384.25","391.05","2,279,282"
"23-Apr-2019","389.55","391.70","385.55","390.90","2,424,827"
"24-Apr-2019","387.70","394.00","386.10","391.75","1,674,322"
