"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,445.00","1,445.00","1,425.20","1,441.90","786,846"
"02-Jan-2019","1,441.00","1,444.90","1,417.10","1,425.50","2,058,504"
"03-Jan-2019","1,426.00","1,429.00","1,391.00","1,395.00","2,290,756"
"04-Jan-2019","1,401.90","1,407.60","1,373.55","1,388.05","2,711,485"
"07-Jan-2019","1,397.00","1,408.60","1,379.05","1,383.80","1,851,513"
"08-Jan-2019","1,387.50","1,393.85","1,375.00","1,382.20","1,437,271"
"09-Jan-2019","1,389.50","1,393.55","1,372.00","1,386.05","1,413,005"
"10-Jan-2019","1,388.00","1,398.90","1,383.25","1,392.60","1,063,647"
"11-Jan-2019","1,393.00","1,393.90","1,361.05","1,369.60","2,489,197"
"14-Jan-2019","1,367.20","1,367.20","1,331.00","1,333.90","3,080,984"
"15-Jan-2019","1,340.00","1,348.00","1,330.00","1,340.90","3,079,248"
"16-Jan-2019","1,342.90","1,361.50","1,336.00","1,342.15","2,454,470"
"17-Jan-2019","1,345.10","1,351.80","1,336.95","1,346.05","1,610,419"
"18-Jan-2019","1,350.85","1,352.00","1,313.00","1,317.90","2,135,781"
"21-Jan-2019","1,279.00","1,337.25","1,273.45","1,314.55","8,813,681"
"22-Jan-2019","1,316.90","1,321.50","1,298.10","1,301.15","2,544,978"
"23-Jan-2019","1,301.00","1,306.90","1,293.55","1,301.45","1,821,323"
"24-Jan-2019","1,305.00","1,305.55","1,287.00","1,295.35","1,654,706"
"25-Jan-2019","1,300.00","1,314.10","1,281.50","1,285.45","3,136,788"
"28-Jan-2019","1,295.45","1,337.90","1,291.65","1,300.45","8,004,136"
"29-Jan-2019","1,304.00","1,308.80","1,268.20","1,278.05","3,685,535"
"30-Jan-2019","1,284.30","1,309.00","1,281.00","1,294.45","2,385,425"
"31-Jan-2019","1,304.00","1,321.70","1,296.55","1,314.30","5,852,257"
"01-Feb-2019","1,315.50","1,334.55","1,313.00","1,324.60","2,515,736"
"04-Feb-2019","1,326.85","1,326.85","1,302.60","1,307.40","2,308,931"
"05-Feb-2019","1,310.70","1,323.00","1,300.00","1,304.60","1,447,400"
"06-Feb-2019","1,308.00","1,322.00","1,293.05","1,314.40","2,034,886"
"07-Feb-2019","1,314.00","1,320.85","1,289.20","1,296.05","1,556,295"
"08-Feb-2019","1,295.00","1,298.90","1,255.55","1,261.75","2,993,525"
"11-Feb-2019","1,259.00","1,259.00","1,221.00","1,246.50","2,981,408"
"12-Feb-2019","1,244.50","1,264.90","1,241.55","1,246.85","1,571,390"
"13-Feb-2019","1,248.20","1,254.85","1,211.90","1,216.65","2,527,941"
"14-Feb-2019","1,219.00","1,231.75","1,201.10","1,227.60","6,974,738"
"15-Feb-2019","1,244.00","1,253.90","1,230.90","1,243.10","3,620,228"
"18-Feb-2019","1,245.00","1,259.55","1,240.00","1,244.50","2,186,849"
"19-Feb-2019","1,245.00","1,270.00","1,245.00","1,258.30","2,389,086"
"20-Feb-2019","1,265.00","1,282.65","1,264.20","1,276.55","2,433,082"
"21-Feb-2019","1,282.00","1,291.50","1,265.10","1,284.10","2,392,129"
"22-Feb-2019","1,282.00","1,283.40","1,265.50","1,280.35","2,390,188"
"25-Feb-2019","1,280.35","1,286.45","1,264.00","1,275.85","5,873,730"
"26-Feb-2019","1,263.80","1,275.00","1,253.00","1,265.85","2,417,931"
"27-Feb-2019","1,270.55","1,295.00","1,268.00","1,284.70","3,555,914"
"28-Feb-2019","1,293.00","1,302.95","1,273.30","1,292.95","9,321,535"
"01-Mar-2019","1,300.30","1,311.95","1,297.25","1,308.55","2,831,577"
"05-Mar-2019","1,302.00","1,310.40","1,277.05","1,305.80","3,948,051"
"06-Mar-2019","1,310.50","1,327.55","1,310.50","1,317.00","2,776,738"
"07-Mar-2019","1,323.85","1,357.30","1,310.00","1,352.40","6,207,580"
