"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","387.80","388.90","385.10","386.40","244,225"
"02-Jan-2019","385.95","392.50","385.10","391.15","401,487"
"03-Jan-2019","392.65","395.50","389.50","391.30","391,423"
"04-Jan-2019","392.00","394.95","387.75","393.50","484,014"
"07-Jan-2019","394.50","395.40","390.10","393.05","346,567"
"08-Jan-2019","392.90","396.00","389.20","394.70","391,569"
"09-Jan-2019","392.70","398.45","391.50","396.00","815,426"
"10-Jan-2019","396.65","409.35","395.05","406.70","1,539,299"
"11-Jan-2019","408.60","409.40","404.00","406.60","644,793"
"14-Jan-2019","405.05","405.05","390.25","392.05","976,187"
"15-Jan-2019","392.10","393.70","385.10","387.50","668,054"
"16-Jan-2019","386.40","389.90","385.45","387.50","962,874"
"17-Jan-2019","387.50","392.50","384.10","390.85","962,821"
"18-Jan-2019","391.00","392.45","383.00","383.70","435,544"
"21-Jan-2019","383.90","386.20","382.00","383.85","900,424"
"22-Jan-2019","384.90","389.50","381.10","383.85","1,365,759"
"23-Jan-2019","385.00","389.50","371.25","373.35","1,355,788"
"24-Jan-2019","371.20","374.40","360.10","361.20","1,229,942"
"25-Jan-2019","363.95","368.75","357.00","359.40","1,351,651"
"28-Jan-2019","361.00","369.50","344.40","367.30","1,405,014"
"29-Jan-2019","366.45","366.50","357.70","360.30","793,151"
"30-Jan-2019","362.30","372.00","358.00","370.40","943,004"
"31-Jan-2019","373.00","374.50","363.00","371.60","892,055"
"01-Feb-2019","372.85","377.15","368.00","375.45","854,153"
"04-Feb-2019","372.55","377.95","370.60","376.20","572,950"
"05-Feb-2019","375.00","377.30","370.60","376.25","387,625"
"06-Feb-2019","376.25","377.00","367.70","369.60","489,165"
"07-Feb-2019","370.00","372.00","367.10","368.40","974,999"
"08-Feb-2019","368.30","372.80","363.55","365.05","308,347"
"11-Feb-2019","365.80","366.35","351.25","356.60","693,813"
"12-Feb-2019","355.30","360.30","351.35","353.35","495,884"
"13-Feb-2019","355.50","361.00","354.60","359.25","345,410"
"14-Feb-2019","358.00","361.70","353.55","359.50","922,903"
"15-Feb-2019","356.00","361.95","354.00","358.50","645,076"
"18-Feb-2019","359.45","362.80","349.00","350.60","433,200"
"19-Feb-2019","351.70","354.00","346.05","346.80","345,475"
"20-Feb-2019","348.60","349.75","345.75","346.30","480,124"
"21-Feb-2019","347.40","357.70","346.25","356.85","546,373"
"22-Feb-2019","358.35","364.00","356.15","362.50","487,266"
"25-Feb-2019","362.95","364.90","354.00","354.60","480,503"
"26-Feb-2019","351.00","355.75","346.35","353.70","619,615"
