"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","595.25","601.80","592.20","598.85","40,902"
"02-Jan-2019","593.40","604.00","593.40","601.70","115,282"
"03-Jan-2019","598.40","603.00","590.00","600.05","415,471"
"04-Jan-2019","603.00","615.00","600.00","602.85","119,061"
"07-Jan-2019","602.85","608.85","597.70","602.45","316,222"
"08-Jan-2019","600.00","626.90","600.00","612.50","214,725"
"09-Jan-2019","615.00","649.75","615.00","642.95","304,725"
"10-Jan-2019","642.10","648.40","631.00","634.75","165,683"
"11-Jan-2019","635.00","643.00","630.00","638.50","171,998"
"14-Jan-2019","633.00","636.65","618.25","620.10","366,016"
"15-Jan-2019","624.00","631.15","620.00","623.90","68,669"
"16-Jan-2019","622.50","630.30","618.00","621.40","440,003"
"17-Jan-2019","621.50","633.55","618.00","623.35","377,003"
"18-Jan-2019","627.00","629.50","615.00","620.20","107,504"
"21-Jan-2019","625.00","644.70","612.50","617.65","427,431"
"22-Jan-2019","620.00","629.80","611.70","619.90","95,583"
"23-Jan-2019","623.00","628.90","612.20","620.00","159,259"
"24-Jan-2019","620.00","629.40","615.10","618.25","129,335"
"25-Jan-2019","627.45","633.00","615.65","619.60","222,746"
"28-Jan-2019","621.00","624.45","595.25","599.25","285,382"
"29-Jan-2019","600.10","617.95","595.70","606.10","302,014"
"30-Jan-2019","607.00","616.40","596.00","599.95","260,752"
"31-Jan-2019","600.50","607.75","593.70","595.00","780,410"
"01-Feb-2019","600.00","604.00","588.10","590.95","546,770"
"04-Feb-2019","594.00","599.00","571.10","589.75","146,249"
"05-Feb-2019","589.75","594.00","582.00","584.00","53,619"
"06-Feb-2019","585.00","590.00","575.00","579.40","690,808"
"07-Feb-2019","580.00","584.40","575.05","577.25","570,245"
"08-Feb-2019","577.25","583.95","575.00","577.55","130,409"
"11-Feb-2019","576.00","579.10","561.05","566.85","339,881"
"12-Feb-2019","569.85","585.65","562.10","574.70","288,095"
"13-Feb-2019","574.00","579.95","564.00","569.85","310,406"
"14-Feb-2019","569.90","574.50","564.90","568.55","24,238"
"15-Feb-2019","568.55","575.80","562.00","568.85","72,417"
"18-Feb-2019","569.50","572.10","563.30","567.45","33,962"
"19-Feb-2019","573.65","573.65","560.90","562.45","91,484"
"20-Feb-2019","564.60","571.10","556.00","561.60","1,156,061"
"21-Feb-2019","562.00","565.70","560.00","561.90","97,421"
"22-Feb-2019","565.25","570.00","556.75","559.85","207,746"
"25-Feb-2019","563.00","564.85","555.35","561.00","256,241"
"26-Feb-2019","561.00","564.00","555.00","559.40","205,333"
"27-Feb-2019","563.00","565.95","561.10","563.30","91,914"
"28-Feb-2019","565.00","582.00","565.00","578.55","232,357"
"01-Mar-2019","581.95","622.10","515.55","607.90","11,513,018"
"05-Mar-2019","599.00","617.00","596.10","607.75","967,319"
"06-Mar-2019","608.00","621.80","602.00","607.95","594,253"
"07-Mar-2019","610.00","612.40","590.00","592.10","326,651"
"08-Mar-2019","587.00","596.40","585.40","587.15","195,823"
"11-Mar-2019","589.75","626.40","587.40","622.45","693,313"
"12-Mar-2019","623.00","634.90","612.00","622.90","398,863"
"13-Mar-2019","618.00","621.50","610.20","615.35","253,418"
"14-Mar-2019","619.00","620.95","611.00","614.90","233,675"
"15-Mar-2019","613.10","619.75","611.00","615.05","505,837"
"18-Mar-2019","616.05","620.90","606.05","610.80","91,435"
"19-Mar-2019","613.00","622.75","602.00","611.90","1,038,136"
"20-Mar-2019","613.85","620.00","607.60","612.85","816,543"
"22-Mar-2019","610.00","619.00","605.00","615.50","741,217"
"25-Mar-2019","602.05","616.95","602.05","611.05","93,192"
"26-Mar-2019","612.00","617.90","606.80","609.60","167,512"
"27-Mar-2019","607.45","620.80","607.45","618.70","302,382"
"28-Mar-2019","620.00","624.80","613.60","616.20","89,907"
"29-Mar-2019","614.00","614.00","581.60","583.40","6,792,156"
"01-Apr-2019","584.90","599.90","583.40","598.20","953,998"
"02-Apr-2019","600.00","603.90","591.05","601.15","687,704"
"03-Apr-2019","600.00","615.00","595.00","601.95","999,883"
