"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","225.50","225.75","221.60","222.75","5,015,702"
"02-Jan-2019","218.95","219.15","213.65","214.55","10,991,026"
"03-Jan-2019","214.30","215.70","208.10","209.20","8,656,029"
"04-Jan-2019","210.00","212.40","207.55","210.90","17,408,469"
"07-Jan-2019","213.80","214.75","207.90","208.55","8,143,876"
"08-Jan-2019","208.50","209.55","205.30","206.50","13,402,916"
"09-Jan-2019","208.50","209.25","203.10","205.70","13,253,349"
"10-Jan-2019","206.00","206.65","203.05","204.00","9,291,967"
"11-Jan-2019","204.00","207.95","204.00","205.85","13,314,252"
"14-Jan-2019","205.50","206.60","203.40","206.15","5,204,874"
"15-Jan-2019","207.35","209.00","205.65","208.50","7,173,758"
"16-Jan-2019","209.80","210.50","206.55","208.40","8,209,760"
"17-Jan-2019","208.50","208.70","205.30","206.00","6,537,377"
"18-Jan-2019","206.65","209.40","205.95","208.80","6,258,424"
"21-Jan-2019","209.10","209.90","205.10","207.65","4,883,723"
"22-Jan-2019","206.35","206.35","201.00","203.55","7,665,916"
"23-Jan-2019","203.55","207.30","203.45","205.45","5,821,081"
"24-Jan-2019","206.00","206.20","203.25","205.05","3,917,176"
"25-Jan-2019","206.20","207.95","203.25","204.45","4,381,964"
"28-Jan-2019","204.45","206.50","198.30","200.00","5,741,120"
"29-Jan-2019","199.10","200.70","197.45","199.55","4,458,350"
"30-Jan-2019","200.40","206.25","200.40","205.80","5,619,506"
"31-Jan-2019","206.10","210.00","204.35","208.50","6,553,608"
"01-Feb-2019","208.00","212.35","203.50","211.40","10,475,839"
"04-Feb-2019","209.90","209.90","201.45","204.20","6,196,724"
"05-Feb-2019","205.90","208.75","202.70","204.75","4,765,441"
"06-Feb-2019","205.60","212.10","202.50","211.40","5,888,996"
"07-Feb-2019","211.90","212.65","208.20","209.20","6,215,565"
"08-Feb-2019","208.95","209.15","204.40","205.90","3,958,618"
"11-Feb-2019","204.90","204.90","195.65","199.45","8,463,393"
"12-Feb-2019","199.00","202.70","197.00","198.35","16,467,366"
"13-Feb-2019","199.00","200.90","197.20","198.20","6,779,939"
"14-Feb-2019","197.60","198.55","190.30","191.75","10,767,206"
"15-Feb-2019","192.30","192.50","182.20","186.60","12,678,835"
"18-Feb-2019","187.00","188.70","183.90","184.55","6,483,004"
"19-Feb-2019","185.10","189.25","184.10","186.55","5,513,105"
"20-Feb-2019","187.80","193.90","187.55","193.00","7,595,081"
"21-Feb-2019","193.90","195.50","192.25","194.40","6,498,528"
"22-Feb-2019","194.30","197.00","192.30","196.45","8,758,060"
"25-Feb-2019","197.00","198.50","194.35","196.50","6,169,952"
"26-Feb-2019","192.75","197.20","189.05","196.50","9,059,558"
"27-Feb-2019","199.00","199.00","194.60","195.95","11,910,998"
"28-Feb-2019","197.70","198.20","195.00","195.75","9,582,600"
"01-Mar-2019","198.10","198.90","195.30","196.15","6,512,004"
"05-Mar-2019","195.00","199.45","194.50","198.75","7,354,264"
"06-Mar-2019","200.00","203.95","199.65","202.75","13,683,897"
"07-Mar-2019","203.75","203.75","199.90","200.60","5,533,457"
"08-Mar-2019","197.00","197.60","193.60","195.55","10,050,458"
"11-Mar-2019","197.00","202.00","196.10","201.05","5,446,100"
"12-Mar-2019","203.00","206.90","202.10","203.40","10,988,099"
"13-Mar-2019","204.00","205.30","200.70","202.30","4,971,396"
"14-Mar-2019","202.35","204.60","199.75","200.75","5,106,833"
"15-Mar-2019","201.50","202.55","197.25","199.05","7,489,589"
"18-Mar-2019","200.70","201.00","197.50","199.55","4,625,891"
"19-Mar-2019","200.00","204.25","199.45","202.35","6,097,075"
"20-Mar-2019","203.00","207.95","203.00","207.15","8,788,334"
"22-Mar-2019","208.10","211.55","206.05","209.10","11,359,037"
"25-Mar-2019","206.50","206.50","201.90","205.45","7,451,785"
"26-Mar-2019","205.55","209.35","204.60","208.50","5,069,088"
"27-Mar-2019","209.05","210.85","206.70","207.65","5,731,820"
"28-Mar-2019","206.95","208.30","201.55","202.35","8,924,025"
"29-Mar-2019","205.85","207.90","204.45","205.50","12,838,741"
"01-Apr-2019","208.55","218.75","208.55","215.90","18,454,840"
"02-Apr-2019","216.25","218.30","213.20","216.95","8,273,747"
"03-Apr-2019","217.05","219.10","214.10","215.95","4,910,619"
"04-Apr-2019","215.45","215.45","210.00","210.45","7,739,096"
"05-Apr-2019","210.50","216.80","209.75","215.40","7,965,595"
"08-Apr-2019","216.70","217.80","213.05","214.45","5,032,285"
"09-Apr-2019","214.45","217.85","211.60","217.15","3,937,427"
"10-Apr-2019","214.50","216.75","209.65","211.70","13,323,115"
"11-Apr-2019","211.00","212.55","209.70","211.30","5,920,717"
"12-Apr-2019","211.30","212.00","208.00","209.75","5,530,088"
"15-Apr-2019","210.00","214.75","210.00","212.75","4,965,812"
"16-Apr-2019","214.00","217.90","213.15","214.95","6,750,812"
"18-Apr-2019","216.15","216.15","206.25","207.20","7,237,958"
"22-Apr-2019","207.30","207.80","199.60","200.40","9,367,081"
"23-Apr-2019","200.00","202.85","198.75","200.35","4,352,433"
"24-Apr-2019","200.40","201.40","197.20","200.70","6,364,227"
"25-Apr-2019","200.85","202.65","195.75","196.55","6,735,299"
"26-Apr-2019","197.80","201.90","196.50","201.15","7,452,786"
"30-Apr-2019","202.00","206.60","199.05","206.05","8,879,385"
"02-May-2019","204.25","207.65","201.60","204.70","7,948,283"
"03-May-2019","206.00","206.00","202.65","205.10","5,320,008"
"06-May-2019","197.00","200.95","196.80","198.90","8,845,838"
"07-May-2019","199.20","204.25","199.20","200.45","9,042,640"
"08-May-2019","200.00","202.90","196.65","200.00","7,883,819"
"09-May-2019","201.70","201.90","196.25","198.15","10,482,577"
"10-May-2019","199.10","201.05","193.60","195.80","8,821,650"
"13-May-2019","194.90","194.90","191.40","192.20","6,979,614"
"14-May-2019","191.00","193.95","188.00","192.95","8,451,501"
"15-May-2019","192.95","196.00","189.65","190.65","6,684,736"
"16-May-2019","191.25","195.90","190.00","194.60","10,526,494"
"17-May-2019","192.00","192.80","187.25","191.70","13,564,609"
"20-May-2019","194.50","199.70","193.75","198.75","5,411,945"
"21-May-2019","199.75","200.00","193.20","196.00","5,194,195"
"22-May-2019","196.00","199.35","195.00","198.00","5,592,495"
"23-May-2019","201.00","201.00","190.85","191.75","7,476,261"
"24-May-2019","193.00","196.45","190.00","195.80","6,326,402"
"27-May-2019","196.00","201.85","195.30","200.60","4,498,005"
"28-May-2019","200.60","207.15","200.60","201.85","12,223,332"
"29-May-2019","201.00","201.00","197.25","199.30","5,123,395"
"30-May-2019","199.10","200.80","196.30","198.55","7,039,964"
"31-May-2019","199.05","199.70","195.20","197.00","8,803,541"
"03-Jun-2019","197.00","200.40","194.40","199.40","5,305,570"
"04-Jun-2019","198.85","200.50","196.85","197.80","4,728,557"
"06-Jun-2019","197.80","198.45","193.70","194.85","6,628,617"
"07-Jun-2019","194.85","196.65","193.40","194.80","3,812,625"
"10-Jun-2019","196.80","198.60","195.00","198.25","3,880,878"
"11-Jun-2019","198.90","200.90","195.65","199.60","5,966,155"
"12-Jun-2019","198.60","202.90","197.15","199.30","6,232,564"
"13-Jun-2019","198.95","200.35","196.70","199.65","4,654,391"
"14-Jun-2019","198.40","200.70","196.80","198.25","3,624,064"
"17-Jun-2019","199.00","199.00","193.00","193.60","5,976,790"
"18-Jun-2019","193.45","195.30","189.30","189.95","8,848,621"
"19-Jun-2019","192.25","196.25","188.40","190.05","11,219,284"
"20-Jun-2019","190.20","194.80","188.10","194.30","6,469,404"
"21-Jun-2019","193.90","198.30","193.15","197.65","7,596,593"
"24-Jun-2019","197.00","203.25","196.50","198.20","10,464,941"
"25-Jun-2019","196.50","203.90","194.50","202.50","8,418,631"
"26-Jun-2019","201.50","208.95","201.05","208.35","6,730,323"
"27-Jun-2019","209.65","210.40","205.35","206.10","8,700,344"
"28-Jun-2019","206.00","207.60","203.55","207.05","5,454,954"
"01-Jul-2019","208.10","210.60","207.20","208.90","6,353,325"
"02-Jul-2019","209.00","210.20","206.00","209.35","3,552,844"
"03-Jul-2019","208.75","210.30","205.35","208.70","5,052,706"
"04-Jul-2019","208.40","209.50","206.25","206.90","4,032,487"
"05-Jul-2019","206.55","206.80","198.00","198.90","8,694,153"
"08-Jul-2019","197.00","200.50","195.00","197.60","6,197,157"
"09-Jul-2019","197.00","199.00","193.10","197.90","6,355,556"
"10-Jul-2019","196.00","197.40","192.50","193.65","5,239,125"
"11-Jul-2019","196.50","199.25","194.85","198.45","4,524,147"
"12-Jul-2019","199.00","201.45","197.40","198.85","3,535,841"
"15-Jul-2019","198.55","201.00","195.80","200.15","3,882,644"
"16-Jul-2019","199.40","202.50","197.50","199.10","6,833,661"
"17-Jul-2019","198.90","204.20","198.10","203.45","4,790,772"
"18-Jul-2019","201.90","202.90","199.35","200.55","5,174,253"
"19-Jul-2019","202.00","203.70","195.00","196.00","6,741,873"
"22-Jul-2019","195.95","205.45","194.80","202.40","9,147,466"
"23-Jul-2019","202.05","204.25","200.40","203.10","4,637,360"
"24-Jul-2019","203.05","203.90","195.65","197.25","5,942,539"
"25-Jul-2019","197.90","200.25","195.45","196.75","5,720,563"
"26-Jul-2019","196.75","199.35","194.75","198.00","5,373,373"
"29-Jul-2019","196.35","198.50","192.40","193.25","6,900,021"
"30-Jul-2019","192.40","194.80","188.85","190.10","6,033,395"
"31-Jul-2019","188.00","191.25","184.80","190.55","9,273,653"
"01-Aug-2019","189.00","189.25","180.30","182.75","11,880,072"
"02-Aug-2019","179.80","182.30","176.35","180.40","11,797,603"
"05-Aug-2019","178.00","178.00","171.60","175.75","9,712,978"
"06-Aug-2019","173.00","182.60","173.00","180.70","10,421,582"
"07-Aug-2019","183.00","184.10","175.80","176.40","6,387,281"
"08-Aug-2019","177.50","181.80","175.40","181.05","6,183,264"
"09-Aug-2019","181.00","184.45","173.30","176.20","14,562,944"
"13-Aug-2019","175.25","180.30","173.00","176.25","6,836,149"
"14-Aug-2019","176.60","181.25","176.00","180.60","5,965,374"
"16-Aug-2019","179.10","181.50","173.70","179.80","7,169,006"
"19-Aug-2019","180.15","182.25","177.75","181.15","5,179,954"
"20-Aug-2019","182.00","182.35","177.80","179.40","4,539,348"
"21-Aug-2019","178.90","178.90","173.25","177.05","6,642,215"
"22-Aug-2019","174.00","179.30","172.65","176.55","7,128,023"
"23-Aug-2019","173.60","181.95","172.15","180.25","7,073,375"
"26-Aug-2019","182.05","182.25","171.10","178.75","7,974,145"
"27-Aug-2019","180.00","182.45","177.70","181.20","6,928,021"
"28-Aug-2019","181.50","182.00","176.50","178.40","5,851,491"
"29-Aug-2019","176.80","180.90","174.90","179.70","5,284,552"
"30-Aug-2019","182.25","187.00","181.45","184.45","13,905,732"
"03-Sep-2019","182.50","182.50","177.40","178.40","4,927,852"
"04-Sep-2019","179.00","182.20","176.60","181.65","5,129,501"
"05-Sep-2019","182.25","188.65","182.25","184.60","5,614,061"
"06-Sep-2019","184.90","189.70","182.00","188.40","5,570,553"
"09-Sep-2019","188.50","190.05","184.75","189.25","5,014,192"
"11-Sep-2019","189.10","194.20","189.00","193.45","5,904,788"
"12-Sep-2019","193.95","197.60","193.60","197.10","8,635,479"
"13-Sep-2019","196.65","201.90","195.20","200.35","6,473,051"
"16-Sep-2019","198.10","201.25","197.95","200.40","5,748,421"
"17-Sep-2019","200.00","202.95","196.65","197.95","6,911,141"
"18-Sep-2019","198.40","200.80","197.15","198.00","7,326,216"
"19-Sep-2019","198.00","198.90","193.15","195.95","4,158,836"
"20-Sep-2019","196.05","208.20","194.75","202.15","14,594,234"
"23-Sep-2019","204.55","206.85","198.00","200.00","7,366,155"
"24-Sep-2019","199.95","202.35","196.05","197.80","5,805,761"
"25-Sep-2019","196.10","196.60","188.90","189.90","7,163,444"
"26-Sep-2019","191.00","196.50","190.25","195.95","8,625,560"
"27-Sep-2019","194.55","194.95","189.50","190.70","4,392,645"
"30-Sep-2019","189.40","191.90","184.75","191.35","6,521,755"
"01-Oct-2019","191.30","194.55","186.75","189.75","6,163,235"
"03-Oct-2019","186.50","187.95","180.00","182.60","13,862,733"
"04-Oct-2019","184.00","185.75","181.55","182.10","6,277,398"
"07-Oct-2019","182.25","185.15","181.10","182.30","4,525,369"
"09-Oct-2019","182.05","187.15","180.70","186.05","4,536,877"
"10-Oct-2019","184.45","185.95","181.80","182.25","4,351,508"
"11-Oct-2019","183.50","189.20","183.30","187.20","7,642,682"
"14-Oct-2019","189.50","191.00","187.05","188.70","5,222,539"
"15-Oct-2019","187.90","195.55","185.90","192.55","6,691,660"
"16-Oct-2019","192.50","194.15","187.15","187.95","8,082,988"
"17-Oct-2019","185.50","189.75","182.55","188.80","9,520,625"
"18-Oct-2019","187.95","191.35","186.65","187.40","7,347,790"
"22-Oct-2019","186.45","190.95","185.05","185.75","6,683,536"
"23-Oct-2019","185.10","187.60","184.00","185.10","5,610,514"
"24-Oct-2019","186.25","186.65","180.70","181.35","6,890,297"
"25-Oct-2019","181.50","183.40","181.00","181.75","5,956,396"
"27-Oct-2019","182.10","182.90","181.30","182.10","368,603"
"29-Oct-2019","183.40","188.15","182.45","184.30","9,687,658"
"30-Oct-2019","186.80","189.45","184.40","187.20","5,978,614"
"31-Oct-2019","188.15","190.90","186.60","187.90","6,501,134"
"01-Nov-2019","188.05","194.35","187.35","193.75","6,921,052"
"04-Nov-2019","195.50","204.10","195.50","197.95","15,421,372"
"05-Nov-2019","199.00","202.70","197.35","198.60","8,912,298"
"06-Nov-2019","199.00","203.65","197.65","201.50","13,028,120"
"07-Nov-2019","202.90","207.30","199.25","205.20","17,556,268"
"08-Nov-2019","205.05","207.00","203.10","203.85","10,082,727"
"11-Nov-2019","203.95","203.95","199.50","200.15","6,851,401"
"13-Nov-2019","197.05","201.95","192.35","193.15","13,457,979"
"14-Nov-2019","193.35","193.40","187.80","188.50","6,720,055"
"15-Nov-2019","188.50","190.15","187.10","187.75","4,558,349"
"18-Nov-2019","188.55","194.85","187.20","193.60","8,873,375"
"19-Nov-2019","193.60","194.00","190.65","192.35","3,476,640"
"20-Nov-2019","193.00","193.85","190.25","190.75","4,437,118"
"21-Nov-2019","190.20","192.90","188.05","188.60","6,342,754"
"22-Nov-2019","188.00","191.30","187.05","190.25","4,635,776"
"25-Nov-2019","191.50","200.65","190.35","199.25","16,931,103"
"26-Nov-2019","200.15","202.90","197.55","198.70","16,163,735"
"27-Nov-2019","199.40","203.50","199.40","203.00","7,251,212"
"28-Nov-2019","203.00","205.30","200.10","204.10","5,421,765"
"29-Nov-2019","203.00","204.50","196.55","200.15","10,212,511"
"02-Dec-2019","200.00","202.55","198.45","200.80","5,195,682"
"03-Dec-2019","200.10","200.50","194.60","196.00","5,815,771"
"04-Dec-2019","194.20","201.75","192.80","201.10","6,574,810"
"05-Dec-2019","199.05","201.45","197.25","198.55","4,443,222"
