"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","308.90","308.90","302.50","303.95","3,622,654"
"02-Jan-2019","296.05","297.95","286.60","288.70","8,855,139"
"03-Jan-2019","287.50","290.60","280.30","282.65","10,003,388"
"04-Jan-2019","281.90","289.45","280.70","287.95","6,070,751"
"07-Jan-2019","292.30","295.25","288.15","289.85","7,041,362"
"08-Jan-2019","290.10","295.85","288.10","293.90","4,528,899"
"09-Jan-2019","295.00","296.80","286.55","290.75","5,848,215"
"10-Jan-2019","290.00","292.70","287.65","289.30","4,352,095"
"11-Jan-2019","289.75","294.15","286.45","288.80","4,483,554"
"14-Jan-2019","288.45","288.45","282.05","283.90","3,756,403"
"15-Jan-2019","285.00","293.00","282.30","292.10","6,557,577"
"16-Jan-2019","292.05","293.25","285.35","286.45","3,752,082"
"17-Jan-2019","287.50","290.55","285.80","289.00","4,817,690"
"18-Jan-2019","288.35","291.85","283.25","285.60","4,210,472"
"21-Jan-2019","285.90","288.95","283.95","284.60","2,854,706"
"22-Jan-2019","284.00","284.60","274.55","278.00","5,006,219"
"23-Jan-2019","278.00","284.90","277.20","280.90","4,489,030"
"24-Jan-2019","281.50","284.40","276.50","283.65","3,705,336"
"25-Jan-2019","284.60","285.50","273.25","274.65","5,191,436"
"28-Jan-2019","274.00","274.25","263.05","267.75","4,518,237"
"29-Jan-2019","267.55","273.00","265.25","270.95","4,113,613"
"30-Jan-2019","271.50","273.45","262.20","268.90","6,941,276"
"31-Jan-2019","271.00","275.85","266.60","274.60","4,666,551"
"01-Feb-2019","274.25","280.00","266.65","274.95","6,496,209"
"04-Feb-2019","275.45","276.45","267.65","273.50","4,804,512"
"05-Feb-2019","272.00","277.65","270.65","273.55","4,726,380"
"06-Feb-2019","274.40","282.90","271.50","279.30","5,746,435"
"07-Feb-2019","278.00","281.40","272.00","273.10","6,252,085"
"08-Feb-2019","271.60","273.00","260.35","262.85","5,765,740"
"11-Feb-2019","264.00","266.00","256.60","261.60","5,228,180"
"12-Feb-2019","261.55","274.50","257.50","271.75","12,748,459"
"13-Feb-2019","273.40","276.40","269.10","271.20","8,985,786"
