"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","524.00","524.50","513.55","515.75","4,128,173"
"02-Jan-2019","506.00","506.80","492.00","493.65","11,747,350"
"03-Jan-2019","493.00","493.15","480.25","481.25","13,532,944"
"04-Jan-2019","481.00","492.85","479.55","487.65","10,480,072"
"07-Jan-2019","495.40","501.00","483.90","485.50","8,406,787"
"08-Jan-2019","485.65","493.35","483.80","491.35","6,269,706"
"09-Jan-2019","488.95","497.30","475.25","479.20","12,696,660"
"10-Jan-2019","480.00","484.15","477.50","480.40","7,081,000"
"11-Jan-2019","483.95","484.25","472.00","474.20","7,540,824"
"14-Jan-2019","474.20","474.40","466.80","470.85","5,889,917"
"15-Jan-2019","473.00","476.50","469.00","475.05","7,603,181"
"16-Jan-2019","476.10","479.90","472.70","474.55","5,280,293"
"17-Jan-2019","476.30","478.25","470.50","473.15","4,281,935"
"18-Jan-2019","473.55","477.70","468.00","470.65","4,914,849"
"21-Jan-2019","473.00","477.50","470.10","471.70","4,613,690"
"22-Jan-2019","470.70","470.70","455.00","456.55","8,957,766"
"23-Jan-2019","457.00","467.85","457.00","464.60","7,259,386"
"24-Jan-2019","464.50","464.50","457.20","460.75","4,790,846"
"25-Jan-2019","462.20","465.80","451.20","452.90","4,157,967"
"28-Jan-2019","452.90","453.95","443.30","445.70","4,335,147"
"29-Jan-2019","444.00","452.15","441.35","443.80","5,225,724"
"30-Jan-2019","446.70","471.40","446.70","467.45","10,857,925"
"31-Jan-2019","472.05","478.90","467.65","476.70","9,243,729"
"01-Feb-2019","477.00","482.00","470.00","474.70","5,015,994"
"04-Feb-2019","474.90","478.60","452.00","476.05","10,972,029"
"05-Feb-2019","477.00","477.00","459.45","464.70","7,281,927"
"06-Feb-2019","466.00","486.70","463.80","485.10","10,999,265"
"07-Feb-2019","483.45","491.40","478.10","489.05","7,857,338"
"08-Feb-2019","483.00","487.75","465.95","468.75","8,414,514"
"11-Feb-2019","475.00","487.00","460.30","480.70","23,262,314"
"12-Feb-2019","478.40","497.20","476.70","487.40","18,836,111"
"13-Feb-2019","490.00","493.35","481.95","484.00","8,403,265"
"14-Feb-2019","482.00","486.35","475.40","482.55","6,185,042"
"15-Feb-2019","483.00","483.40","462.65","467.50","7,499,240"
"18-Feb-2019","468.90","477.00","464.40","465.55","6,253,514"
"19-Feb-2019","465.40","480.60","465.40","470.95","8,224,545"
"20-Feb-2019","472.50","493.85","472.50","491.15","15,487,251"
"21-Feb-2019","492.55","502.90","490.35","498.85","11,782,714"
"22-Feb-2019","497.00","504.00","492.10","502.30","10,005,723"
"25-Feb-2019","504.00","509.50","498.25","505.10","10,357,604"
"26-Feb-2019","498.00","508.60","491.70","503.60","9,856,299"
"27-Feb-2019","507.00","512.30","497.95","507.10","9,444,346"
"28-Feb-2019","506.60","511.00","498.30","500.45","7,485,418"
"01-Mar-2019","503.50","509.70","502.00","507.60","6,672,569"
"05-Mar-2019","508.40","522.90","505.20","521.75","9,118,037"
"06-Mar-2019","522.90","525.35","515.45","520.85","6,311,227"
"07-Mar-2019","519.85","523.20","513.55","521.15","6,153,631"
"08-Mar-2019","516.80","518.60","506.30","507.85","6,504,847"
"11-Mar-2019","510.00","522.40","509.50","520.65","5,908,275"
"12-Mar-2019","524.40","530.50","521.00","525.15","8,298,275"
"13-Mar-2019","525.00","525.00","512.60","513.75","6,409,153"
"14-Mar-2019","513.95","521.80","513.50","517.65","4,496,642"
"15-Mar-2019","518.00","520.95","512.45","515.45","4,233,938"
"18-Mar-2019","519.50","526.75","515.25","525.20","6,317,605"
"19-Mar-2019","527.80","531.90","520.65","527.50","6,329,840"
"20-Mar-2019","526.05","526.25","511.05","513.60","8,702,307"
"22-Mar-2019","517.00","524.00","515.60","518.40","5,233,446"
"25-Mar-2019","512.80","517.70","507.05","515.15","5,036,887"
"26-Mar-2019","516.00","520.95","514.15","519.35","3,329,825"
"27-Mar-2019","520.00","523.00","513.05","515.80","5,239,158"
"28-Mar-2019","514.40","516.45","504.80","506.30","8,965,093"
"29-Mar-2019","510.00","525.00","508.05","521.00","11,965,611"
"01-Apr-2019","530.00","544.00","528.10","535.15","13,523,554"
"02-Apr-2019","538.00","538.00","526.05","530.65","5,086,818"
"03-Apr-2019","536.90","547.60","533.45","535.45","11,489,680"
"04-Apr-2019","532.75","537.40","526.50","530.65","5,259,917"
"05-Apr-2019","531.20","551.00","531.20","549.30","10,037,713"
"08-Apr-2019","553.20","557.00","545.80","549.05","10,600,901"
"09-Apr-2019","551.00","555.00","540.25","553.05","6,618,936"
"10-Apr-2019","551.65","559.40","541.70","544.40","7,889,153"
"11-Apr-2019","541.00","546.40","533.50","535.70","6,082,398"
"12-Apr-2019","537.00","542.70","532.20","533.65","6,274,016"
"15-Apr-2019","536.90","555.00","536.05","553.15","10,390,317"
"16-Apr-2019","553.55","556.90","549.15","553.25","6,323,654"
"18-Apr-2019","553.50","554.50","536.70","543.10","6,660,522"
"22-Apr-2019","540.00","545.75","533.10","534.20","3,697,686"
"23-Apr-2019","534.95","538.50","521.50","523.35","5,119,376"
"24-Apr-2019","526.90","527.85","512.70","525.25","8,376,835"
"25-Apr-2019","522.00","529.30","509.00","510.75","8,359,418"
"26-Apr-2019","520.85","547.75","515.55","545.25","38,181,011"
"30-Apr-2019","543.05","560.80","535.70","557.20","14,258,161"
"02-May-2019","554.10","561.65","549.45","554.95","9,010,030"
"03-May-2019","554.00","556.00","546.60","547.80","5,879,636"
"06-May-2019","534.25","543.50","527.45","535.95","9,964,839"
"07-May-2019","544.95","544.95","529.00","530.60","6,541,498"
"08-May-2019","531.25","532.40","521.60","522.65","6,478,432"
"09-May-2019","522.55","526.40","516.35","519.15","5,105,597"
"10-May-2019","522.00","525.75","479.05","486.80","37,240,921"
"13-May-2019","480.10","488.00","463.40","472.30","15,956,920"
"14-May-2019","466.95","477.60","456.30","469.55","21,128,606"
"15-May-2019","473.05","480.95","460.65","462.95","12,665,057"
"16-May-2019","463.95","471.30","455.15","469.25","11,254,731"
"17-May-2019","465.05","471.50","461.00","469.45","7,088,486"
"20-May-2019","478.00","494.75","476.65","483.80","8,457,583"
"21-May-2019","484.85","484.90","468.75","472.55","6,337,058"
"22-May-2019","472.00","480.55","467.40","473.00","8,364,224"
"23-May-2019","477.60","486.50","462.05","464.70","9,340,376"
"24-May-2019","465.00","486.30","458.40","484.15","10,882,481"
"27-May-2019","484.50","514.30","483.55","512.55","18,207,705"
"28-May-2019","514.10","518.60","505.20","507.05","9,960,613"
"29-May-2019","505.70","511.75","491.85","493.30","8,523,687"
"30-May-2019","493.00","496.45","486.00","487.95","7,204,363"
"31-May-2019","490.80","494.75","481.05","488.30","10,276,991"
"03-Jun-2019","488.95","501.85","485.10","497.65","8,505,392"
"04-Jun-2019","496.00","502.75","491.90","497.65","6,212,566"
"06-Jun-2019","497.65","502.55","483.00","484.60","7,222,799"
"07-Jun-2019","483.00","489.90","475.80","482.10","6,811,104"
