"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,253.00","1,271.00","1,250.00","1,266.40","292,677"
"02-Jan-2019","1,268.00","1,288.00","1,251.80","1,258.75","658,775"
"03-Jan-2019","1,258.00","1,273.00","1,254.05","1,266.65","322,081"
"04-Jan-2019","1,259.00","1,297.30","1,259.00","1,293.00","725,206"
"07-Jan-2019","1,299.00","1,300.00","1,275.00","1,282.10","683,914"
"08-Jan-2019","1,281.90","1,282.00","1,245.55","1,249.50","893,261"
"09-Jan-2019","1,256.25","1,271.00","1,249.50","1,267.40","289,161"
"10-Jan-2019","1,263.00","1,292.25","1,256.75","1,285.40","428,709"
"11-Jan-2019","1,286.00","1,295.30","1,269.25","1,292.70","467,514"
"14-Jan-2019","1,289.80","1,328.45","1,282.00","1,322.60","887,486"
"15-Jan-2019","1,323.35","1,334.90","1,317.20","1,329.15","466,539"
"16-Jan-2019","1,328.20","1,354.00","1,328.10","1,347.60","513,687"
"17-Jan-2019","1,344.90","1,358.65","1,341.25","1,352.95","420,061"
"18-Jan-2019","1,350.00","1,372.90","1,335.05","1,366.30","702,678"
"21-Jan-2019","1,366.30","1,387.25","1,315.55","1,326.05","1,293,001"
"22-Jan-2019","1,316.10","1,323.00","1,288.50","1,293.80","1,100,328"
"23-Jan-2019","1,296.90","1,317.00","1,284.05","1,293.85","671,259"
"24-Jan-2019","1,310.00","1,339.75","1,294.20","1,314.65","831,256"
"25-Jan-2019","1,321.20","1,331.90","1,280.85","1,292.30","571,327"
"28-Jan-2019","1,287.00","1,302.10","1,262.65","1,265.80","254,670"
"29-Jan-2019","1,259.00","1,306.75","1,254.00","1,299.65","463,118"
"30-Jan-2019","1,299.00","1,323.00","1,297.50","1,319.60","315,858"
"31-Jan-2019","1,315.00","1,334.00","1,313.35","1,325.65","471,658"
"01-Feb-2019","1,320.00","1,357.90","1,320.00","1,341.25","530,789"
"04-Feb-2019","1,335.00","1,336.90","1,278.50","1,296.75","548,166"
"05-Feb-2019","1,300.00","1,309.80","1,282.00","1,290.85","423,344"
"06-Feb-2019","1,298.00","1,315.00","1,287.90","1,304.05","410,854"
"07-Feb-2019","1,304.05","1,319.00","1,290.10","1,295.85","305,098"
"08-Feb-2019","1,298.50","1,298.50","1,252.10","1,257.85","581,292"
"11-Feb-2019","1,300.00","1,300.00","1,090.00","1,121.90","5,424,327"
"12-Feb-2019","1,133.00","1,189.90","1,101.10","1,132.25","4,732,005"
"13-Feb-2019","1,154.00","1,164.65","1,135.35","1,149.80","989,560"
"14-Feb-2019","1,155.50","1,169.95","1,126.85","1,152.35","708,081"
"15-Feb-2019","1,142.10","1,152.10","1,130.00","1,142.80","386,448"
"18-Feb-2019","1,143.00","1,149.15","1,083.10","1,116.85","1,323,161"
"19-Feb-2019","1,125.00","1,146.70","1,112.10","1,116.40","969,990"
"20-Feb-2019","1,127.00","1,143.40","1,120.00","1,129.60","1,188,434"
"21-Feb-2019","1,135.00","1,158.00","1,127.00","1,152.20","1,308,447"
"22-Feb-2019","1,145.00","1,155.50","1,139.60","1,146.20","511,047"
"25-Feb-2019","1,145.90","1,198.00","1,131.40","1,187.45","1,374,338"
"26-Feb-2019","1,175.60","1,177.05","1,148.00","1,157.35","1,071,336"
"27-Feb-2019","1,166.00","1,179.90","1,140.70","1,149.30","1,037,445"
"28-Feb-2019","1,155.05","1,160.00","1,137.00","1,140.90","695,585"
"01-Mar-2019","1,140.10","1,165.85","1,140.00","1,151.85","904,319"
"05-Mar-2019","1,159.80","1,195.00","1,146.80","1,191.90","564,049"
"06-Mar-2019","1,186.90","1,212.85","1,183.50","1,192.75","1,679,631"
"07-Mar-2019","1,195.35","1,202.00","1,179.30","1,186.95","642,857"
"08-Mar-2019","1,186.00","1,188.45","1,167.00","1,171.90","268,170"
"11-Mar-2019","1,172.50","1,211.80","1,172.50","1,204.05","938,550"
"12-Mar-2019","1,211.90","1,211.90","1,132.70","1,157.25","1,370,850"
"13-Mar-2019","1,160.00","1,166.05","1,092.00","1,117.60","1,797,280"
"14-Mar-2019","1,123.00","1,143.40","1,116.10","1,131.95","717,230"
"15-Mar-2019","1,138.00","1,152.90","1,110.00","1,124.15","731,215"
"18-Mar-2019","1,126.40","1,139.90","1,115.00","1,119.65","353,486"
"19-Mar-2019","1,121.85","1,144.95","1,121.85","1,139.90","398,908"
"20-Mar-2019","1,147.70","1,180.10","1,135.00","1,166.00","1,269,611"
"22-Mar-2019","1,173.25","1,182.15","1,144.00","1,150.60","754,339"
"25-Mar-2019","1,149.00","1,160.85","1,134.45","1,147.05","467,825"
"26-Mar-2019","1,146.00","1,160.00","1,138.95","1,151.90","434,281"
"27-Mar-2019","1,163.00","1,178.10","1,150.05","1,153.75","486,185"
"28-Mar-2019","1,154.00","1,188.00","1,154.00","1,182.95","693,131"
"29-Mar-2019","1,195.40","1,253.35","1,188.95","1,227.60","1,780,366"
"01-Apr-2019","1,231.00","1,278.80","1,226.50","1,269.50","1,002,709"
"02-Apr-2019","1,269.00","1,284.00","1,248.65","1,255.30","638,278"
"03-Apr-2019","1,259.00","1,276.70","1,255.25","1,259.75","336,310"
"04-Apr-2019","1,262.95","1,269.00","1,249.05","1,256.25","236,648"
"05-Apr-2019","1,268.00","1,275.00","1,236.05","1,245.00","469,357"
"08-Apr-2019","1,249.00","1,257.40","1,230.55","1,237.10","479,351"
"09-Apr-2019","1,242.00","1,263.00","1,226.10","1,259.55","452,314"
"10-Apr-2019","1,253.20","1,269.75","1,240.30","1,246.25","251,194"
"11-Apr-2019","1,240.00","1,259.80","1,235.00","1,240.40","325,454"
"12-Apr-2019","1,247.70","1,268.20","1,231.60","1,264.30","365,799"
"15-Apr-2019","1,270.60","1,285.35","1,265.10","1,271.40","525,419"
"16-Apr-2019","1,271.25","1,294.90","1,271.05","1,275.20","375,036"
"18-Apr-2019","1,274.00","1,279.90","1,255.80","1,271.60","283,213"
"22-Apr-2019","1,269.00","1,269.00","1,219.00","1,232.05","534,002"
"23-Apr-2019","1,233.00","1,254.00","1,229.80","1,242.90","280,002"
"24-Apr-2019","1,242.90","1,268.70","1,222.00","1,228.80","569,926"
"25-Apr-2019","1,232.00","1,259.80","1,230.05","1,246.25","360,981"
"26-Apr-2019","1,243.00","1,254.90","1,226.30","1,239.20","242,464"
"30-Apr-2019","1,239.80","1,248.00","1,205.10","1,216.50","336,375"
"02-May-2019","1,217.00","1,224.90","1,153.80","1,194.55","1,083,586"
"03-May-2019","1,194.55","1,212.55","1,183.30","1,199.30","347,353"
"06-May-2019","1,170.35","1,205.85","1,170.35","1,190.30","225,661"
"07-May-2019","1,195.50","1,199.10","1,152.35","1,164.95","320,142"
"08-May-2019","1,156.00","1,183.60","1,152.00","1,170.30","246,581"
"09-May-2019","1,165.00","1,199.00","1,157.10","1,169.60","310,077"
"10-May-2019","1,176.15","1,196.50","1,167.65","1,186.55","173,882"
"13-May-2019","1,186.95","1,192.95","1,161.20","1,172.30","200,737"
"14-May-2019","1,175.90","1,175.90","1,130.00","1,142.50","625,364"
"15-May-2019","1,148.20","1,161.00","1,147.05","1,156.45","235,916"
"16-May-2019","1,161.90","1,161.90","1,112.15","1,136.45","505,445"
"17-May-2019","1,136.45","1,159.20","1,132.30","1,141.20","270,312"
"20-May-2019","1,158.05","1,206.90","1,158.05","1,198.30","326,706"
"21-May-2019","1,196.00","1,215.00","1,165.10","1,172.70","253,823"
"22-May-2019","1,177.70","1,179.00","1,154.00","1,162.95","221,323"
"23-May-2019","1,193.00","1,193.00","1,143.35","1,150.10","222,973"
"24-May-2019","1,159.75","1,188.50","1,155.50","1,170.50","257,237"
"27-May-2019","1,177.50","1,212.90","1,175.15","1,198.80","294,036"
"28-May-2019","1,200.00","1,209.45","1,181.00","1,190.80","512,288"
"29-May-2019","1,191.50","1,209.00","1,173.30","1,203.30","278,890"
"30-May-2019","1,211.95","1,234.50","1,192.50","1,203.00","1,087,194"
"31-May-2019","1,209.60","1,266.90","1,209.60","1,238.80","1,342,593"
"03-Jun-2019","1,243.00","1,368.70","1,243.00","1,357.30","3,836,627"
"04-Jun-2019","1,350.00","1,357.45","1,324.00","1,332.30","1,306,110"
"06-Jun-2019","1,337.00","1,375.00","1,327.30","1,342.15","1,226,417"
"07-Jun-2019","1,342.00","1,406.00","1,330.75","1,398.20","1,963,985"
"10-Jun-2019","1,400.00","1,402.50","1,368.25","1,379.10","731,973"
"11-Jun-2019","1,385.70","1,401.45","1,375.00","1,379.95","827,845"
"12-Jun-2019","1,380.90","1,398.85","1,365.00","1,381.75","523,008"
"13-Jun-2019","1,380.50","1,383.80","1,355.50","1,374.30","376,393"
"14-Jun-2019","1,371.00","1,394.90","1,366.50","1,370.60","349,894"
"17-Jun-2019","1,379.00","1,388.00","1,356.10","1,361.05","418,598"
"18-Jun-2019","1,361.90","1,366.00","1,338.00","1,354.70","434,991"
"19-Jun-2019","1,357.00","1,383.00","1,341.00","1,351.75","486,030"
"20-Jun-2019","1,392.00","1,404.20","1,355.30","1,374.30","1,462,438"
"21-Jun-2019","1,373.00","1,385.30","1,343.35","1,348.25","563,852"
"24-Jun-2019","1,353.90","1,357.10","1,330.05","1,344.65","420,849"
"25-Jun-2019","1,345.00","1,351.45","1,309.95","1,324.85","1,156,668"
"26-Jun-2019","1,320.00","1,325.05","1,301.05","1,307.95","597,977"
"27-Jun-2019","1,310.55","1,322.95","1,292.60","1,312.45","688,891"
"28-Jun-2019","1,324.90","1,382.00","1,319.30","1,359.20","1,568,379"
"01-Jul-2019","1,363.00","1,386.60","1,356.15","1,370.70","675,302"
"02-Jul-2019","1,374.40","1,376.45","1,350.00","1,356.05","527,306"
"03-Jul-2019","1,356.65","1,364.20","1,338.75","1,341.60","220,036"
"04-Jul-2019","1,335.65","1,349.65","1,322.20","1,325.45","369,704"
"05-Jul-2019","1,327.35","1,341.45","1,301.95","1,306.65","374,619"
"08-Jul-2019","1,296.10","1,324.55","1,290.55","1,303.25","523,713"
"09-Jul-2019","1,303.25","1,352.90","1,302.75","1,328.65","806,802"
"10-Jul-2019","1,327.95","1,337.55","1,313.05","1,318.15","440,764"
"11-Jul-2019","1,318.15","1,332.10","1,298.50","1,315.30","560,976"
"12-Jul-2019","1,320.30","1,368.00","1,317.00","1,363.25","1,433,514"
"15-Jul-2019","1,371.00","1,404.00","1,367.55","1,385.70","1,269,223"
"16-Jul-2019","1,372.15","1,398.50","1,360.90","1,390.20","739,553"
"17-Jul-2019","1,388.30","1,427.00","1,370.00","1,383.80","1,150,697"
"18-Jul-2019","1,380.00","1,400.00","1,365.10","1,388.05","464,854"
"19-Jul-2019","1,388.15","1,398.95","1,367.05","1,373.45","294,619"
"22-Jul-2019","1,373.65","1,389.00","1,351.00","1,364.65","344,053"
"23-Jul-2019","1,368.50","1,377.85","1,355.00","1,366.00","209,290"
"24-Jul-2019","1,360.10","1,372.65","1,317.70","1,335.45","398,286"
"25-Jul-2019","1,335.45","1,349.00","1,314.00","1,343.60","391,683"
"26-Jul-2019","1,344.15","1,367.75","1,322.90","1,363.05","336,855"
"29-Jul-2019","1,363.05","1,378.00","1,335.40","1,365.85","396,917"
"30-Jul-2019","1,364.90","1,374.00","1,329.00","1,333.60","364,277"
"31-Jul-2019","1,327.00","1,356.50","1,319.15","1,351.60","343,969"
"01-Aug-2019","1,344.00","1,381.50","1,341.00","1,365.55","492,611"
"02-Aug-2019","1,355.10","1,359.95","1,275.00","1,310.20","976,127"
"05-Aug-2019","1,303.70","1,311.15","1,287.25","1,301.65","362,139"
"06-Aug-2019","1,290.00","1,355.30","1,290.00","1,340.25","335,196"
"07-Aug-2019","1,340.00","1,355.00","1,310.05","1,314.65","230,845"
"08-Aug-2019","1,315.00","1,340.00","1,306.00","1,334.40","203,895"
"09-Aug-2019","1,331.00","1,371.00","1,331.00","1,358.80","399,477"
"13-Aug-2019","1,358.80","1,370.55","1,311.90","1,322.50","610,748"
"14-Aug-2019","1,399.00","1,445.00","1,345.65","1,360.20","3,189,181"
"16-Aug-2019","1,365.00","1,487.00","1,362.20","1,470.60","3,588,110"
"19-Aug-2019","1,470.60","1,508.95","1,461.05","1,483.95","1,815,260"
"20-Aug-2019","1,488.00","1,490.00","1,463.45","1,475.10","561,093"
"21-Aug-2019","1,471.25","1,489.00","1,457.25","1,466.00","779,790"
"22-Aug-2019","1,470.00","1,475.30","1,445.30","1,451.10","602,866"
"23-Aug-2019","1,448.05","1,464.90","1,425.00","1,440.85","737,187"
"26-Aug-2019","1,444.00","1,472.55","1,422.55","1,461.00","501,588"
"27-Aug-2019","1,461.00","1,480.00","1,450.20","1,475.55","466,048"
"28-Aug-2019","1,478.70","1,535.00","1,477.00","1,521.40","1,429,654"
"29-Aug-2019","1,520.00","1,529.80","1,505.10","1,518.35","619,177"
"30-Aug-2019","1,519.80","1,542.45","1,496.25","1,508.15","869,797"
"03-Sep-2019","1,496.00","1,504.95","1,488.00","1,493.45","301,790"
"04-Sep-2019","1,501.90","1,505.00","1,485.05","1,496.90","320,979"
"05-Sep-2019","1,495.50","1,509.00","1,487.00","1,497.00","314,054"
