"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","520.00","524.00","518.65","523.05","1,361,809"
"02-Jan-2019","521.90","522.50","513.15","514.55","1,243,067"
"03-Jan-2019","516.50","520.50","511.20","512.40","2,086,150"
"04-Jan-2019","513.00","514.90","508.05","512.80","1,651,456"
"07-Jan-2019","516.00","517.75","510.30","514.05","1,168,002"
"08-Jan-2019","516.00","517.20","511.25","513.65","1,765,015"
"09-Jan-2019","515.55","516.75","507.50","510.10","1,929,305"
"10-Jan-2019","509.00","514.90","509.00","513.25","1,252,439"
"11-Jan-2019","513.40","519.00","508.25","510.20","2,051,418"
"14-Jan-2019","510.20","514.00","505.60","511.95","1,472,415"
"15-Jan-2019","514.50","515.35","509.50","514.95","1,177,377"
"16-Jan-2019","515.00","515.95","509.00","511.50","1,446,921"
"17-Jan-2019","512.50","514.95","507.60","509.60","1,598,184"
"18-Jan-2019","510.20","513.00","507.30","509.40","1,502,360"
"21-Jan-2019","510.00","514.20","508.20","509.25","1,150,380"
"22-Jan-2019","510.00","511.40","502.45","507.10","1,455,953"
"23-Jan-2019","510.00","511.70","507.10","509.30","1,358,623"
"24-Jan-2019","510.00","510.70","496.10","500.70","1,620,195"
"25-Jan-2019","502.10","508.60","501.35","507.65","1,193,442"
"28-Jan-2019","509.00","509.00","489.10","492.15","3,215,535"
"29-Jan-2019","489.10","507.55","483.75","505.05","2,675,481"
"30-Jan-2019","504.95","507.10","497.70","505.80","1,524,621"
"31-Jan-2019","506.00","519.85","504.25","517.30","2,203,919"
"01-Feb-2019","517.65","522.55","512.50","521.35","1,380,838"
"04-Feb-2019","521.00","521.00","506.20","509.60","1,480,952"
"05-Feb-2019","506.55","514.00","501.20","508.00","4,358,002"
"06-Feb-2019","510.50","546.70","504.10","534.95","8,775,759"
"07-Feb-2019","537.10","546.60","528.15","532.90","4,417,618"
"08-Feb-2019","532.85","543.70","531.20","534.25","2,747,159"
"11-Feb-2019","538.70","545.90","535.85","543.30","2,989,919"
"12-Feb-2019","540.05","545.70","536.10","543.30","2,252,766"
"13-Feb-2019","543.00","545.65","538.20","543.50","1,752,070"
"14-Feb-2019","542.90","556.00","537.40","542.90","2,766,535"
"15-Feb-2019","540.00","551.40","528.50","540.55","2,491,806"
"18-Feb-2019","542.00","545.05","532.30","541.15","1,590,101"
"19-Feb-2019","544.80","545.00","536.75","539.65","1,879,600"
"20-Feb-2019","540.20","543.20","538.65","541.10","1,208,930"
"21-Feb-2019","542.85","547.90","540.50","545.50","1,093,548"
"22-Feb-2019","543.80","546.10","539.10","541.30","1,592,112"
"25-Feb-2019","541.50","550.85","541.00","548.30","1,961,905"
"26-Feb-2019","545.10","553.65","538.05","550.40","1,952,961"
"27-Feb-2019","551.00","555.35","544.25","551.90","2,389,977"
"28-Feb-2019","555.00","558.30","546.00","554.55","2,618,486"
"01-Mar-2019","555.00","555.30","547.40","551.55","2,430,914"
"05-Mar-2019","550.00","551.50","546.55","548.65","1,644,098"
"06-Mar-2019","551.00","552.00","541.95","547.55","1,587,182"
"07-Mar-2019","547.65","550.00","539.65","541.35","1,144,534"
"08-Mar-2019","541.00","543.40","538.25","539.95","2,618,767"
"11-Mar-2019","542.00","542.00","535.50","540.10","2,342,102"
"12-Mar-2019","541.90","543.65","537.30","538.75","2,049,339"
"13-Mar-2019","542.00","542.50","531.00","532.80","1,582,245"
"14-Mar-2019","532.05","534.10","530.50","532.75","1,490,894"
"15-Mar-2019","534.10","535.40","528.95","532.60","2,019,240"
"18-Mar-2019","533.05","535.80","529.00","534.50","1,266,863"
"19-Mar-2019","537.15","537.70","530.20","533.65","874,797"
"20-Mar-2019","532.00","534.80","531.10","533.25","1,255,306"
"22-Mar-2019","534.90","539.00","523.60","526.80","1,579,084"
"25-Mar-2019","525.60","528.70","516.20","526.85","1,874,898"
"26-Mar-2019","528.50","532.50","525.70","529.30","3,044,792"
"27-Mar-2019","531.40","533.60","524.05","525.50","1,217,387"
"28-Mar-2019","525.30","527.35","522.30","525.60","4,133,379"
"29-Mar-2019","525.75","530.70","524.00","528.90","2,162,632"
"01-Apr-2019","516.30","528.75","516.30","525.65","4,091,454"
"02-Apr-2019","529.95","529.95","521.15","522.65","1,268,431"
"03-Apr-2019","523.00","524.80","519.10","520.45","3,276,338"
"04-Apr-2019","519.00","522.00","517.50","521.00","5,555,991"
"05-Apr-2019","531.40","541.00","526.00","532.10","9,784,780"
"08-Apr-2019","536.50","536.90","522.70","525.40","2,429,845"
"09-Apr-2019","526.25","534.50","525.40","532.00","2,301,681"
"10-Apr-2019","531.55","551.75","530.80","546.45","5,992,326"
"11-Apr-2019","546.35","554.70","542.00","544.85","2,977,870"
"12-Apr-2019","547.95","556.70","545.30","554.85","4,347,530"
"15-Apr-2019","555.00","569.20","552.00","566.30","2,252,373"
"16-Apr-2019","570.00","571.75","556.60","559.35","2,246,831"
"18-Apr-2019","562.00","566.65","553.20","561.55","2,306,549"
"22-Apr-2019","560.00","566.00","556.60","561.10","1,205,612"
"23-Apr-2019","562.50","575.95","560.40","561.70","2,179,959"
"24-Apr-2019","561.40","564.50","553.20","558.55","1,896,565"
"25-Apr-2019","558.70","563.95","551.15","555.60","2,416,194"
"26-Apr-2019","558.25","572.90","557.20","567.95","2,593,397"
"30-Apr-2019","569.90","571.05","558.65","565.00","1,914,026"
"02-May-2019","563.00","569.70","556.70","565.60","1,700,976"
"03-May-2019","568.00","573.00","561.65","564.50","2,758,638"
"06-May-2019","556.00","564.50","556.00","563.35","1,715,311"
"07-May-2019","564.00","566.30","555.15","557.95","1,478,212"
"08-May-2019","556.00","561.40","549.00","558.00","1,890,174"
"09-May-2019","559.90","561.05","548.70","557.75","1,672,967"
"10-May-2019","557.75","562.70","551.00","555.55","1,687,480"
"13-May-2019","552.00","556.75","529.60","546.70","2,027,570"
"14-May-2019","546.00","560.75","541.20","556.00","1,822,829"
