"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","1,485.00","1,491.05","1,469.05","1,475.45","254,899"
"02-Jan-2019","1,476.90","1,483.60","1,461.40","1,470.90","247,208"
"03-Jan-2019","1,479.60","1,482.80","1,432.10","1,437.90","536,515"
"04-Jan-2019","1,437.90","1,471.20","1,428.25","1,460.50","391,849"
"07-Jan-2019","1,470.00","1,495.00","1,461.35","1,486.00","456,830"
"08-Jan-2019","1,488.80","1,490.00","1,455.10","1,458.85","345,960"
"09-Jan-2019","1,460.85","1,477.00","1,460.00","1,473.25","248,643"
"10-Jan-2019","1,470.70","1,525.55","1,467.25","1,520.45","1,072,651"
"11-Jan-2019","1,519.95","1,533.70","1,497.85","1,505.15","1,149,372"
"14-Jan-2019","1,504.90","1,538.85","1,504.25","1,530.45","965,710"
"15-Jan-2019","1,531.00","1,535.00","1,515.50","1,522.20","383,535"
"16-Jan-2019","1,526.05","1,526.05","1,512.65","1,519.80","362,391"
"17-Jan-2019","1,526.00","1,548.00","1,499.20","1,505.35","927,211"
"18-Jan-2019","1,512.75","1,520.00","1,483.45","1,509.15","454,592"
"21-Jan-2019","1,515.00","1,518.15","1,493.65","1,497.20","351,617"
"22-Jan-2019","1,492.00","1,521.80","1,485.00","1,503.65","710,962"
"23-Jan-2019","1,508.00","1,512.55","1,496.05","1,503.30","302,963"
"24-Jan-2019","1,508.30","1,518.00","1,489.60","1,493.25","365,424"
"25-Jan-2019","1,500.50","1,508.00","1,487.00","1,495.35","195,017"
"28-Jan-2019","1,499.40","1,499.40","1,460.10","1,473.45","211,598"
"29-Jan-2019","1,475.00","1,514.90","1,466.00","1,504.80","424,613"
"30-Jan-2019","1,505.95","1,512.95","1,492.05","1,503.15","218,871"
"31-Jan-2019","1,508.90","1,519.90","1,494.50","1,506.20","512,854"
"01-Feb-2019","1,511.20","1,548.05","1,488.65","1,532.35","609,053"
"04-Feb-2019","1,563.95","1,619.95","1,546.25","1,609.45","2,399,611"
"05-Feb-2019","1,615.80","1,637.00","1,610.20","1,616.15","1,031,235"
"06-Feb-2019","1,616.15","1,659.95","1,610.00","1,653.25","916,887"
"07-Feb-2019","1,645.00","1,675.00","1,640.05","1,670.15","753,538"
"08-Feb-2019","1,667.00","1,700.00","1,656.00","1,685.10","1,045,291"
"11-Feb-2019","1,677.10","1,680.00","1,626.00","1,635.00","880,642"
"12-Feb-2019","1,638.00","1,651.20","1,613.20","1,638.10","795,159"
"13-Feb-2019","1,644.90","1,662.20","1,632.50","1,639.10","441,100"
"14-Feb-2019","1,640.00","1,648.95","1,615.05","1,637.45","469,510"
"15-Feb-2019","1,617.00","1,629.40","1,530.65","1,621.35","2,159,194"
"18-Feb-2019","1,617.90","1,621.05","1,559.00","1,574.75","890,862"
"19-Feb-2019","1,570.05","1,617.70","1,525.00","1,587.85","1,840,314"
"20-Feb-2019","1,594.90","1,594.90","1,553.45","1,560.55","775,963"
"21-Feb-2019","1,553.10","1,560.65","1,540.00","1,550.00","799,999"
"22-Feb-2019","1,550.10","1,573.45","1,546.70","1,565.00","611,185"
"25-Feb-2019","1,573.00","1,604.90","1,561.00","1,594.75","599,083"
"26-Feb-2019","1,570.00","1,629.90","1,570.00","1,621.45","857,201"
"27-Feb-2019","1,628.00","1,650.00","1,618.00","1,638.45","556,471"
"28-Feb-2019","1,650.00","1,663.40","1,635.00","1,654.25","578,587"
"01-Mar-2019","1,650.05","1,675.00","1,650.05","1,669.80","480,280"
"05-Mar-2019","1,674.00","1,682.95","1,659.25","1,663.70","529,749"
"06-Mar-2019","1,670.00","1,725.00","1,652.05","1,705.90","692,075"
"07-Mar-2019","1,707.00","1,714.45","1,642.00","1,650.90","800,855"
"08-Mar-2019","1,658.00","1,665.90","1,636.00","1,647.40","428,683"
"11-Mar-2019","1,650.10","1,695.35","1,650.10","1,690.65","637,436"
"12-Mar-2019","1,700.00","1,729.90","1,692.65","1,699.95","885,899"
"13-Mar-2019","1,700.00","1,712.25","1,661.40","1,667.00","639,516"
"14-Mar-2019","1,676.65","1,704.00","1,671.35","1,694.50","672,355"
"15-Mar-2019","1,697.00","1,726.60","1,695.00","1,708.00","830,304"
"18-Mar-2019","1,718.00","1,722.55","1,684.10","1,689.35","464,384"
"19-Mar-2019","1,698.00","1,713.35","1,681.55","1,696.00","283,112"
"20-Mar-2019","1,694.00","1,711.00","1,671.25","1,675.35","426,057"
"22-Mar-2019","1,680.10","1,691.60","1,655.55","1,663.65","459,571"
"25-Mar-2019","1,659.80","1,710.00","1,651.10","1,705.75","684,585"
"26-Mar-2019","1,710.00","1,774.95","1,686.65","1,707.85","509,657"
"27-Mar-2019","1,706.00","1,720.00","1,661.05","1,665.90","460,961"
"28-Mar-2019","1,669.90","1,699.00","1,641.50","1,654.55","1,681,103"
"29-Mar-2019","1,661.00","1,714.90","1,661.00","1,703.10","1,026,220"
"01-Apr-2019","1,709.00","1,742.00","1,709.00","1,723.30","888,473"
"02-Apr-2019","1,725.50","1,734.40","1,693.70","1,699.05","508,894"
"03-Apr-2019","1,707.55","1,707.55","1,665.45","1,675.80","393,202"
"04-Apr-2019","1,679.95","1,714.00","1,675.80","1,701.05","590,246"
"05-Apr-2019","1,707.00","1,722.60","1,691.15","1,719.00","464,487"
"08-Apr-2019","1,714.70","1,719.00","1,677.20","1,684.45","461,738"
"09-Apr-2019","1,693.00","1,719.75","1,685.25","1,715.85","392,667"
"10-Apr-2019","1,713.85","1,732.50","1,706.00","1,722.55","484,391"
"11-Apr-2019","1,715.50","1,723.95","1,704.05","1,718.40","357,943"
"12-Apr-2019","1,717.00","1,736.75","1,713.00","1,732.10","370,739"
"15-Apr-2019","1,730.00","1,749.00","1,720.30","1,744.85","422,148"
"16-Apr-2019","1,748.30","1,753.90","1,711.30","1,714.60","530,087"
"18-Apr-2019","1,716.00","1,731.75","1,713.00","1,724.35","334,997"
"22-Apr-2019","1,721.00","1,737.80","1,695.00","1,701.50","324,129"
"23-Apr-2019","1,703.00","1,713.10","1,682.20","1,686.95","340,440"
"24-Apr-2019","1,687.00","1,750.00","1,687.00","1,742.70","573,966"
"25-Apr-2019","1,736.25","1,742.50","1,710.55","1,716.30","334,093"
"26-Apr-2019","1,733.95","1,739.95","1,716.15","1,722.35","333,124"
"30-Apr-2019","1,722.35","1,750.00","1,707.05","1,746.85","557,187"
"02-May-2019","1,741.40","1,771.45","1,707.10","1,714.30","686,686"
"03-May-2019","1,718.00","1,725.00","1,696.25","1,701.90","344,975"
"06-May-2019","1,697.95","1,714.10","1,690.05","1,694.65","246,788"
"07-May-2019","1,670.00","1,706.30","1,670.00","1,689.15","559,625"
"08-May-2019","1,686.60","1,695.90","1,654.10","1,668.50","443,167"
"09-May-2019","1,661.50","1,664.75","1,615.00","1,625.55","553,836"
"10-May-2019","1,609.20","1,657.80","1,603.00","1,650.35","637,110"
"13-May-2019","1,652.80","1,652.80","1,613.90","1,625.15","255,768"
"14-May-2019","1,634.85","1,634.85","1,594.00","1,617.35","422,106"
"15-May-2019","1,610.50","1,654.00","1,602.00","1,608.85","639,846"
"16-May-2019","1,612.20","1,648.35","1,597.90","1,640.30","494,855"
"17-May-2019","1,636.00","1,653.00","1,622.10","1,632.70","363,216"
"20-May-2019","1,680.00","1,690.00","1,640.00","1,659.70","482,091"
"21-May-2019","1,658.00","1,715.00","1,658.00","1,696.50","494,321"
"22-May-2019","1,704.90","1,706.20","1,670.00","1,680.20","342,013"
"23-May-2019","1,710.00","1,744.00","1,692.00","1,732.45","543,073"
"24-May-2019","1,742.10","1,774.00","1,737.00","1,765.65","572,794"
"27-May-2019","1,729.50","1,730.05","1,578.05","1,593.45","3,084,161"
"28-May-2019","1,600.00","1,629.00","1,585.60","1,617.85","1,231,843"
"29-May-2019","1,618.00","1,624.40","1,585.20","1,589.10","474,654"
"30-May-2019","1,599.00","1,626.80","1,580.80","1,585.45","925,477"
"31-May-2019","1,595.95","1,609.80","1,583.00","1,592.30","787,381"
"03-Jun-2019","1,597.25","1,621.00","1,566.55","1,616.25","765,932"
"04-Jun-2019","1,610.00","1,610.00","1,580.40","1,586.35","803,652"
"06-Jun-2019","1,598.00","1,598.00","1,554.45","1,580.35","925,968"
"07-Jun-2019","1,575.00","1,580.65","1,553.05","1,566.25","632,011"
"10-Jun-2019","1,562.00","1,579.00","1,556.05","1,561.05","363,052"
"11-Jun-2019","1,567.00","1,571.85","1,552.00","1,555.80","475,514"
"12-Jun-2019","1,555.80","1,560.00","1,530.75","1,534.55","500,761"
"13-Jun-2019","1,539.95","1,554.40","1,517.00","1,546.55","597,842"
"14-Jun-2019","1,542.00","1,550.00","1,495.05","1,522.30","993,176"
"17-Jun-2019","1,539.30","1,582.90","1,532.40","1,540.50","1,053,764"
"18-Jun-2019","1,545.00","1,552.00","1,525.00","1,543.00","548,508"
