"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","2,618.10","2,634.00","2,600.00","2,607.05","338,757"
"02-Jan-2019","2,606.00","2,618.00","2,575.05","2,601.05","417,551"
"03-Jan-2019","2,605.00","2,614.80","2,564.00","2,577.35","541,891"
"04-Jan-2019","2,580.00","2,606.00","2,562.00","2,600.00","407,397"
"07-Jan-2019","2,613.85","2,613.85","2,537.30","2,558.65","542,415"
"08-Jan-2019","2,561.00","2,586.85","2,551.00","2,570.50","689,498"
"09-Jan-2019","2,580.90","2,610.90","2,580.90","2,603.10","464,336"
"10-Jan-2019","2,598.10","2,610.00","2,583.15","2,600.40","390,414"
"11-Jan-2019","2,610.80","2,610.80","2,580.00","2,588.15","316,787"
"14-Jan-2019","2,585.35","2,605.00","2,555.00","2,578.80","394,478"
"15-Jan-2019","2,585.00","2,604.00","2,581.35","2,594.80","357,577"
"16-Jan-2019","2,580.00","2,627.70","2,575.30","2,616.95","946,148"
"17-Jan-2019","2,620.00","2,628.80","2,600.00","2,619.15","649,802"
"18-Jan-2019","2,605.00","2,629.35","2,594.50","2,596.80","536,273"
"21-Jan-2019","2,605.00","2,642.00","2,581.80","2,599.80","595,064"
"22-Jan-2019","2,599.10","2,645.00","2,589.95","2,640.30","776,066"
"23-Jan-2019","2,639.85","2,660.00","2,630.00","2,646.75","754,526"
"24-Jan-2019","2,642.05","2,674.70","2,642.05","2,668.45","611,565"
"25-Jan-2019","2,670.50","2,691.00","2,645.50","2,672.40","609,282"
"28-Jan-2019","2,671.90","2,671.90","2,597.05","2,624.75","684,994"
"29-Jan-2019","2,616.00","2,684.00","2,603.00","2,666.45","867,696"
"30-Jan-2019","2,655.05","2,680.00","2,637.45","2,665.40","657,014"
"31-Jan-2019","2,665.00","2,728.55","2,651.00","2,720.80","1,231,518"
"01-Feb-2019","2,717.70","2,819.00","2,715.15","2,791.25","1,450,995"
"04-Feb-2019","2,807.90","2,878.00","2,715.25","2,735.20","2,149,582"
"05-Feb-2019","2,775.20","2,859.85","2,773.00","2,821.45","1,653,331"
"06-Feb-2019","2,816.00","2,816.00","2,761.00","2,789.70","881,795"
"07-Feb-2019","2,791.00","2,835.00","2,791.00","2,821.80","561,804"
"08-Feb-2019","2,818.00","2,818.00","2,751.65","2,769.70","714,193"
"11-Feb-2019","2,660.10","2,707.95","2,559.35","2,615.35","1,895,462"
"12-Feb-2019","2,619.00","2,676.45","2,584.00","2,652.50","1,309,324"
"13-Feb-2019","2,665.00","2,681.75","2,632.00","2,648.70","676,457"
"14-Feb-2019","2,648.70","2,674.95","2,616.00","2,667.25","597,409"
"15-Feb-2019","2,660.00","2,660.00","1,872.95","2,563.35","6,756,271"
"18-Feb-2019","2,650.00","2,689.65","2,545.05","2,565.55","2,687,581"
"19-Feb-2019","2,583.95","2,610.00","2,505.10","2,536.90","2,269,798"
"20-Feb-2019","2,574.90","2,584.00","2,508.55","2,525.15","1,559,722"
"21-Feb-2019","2,550.00","2,606.00","2,519.85","2,586.30","1,310,397"
"22-Feb-2019","2,584.75","2,650.00","2,555.70","2,639.50","1,378,159"
"25-Feb-2019","2,640.25","2,694.95","2,622.80","2,666.90","1,275,515"
"26-Feb-2019","2,653.90","2,659.90","2,628.95","2,647.80","1,013,114"
"27-Feb-2019","2,664.50","2,683.00","2,630.05","2,646.90","793,098"
"28-Feb-2019","2,669.00","2,669.00","2,615.25","2,631.65","669,759"
"01-Mar-2019","2,638.00","2,657.10","2,580.05","2,646.00","885,795"
"05-Mar-2019","2,635.00","2,668.80","2,604.60","2,654.10","646,711"
"06-Mar-2019","2,660.60","2,708.50","2,656.65","2,693.65","852,395"
"07-Mar-2019","2,690.00","2,725.90","2,668.90","2,680.75","916,759"
"08-Mar-2019","2,668.00","2,685.95","2,606.50","2,615.05","684,806"
"11-Mar-2019","2,628.00","2,656.00","2,611.05","2,626.15","1,113,712"
"12-Mar-2019","2,647.00","2,676.00","2,638.00","2,666.85","544,868"
"13-Mar-2019","2,663.00","2,710.00","2,644.60","2,655.85","704,078"
"14-Mar-2019","2,655.85","2,670.90","2,616.00","2,647.90","483,712"
"15-Mar-2019","2,655.50","2,693.75","2,640.95","2,658.90","1,436,054"
"18-Mar-2019","2,658.40","2,674.30","2,643.15","2,669.45","454,563"
"19-Mar-2019","2,670.00","2,717.25","2,669.45","2,708.70","918,056"
"20-Mar-2019","2,709.00","2,760.00","2,709.00","2,751.65","1,151,949"
"22-Mar-2019","2,779.00","2,779.00","2,738.50","2,751.30","685,401"
"25-Mar-2019","2,744.90","2,798.00","2,726.75","2,780.95","1,009,863"
"26-Mar-2019","2,791.00","2,793.95","2,762.50","2,782.35","484,102"
"27-Mar-2019","2,781.05","2,814.00","2,744.10","2,765.05","659,032"
"28-Mar-2019","2,774.70","2,774.70","2,708.00","2,717.20","663,559"
"29-Mar-2019","2,739.70","2,787.95","2,733.20","2,780.25","578,347"
"01-Apr-2019","2,798.95","2,822.75","2,782.00","2,794.80","791,811"
"02-Apr-2019","2,804.00","2,820.00","2,780.00","2,798.75","588,391"
"03-Apr-2019","2,808.00","2,808.80","2,758.45","2,765.20","368,516"
"04-Apr-2019","2,772.75","2,792.55","2,753.50","2,771.35","438,496"
"05-Apr-2019","2,775.80","2,778.00","2,742.50","2,754.35","445,093"
"08-Apr-2019","2,760.00","2,780.00","2,745.50","2,763.70","307,007"
"09-Apr-2019","2,764.00","2,765.95","2,736.90","2,753.30","413,081"
"10-Apr-2019","2,752.15","2,835.90","2,746.10","2,765.00","1,077,211"
"11-Apr-2019","2,772.65","2,815.00","2,757.85","2,811.75","637,345"
"12-Apr-2019","2,800.00","2,821.00","2,786.05","2,807.05","606,222"
"15-Apr-2019","2,821.60","2,829.80","2,781.00","2,792.80","556,519"
"16-Apr-2019","2,831.00","2,840.00","2,807.00","2,825.10","771,487"
"18-Apr-2019","2,827.95","2,827.95","2,791.35","2,799.10","433,608"
"22-Apr-2019","2,810.00","2,819.95","2,775.00","2,795.70","347,230"
"23-Apr-2019","2,800.50","2,832.65","2,800.50","2,822.15","475,888"
"24-Apr-2019","2,835.00","2,875.00","2,813.10","2,859.40","748,185"
"25-Apr-2019","2,851.65","2,940.00","2,839.45","2,924.90","1,087,724"
"26-Apr-2019","2,934.00","2,953.50","2,875.55","2,892.25","925,723"
"30-Apr-2019","2,903.95","2,950.00","2,895.30","2,933.75","601,275"
"02-May-2019","2,925.00","2,964.00","2,905.00","2,919.90","588,092"
"03-May-2019","2,910.10","2,932.75","2,890.70","2,907.45","364,533"
"06-May-2019","2,896.95","2,929.95","2,888.00","2,920.60","411,016"
"07-May-2019","2,936.00","2,952.00","2,925.25","2,942.45","458,140"
"08-May-2019","2,943.00","2,947.80","2,882.60","2,900.50","450,398"
"09-May-2019","2,882.25","2,909.30","2,838.60","2,900.60","731,120"
"10-May-2019","2,908.00","2,917.20","2,866.35","2,876.40","339,092"
"13-May-2019","2,850.05","2,859.95","2,777.65","2,802.75","659,200"
"14-May-2019","2,785.80","2,827.00","2,760.05","2,807.60","484,950"
"15-May-2019","2,811.00","2,853.85","2,792.00","2,813.55","478,805"
"16-May-2019","2,813.15","2,826.35","2,760.20","2,801.00","385,300"
"17-May-2019","2,791.00","2,810.00","2,667.45","2,745.00","1,160,721"
"20-May-2019","2,778.00","2,779.00","2,542.55","2,589.40","2,659,265"
"21-May-2019","2,594.00","2,699.95","2,594.00","2,667.00","2,008,336"
"22-May-2019","2,664.90","2,679.90","2,621.85","2,657.75","765,196"
"23-May-2019","2,680.00","2,699.90","2,626.40","2,637.30","546,632"
"24-May-2019","2,650.00","2,673.95","2,626.20","2,663.90","471,150"
"27-May-2019","2,664.00","2,669.00","2,632.45","2,658.00","340,656"
"28-May-2019","2,665.00","2,684.00","2,626.40","2,651.95","1,252,297"
"29-May-2019","2,650.00","2,650.00","2,592.45","2,610.75","774,498"
"30-May-2019","2,613.00","2,659.90","2,593.35","2,652.40","727,619"
"31-May-2019","2,659.50","2,688.00","2,626.40","2,678.35","939,491"
"03-Jun-2019","2,679.80","2,739.00","2,652.40","2,724.10","558,848"
"04-Jun-2019","2,750.00","2,798.45","2,400.00","2,665.35","2,438,393"
"06-Jun-2019","2,701.55","2,709.90","2,644.00","2,657.30","608,496"
"07-Jun-2019","2,650.00","2,656.15","2,555.25","2,580.70","782,434"
"10-Jun-2019","2,608.10","2,637.80","2,569.65","2,629.25","622,985"
"11-Jun-2019","2,635.95","2,635.95","2,593.50","2,605.85","521,153"
"12-Jun-2019","2,612.00","2,628.80","2,572.50","2,589.70","528,873"
"13-Jun-2019","2,591.00","2,602.60","2,557.40","2,588.25","368,693"
"14-Jun-2019","2,582.00","2,582.00","2,529.00","2,565.15","689,207"
"17-Jun-2019","2,567.00","2,580.45","2,538.60","2,554.15","526,924"
"18-Jun-2019","2,555.00","2,600.00","2,542.05","2,591.25","665,057"
"19-Jun-2019","2,584.00","2,590.85","2,537.50","2,550.85","845,595"
"20-Jun-2019","2,550.00","2,577.25","2,518.00","2,564.80","568,148"
"21-Jun-2019","2,560.00","2,575.00","2,523.55","2,551.55","579,138"
"24-Jun-2019","2,524.00","2,532.00","2,504.65","2,513.40","452,261"
"25-Jun-2019","2,502.10","2,552.45","2,488.05","2,536.05","437,218"
"26-Jun-2019","2,534.95","2,587.45","2,512.70","2,578.95","501,267"
"27-Jun-2019","2,578.90","2,578.90","2,543.90","2,565.60","465,861"
"28-Jun-2019","2,590.00","2,615.00","2,536.80","2,550.45","859,777"
"01-Jul-2019","2,567.10","2,675.00","2,567.10","2,654.85","1,118,522"
"02-Jul-2019","2,657.00","2,661.95","2,615.60","2,627.65","666,682"
"03-Jul-2019","2,636.95","2,636.95","2,580.00","2,596.70","626,598"
"04-Jul-2019","2,601.10","2,620.00","2,593.05","2,602.40","368,100"
"05-Jul-2019","2,610.00","2,619.50","2,593.55","2,600.95","491,715"
"08-Jul-2019","2,585.10","2,620.00","2,559.00","2,595.70","470,575"
"09-Jul-2019","2,592.00","2,625.00","2,571.30","2,598.85","408,296"
"10-Jul-2019","2,594.00","2,602.90","2,572.40","2,584.65","311,159"
"11-Jul-2019","2,586.00","2,662.00","2,585.15","2,653.05","780,105"
"12-Jul-2019","2,648.00","2,660.25","2,585.15","2,628.60","661,837"
"15-Jul-2019","2,630.05","2,670.65","2,612.20","2,627.60","499,554"
"16-Jul-2019","2,622.65","2,684.00","2,603.20","2,676.50","592,319"
"17-Jul-2019","2,665.60","2,687.90","2,642.45","2,666.30","473,536"
"18-Jul-2019","2,665.25","2,679.85","2,630.00","2,655.55","434,455"
"19-Jul-2019","2,659.95","2,680.00","2,604.05","2,613.15","468,248"
"22-Jul-2019","2,619.00","2,642.00","2,600.20","2,632.50","349,052"
"23-Jul-2019","2,640.00","2,644.65","2,580.45","2,599.35","480,116"
"24-Jul-2019","2,595.00","2,611.00","2,555.00","2,599.05","453,664"
"25-Jul-2019","2,619.80","2,666.00","2,607.25","2,654.10","516,388"
"26-Jul-2019","2,640.05","2,714.00","2,621.70","2,704.95","537,619"
"29-Jul-2019","2,709.90","2,726.80","2,621.30","2,653.95","919,633"
"30-Jul-2019","2,648.00","2,693.50","2,549.10","2,560.00","2,197,242"
"31-Jul-2019","2,535.00","2,590.00","2,533.00","2,574.60","834,690"
"01-Aug-2019","2,573.00","2,573.00","2,500.05","2,533.75","976,249"
"02-Aug-2019","2,533.80","2,550.00","2,496.25","2,529.20","593,989"
"05-Aug-2019","2,523.00","2,537.95","2,500.70","2,514.70","337,575"
