"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","432.50","438.80","429.65","433.55","8,487,116"
"02-Jan-2019","430.50","441.20","429.25","440.05","9,656,878"
"03-Jan-2019","442.05","443.60","434.00","436.10","9,479,511"
"04-Jan-2019","439.10","439.90","432.20","433.80","6,228,693"
"07-Jan-2019","437.10","438.00","429.30","430.80","4,118,235"
"08-Jan-2019","433.80","449.00","432.35","448.05","12,368,631"
"09-Jan-2019","450.50","453.65","443.70","448.75","9,034,282"
"10-Jan-2019","445.10","448.00","440.45","444.60","3,672,333"
"11-Jan-2019","445.05","449.75","441.60","444.40","3,778,103"
"14-Jan-2019","447.00","452.00","443.75","450.85","5,784,064"
"15-Jan-2019","453.25","454.50","449.50","452.45","4,291,873"
"16-Jan-2019","451.40","457.40","447.15","453.80","5,879,148"
"17-Jan-2019","455.00","455.40","422.50","426.55","8,343,750"
"18-Jan-2019","424.05","424.10","370.20","390.75","82,906,214"
"21-Jan-2019","390.10","406.55","390.05","398.30","48,936,782"
"22-Jan-2019","411.00","423.50","409.40","418.95","38,255,365"
"23-Jan-2019","417.70","434.40","411.65","431.00","26,921,274"
"24-Jan-2019","431.00","438.00","417.10","423.00","18,446,490"
"25-Jan-2019","425.40","429.75","419.35","422.40","8,720,973"
"28-Jan-2019","424.00","424.75","410.15","411.75","5,809,082"
"29-Jan-2019","410.50","424.75","406.25","422.40","7,472,930"
"30-Jan-2019","424.00","426.00","416.20","417.95","4,351,530"
"31-Jan-2019","419.00","431.35","413.70","423.45","16,672,076"
"01-Feb-2019","421.20","428.00","417.00","423.25","3,950,126"
"04-Feb-2019","422.30","423.00","409.20","414.80","3,679,517"
"05-Feb-2019","414.80","418.50","406.55","409.90","3,523,707"
"06-Feb-2019","410.00","419.00","403.30","416.60","5,638,849"
"07-Feb-2019","423.00","445.80","421.10","434.90","18,187,249"
"08-Feb-2019","434.00","435.90","424.50","431.05","6,133,747"
"11-Feb-2019","432.25","433.60","420.85","428.55","4,945,054"
"12-Feb-2019","427.20","444.00","424.05","436.60","8,559,968"
"13-Feb-2019","454.90","455.00","426.45","431.25","31,434,625"
"14-Feb-2019","432.00","444.90","428.65","440.90","9,040,227"
"15-Feb-2019","440.75","440.75","416.45","422.90","10,206,627"
"18-Feb-2019","424.50","428.00","413.30","414.65","6,210,412"
"19-Feb-2019","417.15","422.40","412.35","413.65","4,742,270"
"20-Feb-2019","418.00","424.45","416.05","422.35","4,385,350"
"21-Feb-2019","425.20","432.00","422.70","429.70","4,736,317"
"22-Feb-2019","431.00","436.75","428.45","430.50","4,373,261"
"25-Feb-2019","431.40","438.75","427.50","436.10","4,849,697"
"26-Feb-2019","430.50","440.00","422.85","435.75","5,255,113"
"27-Feb-2019","436.50","451.65","436.00","442.70","12,232,682"
"28-Feb-2019","446.60","451.50","442.10","445.15","10,862,473"
"01-Mar-2019","447.90","451.00","445.05","447.35","5,608,805"
"05-Mar-2019","447.85","456.90","445.35","455.90","5,251,255"
"06-Mar-2019","457.00","469.35","446.95","460.55","13,004,184"
"07-Mar-2019","459.50","463.00","448.80","450.90","10,701,581"
"08-Mar-2019","449.50","457.90","447.30","454.95","5,040,326"
"11-Mar-2019","456.00","461.45","454.00","459.45","4,628,360"
"12-Mar-2019","463.00","471.65","462.00","470.30","8,660,320"
"13-Mar-2019","473.00","475.00","452.50","456.50","7,156,428"
"14-Mar-2019","456.90","468.50","456.00","466.15","8,039,525"
