"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","51.00","51.15","50.45","50.85","6,302,024"
"02-Jan-2019","50.85","51.05","50.20","50.55","6,174,960"
"03-Jan-2019","50.60","50.85","48.80","50.35","7,113,733"
"04-Jan-2019","50.40","50.65","49.70","50.05","9,620,268"
"07-Jan-2019","50.75","50.80","49.55","50.35","8,717,066"
"08-Jan-2019","50.15","52.60","49.75","51.55","14,694,658"
"09-Jan-2019","51.75","51.90","50.40","50.90","7,317,677"
"10-Jan-2019","51.10","51.10","50.20","50.50","3,496,789"
"11-Jan-2019","50.75","50.75","49.85","50.25","2,933,044"
"14-Jan-2019","50.25","50.35","49.40","49.55","5,325,766"
"15-Jan-2019","49.70","51.30","49.70","50.25","9,396,079"
"16-Jan-2019","50.10","50.45","49.20","49.80","5,456,511"
"17-Jan-2019","49.90","51.35","49.30","50.85","10,398,155"
"18-Jan-2019","51.55","52.10","50.05","50.75","11,090,779"
"21-Jan-2019","50.20","51.40","49.25","49.80","13,143,168"
"22-Jan-2019","49.60","52.20","49.55","51.30","14,364,718"
"23-Jan-2019","51.35","52.50","51.35","51.75","10,104,731"
"24-Jan-2019","51.60","52.70","51.40","52.10","9,678,975"
"25-Jan-2019","51.95","52.15","48.25","49.15","14,778,257"
"28-Jan-2019","49.00","50.50","39.00","40.05","50,291,637"
"29-Jan-2019","40.00","44.00","39.80","43.15","32,943,730"
"30-Jan-2019","43.10","45.25","42.80","44.50","16,323,067"
"31-Jan-2019","44.75","46.50","43.05","45.50","17,642,681"
"01-Feb-2019","46.35","46.85","41.85","44.20","11,033,520"
"04-Feb-2019","44.25","44.30","38.65","39.75","21,822,407"
"05-Feb-2019","39.55","40.70","36.40","37.75","16,204,237"
"06-Feb-2019","37.95","38.65","34.60","38.05","29,251,898"
"07-Feb-2019","37.60","37.60","35.35","36.75","16,398,215"
"08-Feb-2019","35.75","37.05","35.20","35.60","10,009,016"
"11-Feb-2019","35.75","36.15","33.35","34.70","11,790,819"
"12-Feb-2019","34.70","35.40","33.60","33.95","6,570,103"
"13-Feb-2019","33.80","37.50","33.25","36.85","24,455,139"
"14-Feb-2019","36.55","37.55","35.05","37.15","9,932,519"
"15-Feb-2019","37.00","40.30","36.30","39.35","16,027,848"
"18-Feb-2019","39.35","39.70","37.05","37.65","8,362,780"
"19-Feb-2019","37.25","39.10","36.50","36.85","11,395,529"
"20-Feb-2019","37.05","41.10","36.85","39.55","11,657,825"
"21-Feb-2019","40.25","40.95","38.85","39.55","14,132,459"
"22-Feb-2019","39.35","40.40","39.20","39.85","12,065,389"
"25-Feb-2019","39.85","41.00","36.35","40.45","17,835,657"
"26-Feb-2019","39.70","48.90","38.00","46.65","39,370,573"
"27-Feb-2019","48.45","49.95","46.50","47.75","39,328,080"
"28-Feb-2019","47.60","48.80","46.30","48.15","24,563,416"
"01-Mar-2019","48.35","49.00","47.75","48.40","16,489,834"
"05-Mar-2019","49.00","52.25","48.90","51.15","27,455,057"
"06-Mar-2019","51.70","51.70","49.80","50.70","17,876,199"
"07-Mar-2019","51.00","51.60","50.20","50.40","11,306,396"
"08-Mar-2019","50.40","50.75","49.35","50.00","11,908,805"
"11-Mar-2019","49.70","52.45","49.35","51.75","23,678,985"
"12-Mar-2019","52.90","53.25","51.30","52.30","18,892,443"
"13-Mar-2019","52.20","52.25","50.75","51.60","9,764,946"
"14-Mar-2019","51.15","51.90","50.25","51.15","9,423,480"
"15-Mar-2019","50.50","51.25","50.20","50.85","10,827,468"
"18-Mar-2019","50.90","51.15","49.15","49.85","10,581,699"
"19-Mar-2019","49.85","52.25","49.05","50.00","14,660,154"
"20-Mar-2019","50.00","50.25","47.85","48.60","13,078,843"
"22-Mar-2019","48.80","50.10","47.85","48.20","14,952,355"
"25-Mar-2019","47.60","48.35","47.25","47.60","8,340,825"
"26-Mar-2019","47.90","48.80","47.40","47.80","9,457,346"
"27-Mar-2019","48.10","48.45","46.50","46.90","7,826,448"
"28-Mar-2019","46.95","47.60","46.60","46.90","8,521,212"
"29-Mar-2019","47.05","50.35","46.80","48.20","20,253,763"
"01-Apr-2019","48.45","49.80","47.90","48.70","15,730,219"
"02-Apr-2019","48.80","51.85","48.70","50.05","22,623,085"
"03-Apr-2019","50.60","50.95","49.00","49.40","11,039,301"
"04-Apr-2019","49.50","49.60","47.75","47.95","12,299,012"
"05-Apr-2019","48.25","50.40","48.05","49.85","13,088,231"
"08-Apr-2019","50.25","50.90","49.20","50.20","13,816,483"
"09-Apr-2019","50.40","50.60","49.30","50.15","7,507,082"
"10-Apr-2019","49.85","50.40","48.80","49.05","8,075,543"
"11-Apr-2019","48.95","50.80","48.15","50.45","15,503,574"
"12-Apr-2019","50.50","54.90","50.25","53.20","41,104,239"
"15-Apr-2019","53.25","55.25","50.55","54.60","36,736,634"
"16-Apr-2019","54.50","55.10","53.75","54.35","14,215,499"
"18-Apr-2019","54.00","55.80","52.80","54.15","18,818,096"
"22-Apr-2019","53.80","54.50","50.35","50.85","13,818,482"
"23-Apr-2019","50.85","52.20","50.60","51.10","11,504,673"
"24-Apr-2019","51.40","53.00","51.05","52.70","9,800,225"
"25-Apr-2019","53.00","53.55","50.15","50.70","13,776,777"
"26-Apr-2019","50.80","51.35","47.80","48.40","15,899,088"
"30-Apr-2019","48.55","48.65","44.00","44.90","19,021,979"
"02-May-2019","44.90","45.90","43.50","44.45","13,724,184"
"03-May-2019","44.35","45.25","42.85","43.85","13,632,818"
"06-May-2019","43.30","43.80","42.50","42.80","7,489,771"
"07-May-2019","43.00","43.55","41.15","41.50","8,436,065"
"08-May-2019","41.40","42.10","40.75","41.35","7,510,676"
"09-May-2019","41.35","41.90","40.60","40.95","6,432,508"
"10-May-2019","41.15","42.30","40.85","41.45","5,976,875"
"13-May-2019","41.50","41.50","38.20","38.45","11,897,612"
"14-May-2019","38.15","41.45","37.35","40.80","14,689,706"
"15-May-2019","41.05","41.25","38.10","38.65","10,066,705"
"16-May-2019","38.55","40.70","37.65","40.30","12,518,377"
"17-May-2019","40.50","41.25","38.70","40.65","13,404,672"
"20-May-2019","44.70","47.55","42.65","46.75","40,542,988"
"21-May-2019","47.30","48.10","44.80","46.00","25,614,931"
"22-May-2019","46.80","47.00","44.90","46.70","19,258,903"
"23-May-2019","48.85","51.00","45.60","46.65","50,231,342"
"24-May-2019","46.80","47.30","45.05","46.80","19,365,940"
"27-May-2019","47.40","49.70","46.55","49.10","22,998,049"
"28-May-2019","49.70","50.35","48.50","49.00","17,598,192"
"29-May-2019","49.00","49.70","47.05","48.35","15,057,913"
"30-May-2019","49.95","52.80","49.35","51.55","44,609,030"
"31-May-2019","51.75","53.30","49.10","50.35","26,960,956"
"03-Jun-2019","50.45","50.65","49.10","50.35","10,128,255"
