"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","148.95","149.60","146.40","148.70","3,342,569"
"02-Jan-2019","147.95","148.70","146.15","147.00","4,334,233"
"03-Jan-2019","147.00","147.40","142.85","143.40","5,862,736"
"04-Jan-2019","143.95","146.30","142.25","145.75","6,656,760"
"07-Jan-2019","146.25","149.70","146.15","148.60","11,768,203"
"08-Jan-2019","148.00","149.50","146.00","146.95","5,547,244"
"09-Jan-2019","147.00","148.45","145.40","146.55","3,863,786"
"10-Jan-2019","146.95","149.55","146.75","148.10","12,784,001"
"11-Jan-2019","148.00","150.30","147.20","148.00","11,316,608"
"14-Jan-2019","148.00","148.35","145.20","145.55","4,175,566"
"15-Jan-2019","146.00","146.45","144.15","145.80","12,275,812"
"16-Jan-2019","146.30","148.50","145.70","146.35","4,732,815"
"17-Jan-2019","146.90","147.65","144.25","144.90","6,274,305"
"18-Jan-2019","145.30","146.40","144.00","144.30","2,583,594"
"21-Jan-2019","146.50","146.75","142.65","143.40","10,989,731"
"22-Jan-2019","143.90","143.90","142.00","142.80","5,895,361"
"23-Jan-2019","142.90","143.60","140.30","140.75","4,436,294"
"24-Jan-2019","140.75","142.10","139.10","140.05","3,541,981"
"25-Jan-2019","140.50","141.90","138.05","138.30","4,552,697"
"28-Jan-2019","138.50","139.50","136.65","138.60","6,086,122"
"29-Jan-2019","138.60","139.40","137.40","138.50","8,106,901"
"30-Jan-2019","139.40","140.40","138.10","138.70","11,481,494"
"31-Jan-2019","140.50","141.20","139.00","139.70","36,695,700"
"01-Feb-2019","140.00","140.50","138.80","140.15","5,916,171"
"04-Feb-2019","140.10","140.40","136.75","137.25","5,596,920"
"05-Feb-2019","137.00","138.40","136.20","138.05","7,105,333"
"06-Feb-2019","135.80","137.75","135.00","137.10","10,675,675"
"07-Feb-2019","137.00","138.00","135.10","135.95","4,327,928"
"08-Feb-2019","135.40","137.40","131.55","132.05","4,664,302"
"11-Feb-2019","131.95","133.30","128.60","130.35","10,939,054"
"12-Feb-2019","130.05","133.95","130.00","133.25","12,417,295"
"13-Feb-2019","133.25","134.10","128.00","131.10","11,559,385"
