"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","197.45","200.50","196.10","200.00","2,228,415"
"02-Jan-2019","199.10","200.00","194.00","195.25","4,430,566"
"03-Jan-2019","194.90","195.00","192.00","193.05","4,467,862"
"04-Jan-2019","193.30","196.75","191.40","195.90","2,259,867"
"07-Jan-2019","196.10","198.90","195.85","198.45","2,020,789"
"08-Jan-2019","197.90","198.50","195.80","197.35","2,244,865"
"09-Jan-2019","197.35","198.75","195.60","197.60","2,299,236"
"10-Jan-2019","197.45","197.45","194.90","195.65","2,019,221"
"11-Jan-2019","194.90","195.90","193.25","194.35","1,685,132"
"14-Jan-2019","194.05","194.35","191.00","192.50","3,020,885"
"15-Jan-2019","199.00","199.00","190.40","192.45","6,468,115"
"16-Jan-2019","192.50","194.15","191.60","192.00","4,789,937"
"17-Jan-2019","192.00","194.55","192.00","193.90","2,995,612"
"18-Jan-2019","194.00","196.70","192.50","193.60","2,456,405"
"21-Jan-2019","193.95","194.70","190.65","191.25","2,287,769"
"22-Jan-2019","191.00","191.25","188.50","189.70","2,012,319"
"23-Jan-2019","189.55","191.50","185.70","186.30","3,472,589"
"24-Jan-2019","186.70","189.10","185.55","186.75","3,463,363"
"25-Jan-2019","187.60","189.10","185.25","185.85","2,175,999"
"28-Jan-2019","186.00","188.60","182.00","187.80","4,185,481"
"29-Jan-2019","186.80","187.80","183.65","185.60","9,826,512"
"30-Jan-2019","185.10","187.90","183.40","187.10","7,150,221"
"31-Jan-2019","188.50","191.50","186.80","188.60","14,498,055"
"01-Feb-2019","190.95","191.85","185.90","190.20","5,329,604"
"04-Feb-2019","189.50","189.50","183.75","184.60","2,069,251"
"05-Feb-2019","184.10","186.95","183.50","186.10","3,093,963"
"06-Feb-2019","186.25","188.75","184.75","186.80","2,431,491"
"07-Feb-2019","186.95","187.70","184.00","184.60","2,423,984"
"08-Feb-2019","184.60","187.95","180.50","181.00","4,326,833"
"11-Feb-2019","179.60","183.20","177.85","182.35","4,451,317"
"12-Feb-2019","183.00","186.40","180.45","181.25","6,710,853"
"13-Feb-2019","181.60","184.70","173.75","176.55","8,525,054"
"14-Feb-2019","177.50","178.85","172.50","174.95","20,791,350"
"15-Feb-2019","178.40","182.20","177.60","181.50","9,003,158"
"18-Feb-2019","181.45","183.50","179.55","180.75","4,485,330"
"19-Feb-2019","180.25","183.00","178.90","179.45","6,088,733"
"20-Feb-2019","180.75","182.60","178.60","181.80","5,432,730"
"21-Feb-2019","182.70","183.00","180.85","181.80","5,173,777"
"22-Feb-2019","181.70","182.60","180.50","181.90","6,852,451"
"25-Feb-2019","181.00","182.50","178.50","181.95","16,822,873"
"26-Feb-2019","179.50","182.70","178.85","181.20","7,697,140"
"27-Feb-2019","181.30","184.30","179.85","181.45","7,631,155"
"28-Feb-2019","182.90","184.75","180.60","182.85","39,298,476"
"01-Mar-2019","183.10","183.75","182.10","183.20","4,065,623"
"05-Mar-2019","184.00","185.45","182.60","183.00","8,850,207"
"06-Mar-2019","183.10","186.40","181.70","184.50","11,439,434"
"07-Mar-2019","187.00","189.50","184.60","187.15","6,916,242"
"08-Mar-2019","188.00","188.45","185.25","187.00","3,493,857"
"11-Mar-2019","188.50","196.00","187.75","194.30","9,944,379"
"12-Mar-2019","194.65","202.00","194.65","196.35","14,882,155"
"13-Mar-2019","198.10","198.25","193.10","194.75","3,898,251"
"14-Mar-2019","188.95","189.75","187.25","187.60","4,762,557"
