"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","315.95","322.00","313.30","319.50","5,513,123"
"02-Jan-2019","316.90","321.00","309.10","312.65","5,604,911"
"03-Jan-2019","312.50","315.50","307.95","313.50","5,615,566"
"04-Jan-2019","312.45","324.70","312.45","322.45","10,239,262"
"07-Jan-2019","324.40","327.90","322.10","324.95","4,966,909"
"08-Jan-2019","323.75","331.75","323.25","329.25","6,484,522"
"09-Jan-2019","333.20","337.90","327.30","334.50","7,226,454"
"10-Jan-2019","336.55","338.65","332.40","337.30","5,180,570"
"11-Jan-2019","337.15","337.30","329.00","335.10","5,337,767"
"14-Jan-2019","334.10","334.80","328.15","331.60","3,311,854"
"15-Jan-2019","330.00","339.35","326.50","337.75","5,143,387"
"16-Jan-2019","336.75","345.25","331.40","333.95","6,944,533"
"17-Jan-2019","333.00","336.75","330.20","332.05","4,118,364"
"18-Jan-2019","330.50","332.45","304.30","311.15","14,744,448"
"21-Jan-2019","310.70","315.50","306.00","311.35","7,769,963"
"22-Jan-2019","312.00","312.10","301.55","304.85","7,904,590"
"23-Jan-2019","306.80","307.40","302.30","303.70","5,063,257"
"24-Jan-2019","306.70","307.80","294.50","301.65","9,363,696"
"25-Jan-2019","304.00","312.00","302.00","307.50","5,443,641"
"28-Jan-2019","308.00","309.35","294.70","305.15","4,097,172"
"29-Jan-2019","305.00","309.65","301.70","307.85","2,893,056"
"30-Jan-2019","309.00","312.90","300.10","303.70","5,906,356"
"31-Jan-2019","304.50","310.45","303.15","306.40","8,555,853"
"01-Feb-2019","305.10","320.90","305.00","311.85","8,331,159"
"04-Feb-2019","310.00","310.75","302.20","306.55","3,511,129"
"05-Feb-2019","295.40","311.65","292.85","308.20","13,229,252"
"06-Feb-2019","307.00","310.50","301.00","308.75","4,688,955"
"07-Feb-2019","308.60","314.40","305.20","311.15","3,472,111"
"08-Feb-2019","309.00","314.20","306.10","313.25","3,076,831"
"11-Feb-2019","315.00","315.45","311.00","312.20","2,977,404"
"12-Feb-2019","311.70","315.60","309.65","311.25","2,006,320"
"13-Feb-2019","312.45","312.55","307.30","310.55","2,196,566"
"14-Feb-2019","309.00","309.90","296.50","300.80","7,726,834"
"15-Feb-2019","301.00","306.05","297.35","304.60","6,063,171"
"18-Feb-2019","306.90","307.15","300.05","302.55","4,001,810"
"19-Feb-2019","303.90","313.50","301.55","303.70","6,844,127"
"20-Feb-2019","305.55","310.85","304.95","309.00","5,603,086"
"21-Feb-2019","305.90","311.00","303.00","309.90","5,232,493"
"22-Feb-2019","309.20","316.50","308.05","313.85","5,587,441"
"25-Feb-2019","314.00","320.00","311.60","317.25","3,744,506"
"26-Feb-2019","315.70","320.50","313.40","315.45","5,012,987"
"27-Feb-2019","318.95","325.25","314.35","320.15","4,080,123"
"28-Feb-2019","324.90","326.95","315.95","318.05","6,928,578"
"01-Mar-2019","317.80","317.80","302.10","307.65","26,657,232"
"05-Mar-2019","308.00","309.20","303.60","307.85","10,271,412"
"06-Mar-2019","310.95","313.25","308.30","309.40","6,392,974"
"07-Mar-2019","310.00","312.20","307.00","307.65","5,828,055"
"08-Mar-2019","309.75","312.00","307.65","308.70","4,002,947"
"11-Mar-2019","309.05","337.10","308.70","333.80","15,374,558"
"12-Mar-2019","332.80","354.00","329.35","351.80","27,100,883"
"13-Mar-2019","348.50","356.55","336.50","337.75","12,612,026"
"14-Mar-2019","337.00","345.95","334.55","342.40","6,246,873"
"15-Mar-2019","344.00","344.85","331.20","337.70","10,397,551"
"18-Mar-2019","338.00","343.65","329.30","330.60","7,007,083"
"19-Mar-2019","332.00","339.45","332.00","336.75","5,082,584"
"20-Mar-2019","337.15","339.90","332.35","334.00","2,982,715"
"22-Mar-2019","336.00","347.40","329.30","331.55","8,213,789"
"25-Mar-2019","332.90","334.90","323.20","327.00","4,734,760"
"26-Mar-2019","328.55","331.40","326.25","327.80","3,827,846"
"27-Mar-2019","331.00","333.00","320.40","322.50","5,364,208"
"28-Mar-2019","322.60","333.00","317.75","329.95","12,272,355"
"29-Mar-2019","331.00","336.35","329.00","333.10","4,459,756"
"01-Apr-2019","333.90","344.95","333.20","340.80","6,381,272"
"02-Apr-2019","343.00","359.00","343.00","356.45","20,054,316"
"03-Apr-2019","356.00","363.00","347.50","350.00","11,041,131"
"04-Apr-2019","352.00","359.50","352.00","356.80","10,966,638"
"05-Apr-2019","358.60","359.75","353.55","356.65","3,359,951"
"08-Apr-2019","358.40","363.80","352.55","354.95","5,097,675"
"09-Apr-2019","358.55","361.00","341.50","351.60","9,079,248"
"10-Apr-2019","350.80","354.40","338.00","340.00","4,289,454"
"11-Apr-2019","341.70","351.25","337.15","346.35","16,393,215"
"12-Apr-2019","347.00","350.35","339.00","341.95","7,525,281"
