"Date","Open","High","Low","Close","Volume"
"01-Jan-2019","38.00","38.10","37.10","37.75","8,804,237"
"02-Jan-2019","37.95","37.95","36.50","36.75","10,619,192"
"03-Jan-2019","35.75","36.30","34.85","36.10","23,707,290"
"04-Jan-2019","36.10","36.55","35.60","36.20","12,761,684"
"07-Jan-2019","36.60","36.95","36.40","36.65","8,261,827"
"08-Jan-2019","36.50","37.30","36.25","36.95","9,699,415"
"09-Jan-2019","37.00","37.40","36.40","36.95","11,329,866"
"10-Jan-2019","37.00","37.60","36.80","37.10","10,158,441"
"11-Jan-2019","37.05","37.30","36.55","36.90","8,296,822"
"14-Jan-2019","37.00","37.00","35.60","35.95","10,557,786"
"15-Jan-2019","35.95","36.45","35.65","36.25","9,633,897"
"16-Jan-2019","36.35","36.95","36.10","36.40","8,866,060"
"17-Jan-2019","36.40","37.15","36.00","36.95","14,915,441"
"18-Jan-2019","37.00","37.00","34.35","35.20","28,861,742"
"21-Jan-2019","35.20","35.45","32.40","32.85","39,629,370"
"22-Jan-2019","32.75","33.70","32.60","33.50","19,391,011"
"23-Jan-2019","33.70","34.50","33.30","33.90","12,749,248"
"24-Jan-2019","34.45","35.20","33.25","34.05","33,984,041"
"25-Jan-2019","33.80","34.20","32.25","32.85","23,369,945"
"28-Jan-2019","32.80","32.80","28.45","31.05","29,488,750"
"29-Jan-2019","31.05","32.55","30.05","30.70","30,827,964"
"30-Jan-2019","30.90","31.40","30.20","30.55","16,496,180"
"31-Jan-2019","30.75","31.10","29.60","30.10","28,745,767"
"01-Feb-2019","30.30","31.40","30.15","30.90","16,952,172"
"04-Feb-2019","30.95","31.00","29.40","30.05","18,195,808"
"05-Feb-2019","29.95","30.65","29.25","30.45","21,969,460"
"06-Feb-2019","30.40","30.40","28.80","30.00","26,312,052"
"07-Feb-2019","29.50","32.95","29.30","32.00","52,968,537"
"08-Feb-2019","32.00","32.00","29.70","30.55","25,029,547"
"11-Feb-2019","30.70","32.00","29.60","31.15","21,953,351"
"12-Feb-2019","30.95","30.95","29.50","29.75","18,874,742"
"13-Feb-2019","29.80","30.70","29.60","30.45","18,041,785"
"14-Feb-2019","30.45","31.95","29.80","31.65","19,281,097"
"15-Feb-2019","31.35","31.35","29.75","30.00","24,591,355"
"18-Feb-2019","30.40","30.90","29.80","30.65","14,830,413"
"19-Feb-2019","30.45","31.20","29.85","30.30","19,853,761"
"20-Feb-2019","30.30","30.90","29.95","30.60","20,088,894"
"21-Feb-2019","30.55","31.20","30.25","31.00","31,409,768"
"22-Feb-2019","31.20","31.40","30.15","30.35","22,884,636"
"25-Feb-2019","30.30","31.00","30.20","30.50","22,358,483"
"26-Feb-2019","30.20","30.40","29.20","29.80","21,505,100"
"27-Feb-2019","30.00","30.55","29.40","29.55","17,311,465"
"28-Feb-2019","29.60","30.35","29.55","29.90","41,149,906"
"01-Mar-2019","30.40","30.45","29.60","29.90","26,998,236"
"05-Mar-2019","29.90","30.50","29.60","29.80","29,582,471"
"06-Mar-2019","30.00","31.90","29.90","31.25","57,451,040"
"07-Mar-2019","31.60","33.10","31.30","32.00","65,578,537"
"08-Mar-2019","32.00","32.75","31.70","32.55","29,618,241"
"11-Mar-2019","32.75","34.70","32.60","34.20","45,781,308"
"12-Mar-2019","34.50","34.75","33.65","34.20","38,704,735"
"13-Mar-2019","34.45","35.30","33.45","33.95","55,338,105"
"14-Mar-2019","34.00","34.40","33.50","33.80","17,333,321"
"15-Mar-2019","33.95","34.25","33.65","33.95","16,314,084"
"18-Mar-2019","33.95","34.10","32.00","32.30","20,636,664"
"19-Mar-2019","32.35","32.60","31.20","32.05","23,389,654"
"20-Mar-2019","32.00","33.50","29.60","33.10","129,865,468"
"22-Mar-2019","33.10","33.30","31.90","32.20","48,213,547"
"25-Mar-2019","32.10","32.10","30.05","30.25","53,420,175"
"26-Mar-2019","30.25","30.45","29.35","29.60","40,285,463"
"27-Mar-2019","29.25","29.55","28.30","28.50","52,581,755"
"28-Mar-2019","28.55","30.00","28.25","29.00","125,366,309"
"29-Mar-2019","17.95","20.45","17.75","18.25","213,974,377"
"01-Apr-2019","18.25","18.25","17.65","17.75","44,374,809"
