DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"1,222.00","1,236.80","1,208.15","1,218.50","1,225.00","1,231.10","1,224.39","1,621.40","995.65",1717204,"2,10,25,35,524.55",64030
30-Dec-2024,EQ,"1,233.75","1,258.80","1,212.00","1,230.70","1,226.90","1,218.50","1,227.73","1,621.40","995.65",8312636,"10,20,56,74,952.30",135478
27-Dec-2024,EQ,"1,248.45","1,250.95","1,225.75","1,243.95","1,232.55","1,230.70","1,238.76","1,621.40","995.65",2595142,"3,21,47,69,129.40",82963
26-Dec-2024,EQ,"1,187.00","1,249.00","1,182.55","1,182.20","1,243.95","1,243.95","1,224.24","1,621.40","995.65",3827047,"4,68,52,36,771.35",132311
24-Dec-2024,EQ,"1,198.00","1,203.10","1,180.00","1,191.80","1,182.00","1,182.20","1,188.44","1,621.40","995.65",1380778,"1,64,09,69,410.40",60997
23-Dec-2024,EQ,"1,189.95","1,199.00","1,174.25","1,182.45","1,191.50","1,191.80","1,188.66","1,621.40","995.65",1540796,"1,83,14,79,496.05",67782
20-Dec-2024,EQ,"1,205.00","1,215.90","1,176.20","1,205.00","1,181.30","1,182.45","1,193.70","1,621.40","989.25",3045185,"3,63,50,49,688.20",98212
19-Dec-2024,EQ,"1,187.50","1,209.00","1,185.00","1,210.05","1,204.00","1,205.00","1,201.74","1,621.40","989.25",1541271,"1,85,22,14,173.85",65159
18-Dec-2024,EQ,"1,236.00","1,238.90","1,207.25","1,231.90","1,210.90","1,210.05","1,216.75","1,621.40","989.25",1931870,"2,35,06,08,193.15",73020
17-Dec-2024,EQ,"1,235.10","1,259.50","1,229.05","1,243.15","1,232.40","1,231.90","1,244.69","1,621.40","989.25",2684726,"3,34,16,38,505.50",82277
16-Dec-2024,EQ,"1,258.00","1,261.85","1,240.95","1,259.95","1,242.50","1,243.15","1,247.01","1,621.40","989.25",1337624,"1,66,80,24,373.20",63737
13-Dec-2024,EQ,"1,241.95","1,262.00","1,230.00","1,244.00","1,259.70","1,259.95","1,250.10","1,621.40","989.25",2818291,"3,52,31,40,695.35",100455
12-Dec-2024,EQ,"1,233.80","1,268.00","1,223.45","1,233.80","1,244.15","1,244.00","1,250.42","1,621.40","989.25",5457302,"6,82,39,01,275.20",150445
11-Dec-2024,EQ,"1,254.10","1,258.35","1,230.75","1,248.75","1,231.95","1,233.80","1,239.73","1,621.40","989.25",2595435,"3,21,76,49,465.20",95424
10-Dec-2024,EQ,"1,272.90","1,272.90","1,244.40","1,266.85","1,252.00","1,248.75","1,252.71","1,621.40","989.25",2406907,"3,01,51,60,752.75",79731
09-Dec-2024,EQ,"1,257.80","1,277.55","1,249.00","1,259.05","1,266.35","1,266.85","1,265.94","1,621.40","989.25",2849557,"3,60,73,80,426.75",94096
06-Dec-2024,EQ,"1,279.00","1,282.50","1,256.10","1,277.05","1,257.80","1,259.05","1,267.45","1,621.40","858.50",2232531,"2,82,96,27,377.85",80008
05-Dec-2024,EQ,"1,274.00","1,284.80","1,254.20","1,269.55","1,275.40","1,277.05","1,272.31","1,621.40","858.50",4369917,"5,55,98,89,531.10",162308
04-Dec-2024,EQ,"1,301.00","1,301.00","1,262.00","1,288.65","1,267.80","1,269.55","1,276.40","1,621.40","858.50",4874025,"6,22,12,25,413.60",158425
03-Dec-2024,EQ,"1,226.95","1,309.50","1,220.00","1,215.80","1,287.00","1,288.65","1,280.12","1,621.40","858.50",16753958,"21,44,71,21,858.75",387986
02-Dec-2024,EQ,"1,201.90","1,220.90","1,189.40","1,190.05","1,215.50","1,215.80","1,204.75","1,621.40","858.50",6941125,"8,36,22,94,291.90",193832
29-Nov-2024,EQ,"1,175.00","1,215.60","1,168.90","1,167.60","1,187.50","1,190.05","1,189.48","1,621.40","806.00",9412850,"11,19,63,71,039.30",237926
28-Nov-2024,EQ,"1,196.65","1,226.90","1,163.15","1,199.95","1,169.55","1,167.60","1,193.73","1,621.40","806.00",15602469,"18,62,51,37,899.45",389745
27-Nov-2024,EQ,"1,102.00","1,231.70","1,102.00","1,128.85","1,195.50","1,199.95","1,177.88","1,621.40","806.00",24434211,"28,78,05,75,885.25",499104
26-Nov-2024,EQ,"1,172.05","1,174.45","1,119.35","1,166.80","1,131.50","1,128.85","1,138.13","1,621.40","806.00",5802555,"6,60,40,66,104.80",186664
25-Nov-2024,EQ,"1,185.00","1,191.40","1,139.70","1,136.75","1,163.15","1,166.80","1,166.94","1,621.40","806.00",10532688,"12,29,09,89,343.60",307565
22-Nov-2024,EQ,"1,072.60","1,155.90","1,054.00","1,114.65","1,138.00","1,136.75","1,108.59","1,621.40","785.00",27086168,"30,02,74,76,076.45",671336
21-Nov-2024,EQ,"1,160.70","1,160.70","995.65","1,289.65","1,119.05","1,114.65","1,080.76","1,621.40","785.00",46926687,"50,71,63,19,514.70",848188
19-Nov-2024,EQ,"1,285.00","1,321.45","1,282.00","1,279.30","1,287.20","1,289.65","1,304.76","1,621.40","785.00",2631778,"3,43,38,51,541.55",90392
18-Nov-2024,EQ,"1,264.00","1,288.90","1,261.30","1,264.55","1,279.20","1,279.30","1,275.75","1,621.40","785.00",1445637,"1,84,42,72,542.35",95416
14-Nov-2024,EQ,"1,289.95","1,296.65","1,260.65","1,287.90","1,264.95","1,264.55","1,272.67","1,621.40","785.00",2963013,"3,77,09,32,012.10",152378
13-Nov-2024,EQ,"1,322.00","1,329.25","1,284.85","1,326.00","1,287.35","1,287.90","1,301.38","1,621.40","785.00",1437072,"1,87,01,77,239.25",94055
12-Nov-2024,EQ,"1,348.05","1,354.80","1,320.00","1,347.90","1,321.00","1,326.00","1,338.08","1,621.40","785.00",1038042,"1,38,89,87,641.85",68992
11-Nov-2024,EQ,"1,355.10","1,357.95","1,339.05","1,362.10","1,342.75","1,347.90","1,348.28","1,621.40","785.00",1269498,"1,71,16,38,901.85",74074
08-Nov-2024,EQ,"1,353.10","1,367.30","1,338.60","1,353.10","1,351.95","1,362.10","1,354.50","1,621.40","785.00",1400491,"1,89,69,71,997.50",71278
07-Nov-2024,EQ,"1,372.95","1,372.95","1,350.00","1,370.00","1,351.00","1,353.10","1,357.38","1,621.40","785.00",1292794,"1,75,48,11,192.90",73071
06-Nov-2024,EQ,"1,330.00","1,382.00","1,315.20","1,329.35","1,372.20","1,370.00","1,348.32","1,621.40","785.00",3645515,"4,91,53,15,246.10",103850
05-Nov-2024,EQ,"1,350.00","1,353.05","1,295.90","1,349.25","1,329.00","1,329.35","1,316.11","1,621.40","785.00",4852958,"6,38,70,25,885.50",186297
04-Nov-2024,EQ,"1,394.20","1,395.00","1,336.00","1,394.40","1,349.00","1,349.25","1,351.15","1,621.40","785.00",1700308,"2,29,73,74,190.50",102642
01-Nov-2024,EQ,"1,386.50","1,397.95","1,378.40","1,375.95","1,394.10","1,394.40","1,393.15","1,621.40","767.20",243881,"33,97,61,791.80",13788
31-Oct-2024,EQ,"1,407.95","1,408.00","1,372.10","1,396.20","1,376.00","1,375.95","1,381.31","1,621.40","767.20",1891761,"2,61,31,17,369.65",76316
30-Oct-2024,EQ,"1,379.95","1,414.90","1,358.05","1,372.70","1,393.50","1,396.20","1,396.56","1,621.40","767.20",2526884,"3,52,89,34,693.50",88072
