DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Dec-2023,EQ,"519.45","520.00","498.00","516.95","507.00","505.70","505.10","589.45","132.40",9267133,"4,68,07,82,589.30",125779
12-Dec-2023,EQ,"527.65","529.00","512.10","526.15","517.65","516.95","521.01","589.45","132.40",5130118,"2,67,28,41,084.05",85556
11-Dec-2023,EQ,"535.00","539.70","515.10","533.80","523.50","526.15","527.81","589.45","132.40",9890200,"5,22,01,66,542.05",117842
08-Dec-2023,EQ,"566.00","570.00","517.50","562.40","535.85","533.80","542.97","589.45","132.40",16500676,"8,95,94,29,002.45",258749
07-Dec-2023,EQ,"567.95","574.70","552.35","560.45","562.25","562.40","563.29","589.45","132.40",16013868,"9,02,05,16,517.00",219760
06-Dec-2023,EQ,"545.00","589.45","539.00","538.15","565.00","560.45","568.21","589.45","132.40",46431996,"26,38,29,04,677.95",607884
05-Dec-2023,EQ,"463.00","545.80","456.00","464.70","535.95","538.15","508.41","545.80","132.40",59296372,"30,14,69,54,790.70",574470
04-Dec-2023,EQ,"494.00","494.00","458.50","440.40","464.55","464.70","468.72","494.00","132.40",15084875,"7,07,06,09,323.80",186180
01-Dec-2023,EQ,"437.00","454.80","435.35","431.50","439.90","440.40","445.71","470.80","132.40",13761200,"6,13,35,27,846.25",158299
30-Nov-2023,EQ,"433.00","436.60","417.10","433.10","434.00","431.50","425.78","470.80","132.40",11540019,"4,91,34,81,145.75",143734
29-Nov-2023,EQ,"456.70","470.80","426.80","446.20","431.80","433.10","450.05","470.80","132.40",44215572,"19,89,91,38,576.90",376326
28-Nov-2023,EQ,"407.00","464.40","407.00","397.20","447.90","446.20","440.40","464.40","132.40",67482614,"29,71,92,54,640.20",536569
24-Nov-2023,EQ,"382.70","400.80","380.30","381.70","398.70","397.20","392.02","409.70","132.40",9134805,"3,58,10,65,936.90",79972
23-Nov-2023,EQ,"388.30","390.50","380.05","387.20","381.40","381.70","385.03","409.70","132.40",2759240,"1,06,23,76,930.65",38074
22-Nov-2023,EQ,"392.50","395.50","385.15","392.50","386.70","387.20","389.82","409.70","132.40",10626256,"4,14,23,22,064.10",60480
