DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"4,550.00","4,582.45","4,468.10","4,524.45","4,476.00","4,477.60","4,507.61","5,141.50","3,361.55",348965,"1,57,29,98,105.65",33174
29-Dec-2022,EQ,"4,588.65","4,610.00","4,478.50","4,588.65","4,533.00","4,524.45","4,529.30","5,141.50","3,361.55",530411,"2,40,23,89,502.30",40716
28-Dec-2022,EQ,"4,652.00","4,679.60","4,582.00","4,643.80","4,585.60","4,588.65","4,612.97","5,141.50","3,361.55",313366,"1,44,55,47,480.30",39912
27-Dec-2022,EQ,"4,685.00","4,712.70","4,625.65","4,684.05","4,647.90","4,643.80","4,659.52","5,141.50","3,361.55",226485,"1,05,53,11,893.30",22309
26-Dec-2022,EQ,"4,723.70","4,740.00","4,652.50","4,700.15","4,680.00","4,684.05","4,696.22","5,141.50","3,361.55",247357,"1,16,16,42,684.60",21801
23-Dec-2022,EQ,"4,765.70","4,805.00","4,686.35","4,781.70","4,725.00","4,700.15","4,752.87","5,141.50","3,361.55",473498,"2,25,04,73,766.95",39852
22-Dec-2022,EQ,"4,795.00","4,848.80","4,725.00","4,766.20","4,779.00","4,781.70","4,791.89","5,141.50","3,361.55",902304,"4,32,37,39,472.95",75677
21-Dec-2022,EQ,"4,610.80","4,788.45","4,602.20","4,596.65","4,750.00","4,766.20","4,719.11","5,141.50","3,361.55",877375,"4,14,04,32,214.70",87500
20-Dec-2022,EQ,"4,610.35","4,616.45","4,540.25","4,610.45","4,600.00","4,596.65","4,579.79","5,141.50","3,361.55",282355,"1,29,31,27,244.85",47526
19-Dec-2022,EQ,"4,600.00","4,620.00","4,521.05","4,565.15","4,620.00","4,610.45","4,569.79","5,141.50","3,361.55",308464,"1,40,96,16,671.65",31748
16-Dec-2022,EQ,"4,638.00","4,638.00","4,551.70","4,642.90","4,560.00","4,565.15","4,587.77","5,329.00","3,361.55",342890,"1,57,30,99,452.15",30453
15-Dec-2022,EQ,"4,679.95","4,686.60","4,627.65","4,666.15","4,635.00","4,642.90","4,652.41","5,329.00","3,361.55",316614,"1,47,30,17,929.40",41456
14-Dec-2022,EQ,"4,712.00","4,712.00","4,656.60","4,678.85","4,660.00","4,666.15","4,674.24","5,329.00","3,361.55",356293,"1,66,53,99,087.60",37883
13-Dec-2022,EQ,"4,746.00","4,761.35","4,661.30","4,742.30","4,682.00","4,678.85","4,693.77","5,329.00","3,361.55",363818,"1,70,76,76,392.55",47295
12-Dec-2022,EQ,"4,677.00","4,756.00","4,630.00","4,685.10","4,746.00","4,742.30","4,696.68","5,329.00","3,361.55",445259,"2,09,12,39,439.95",38165
09-Dec-2022,EQ,"4,728.00","4,735.95","4,675.25","4,704.50","4,676.65","4,685.10","4,702.78","5,468.00","3,361.55",271785,"1,27,81,45,307.50",30380
08-Dec-2022,EQ,"4,738.00","4,777.85","4,681.40","4,727.40","4,712.15","4,704.50","4,717.00","5,468.00","3,361.55",336491,"1,58,72,27,583.75",32386
07-Dec-2022,EQ,"4,804.70","4,815.00","4,710.90","4,788.05","4,719.60","4,727.40","4,753.90","5,468.00","3,361.55",354913,"1,68,72,21,996.50",26925
06-Dec-2022,EQ,"4,770.35","4,800.00","4,715.00","4,778.35","4,795.00","4,788.05","4,753.35","5,468.00","3,361.55",354855,"1,68,67,51,336.15",39899
05-Dec-2022,EQ,"4,885.00","4,901.95","4,766.95","4,871.45","4,775.00","4,778.35","4,816.40","5,468.00","3,361.55",684834,"3,29,84,37,241.40",58080
02-Dec-2022,EQ,"4,771.00","4,882.95","4,743.05","4,775.70","4,864.90","4,871.45","4,833.04","5,858.00","3,361.55",996306,"4,81,51,88,878.40",62846
01-Dec-2022,EQ,"4,765.00","4,794.00","4,701.05","4,726.40","4,770.00","4,775.70","4,763.39","5,858.00","3,361.55",611403,"2,91,23,48,292.60",53905
30-Nov-2022,EQ,"4,719.20","4,760.10","4,642.60","4,719.20","4,729.95","4,726.40","4,695.45","5,858.00","3,361.55",1113421,"5,22,80,11,510.55",75271
29-Nov-2022,EQ,"4,725.00","4,842.00","4,707.65","4,721.85","4,712.60","4,719.20","4,771.66","5,858.00","3,361.55",910558,"4,34,48,68,888.90",64160
28-Nov-2022,EQ,"4,761.00","4,768.85","4,683.25","4,789.45","4,720.00","4,721.85","4,718.22","5,858.00","3,361.55",598162,"2,82,22,61,120.65",48672
25-Nov-2022,EQ,"4,815.00","4,885.00","4,751.05","4,815.05","4,788.70","4,789.45","4,821.18","5,935.40","3,361.55",1069669,"5,15,70,61,775.35",69595
24-Nov-2022,EQ,"4,630.00","4,833.00","4,614.00","4,605.20","4,815.00","4,815.05","4,759.71","5,935.40","3,361.55",1822610,"8,67,50,91,458.15",113368
23-Nov-2022,EQ,"4,482.30","4,616.15","4,448.00","4,469.80","4,610.00","4,605.20","4,564.53","5,935.40","3,361.55",799422,"3,64,89,82,208.35",66636
22-Nov-2022,EQ,"4,420.95","4,480.00","4,380.00","4,418.85","4,479.00","4,469.80","4,436.44","5,935.40","3,361.55",310657,"1,37,82,11,459.95",30305
21-Nov-2022,EQ,"4,403.95","4,440.00","4,341.00","4,399.15","4,404.05","4,418.85","4,397.57","5,935.40","3,361.55",336664,"1,48,05,04,985.00",30724
18-Nov-2022,EQ,"4,430.00","4,449.00","4,320.00","4,400.30","4,387.95","4,399.15","4,374.59","5,935.40","3,361.55",385705,"1,68,73,02,951.35",37936
