DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"3,251.00","3,251.00","3,175.55","3,251.95","3,180.00","3,185.00","3,208.49","3,289.00","2,442.20",526252,"1,68,84,74,271.40",25841
30-Dec-2019,EQ,"3,240.00","3,260.00","3,229.05","3,241.95","3,258.00","3,251.95","3,243.73","3,289.00","2,442.20",332557,"1,07,87,24,005.25",15771
27-Dec-2019,EQ,"3,221.25","3,258.00","3,220.50","3,230.05","3,243.05","3,241.95","3,235.26","3,289.00","2,442.20",211224,"68,33,65,071.70",14307
26-Dec-2019,EQ,"3,226.00","3,239.00","3,204.00","3,226.75","3,216.65","3,230.05","3,223.08","3,289.00","2,442.20",241386,"77,80,07,290.55",16448
24-Dec-2019,EQ,"3,220.00","3,235.00","3,210.00","3,219.50","3,223.70","3,226.75","3,226.76","3,289.00","2,442.20",172853,"55,77,55,442.75",13673
23-Dec-2019,EQ,"3,205.00","3,225.00","3,184.50","3,203.75","3,223.95","3,219.50","3,209.79","3,289.00","2,442.20",242195,"77,73,95,055.50",18149
20-Dec-2019,EQ,"3,232.00","3,239.80","3,197.60","3,218.40","3,203.00","3,203.75","3,214.60","3,289.00","2,442.20",304173,"97,77,93,773.75",24127
19-Dec-2019,EQ,"3,206.00","3,232.00","3,182.00","3,213.65","3,221.00","3,218.40","3,214.07","3,289.00","2,442.20",409369,"1,31,57,41,163.80",32028
18-Dec-2019,EQ,"3,199.05","3,220.00","3,192.20","3,199.10","3,215.50","3,213.65","3,208.98","3,289.00","2,442.20",315871,"1,01,36,23,194.80",28760
17-Dec-2019,EQ,"3,225.00","3,231.70","3,194.40","3,220.40","3,199.00","3,199.10","3,206.82","3,289.00","2,442.20",336920,"1,08,04,41,684.60",27184
16-Dec-2019,EQ,"3,234.50","3,280.00","3,213.15","3,232.90","3,220.00","3,220.40","3,244.49","3,289.00","2,442.20",376835,"1,22,26,38,389.10",21878
13-Dec-2019,EQ,"3,274.90","3,274.90","3,220.25","3,261.45","3,229.80","3,232.90","3,239.82","3,289.00","2,442.20",360095,"1,16,66,44,738.75",23854
12-Dec-2019,EQ,"3,276.30","3,283.30","3,256.60","3,268.65","3,258.00","3,261.45","3,267.88","3,289.00","2,442.20",263581,"86,13,51,688.20",26125
11-Dec-2019,EQ,"3,240.15","3,274.85","3,220.05","3,232.50","3,267.65","3,268.65","3,251.25","3,289.00","2,442.20",327568,"1,06,50,04,006.05",30789
10-Dec-2019,EQ,"3,230.00","3,240.00","3,211.25","3,225.55","3,229.00","3,232.50","3,225.14","3,289.00","2,442.20",278890,"89,94,59,318.15",23116
09-Dec-2019,EQ,"3,223.90","3,239.85","3,202.30","3,206.10","3,220.40","3,225.55","3,226.44","3,289.00","2,442.20",217098,"70,04,52,830.90",20521
06-Dec-2019,EQ,"3,243.10","3,258.00","3,193.10","3,243.10","3,210.00","3,206.10","3,220.84","3,289.00","2,442.20",275871,"88,85,35,252.20",16415
05-Dec-2019,EQ,"3,240.00","3,286.40","3,225.85","3,251.15","3,230.00","3,243.10","3,262.83","3,289.00","2,442.20",692533,"2,25,96,15,288.70",38180
04-Dec-2019,EQ,"3,259.75","3,278.00","3,228.00","3,259.75","3,250.00","3,251.15","3,251.36","3,289.00","2,442.20",458892,"1,49,20,25,057.20",25795
03-Dec-2019,EQ,"3,167.00","3,270.00","3,167.00","3,159.25","3,258.00","3,259.75","3,229.40","3,289.00","2,442.20",864612,"2,79,21,76,535.05",46079
02-Dec-2019,EQ,"3,163.10","3,217.40","3,142.05","3,176.00","3,162.45","3,159.25","3,171.94","3,289.00","2,442.20",474666,"1,50,56,10,064.25",38843
29-Nov-2019,EQ,"3,186.00","3,196.00","3,147.10","3,196.40","3,178.85","3,176.00","3,168.89","3,289.00","2,442.20",203765,"64,57,08,462.80",23629
