DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"8,949.00","9,030.00","8,840.00","8,961.70","8,885.40","8,906.35","8,930.62","9,950.00","3,985.30",476050,"4,25,14,20,019.05",39943
30-Dec-2020,EQ,"9,000.00","9,020.95","8,921.00","8,976.05","8,954.00","8,961.70","8,971.45","9,950.00","3,985.30",491074,"4,40,56,47,097.65",42488
29-Dec-2020,EQ,"9,040.10","9,056.10","8,897.45","8,995.05","8,980.00","8,976.05","8,978.21","9,950.00","3,985.30",406601,"3,65,05,51,162.60",38836
28-Dec-2020,EQ,"9,064.65","9,115.00","8,965.00","8,992.55","8,986.70","8,995.05","9,035.67","9,950.00","3,985.30",344994,"3,11,72,50,457.90",36833
24-Dec-2020,EQ,"9,083.60","9,123.95","8,964.10","9,013.25","8,985.40","8,992.55","9,028.01","9,950.00","3,985.30",498397,"4,49,95,30,937.60",46597
23-Dec-2020,EQ,"8,900.00","9,140.00","8,880.00","8,938.85","9,006.10","9,013.25","9,029.22","9,950.00","3,985.30",575454,"5,19,59,01,412.15",51139
22-Dec-2020,EQ,"8,850.00","8,963.80","8,621.20","8,846.75","8,920.00","8,938.85","8,800.83","9,950.00","3,985.30",783296,"6,89,36,52,466.60",78365
21-Dec-2020,EQ,"9,189.00","9,245.00","8,569.65","9,215.60","8,795.00","8,846.75","9,006.53","9,950.00","3,985.30",713285,"6,42,42,21,745.10",68185
18-Dec-2020,EQ,"9,249.90","9,315.00","9,125.00","9,294.10","9,216.80","9,215.60","9,218.66","9,950.00","3,985.30",480333,"4,42,80,24,522.15",47619
17-Dec-2020,EQ,"9,257.70","9,399.90","9,208.00","9,257.70","9,281.00","9,294.10","9,308.28","9,950.00","3,985.30",550738,"5,12,64,25,024.35",50357
16-Dec-2020,EQ,"9,369.60","9,450.00","9,212.00","9,296.95","9,250.00","9,257.70","9,326.68","9,950.00","3,985.30",761170,"7,09,91,91,525.65",59184
15-Dec-2020,EQ,"8,925.00","9,338.90","8,870.00","8,933.50","9,307.00","9,296.95","9,141.29","9,950.00","3,985.30",1124527,"10,27,96,27,140.85",90858
14-Dec-2020,EQ,"9,066.80","9,066.80","8,895.15","8,995.05","8,914.90","8,933.50","8,971.83","9,950.00","3,985.30",444884,"3,99,14,24,674.95",48185
11-Dec-2020,EQ,"9,067.00","9,139.00","8,951.00","9,028.85","8,989.05","8,995.05","9,051.85","9,950.00","3,985.30",551456,"4,99,16,97,453.45",45297
10-Dec-2020,EQ,"9,010.65","9,074.00","8,939.00","9,010.65","9,033.70","9,028.85","9,010.16","9,950.00","3,985.30",466726,"4,20,52,75,996.05",36919
09-Dec-2020,EQ,"9,013.80","9,075.00","8,951.00","8,969.40","9,016.00","9,010.65","9,009.89","9,950.00","3,985.30",451818,"4,07,08,28,924.25",42642
08-Dec-2020,EQ,"9,056.00","9,080.00","8,901.00","9,051.95","8,965.00","8,969.40","8,987.74","9,950.00","3,985.30",583147,"5,24,11,71,097.45",53776
07-Dec-2020,EQ,"9,064.00","9,129.00","8,955.60","9,052.45","9,030.00","9,051.95","9,037.66","9,950.00","3,985.30",707405,"6,39,32,87,076.85",69830
04-Dec-2020,EQ,"9,159.00","9,234.50","8,970.00","9,114.05","9,052.00","9,052.45","9,109.54","9,950.00","3,985.30",1062443,"9,67,83,64,709.00",78634
03-Dec-2020,EQ,"8,831.00","9,191.20","8,811.10","8,802.20","9,139.00","9,114.05","9,010.53","9,950.00","3,985.30",1437048,"12,94,85,59,450.00",106935
02-Dec-2020,EQ,"8,750.00","8,879.50","8,661.65","8,746.55","8,788.50","8,802.20","8,766.95","9,950.00","3,985.30",884969,"7,75,84,81,201.00",74456
01-Dec-2020,EQ,"8,800.00","8,828.85","8,712.65","8,758.80","8,728.00","8,746.55","8,765.70","9,950.00","3,985.30",694283,"6,08,58,73,372.05",56244
27-Nov-2020,EQ,"8,844.95","8,934.45","8,680.00","8,806.70","8,712.00","8,758.80","8,824.35","9,950.00","3,985.30",1419350,"12,52,48,42,310.15",90546
26-Nov-2020,EQ,"8,740.00","8,842.00","8,671.00","8,717.75","8,831.00","8,806.70","8,750.65","9,950.00","3,985.30",1262234,"11,04,53,71,931.30",117742
