DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"6,550.00","6,719.90","6,515.00","6,510.90","6,577.00","6,575.20","6,634.90","8,045.00","5,220.00",1520266,"10,08,68,10,491.50",126767
29-Dec-2022,EQ,"6,440.00","6,520.50","6,402.40","6,476.10","6,511.00","6,510.90","6,452.85","8,045.00","5,220.00",521880,"3,36,76,15,029.45",49070
28-Dec-2022,EQ,"6,475.00","6,570.00","6,464.05","6,504.70","6,469.00","6,476.10","6,514.78","8,045.00","5,220.00",755934,"4,92,47,41,661.80",80800
27-Dec-2022,EQ,"6,466.00","6,530.00","6,430.00","6,433.70","6,505.00","6,504.70","6,481.84","8,045.00","5,220.00",781035,"5,06,25,40,584.90",75243
26-Dec-2022,EQ,"6,374.65","6,469.90","6,300.00","6,374.60","6,422.00","6,433.70","6,410.31","8,045.00","5,220.00",530535,"3,40,08,91,885.90",59844
23-Dec-2022,EQ,"6,450.00","6,466.00","6,340.05","6,490.65","6,369.95","6,374.60","6,384.02","8,045.00","5,220.00",994303,"6,34,76,49,039.65",111829
22-Dec-2022,EQ,"6,570.00","6,575.00","6,407.00","6,526.70","6,480.00","6,490.65","6,481.06","8,045.00","5,220.00",849706,"5,50,69,99,424.00",87741
21-Dec-2022,EQ,"6,693.90","6,693.90","6,505.00","6,642.85","6,528.30","6,526.70","6,586.41","8,045.00","5,220.00",622390,"4,09,93,17,815.35",62384
20-Dec-2022,EQ,"6,660.00","6,698.85","6,585.00","6,687.00","6,641.00","6,642.85","6,634.40","8,045.00","5,220.00",607716,"4,03,18,33,348.05",66716
19-Dec-2022,EQ,"6,600.10","6,705.00","6,597.00","6,596.90","6,692.00","6,687.00","6,669.64","8,045.00","5,220.00",659559,"4,39,90,24,004.90",59942
16-Dec-2022,EQ,"6,590.00","6,695.30","6,560.00","6,625.40","6,603.75","6,596.90","6,618.59","8,045.00","5,220.00",880233,"5,82,58,97,547.25",71007
15-Dec-2022,EQ,"6,632.00","6,714.00","6,604.00","6,655.20","6,610.00","6,625.40","6,663.51","8,045.00","5,220.00",857706,"5,71,53,28,963.70",75641
14-Dec-2022,EQ,"6,658.00","6,688.55","6,626.60","6,620.10","6,642.00","6,655.20","6,658.17","8,045.00","5,220.00",678283,"4,51,61,23,562.85",53483
13-Dec-2022,EQ,"6,507.00","6,648.00","6,507.00","6,506.50","6,640.00","6,620.10","6,597.16","8,045.00","5,220.00",958636,"6,32,42,78,746.15",82711
12-Dec-2022,EQ,"6,508.10","6,539.00","6,392.00","6,517.45","6,504.50","6,506.50","6,474.24","8,045.00","5,220.00",1100048,"7,12,19,78,161.75",97958
09-Dec-2022,EQ,"6,602.50","6,618.00","6,490.00","6,581.95","6,515.00","6,517.45","6,543.77","8,045.00","5,220.00",1131292,"7,40,29,09,659.70",126258
08-Dec-2022,EQ,"6,680.00","6,680.00","6,560.00","6,625.20","6,584.00","6,581.95","6,594.05","8,045.00","5,220.00",1137784,"7,50,26,00,463.00",119652
07-Dec-2022,EQ,"6,724.95","6,724.95","6,601.00","6,698.55","6,626.20","6,625.20","6,643.20","8,045.00","5,220.00",961027,"6,38,42,98,331.55",131763
06-Dec-2022,EQ,"6,674.40","6,735.00","6,632.00","6,660.45","6,692.00","6,698.55","6,696.79","8,045.00","5,220.00",840980,"5,63,18,64,353.75",96565
05-Dec-2022,EQ,"6,674.55","6,699.00","6,632.00","6,675.75","6,661.00","6,660.45","6,664.69","8,045.00","5,220.00",1029250,"6,85,96,31,163.55",125387
02-Dec-2022,EQ,"6,730.20","6,741.95","6,647.00","6,747.75","6,672.00","6,675.75","6,677.14","8,045.00","5,220.00",1438602,"9,60,57,48,801.10",124812
01-Dec-2022,EQ,"6,754.60","6,770.00","6,707.00","6,720.95","6,748.00","6,747.75","6,741.47","8,045.00","5,220.00",981616,"6,61,75,39,453.45",78473
30-Nov-2022,EQ,"6,735.00","6,754.20","6,678.00","6,734.15","6,747.00","6,720.95","6,717.52","8,045.00","5,220.00",1482831,"9,96,09,53,558.45",91512
29-Nov-2022,EQ,"6,775.00","6,808.90","6,721.00","6,777.45","6,729.20","6,734.15","6,759.86","8,045.00","5,220.00",681860,"4,60,92,76,840.20",75473
28-Nov-2022,EQ,"6,729.00","6,832.80","6,728.55","6,747.50","6,775.00","6,777.45","6,790.44","8,045.00","5,220.00",604054,"4,10,17,90,655.45",57204
25-Nov-2022,EQ,"6,770.00","6,778.00","6,675.00","6,771.35","6,735.00","6,747.50","6,725.68","8,045.00","5,220.00",859058,"5,77,77,49,897.40",73917
24-Nov-2022,EQ,"6,813.95","6,839.85","6,737.30","6,780.05","6,784.00","6,771.35","6,783.34","8,045.00","5,220.00",754611,"5,11,87,83,058.40",69545
23-Nov-2022,EQ,"6,718.50","6,805.00","6,690.00","6,685.05","6,775.00","6,780.05","6,764.98","8,045.00","5,220.00",893667,"6,04,56,39,035.75",82032
22-Nov-2022,EQ,"6,680.25","6,727.75","6,660.30","6,679.10","6,696.00","6,685.05","6,696.29","8,045.00","5,220.00",958769,"6,42,01,98,903.60",91350
21-Nov-2022,EQ,"6,747.00","6,747.00","6,610.35","6,791.50","6,673.00","6,679.10","6,673.17","8,045.00","5,220.00",1071748,"7,15,19,59,118.80",113633
18-Nov-2022,EQ,"6,909.90","6,928.00","6,750.00","6,895.05","6,785.00","6,791.50","6,815.91","8,045.00","5,220.00",1327689,"9,04,94,14,101.65",117481
17-Nov-2022,EQ,"6,870.00","6,950.00","6,832.00","6,895.05","6,890.00","6,895.05","6,906.81","8,045.00","5,220.00",733944,"5,06,92,14,889.05",75732
16-Nov-2022,EQ,"7,011.00","7,034.85","6,852.60","7,025.75","6,875.00","6,895.05","6,929.20","8,045.00","5,220.00",1336204,"9,25,88,27,401.80",127141
15-Nov-2022,EQ,"7,035.15","7,062.40","6,981.00","7,025.80","7,029.00","7,025.75","7,015.91","8,045.00","5,220.00",719521,"5,04,80,91,994.60",49071
