DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"100.20","102.00","99.60","99.95","100.00","100.05","100.81","122.10","72.50",7489544,"75,50,10,284.10",21170
30-Dec-2019,EQ,"100.15","100.80","99.60","99.70","99.95","99.95","100.17","122.10","72.50",3192611,"31,98,18,002.20",10614
27-Dec-2019,EQ,"99.30","101.75","99.15","98.85","99.85","99.70","100.16","122.10","72.50",5869030,"58,78,29,618.55",20153
26-Dec-2019,EQ,"99.60","100.70","98.35","99.60","98.85","98.85","99.70","122.10","72.50",7508570,"74,85,95,055.05",14612
24-Dec-2019,EQ,"98.85","99.80","98.50","98.85","99.65","99.60","99.17","122.10","72.50",3678648,"36,48,21,454.10",10221
23-Dec-2019,EQ,"98.70","100.05","98.50","98.80","98.50","98.85","99.05","122.10","72.50",7620889,"75,48,60,757.05",19010
20-Dec-2019,EQ,"100.15","100.40","98.50","100.10","98.75","98.80","99.51","122.10","72.50",3373699,"33,57,24,415.65",11889
19-Dec-2019,EQ,"100.25","100.80","99.50","100.45","100.00","100.10","100.10","122.10","72.50",3386721,"33,90,27,195.00",10756
18-Dec-2019,EQ,"100.35","100.75","99.65","100.20","100.35","100.45","100.16","122.10","72.50",4468054,"44,75,11,769.00",14307
17-Dec-2019,EQ,"101.05","101.45","100.00","101.05","100.15","100.20","100.50","122.10","72.50",4131222,"41,51,72,892.45",13554
16-Dec-2019,EQ,"100.40","102.30","99.50","100.00","101.10","101.05","101.21","122.10","72.50",6408768,"64,86,17,435.60",19350
13-Dec-2019,EQ,"99.80","101.20","98.50","98.80","100.15","100.00","99.80","122.10","72.50",9430830,"94,12,09,044.15",26585
12-Dec-2019,EQ,"99.30","99.45","97.65","98.45","98.65","98.80","98.45","122.10","72.50",10863973,"1,06,95,97,356.40",25756
11-Dec-2019,EQ,"100.70","100.70","96.55","99.70","98.20","98.45","98.30","122.10","72.50",13284253,"1,30,58,68,342.25",62558
10-Dec-2019,EQ,"102.85","102.90","97.75","102.50","99.65","99.70","99.59","122.10","72.50",11855127,"1,18,06,24,580.25",48842
09-Dec-2019,EQ,"102.80","105.00","102.05","102.65","102.60","102.50","103.47","122.10","72.50",6051685,"62,61,69,527.80",44095
06-Dec-2019,EQ,"102.50","104.00","101.50","102.05","102.30","102.65","102.74","122.10","72.50",8264677,"84,91,44,559.65",30070
05-Dec-2019,EQ,"101.80","103.30","101.45","101.25","102.05","102.05","102.49","122.10","72.50",6357842,"65,16,32,909.60",38619
04-Dec-2019,EQ,"101.20","101.80","100.10","101.00","101.40","101.25","100.91","122.10","72.50",6137116,"61,92,89,677.05",15007
03-Dec-2019,EQ,"102.75","103.20","100.45","103.10","100.90","101.00","101.75","122.10","72.50",8674060,"88,25,55,649.35",26187
02-Dec-2019,EQ,"103.30","103.60","100.75","103.10","103.15","103.10","102.08","122.10","72.50",6728781,"68,68,62,112.00",26909
29-Nov-2019,EQ,"104.55","105.40","102.65","104.30","102.80","103.10","103.77","122.10","72.50",4887239,"50,71,44,982.10",28034
28-Nov-2019,EQ,"103.05","105.25","102.25","103.05","104.45","104.30","103.75","122.10","72.50",7479942,"77,60,77,502.05",23128
27-Nov-2019,EQ,"103.50","104.50","102.60","103.15","103.05","103.05","103.27","122.10","72.50",4265594,"44,05,26,835.90",18315
26-Nov-2019,EQ,"107.95","108.80","102.60","106.75","103.40","103.15","105.19","122.10","72.50",10620318,"1,11,72,03,575.70",40832
25-Nov-2019,EQ,"108.35","108.95","104.90","109.45","106.90","106.75","106.50","122.10","72.50",11095885,"1,18,17,25,239.30",115061
22-Nov-2019,EQ,"110.20","110.80","108.00","110.40","109.25","109.45","109.57","122.10","72.50",5757149,"63,08,19,221.10",19726
21-Nov-2019,EQ,"110.60","111.35","109.70","110.80","110.20","110.40","110.79","122.10","72.50",4077761,"45,17,95,028.85",19909
20-Nov-2019,EQ,"111.95","112.75","110.40","111.45","110.85","110.80","111.47","122.10","72.50",6944846,"77,41,24,079.85",22946
19-Nov-2019,EQ,"109.75","112.00","109.60","109.90","111.40","111.45","110.74","122.10","72.50",3983462,"44,11,37,912.40",21278
18-Nov-2019,EQ,"111.05","112.30","109.55","111.25","109.80","109.90","110.66","122.10","72.50",5911062,"65,40,88,615.75",22295
15-Nov-2019,EQ,"109.70","112.35","109.60","109.30","111.00","111.25","111.11","122.10","72.50",5362733,"59,58,35,759.30",29727
14-Nov-2019,EQ,"109.45","110.90","108.80","109.10","109.55","109.30","109.65","122.10","72.50",5999657,"65,78,32,729.65",27216
13-Nov-2019,EQ,"108.80","109.60","107.20","108.85","109.20","109.10","108.70","122.10","72.50",8986255,"97,67,99,924.70",38189
11-Nov-2019,EQ,"109.15","110.15","107.75","109.45","109.00","108.85","108.77","122.10","72.50",7434237,"80,86,31,020.40",40259
08-Nov-2019,EQ,"108.65","112.80","108.65","108.90","109.40","109.45","111.13","122.10","72.50",13385907,"1,48,76,21,677.75",60063
07-Nov-2019,EQ,"109.55","110.25","107.70","109.40","108.65","108.90","108.63","122.10","72.50",8715227,"94,67,08,808.10",46008
