DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"4,795.00","4,795.00","4,741.20","4,799.45","4,765.00","4,762.75","4,766.00","6,469.90","4,641.00",255918,"1,21,97,06,154.05",27702
30-Dec-2024,EQ,"4,759.70","4,818.00","4,738.00","4,769.30","4,781.00","4,799.45","4,781.91","6,469.90","4,641.00",271403,"1,29,78,23,915.20",28921
27-Dec-2024,EQ,"4,776.00","4,807.35","4,738.45","4,761.65","4,770.00","4,769.30","4,773.06","6,469.90","4,641.00",131505,"62,76,80,869.00",23779
26-Dec-2024,EQ,"4,754.90","4,797.10","4,708.00","4,744.10","4,754.20","4,761.65","4,759.89","6,469.90","4,641.00",398117,"1,89,49,94,132.80",30276
24-Dec-2024,EQ,"4,702.05","4,766.55","4,690.05","4,704.35","4,733.00","4,744.10","4,745.61","6,469.90","4,641.00",227672,"1,08,04,43,038.75",29471
23-Dec-2024,EQ,"4,705.00","4,735.00","4,663.80","4,698.10","4,706.00","4,704.35","4,703.32","6,469.90","4,641.00",332554,"1,56,41,06,548.20",33407
20-Dec-2024,EQ,"4,790.00","4,807.50","4,680.50","4,785.75","4,698.00","4,698.10","4,738.15","6,469.90","4,641.00",363168,"1,72,07,45,235.80",47047
19-Dec-2024,EQ,"4,750.00","4,803.80","4,725.65","4,782.65","4,786.25","4,785.75","4,773.11","6,469.90","4,641.00",247805,"1,18,28,00,190.80",47076
18-Dec-2024,EQ,"4,775.00","4,798.90","4,752.55","4,776.75","4,780.00","4,782.65","4,777.36","6,469.90","4,641.00",228821,"1,09,31,61,285.15",31395
17-Dec-2024,EQ,"4,816.50","4,839.90","4,765.15","4,846.50","4,775.00","4,776.75","4,790.92","6,469.90","4,641.00",312523,"1,49,72,73,058.85",46882
16-Dec-2024,EQ,"4,869.00","4,869.00","4,790.00","4,850.10","4,833.00","4,846.50","4,828.20","6,469.90","4,641.00",208757,"1,00,79,20,847.30",24460
13-Dec-2024,EQ,"4,824.00","4,863.10","4,773.00","4,828.35","4,845.00","4,850.10","4,820.00","6,469.90","4,641.00",284721,"1,37,23,56,002.90",39890
12-Dec-2024,EQ,"4,900.00","4,908.95","4,810.00","4,889.50","4,820.00","4,828.35","4,862.11","6,469.90","4,641.00",406271,"1,97,53,35,746.35",44859
11-Dec-2024,EQ,"4,808.00","4,915.00","4,793.25","4,787.25","4,888.00","4,889.50","4,874.72","6,469.90","4,641.00",358246,"1,74,63,48,194.30",41520
10-Dec-2024,EQ,"4,799.85","4,829.95","4,783.05","4,793.00","4,799.00","4,787.25","4,796.67","6,469.90","4,641.00",264213,"1,26,73,41,472.30",27905
09-Dec-2024,EQ,"4,844.95","4,855.90","4,750.05","4,870.85","4,798.00","4,793.00","4,787.68","6,469.90","4,641.00",467154,"2,23,65,84,812.10",53302
06-Dec-2024,EQ,"4,872.00","4,906.70","4,840.00","4,872.00","4,870.00","4,870.85","4,864.04","6,469.90","4,641.00",236965,"1,15,26,07,256.15",32599
05-Dec-2024,EQ,"4,860.00","4,893.00","4,805.60","4,851.55","4,864.00","4,872.00","4,848.11","6,469.90","4,641.00",526114,"2,55,06,56,380.40",86418
04-Dec-2024,EQ,"4,916.45","4,973.90","4,841.00","4,909.60","4,846.00","4,851.55","4,891.15","6,469.90","4,641.00",392107,"1,91,78,52,610.55",47678
03-Dec-2024,EQ,"4,899.55","4,919.80","4,875.85","4,907.25","4,910.00","4,909.60","4,901.41","6,469.90","4,641.00",289449,"1,41,87,08,505.90",43204
02-Dec-2024,EQ,"4,930.50","4,959.00","4,866.20","4,941.15","4,911.80","4,907.25","4,927.30","6,469.90","4,641.00",314800,"1,55,11,15,347.60",41537
29-Nov-2024,EQ,"4,880.00","4,955.95","4,880.00","4,923.65","4,939.00","4,941.15","4,935.10","6,469.90","4,626.00",212644,"1,04,94,19,261.50",28208
28-Nov-2024,EQ,"4,986.60","5,012.55","4,891.15","4,984.15","4,930.00","4,923.65","4,940.64","6,469.90","4,626.00",321308,"1,58,74,67,928.90",60792
27-Nov-2024,EQ,"5,013.60","5,025.00","4,941.00","5,013.60","4,985.00","4,984.15","4,972.78","6,469.90","4,626.00",255840,"1,27,22,35,615.45",43091
26-Nov-2024,EQ,"4,903.95","5,030.30","4,892.95","4,903.95","5,012.00","5,013.60","4,978.99","6,469.90","4,626.00",314200,"1,56,43,97,780.90",47605
25-Nov-2024,EQ,"4,905.00","4,980.00","4,874.00","4,848.35","4,918.00","4,903.95","4,918.19","6,469.90","4,626.00",722912,"3,55,54,17,257.00",66998
22-Nov-2024,EQ,"4,789.05","4,871.00","4,765.60","4,803.35","4,849.95","4,848.35","4,831.90","6,469.90","4,626.00",410476,"1,98,33,78,401.80",62560
