DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2019,EQ,"479.95","484.30","476.95","479.95","477.90","478.20","480.70","586.00","389.55",1640854,"78,87,64,029.35",36181
30-Dec-2019,EQ,"481.10","487.00","478.25","481.10","480.00","479.95","482.45","586.00","389.55",1809828,"87,31,47,826.50",27490
27-Dec-2019,EQ,"474.55","483.50","472.80","474.15","482.30","481.10","480.51","586.00","389.55",2005404,"96,36,10,254.20",31766
26-Dec-2019,EQ,"478.70","482.55","472.25","478.70","473.45","474.15","477.80","586.00","389.55",2887784,"1,37,97,90,700.40",46530
24-Dec-2019,EQ,"467.25","480.00","465.50","467.85","477.20","478.70","474.07","586.00","389.55",3262749,"1,54,67,77,415.40",44260
23-Dec-2019,EQ,"467.00","469.00","464.50","465.75","467.20","467.85","466.41","586.00","389.55",866023,"40,39,25,240.35",22296
20-Dec-2019,EQ,"466.90","474.45","463.90","467.60","467.80","465.75","468.86","586.00","389.55",2248997,"1,05,44,60,477.30",38431
19-Dec-2019,EQ,"465.65","471.50","464.80","467.80","467.35","467.60","468.12","586.00","389.55",1485123,"69,52,13,767.75",36482
18-Dec-2019,EQ,"464.00","469.25","461.50","463.95","467.65","467.80","466.26","586.00","389.55",1705929,"79,54,01,298.30",32427
17-Dec-2019,EQ,"462.05","466.20","460.35","458.25","463.50","463.95","463.16","586.00","389.55",2434853,"1,12,77,18,660.80",61124
16-Dec-2019,EQ,"463.05","464.75","457.50","461.25","458.00","458.25","461.17","586.00","389.55",903737,"41,67,78,395.55",23326
13-Dec-2019,EQ,"461.05","465.00","456.60","461.05","460.65","461.25","460.85","586.00","389.55",1213599,"55,92,87,927.75",21613
12-Dec-2019,EQ,"452.20","463.10","452.20","449.95","460.00","461.05","459.44","586.00","389.55",2730092,"1,25,43,02,302.60",58643
11-Dec-2019,EQ,"453.00","453.10","446.70","453.05","449.95","449.95","449.53","586.00","389.55",1806996,"81,22,98,140.40",47502
10-Dec-2019,EQ,"450.60","454.95","449.50","447.90","452.80","453.05","452.94","586.00","389.55",2807906,"1,27,18,17,711.95",40146
09-Dec-2019,EQ,"457.40","457.75","444.60","455.45","449.50","447.90","450.02","586.00","389.55",3761784,"1,69,28,81,319.30",35815
06-Dec-2019,EQ,"463.00","467.00","454.00","461.60","455.50","455.45","461.67","586.00","389.55",2520045,"1,16,34,19,053.85",35180
05-Dec-2019,EQ,"469.50","470.30","460.40","470.00","462.40","461.60","463.89","586.00","389.55",1483537,"68,81,91,365.70",25332
04-Dec-2019,EQ,"463.00","471.85","462.00","464.25","469.00","470.00","468.36","586.00","389.55",1426757,"66,82,32,427.60",30525
03-Dec-2019,EQ,"465.00","465.85","460.00","464.00","465.50","464.25","462.75","586.00","389.55",1067139,"49,38,16,897.40",25298
02-Dec-2019,EQ,"469.60","469.60","455.35","466.70","463.50","464.00","461.87","586.00","389.55",2492362,"1,15,11,38,958.25",35785
29-Nov-2019,EQ,"469.65","473.40","465.60","468.35","467.00","466.70","468.53","586.00","389.55",1307574,"61,26,34,443.75",35757
28-Nov-2019,EQ,"472.00","476.50","464.10","468.00","469.20","468.35","469.94","586.00","389.55",2933958,"1,37,87,98,680.80",43105
27-Nov-2019,EQ,"475.00","475.00","464.55","478.55","468.00","468.00","468.09","586.00","389.55",3494515,"1,63,57,52,636.55",55599
26-Nov-2019,EQ,"483.00","490.55","476.70","483.50","478.40","478.55","482.61","586.00","389.55",3880896,"1,87,29,50,407.75",41373
25-Nov-2019,EQ,"478.25","485.35","475.90","478.85","483.25","483.50","482.04","586.00","389.55",1465490,"70,64,17,935.35",23548
22-Nov-2019,EQ,"485.00","485.00","472.70","485.50","478.65","478.85","478.81","586.00","389.55",2778328,"1,33,02,91,276.60",43339
21-Nov-2019,EQ,"482.60","492.30","476.60","482.60","485.00","485.50","486.14","586.00","389.55",5600894,"2,72,27,95,663.55",68254
20-Nov-2019,EQ,"472.00","483.70","468.65","472.10","480.65","482.60","479.21","586.00","389.55",4080054,"1,95,51,97,804.15",45014
19-Nov-2019,EQ,"461.20","477.50","459.55","460.60","473.30","472.10","473.34","586.00","389.55",5080106,"2,40,46,19,598.70",60326
18-Nov-2019,EQ,"463.00","472.00","457.65","463.25","458.95","460.60","464.28","586.00","389.55",2847404,"1,32,20,03,632.10",39141
15-Nov-2019,EQ,"448.00","468.05","435.40","451.40","462.20","463.25","451.09","586.00","389.55",10693852,"4,82,38,63,391.80",139803
14-Nov-2019,EQ,"445.20","458.20","442.65","447.90","451.95","451.40","449.91","586.00","389.55",2659601,"1,19,65,80,300.10",45399
13-Nov-2019,EQ,"452.00","455.00","446.00","454.85","446.55","447.90","451.25","586.00","389.55",3001272,"1,35,43,21,380.25",45146
11-Nov-2019,EQ,"459.40","459.40","451.75","462.50","454.40","454.85","455.44","586.00","389.55",4109355,"1,87,15,83,537.05",35365
08-Nov-2019,EQ,"470.10","470.10","461.25","471.85","462.55","462.50","463.88","617.50","389.55",4300075,"1,99,47,33,369.00",43985
07-Nov-2019,EQ,"482.00","487.40","470.00","480.85","471.80","471.85","478.33","617.50","389.55",5892783,"2,81,87,14,068.60",75353
06-Nov-2019,EQ,"469.05","487.95","464.25","467.85","482.00","480.85","477.31","617.50","389.55",17751556,"8,47,29,61,828.15",208415
05-Nov-2019,EQ,"470.15","475.50","465.15","468.30","467.85","467.85","470.24","617.50","389.55",1391429,"65,43,05,311.45",29733
