DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2021,EQ,"145.95","147.55","145.35","146.20","146.25","146.05","146.30","203.80","123.40",5320232,"77,83,62,925.85",41807
30-Dec-2021,EQ,"146.75","149.00","143.90","146.75","146.05","146.20","146.06","203.80","123.40",24782255,"3,61,96,54,239.90",80105
29-Dec-2021,EQ,"149.25","149.25","146.30","148.85","146.60","146.75","147.16","203.80","123.40",4216568,"62,05,13,568.50",36004
28-Dec-2021,EQ,"146.25","149.25","146.25","146.05","148.95","148.85","148.31","203.80","123.40",4907497,"72,78,21,199.25",37111
27-Dec-2021,EQ,"145.00","146.50","144.10","145.90","146.50","146.05","145.31","203.80","123.40",3534825,"51,36,56,914.85",33858
24-Dec-2021,EQ,"148.00","148.15","145.40","147.70","145.80","145.90","146.41","203.80","123.40",4568316,"66,88,66,461.55",29357
23-Dec-2021,EQ,"146.25","147.95","146.00","145.35","147.75","147.70","147.10","203.80","123.40",4857807,"71,45,87,196.55",38506
22-Dec-2021,EQ,"145.45","149.40","144.45","144.65","145.10","145.35","145.44","203.80","123.40",6798820,"98,88,36,248.90",52886
21-Dec-2021,EQ,"141.80","146.00","141.40","140.70","144.60","144.65","144.23","203.80","123.40",8097050,"1,16,78,02,206.40",68037
20-Dec-2021,EQ,"145.35","145.65","139.15","146.45","140.80","140.70","141.56","203.80","123.40",8858645,"1,25,40,52,652.00",76285
17-Dec-2021,EQ,"149.10","149.40","146.00","149.75","146.35","146.45","147.03","203.80","123.40",8758284,"1,28,77,64,690.85",68128
16-Dec-2021,EQ,"148.10","150.10","147.55","148.10","149.40","149.75","148.99","203.80","123.40",7539061,"1,12,32,65,708.85",43953
15-Dec-2021,EQ,"149.15","150.60","147.95","148.90","148.05","148.10","148.91","203.80","123.40",5410912,"80,57,36,738.65",47136
14-Dec-2021,EQ,"149.00","149.75","146.75","149.00","148.75","148.90","148.24","203.80","123.40",8474759,"1,25,62,64,530.25",86075
13-Dec-2021,EQ,"152.80","152.80","147.95","151.30","149.30","149.00","150.17","203.80","123.40",9888293,"1,48,49,21,182.20",67662
10-Dec-2021,EQ,"152.65","153.75","150.90","152.65","151.30","151.30","151.96","203.80","123.40",7419042,"1,12,73,63,188.60",55893
09-Dec-2021,EQ,"151.75","153.50","150.65","150.90","152.75","152.65","152.31","203.80","123.40",9423435,"1,43,53,28,318.00",61394
08-Dec-2021,EQ,"151.25","151.75","150.05","150.65","151.00","150.90","150.79","203.80","123.40",7313306,"1,10,27,95,989.75",50627
