DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"563.50","568.25","560.10","560.95","561.50","561.45","564.42","610.75","482.25",699061,"39,45,63,338.80",17025
29-Dec-2022,EQ,"568.50","569.95","559.75","569.15","561.80","560.95","562.17","610.75","482.25",1761390,"99,01,97,291.35",41327
28-Dec-2022,EQ,"575.00","575.00","568.00","573.50","568.50","569.15","570.55","610.75","482.25",1041815,"59,44,09,776.10",28194
27-Dec-2022,EQ,"568.00","577.30","566.15","566.10","577.00","573.50","570.50","610.75","482.25",756651,"43,16,68,234.55",26071
26-Dec-2022,EQ,"560.25","567.55","557.25","565.85","565.50","566.10","562.97","610.75","482.25",2149944,"1,21,03,54,969.80",63896
23-Dec-2022,EQ,"572.30","575.50","562.95","577.75","565.40","565.85","567.78","610.75","482.25",1890316,"1,07,32,78,658.25",34250
22-Dec-2022,EQ,"577.40","583.10","574.45","577.25","578.00","577.75","577.85","610.75","482.25",818353,"47,28,85,901.95",24463
21-Dec-2022,EQ,"582.35","586.60","574.65","579.50","577.40","577.25","580.63","610.75","482.25",2308329,"1,34,02,91,936.70",28971
20-Dec-2022,EQ,"576.10","582.40","569.55","589.05","578.95","579.50","575.62","610.75","482.25",8300358,"4,77,78,56,094.60",103356
19-Dec-2022,EQ,"578.00","589.80","574.05","579.75","588.65","589.05","584.12","610.75","482.25",2060993,"1,20,38,70,301.50",39187
16-Dec-2022,EQ,"585.00","587.95","579.00","586.90","579.00","579.75","582.21","610.75","482.25",1749583,"1,01,86,28,065.20",42679
15-Dec-2022,EQ,"585.65","590.00","582.30","587.10","584.00","586.90","586.16","610.75","482.25",993549,"58,23,79,279.15",24363
14-Dec-2022,EQ,"596.00","598.15","585.35","594.20","586.70","587.10","588.36","610.75","482.25",1470878,"86,54,05,218.05",36684
13-Dec-2022,EQ,"603.20","604.85","593.00","602.45","593.40","594.20","595.50","610.75","482.25",1713097,"1,02,01,51,457.40",29983
12-Dec-2022,EQ,"600.00","603.80","590.30","598.75","601.00","602.45","597.79","610.75","482.25",1989220,"1,18,91,29,205.60",30105
09-Dec-2022,EQ,"606.80","609.55","594.00","604.40","597.70","598.75","600.30","610.75","482.25",1253564,"75,25,10,240.30",38348
08-Dec-2022,EQ,"605.50","607.00","598.80","602.25","604.75","604.40","604.21","610.75","482.25",1825451,"1,10,29,62,792.05",53533
07-Dec-2022,EQ,"601.00","610.75","598.35","592.60","601.75","602.25","603.54","610.75","482.25",6182504,"3,73,13,87,049.55",102692
06-Dec-2022,EQ,"585.90","594.05","582.15","587.10","592.70","592.60","590.52","602.00","482.25",1040850,"61,46,42,920.35",21751
