DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"3,787.00","3,850.00","3,786.85","3,799.70","3,838.00","3,841.90","3,820.95","3,859.00","1,626.00",646191,"2,46,90,66,052.20",38852
30-Dec-2020,EQ,"3,790.00","3,820.00","3,760.85","3,784.20","3,795.10","3,799.70","3,791.61","3,859.00","1,626.00",407940,"1,54,67,50,235.60",26196
29-Dec-2020,EQ,"3,783.00","3,829.70","3,765.00","3,766.00","3,775.00","3,784.20","3,797.57","3,859.00","1,626.00",834002,"3,16,71,81,066.45",53956
28-Dec-2020,EQ,"3,760.00","3,783.35","3,738.00","3,749.60","3,761.60","3,766.00","3,760.35","3,859.00","1,626.00",387691,"1,45,78,53,895.25",24672
24-Dec-2020,EQ,"3,705.00","3,757.00","3,692.05","3,688.60","3,755.00","3,749.60","3,731.12","3,859.00","1,626.00",656706,"2,45,02,46,626.00",41728
23-Dec-2020,EQ,"3,709.60","3,715.00","3,660.00","3,720.95","3,695.00","3,688.60","3,682.75","3,859.00","1,626.00",915202,"3,37,04,57,318.30",54884
22-Dec-2020,EQ,"3,658.95","3,739.10","3,601.90","3,634.15","3,712.95","3,720.95","3,681.70","3,859.00","1,626.00",1501765,"5,52,90,53,828.80",74421
21-Dec-2020,EQ,"3,789.00","3,803.95","3,543.80","3,832.90","3,640.00","3,634.15","3,699.30","3,859.00","1,626.00",1845053,"6,82,54,05,537.70",111052
18-Dec-2020,EQ,"3,837.30","3,859.00","3,782.00","3,824.70","3,820.00","3,832.90","3,824.89","3,859.00","1,626.00",1336810,"5,11,31,56,975.80",49209
17-Dec-2020,EQ,"3,711.30","3,854.20","3,711.30","3,717.90","3,830.00","3,824.70","3,816.19","3,854.20","1,626.00",2080618,"7,94,00,28,568.45",99166
16-Dec-2020,EQ,"3,652.20","3,727.00","3,636.00","3,628.40","3,722.45","3,717.90","3,696.49","3,770.00","1,626.00",1097589,"4,05,72,32,218.65",56891
15-Dec-2020,EQ,"3,620.00","3,652.10","3,606.45","3,599.80","3,625.10","3,628.40","3,628.17","3,770.00","1,626.00",678172,"2,46,05,20,658.20",45238
14-Dec-2020,EQ,"3,650.00","3,669.75","3,584.60","3,642.10","3,606.00","3,599.80","3,617.96","3,770.00","1,626.00",858167,"3,10,48,14,598.95",57289
11-Dec-2020,EQ,"3,730.00","3,740.00","3,622.40","3,732.25","3,649.85","3,642.10","3,662.73","3,770.00","1,626.00",1322763,"4,84,49,20,016.40",73109
10-Dec-2020,EQ,"3,724.90","3,763.00","3,706.75","3,725.40","3,730.00","3,732.25","3,732.08","3,770.00","1,626.00",638946,"2,38,45,98,978.35",40401
09-Dec-2020,EQ,"3,710.00","3,736.00","3,695.60","3,690.00","3,720.00","3,725.40","3,721.32","3,770.00","1,626.00",653837,"2,43,31,37,888.85",45955
08-Dec-2020,EQ,"3,717.55","3,749.00","3,676.60","3,717.55","3,700.00","3,690.00","3,708.88","3,770.00","1,626.00",750038,"2,78,18,00,174.00",51258
07-Dec-2020,EQ,"3,704.00","3,741.95","3,663.45","3,711.95","3,714.95","3,717.55","3,708.17","3,770.00","1,626.00",1086712,"4,02,97,08,429.60",57136
04-Dec-2020,EQ,"3,710.85","3,739.00","3,665.00","3,692.35","3,709.90","3,711.95","3,701.09","3,770.00","1,626.00",1043566,"3,86,23,35,664.20",58147
03-Dec-2020,EQ,"3,655.00","3,724.90","3,636.10","3,639.55","3,715.60","3,692.35","3,671.30","3,770.00","1,626.00",940122,"3,45,14,74,099.55",68716
02-Dec-2020,EQ,"3,622.00","3,654.85","3,615.00","3,620.75","3,643.70","3,639.55","3,635.22","3,770.00","1,626.00",755137,"2,74,50,87,741.15",46140
01-Dec-2020,EQ,"3,770.00","3,770.00","3,596.60","3,605.10","3,616.00","3,620.75","3,646.11","3,770.00","1,626.00",2077864,"7,57,61,21,171.05",109912
27-Nov-2020,EQ,"3,547.00","3,659.90","3,509.75","3,544.30","3,608.00","3,605.10","3,594.70","3,659.90","1,626.00",5745633,"20,65,38,39,010.30",171388
26-Nov-2020,EQ,"3,485.50","3,565.00","3,465.00","3,469.45","3,540.00","3,544.30","3,506.36","3,637.80","1,626.00",963570,"3,37,86,26,734.25",52604
25-Nov-2020,EQ,"3,567.95","3,568.90","3,450.00","3,537.05","3,464.85","3,469.45","3,502.99","3,637.80","1,626.00",736967,"2,58,15,90,147.95",43856
24-Nov-2020,EQ,"3,609.95","3,609.95","3,493.00","3,546.30","3,540.00","3,537.05","3,542.07","3,637.80","1,626.00",1608159,"5,69,62,15,074.50",110303
23-Nov-2020,EQ,"3,486.40","3,637.80","3,470.50","3,469.10","3,538.20","3,546.30","3,566.82","3,637.80","1,626.00",2306539,"8,22,70,09,236.85",114587
20-Nov-2020,EQ,"3,442.00","3,490.00","3,425.00","3,435.05","3,472.95","3,469.10","3,462.72","3,499.00","1,626.00",1058905,"3,66,66,96,287.95",68515
19-Nov-2020,EQ,"3,436.00","3,499.00","3,406.30","3,451.80","3,421.10","3,435.05","3,457.57","3,499.00","1,626.00",1130621,"3,90,91,97,781.55",50799
18-Nov-2020,EQ,"3,440.00","3,462.00","3,410.40","3,427.00","3,446.00","3,451.80","3,440.56","3,490.00","1,626.00",817107,"2,81,13,02,849.55",48129
17-Nov-2020,EQ,"3,460.00","3,490.00","3,395.00","3,444.95","3,433.00","3,427.00","3,430.62","3,490.00","1,626.00",1652851,"5,67,03,00,926.45",66420
14-Nov-2020,EQ,"3,464.20","3,464.20","3,438.75","3,432.95","3,444.00","3,444.95","3,448.21","3,464.20","1,626.00",124536,"42,94,26,577.00",8892
13-Nov-2020,EQ,"3,370.00","3,450.00","3,368.20","3,367.05","3,429.00","3,432.95","3,417.74","3,463.40","1,626.00",1346031,"4,60,03,85,927.50",62985
12-Nov-2020,EQ,"3,336.00","3,408.75","3,303.15","3,353.15","3,363.70","3,367.05","3,376.32","3,463.40","1,626.00",1258544,"4,24,92,52,916.05",65042
11-Nov-2020,EQ,"3,300.00","3,372.20","3,282.05","3,263.40","3,353.00","3,353.15","3,334.19","3,463.40","1,626.00",2007813,"6,69,44,27,145.75",93027
10-Nov-2020,EQ,"3,423.60","3,423.60","3,239.15","3,423.75","3,270.00","3,263.40","3,321.46","3,463.40","1,626.00",2531351,"8,40,77,69,994.20",128144
