DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
30-Dec-2022,EQ,"4,280.00","4,285.10","4,225.00","4,260.60","4,234.90","4,237.55","4,255.58","4,931.05","3,654.00",176579,"75,14,46,875.80",16281
29-Dec-2022,EQ,"4,275.00","4,354.65","4,223.05","4,252.75","4,257.80","4,260.60","4,282.36","4,931.05","3,654.00",812932,"3,48,12,66,655.60",54757
28-Dec-2022,EQ,"4,250.85","4,266.65","4,215.95","4,250.85","4,251.70","4,252.75","4,246.83","4,931.05","3,654.00",217601,"92,41,14,746.15",21868
27-Dec-2022,EQ,"4,269.80","4,269.80","4,201.00","4,248.60","4,256.00","4,250.85","4,232.18","4,931.05","3,654.00",273249,"1,15,64,39,351.90",29025
26-Dec-2022,EQ,"4,332.05","4,347.00","4,230.05","4,310.45","4,255.00","4,248.60","4,257.34","4,931.05","3,654.00",318608,"1,35,64,22,262.80",30929
23-Dec-2022,EQ,"4,325.05","4,418.00","4,291.25","4,349.25","4,320.00","4,310.45","4,354.74","4,931.05","3,654.00",499756,"2,17,63,09,911.10",40714
22-Dec-2022,EQ,"4,430.00","4,456.00","4,315.10","4,407.55","4,350.00","4,349.25","4,372.49","4,931.05","3,654.00",347470,"1,51,93,08,429.00",38888
21-Dec-2022,EQ,"4,379.95","4,435.00","4,353.40","4,369.75","4,413.00","4,407.55","4,407.88","4,931.05","3,654.00",347923,"1,53,36,01,756.05",35197
20-Dec-2022,EQ,"4,380.00","4,390.00","4,308.10","4,396.05","4,366.90","4,369.75","4,343.03","4,931.05","3,654.00",242821,"1,05,45,79,576.10",24399
19-Dec-2022,EQ,"4,344.95","4,408.65","4,315.05","4,309.10","4,387.55","4,396.05","4,373.63","4,931.05","3,654.00",332351,"1,45,35,81,765.30",35151
16-Dec-2022,EQ,"4,434.50","4,458.85","4,261.25","4,468.95","4,375.00","4,309.10","4,318.74","4,931.05","3,654.00",3356609,"14,49,63,35,405.45",70828
15-Dec-2022,EQ,"4,486.15","4,527.60","4,461.00","4,504.55","4,461.00","4,468.95","4,482.90","4,931.05","3,654.00",241811,"1,08,40,14,826.60",26454
14-Dec-2022,EQ,"4,475.00","4,513.50","4,451.35","4,458.15","4,505.90","4,504.55","4,494.26","4,931.05","3,654.00",278401,"1,25,12,05,660.90",25547
13-Dec-2022,EQ,"4,450.20","4,474.65","4,440.50","4,452.25","4,446.00","4,458.15","4,461.02","4,931.05","3,654.00",217509,"97,03,11,458.40",23201
12-Dec-2022,EQ,"4,367.05","4,462.90","4,367.05","4,407.10","4,451.00","4,452.25","4,442.18","4,931.05","3,654.00",273595,"1,21,53,58,112.85",26976
09-Dec-2022,EQ,"4,375.00","4,414.80","4,354.25","4,356.20","4,400.00","4,407.10","4,386.49","4,931.05","3,654.00",307973,"1,35,09,21,880.95",45927
08-Dec-2022,EQ,"4,373.95","4,379.25","4,331.05","4,361.50","4,346.90","4,356.20","4,354.16","4,931.05","3,654.00",277325,"1,20,75,17,454.65",35701
07-Dec-2022,EQ,"4,365.00","4,383.00","4,320.00","4,374.20","4,347.55","4,361.50","4,352.41","4,931.05","3,654.00",332207,"1,44,59,02,057.50",42463
06-Dec-2022,EQ,"4,460.10","4,474.45","4,359.05","4,479.40","4,375.30","4,374.20","4,394.75","4,931.05","3,654.00",348459,"1,53,13,88,574.95",36420
05-Dec-2022,EQ,"4,529.90","4,532.00","4,450.15","4,510.40","4,475.60","4,479.40","4,486.94","4,931.05","3,654.00",392339,"1,76,03,99,693.55",31670
02-Dec-2022,EQ,"4,484.95","4,524.00","4,460.15","4,474.35","4,521.00","4,510.40","4,491.26","4,931.05","3,654.00",416008,"1,86,83,98,459.15",45702
01-Dec-2022,EQ,"4,509.60","4,531.80","4,446.80","4,487.15","4,476.00","4,474.35","4,477.60","4,931.05","3,654.00",387346,"1,73,43,82,268.20",33277
30-Nov-2022,EQ,"4,470.00","4,517.95","4,441.00","4,453.35","4,486.45","4,487.15","4,488.71","4,931.05","3,654.00",851368,"3,82,15,40,985.60",45230
29-Nov-2022,EQ,"4,405.10","4,478.70","4,404.05","4,402.00","4,454.50","4,453.35","4,451.06","4,931.05","3,654.00",409138,"1,82,10,97,556.25",35372
28-Nov-2022,EQ,"4,414.75","4,447.40","4,386.50","4,418.10","4,400.00","4,402.00","4,407.05","4,931.05","3,654.00",306168,"1,34,92,97,336.60",28180
25-Nov-2022,EQ,"4,423.85","4,434.95","4,389.00","4,413.85","4,414.00","4,418.10","4,416.33","4,931.05","3,654.00",295409,"1,30,46,22,609.55",26211
24-Nov-2022,EQ,"4,427.70","4,439.95","4,375.85","4,405.65","4,417.00","4,413.85","4,407.16","4,931.05","3,654.00",237622,"1,04,72,39,120.25",26694
23-Nov-2022,EQ,"4,380.00","4,420.00","4,360.00","4,362.50","4,415.20","4,405.65","4,401.58","4,931.05","3,654.00",392869,"1,72,92,45,827.60",29895
22-Nov-2022,EQ,"4,371.60","4,402.60","4,326.00","4,349.85","4,383.00","4,362.50","4,367.48","4,931.05","3,654.00",403095,"1,76,05,08,035.50",38627
