DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2024,EQ,"4,827.00","4,872.40","4,810.00","4,855.80","4,825.00","4,821.90","4,839.75","5,105.00","3,562.45",313948,"1,51,94,29,728.05",33582
30-Dec-2024,EQ,"4,890.00","4,904.95","4,832.30","4,876.90","4,850.00","4,855.80","4,870.85","5,105.00","3,562.45",242799,"1,18,26,37,597.05",35170
27-Dec-2024,EQ,"4,820.00","4,954.95","4,789.55","4,801.35","4,874.00","4,876.90","4,897.11","5,105.00","3,562.45",408992,"2,00,28,78,067.80",49541
26-Dec-2024,EQ,"4,792.90","4,824.35","4,772.00","4,792.90","4,800.00","4,801.35","4,796.38","5,105.00","3,562.45",328172,"1,57,40,38,704.10",39609
24-Dec-2024,EQ,"4,750.55","4,808.00","4,738.65","4,750.55","4,800.00","4,792.90","4,784.68","5,105.00","3,562.45",227611,"1,08,90,45,934.95",28645
23-Dec-2024,EQ,"4,750.00","4,776.20","4,698.00","4,734.50","4,756.95","4,750.55","4,747.80","5,105.00","3,562.45",371318,"1,76,29,42,881.90",46896
20-Dec-2024,EQ,"4,748.00","4,822.45","4,720.00","4,771.95","4,740.00","4,734.50","4,764.90","5,105.00","3,562.45",386086,"1,83,96,59,681.80",40390
19-Dec-2024,EQ,"4,710.00","4,780.00","4,673.60","4,749.85","4,770.00","4,771.95","4,741.97","5,105.00","3,562.45",500287,"2,37,23,46,460.85",64173
18-Dec-2024,EQ,"4,724.00","4,799.35","4,716.35","4,742.65","4,758.95","4,749.85","4,764.63","5,105.00","3,562.45",331577,"1,57,98,42,543.95",29155
17-Dec-2024,EQ,"4,808.10","4,830.00","4,726.95","4,838.50","4,730.00","4,742.65","4,777.02","5,105.00","3,562.45",402231,"1,92,14,64,369.25",33489
16-Dec-2024,EQ,"4,820.00","4,865.00","4,800.00","4,825.90","4,822.00","4,838.50","4,827.91","5,105.00","3,562.45",404180,"1,95,13,45,500.15",31195
13-Dec-2024,EQ,"4,788.00","4,858.45","4,754.20","4,807.65","4,831.00","4,825.90","4,808.21","5,105.00","3,562.45",404369,"1,94,42,91,918.80",32779
12-Dec-2024,EQ,"4,801.95","4,820.00","4,775.00","4,801.95","4,802.70","4,807.65","4,798.80","5,105.00","3,562.45",236847,"1,13,65,81,257.35",37435
11-Dec-2024,EQ,"4,822.00","4,833.60","4,795.10","4,813.05","4,803.35","4,801.95","4,810.77","5,105.00","3,562.45",240736,"1,15,81,24,479.90",29297
10-Dec-2024,EQ,"4,840.00","4,874.90","4,797.50","4,842.10","4,815.60","4,813.05","4,823.61","5,105.00","3,562.45",342297,"1,65,11,07,195.40",36118
09-Dec-2024,EQ,"4,886.60","4,888.00","4,815.00","4,877.05","4,857.40","4,842.10","4,841.16","5,105.00","3,562.45",377043,"1,82,53,26,125.50",28283
06-Dec-2024,EQ,"4,851.00","4,928.70","4,827.55","4,837.55","4,882.85","4,877.05","4,881.97","5,105.00","3,562.45",327806,"1,60,03,40,003.65",36748
05-Dec-2024,EQ,"4,797.05","4,880.00","4,760.00","4,797.05","4,826.05","4,837.55","4,815.03","5,105.00","3,562.45",525957,"2,53,24,99,340.10",77188
04-Dec-2024,EQ,"4,836.05","4,878.80","4,751.00","4,844.35","4,803.55","4,797.05","4,807.13","5,105.00","3,562.45",349544,"1,68,03,02,375.50",42361
03-Dec-2024,EQ,"4,820.75","4,870.00","4,820.75","4,820.70","4,842.00","4,844.35","4,842.19","5,105.00","3,562.45",351449,"1,70,17,82,565.60",47974
02-Dec-2024,EQ,"4,838.05","4,845.50","4,693.55","4,831.85","4,824.95","4,820.70","4,800.07","5,105.00","3,562.45",250521,"1,20,25,19,159.05",31210
29-Nov-2024,EQ,"4,838.00","4,864.30","4,808.00","4,815.70","4,832.20","4,831.85","4,833.97","5,105.00","3,562.45",407774,"1,97,11,67,857.30",33922
28-Nov-2024,EQ,"4,920.00","4,920.00","4,793.80","4,917.50","4,849.00","4,815.70","4,833.49","5,105.00","3,562.45",954250,"4,61,23,61,482.25",111888
27-Nov-2024,EQ,"4,933.00","4,971.90","4,890.10","4,931.75","4,923.00","4,917.50","4,922.02","5,105.00","3,562.45",189349,"93,19,79,840.35",28494
