DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2020,EQ,"939.80","940.85","921.55","934.40","923.50","927.85","928.60","954.00","385.05",2077998,"1,92,96,32,828.85",38683
30-Dec-2020,EQ,"911.10","938.95","897.30","909.50","937.10","934.40","919.69","954.00","385.05",2280218,"2,09,70,93,704.35",45659
29-Dec-2020,EQ,"911.00","922.65","906.20","906.65","907.35","909.50","913.64","954.00","385.05",1624766,"1,48,44,54,942.30",32666
28-Dec-2020,EQ,"901.20","912.35","897.10","897.15","910.00","906.65","905.20","954.00","385.05",1489896,"1,34,86,56,606.50",22222
24-Dec-2020,EQ,"906.65","911.85","891.10","902.00","899.50","897.15","898.65","954.00","385.05",1420321,"1,27,63,73,495.45",24383
23-Dec-2020,EQ,"886.10","909.00","881.35","885.20","897.35","902.00","892.77","954.00","385.05",2377647,"2,12,26,94,114.00",36166
22-Dec-2020,EQ,"877.35","889.40","863.35","877.35","885.00","885.20","875.15","954.00","385.05",1708372,"1,49,50,80,754.85",32239
21-Dec-2020,EQ,"909.60","909.95","868.30","909.65","871.00","877.35","890.00","954.00","385.05",1905028,"1,69,54,68,617.60",32316
18-Dec-2020,EQ,"912.00","916.75","902.00","912.70","908.45","909.65","907.82","954.00","385.05",2216049,"2,01,17,84,560.60",35158
17-Dec-2020,EQ,"915.90","926.40","912.00","914.80","914.00","912.70","917.09","954.00","385.05",1476800,"1,35,43,64,019.00",24920
16-Dec-2020,EQ,"920.40","925.30","911.00","912.00","915.45","914.80","915.91","954.00","385.05",1390116,"1,27,32,23,616.80",23696
15-Dec-2020,EQ,"912.00","917.70","903.00","911.45","913.95","912.00","909.29","954.00","385.05",1462088,"1,32,94,60,938.70",25040
14-Dec-2020,EQ,"906.65","924.00","906.30","902.25","914.05","911.45","916.17","954.00","385.05",2044684,"1,87,32,79,863.15",34287
11-Dec-2020,EQ,"909.90","915.65","901.00","909.50","906.30","902.25","906.22","954.00","385.05",1938042,"1,75,63,00,242.25",33627
10-Dec-2020,EQ,"922.00","924.80","902.55","920.25","908.45","909.50","909.89","954.00","385.05",1727166,"1,57,15,23,970.60",28148
